calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-2.3,2.8,-6.8,0.5,6.6,,,,1.3,,,,,
2016-01-02,-1.3,6.2,-6.8,0.0,2.9,,,,0.8,,,,,
2016-01-03,0.6,10.3,-3.9,0.0,6.5,,,,0.8,,,,,
2016-01-04,1.1,9.1,-4.5,0.0,3.2,,,,1.0,,,,,
2016-01-05,0.9,7.1,-4.3,0.0,4.3,,,,1.0,,,,,
2016-01-06,1.0,5.7,-2.0,0.0,1.3,,,,0.7,,,,,
2016-01-07,-1.4,1.3,-3.6,2.0,0.1,,,,0.6,,,,,
2016-01-08,-0.5,2.2,-3.5,0.0,0.8,,,,0.8,,,,,
2016-01-09,-0.8,3.0,-3.3,0.5,4.5,,,,1.0,,,,,
2016-01-10,-0.4,2.3,-2.8,0.5,1.5,,,,0.7,,,,,
2016-01-11,-0.4,2.3,-3.3,0.5,2.1,,,,,,,,,
2016-01-12,-2.5,0.4,-7.3,0.0,1.0,,,,1.2,,,,,
2016-01-13,-3.5,1.0,-9.5,0.5,1.9,,,,0.8,,,,,
2016-01-14,-2.1,0.2,-5.3,0.0,0.9,,,,0.9,,,,,
2016-01-15,-2.6,1.4,-6.7,0.0,3.5,,,,0.9,,,,,
2016-01-16,-3.6,2.2,-8.4,0.0,5.4,,,,0.9,,,,,
2016-01-17,-3.3,1.6,-9.5,0.0,2.0,,,,1.2,,,,,
2016-01-18,0.9,3.8,-1.3,15.0,0.0,,,,,,,,,
2016-01-19,-5.2,-0.1,-7.8,4.0,0.6,,,,1.6,,,,,
2016-01-20,-5.3,-2.5,-8.3,,0.0,,,,0.9,,,,,
2016-01-21,-5.0,-1.3,-9.4,,1.9,,,,0.8,,,,,
2016-01-22,-7.3,-1.9,-12.8,0.0,3.4,,,,1.0,,,,,
2016-01-23,-6.3,-0.2,-13.9,0.0,0.0,,,,0.6,,,,,
2016-01-24,-8.0,-4.6,-13.0,0.0,0.5,,,,1.3,,,,,
2016-01-25,-9.2,-3.6,-15.0,2.0,2.2,,,,,,,,,
2016-01-26,-7.8,1.7,-15.9,0.0,7.4,,,,0.7,,,,,
2016-01-27,-4.2,3.3,-9.4,0.0,6.3,,,,0.8,,,,,
2016-01-28,-2.4,5.5,-10.3,0.0,3.9,,,,0.8,,,,,
2016-01-29,1.0,2.2,-0.3,43.5,0.0,,,,,,,,,
2016-01-30,-0.9,1.1,-4.7,14.5,0.0,,,,,,,,,
2016-01-31,-1.9,3.1,-7.3,0.0,7.0,,,,0.9,,,,,
2016-02-01,-2.2,-0.6,-4.1,0.0,0.0,,,,1.6,,,,,
2016-02-02,-4.0,0.5,-8.7,0.0,4.0,,,,1.4,,,,,
