calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,6.0,11.3,1.5,0.0,8.7,,,,1.8,,,,,
2016-01-02,5.3,11.3,0.3,0.0,5.7,,,,0.7,,,,,
2016-01-03,7.9,15.1,1.5,0.0,8.5,,,,0.9,,,,,
2016-01-04,9.0,14.1,3.1,0.0,5.3,,,,1.6,,,,,
2016-01-05,8.6,14.1,3.8,0.0,3.7,,,,1.6,,,,,
2016-01-06,9.4,12.9,6.1,0.0,1.3,,,,1.5,,,,,
2016-01-07,8.2,11.9,5.7,0.0,5.9,,,,3.2,,,,,
2016-01-08,6.4,10.4,1.9,0.0,5.3,,,,1.4,,,,,
2016-01-09,6.0,10.0,2.1,0.0,8.7,,,,2.3,,,,,
2016-01-10,5.8,11.2,0.2,0.0,5.4,,,,1.8,,,,,
2016-01-11,7.7,11.7,4.7,0.0,5.5,,,,2.7,,,,,
2016-01-12,6.5,10.4,3.2,0.0,4.3,,,,2.3,,,,,
2016-01-13,5.0,10.0,1.0,0.0,5.3,,,,1.2,,,,,
2016-01-14,5.8,9.8,2.7,0.0,7.9,,,,3.1,,,,,
2016-01-15,5.3,8.7,3.1,0.0,3.9,,,,2.3,,,,,
2016-01-16,5.5,10.0,2.1,0.0,6.2,,,,1.8,,,,,
2016-01-17,5.0,9.1,-1.1,4.0,4.3,,,,1.0,,,,,
2016-01-18,7.3,11.0,3.2,17.5,1.5,,,,2.8,,,,,
2016-01-19,2.7,5.3,0.2,0.0,6.9,,,,4.3,,,,,
2016-01-20,2.1,5.0,-1.5,7.5,2.9,,,,2.6,,,,,
2016-01-21,3.6,7.3,-0.5,0.0,5.2,,,,1.7,,,,,
2016-01-22,3.8,8.6,-1.0,0.0,7.7,,,,2.5,,,,,
2016-01-23,1.6,4.1,-1.7,0.0,0.0,,,,1.0,,,,,
2016-01-24,0.3,2.6,-3.1,0.0,8.5,,,,4.2,,,,,
2016-01-25,-1.3,2.2,-5.2,5.5,2.4,,,,1.1,,,,,
2016-01-26,1.8,6.7,-3.1,0.0,8.4,,,,1.1,,,,,
2016-01-27,4.8,11.3,-0.6,0.0,7.0,,,,1.4,,,,,
2016-01-28,6.6,12.1,-0.5,0.0,5.8,,,,1.8,,,,,
2016-01-29,6.8,8.1,5.6,35.0,0.0,,,,0.6,,,,,
2016-01-30,7.3,9.2,5.5,3.5,0.1,,,,2.7,,,,,
2016-01-31,7.4,11.9,2.7,0.0,9.2,,,,2.0,,,,,
2016-02-01,6.5,8.0,5.2,0.0,0.0,,,,2.2,,,,,
2016-02-02,5.8,11.2,1.7,0.0,7.7,,,,2.4,,,,,
2016-02-03,4.0,10.2,-1.1,0.0,9.7,,,,2.0,,,,,
2016-02-04,4.8,10.7,-1.4,0.0,7.8,,,,1.5,,,,,
2016-02-05,6.5,11.4,1.3,0.0,7.3,,,,1.5,,,,,
2016-02-06,5.4,9.4,1.9,0.0,4.6,,,,1.8,,,,,
2016-02-07,4.0,8.2,-0.4,0.0,10.0,,,,3.0,,,,,
2016-02-08,3.5,10.0,-3.1,0.0,10.0,,,,1.0,,,,,
2016-02-09,2.8,7.6,0.1,11.0,1.1,,,,2.0,,,,,
2016-02-10,3.8,7.9,0.5,1.5,7.8,,,,2.5,,,,,
2016-02-11,5.7,12.1,0.8,0.0,10.1,,,,1.6,,,,,
2016-02-12,7.0,9.3,3.3,0.0,0.0,,,,0.5,,,,,
2016-02-13,9.7,11.6,7.6,18.5,0.0,,,,0.4,,,,,
2016-02-14,12.6,17.6,10.1,31.0,0.0,,,,1.2,,,,,
2016-02-15,6.4,10.3,1.6,0.0,4.5,,,,3.4,,,,,
2016-02-16,4.0,7.5,0.8,0.0,8.8,,,,2.4,,,,,
2016-02-17,3.1,6.7,0.6,0.0,6.6,,,,2.3,,,,,
2016-02-18,4.7,10.6,-1.0,0.0,10.4,,,,1.0,,,,,
2016-02-19,7.7,14.9,0.4,0.0,9.0,,,,1.4,,,,,
2016-02-20,7.5,9.9,5.9,26.0,0.0,,,,1.5,,,,,
2016-02-21,7.6,10.2,4.4,0.0,5.9,,,,3.4,,,,,
2016-02-22,6.5,10.3,2.5,0.0,0.5,,,,1.4,,,,,
2016-02-23,8.8,13.3,5.0,0.0,7.3,,,,2.5,,,,,
2016-02-24,5.2,8.1,1.4,0.0,9.4,,,,3.4,,,,,
2016-02-25,3.9,10.6,-1.8,0.0,10.7,,,,2.2,,,,,
2016-02-26,3.9,8.7,0.0,0.0,6.5,,,,2.0,,,,,
2016-02-27,5.4,10.3,0.2,0.0,6.0,,,,1.2,,,,,
2016-02-28,8.6,14.8,2.3,0.0,10.0,,,,1.1,,,,,
2016-02-29,6.6,9.6,0.2,2.0,1.4,,,,2.3,,,,,
2016-03-01,2.3,6.0,-0.7,0.0,6.8,,,,3.0,,,,,
2016-03-02,4.5,9.4,0.6,0.0,7.3,,,,1.8,,,,,
2016-03-03,6.8,14.9,-0.6,0.0,6.3,,,,1.3,,,,,
2016-03-04,10.0,17.9,1.7,0.0,10.5,,,,1.2,,,,,
2016-03-05,12.4,17.2,8.8,0.0,4.4,,,,1.4,,,,,
2016-03-06,15.1,18.7,12.1,0.5,0.4,,,,1.1,,,,,
2016-03-07,16.3,20.4,13.3,0.0,1.8,,,,1.2,,,,,
2016-03-08,14.7,19.8,10.5,0.0,6.7,,,,2.7,,,,,
2016-03-09,9.3,12.2,5.1,22.5,0.0,,,,2.1,,,,,
2016-03-10,6.9,10.3,4.5,0.0,0.9,,,,3.5,,,,,
2016-03-11,7.0,12.5,2.9,0.0,10.1,,,,2.6,,,,,
2016-03-12,6.4,11.9,1.2,0.0,11.3,,,,2.4,,,,,
2016-03-13,7.2,13.0,1.4,1.5,4.4,,,,1.2,,,,,
2016-03-14,6.5,8.3,4.9,17.0,0.2,,,,1.6,,,,,
2016-03-15,7.8,12.0,4.9,0.0,11.4,,,,3.4,,,,,
2016-03-16,7.4,12.3,1.3,0.0,2.9,,,,1.2,,,,,
2016-03-17,12.2,21.4,2.8,0.0,11.3,,,,1.5,,,,,
2016-03-18,12.9,18.0,5.7,17.5,5.4,,,,1.6,,,,,
2016-03-19,14.5,20.5,10.3,49.5,5.6,,,,3.0,,,,,
2016-03-20,10.3,13.9,7.5,0.0,9.2,,,,3.6,,,,,
2016-03-21,8.6,14.0,4.6,0.0,11.7,,,,3.1,,,,,
2016-03-22,10.1,17.8,3.6,0.0,10.4,,,,2.0,,,,,
2016-03-23,11.6,17.8,6.2,0.0,9.1,,,,2.6,,,,,
2016-03-24,8.9,13.1,5.0,0.0,9.8,,,,3.6,,,,,
2016-03-25,6.6,11.4,3.6,0.0,9.7,,,,3.3,,,,,
2016-03-26,7.5,14.0,1.8,0.0,11.8,,,,2.6,,,,,
2016-03-27,9.7,17.0,2.5,0.0,10.4,,,,1.9,,,,,
2016-03-28,11.4,16.7,7.9,0.0,9.5,,,,2.6,,,,,
2016-03-29,12.4,17.9,6.7,0.0,7.7,,,,1.9,,,,,
2016-03-30,14.3,20.5,7.4,0.0,9.4,,,,1.5,,,,,
2016-03-31,14.8,21.9,8.1,0.0,8.7,,,,1.6,,,,,
2016-04-01,13.0,14.9,11.3,1.0,0.3,,,,0.9,,,,,
2016-04-02,15.3,20.6,10.6,0.0,4.4,,,,2.2,,,,,
2016-04-03,16.4,18.9,14.4,3.5,0.0,,,,1.9,,,,,
2016-04-04,14.6,20.3,11.4,33.5,1.6,,,,2.7,,,,,
2016-04-05,13.4,18.1,10.0,0.0,7.2,,,,3.6,,,,,
2016-04-06,15.5,21.3,9.0,0.0,5.9,,,,1.6,,,,,
2016-04-07,11.8,14.9,9.9,53.5,0.0,,,,1.4,,,,,
2016-04-08,14.8,17.8,12.3,0.0,3.3,,,,3.5,,,,,
2016-04-09,16.0,23.5,8.2,0.0,8.4,,,,1.5,,,,,
2016-04-10,15.9,21.7,10.7,0.0,0.3,,,,2.2,,,,,
2016-04-11,11.3,14.6,5.3,0.0,11.4,,,,4.3,,,,,
2016-04-12,10.6,16.4,3.2,0.0,8.6,,,,2.2,,,,,
2016-04-13,12.4,14.2,10.7,25.0,0.0,,,,1.3,,,,,
2016-04-14,16.7,23.9,12.5,3.0,8.6,,,,2.7,,,,,
2016-04-15,14.4,20.2,10.1,0.0,12.0,,,,3.4,,,,,
2016-04-16,15.3,22.1,6.5,0.0,11.6,,,,2.3,,,,,
2016-04-17,19.7,27.5,15.7,11.0,5.7,,,,4.0,,,,,
2016-04-18,15.7,19.4,12.5,0.0,2.7,,,,2.2,,,,,
2016-04-19,14.5,19.7,10.1,0.0,11.7,,,,2.7,,,,,
2016-04-20,14.6,20.0,8.9,0.0,11.4,,,,2.4,,,,,
2016-04-21,14.9,17.2,13.3,83.5,0.0,,,,1.3,,,,,
2016-04-22,16.7,20.4,13.4,2.5,10.4,,,,3.4,,,,,
2016-04-23,17.3,22.4,11.3,0.5,2.5,,,,1.4,,,,,
2016-04-24,16.8,22.6,13.8,0.5,5.9,,,,2.3,,,,,
2016-04-25,18.2,22.5,14.3,0.0,4.1,,,,1.5,,,,,
2016-04-26,18.9,25.5,12.1,0.0,11.9,,,,1.9,,,,,
2016-04-27,17.7,20.4,14.3,6.5,0.0,,,,1.2,,,,,
2016-04-28,14.6,16.6,13.0,29.0,0.0,,,,2.0,,,,,
2016-04-29,13.2,16.7,9.5,0.0,9.4,,,,3.4,,,,,
2016-04-30,15.7,22.5,8.2,0.0,12.3,,,,1.8,,,,,
2016-05-01,18.3,26.3,11.3,0.0,7.4,,,,1.8,,,,,
2016-05-02,19.5,27.8,12.0,0.0,11.7,,,,2.0,,,,,
2016-05-03,19.6,23.3,17.6,16.0,1.8,,,,3.8,,,,,
