calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-3.7,1.4,-9.9,0.5,5.6,,,,1.3,,,,,
2016-01-02,-3.3,2.7,-10.4,0.0,0.1,,,,0.5,,,,,
2016-01-03,-0.7,8.6,-6.5,0.0,6.5,,,,0.4,,,,,
2016-01-04,-1.3,7.9,-7.3,0.0,4.9,,,,0.8,,,,,
2016-01-05,-1.5,6.7,-7.7,0.0,3.9,,,,0.4,,,,,
2016-01-06,-0.2,4.7,-4.0,0.0,1.8,,,,0.5,,,,,
2016-01-07,-1.5,3.0,-4.9,0.0,3.0,,,,1.0,,,,,
2016-01-08,-1.3,0.4,-2.5,0.5,0.0,,,,1.1,,,,,
2016-01-09,-2.3,1.1,-6.0,0.0,1.8,,,,0.8,,,,,
2016-01-10,-1.3,0.9,-3.4,0.5,1.5,,,,0.7,,,,,
2016-01-11,-0.9,2.3,-2.6,1.0,2.8,,,,0.9,,,,,
2016-01-12,-3.5,-0.5,-9.1,0.0,1.0,,,,1.5,,,,,
2016-01-13,-4.6,0.8,-10.7,2.0,1.8,,,,1.0,,,,,
2016-01-14,-3.8,-1.9,-7.4,2.5,0.7,,,,,,,,,
2016-01-15,-3.4,0.1,-6.4,0.5,3.8,,,,0.7,,,,,
2016-01-16,-4.2,1.7,-9.6,0.5,2.1,,,,0.6,,,,,
2016-01-17,-5.2,1.1,-13.5,2.5,2.3,,,,0.5,,,,,
2016-01-18,-0.3,1.7,-2.8,47.5,0.1,,,,,,,,,
2016-01-19,-7.0,-2.8,-8.7,24.5,0.0,,,,,,,,,
2016-01-20,-5.5,-2.9,-8.7,,0.1,,,,,,,,,
2016-01-21,-5.8,-2.1,-11.5,0.0,1.3,,,,,,,,,
2016-01-22,-8.7,-2.7,-16.6,0.0,5.8,,,,1.2,,,,,
2016-01-23,-6.9,-1.8,-13.6,2.0,0.0,,,,0.8,,,,,
2016-01-24,-9.3,-4.9,-12.2,11.5,0.1,,,,1.8,,,,,
2016-01-25,-9.9,-4.4,-17.7,3.5,4.0,,,,,,,,,
2016-01-26,-10.0,-0.3,-20.5,0.0,6.5,,,,0.6,,,,,
2016-01-27,-5.0,1.7,-12.5,0.0,2.7,,,,0.5,,,,,
2016-01-28,-5.4,3.7,-15.6,0.0,3.3,,,,0.4,,,,,
2016-01-29,0.4,1.7,-1.5,45.5,0.0,,,,,,,,,
2016-01-30,-1.2,1.1,-5.1,7.5,0.8,,,,2.0,,,,,
2016-01-31,-1.1,3.6,-4.8,0.5,6.6,,,,1.4,,,,,
2016-02-01,-3.4,-1.2,-6.7,0.0,0.0,,,,1.9,,,,,
2016-02-02,-6.0,-1.0,-12.1,0.0,5.0,,,,1.4,,,,,
2016-02-03,-6.5,-0.6,-13.0,0.0,7.0,,,,1.8,,,,,
2016-02-04,-7.2,0.5,-16.4,0.0,5.2,,,,0.6,,,,,
2016-02-05,-4.8,3.2,-12.4,0.0,6.9,,,,0.8,,,,,
2016-02-06,-2.6,1.5,-7.5,0.0,3.9,,,,1.1,,,,,
2016-02-07,-6.7,-1.7,-15.0,0.0,6.9,,,,1.4,,,,,
2016-02-08,-8.0,1.5,-19.0,0.0,8.6,,,,0.7,,,,,
2016-02-09,-3.4,-2.0,-5.4,27.0,0.0,,,,0.8,,,,,
2016-02-10,-5.3,-2.7,-8.1,3.0,0.0,,,,,,,,,
2016-02-11,-5.8,5.3,-15.5,0.0,8.8,,,,1.1,,,,,
2016-02-12,-2.7,3.9,-12.6,0.0,0.0,,,,0.6,,,,,
2016-02-13,1.7,6.0,0.5,35.0,0.0,,,,0.4,,,,,
2016-02-14,4.7,10.6,1.2,52.0,0.0,,,,1.2,,,,,
2016-02-15,-3.3,2.4,-9.6,0.0,2.1,,,,1.2,,,,,
2016-02-16,-6.2,-3.0,-11.2,0.0,1.4,,,,1.0,,,,,
2016-02-17,-5.4,-0.9,-13.8,3.0,1.9,,,,1.3,,,,,
2016-02-18,-7.5,3.0,-17.7,0.0,9.0,,,,0.8,,,,,
2016-02-19,-1.4,5.5,-9.9,0.0,6.1,,,,1.0,,,,,
2016-02-20,0.6,6.4,-2.6,40.5,0.0,,,,0.9,,,,,
2016-02-21,-1.3,1.3,-5.1,0.5,2.3,,,,1.5,,,,,
2016-02-22,-1.3,3.2,-5.5,0.0,1.2,,,,1.4,,,,,
2016-02-23,0.1,4.7,-4.4,0.0,3.2,,,,0.8,,,,,
2016-02-24,-4.7,-1.2,-8.8,0.0,5.1,,,,2.0,,,,,
2016-02-25,-5.9,-0.2,-12.8,0.0,8.8,,,,1.3,,,,,
2016-02-26,-5.9,-1.7,-11.9,1.0,2.6,,,,0.6,,,,,
2016-02-27,-5.3,-0.5,-15.0,6.5,1.5,,,,,,,,,
2016-02-28,-1.4,6.8,-11.0,0.0,9.6,,,,0.5,,,,,
2016-02-29,-0.3,3.3,-6.6,9.0,0.2,,,,1.7,,,,,
2016-03-01,-7.4,-3.7,-11.1,4.0,2.9,,,,1.7,,,,,
2016-03-02,-5.2,0.7,-11.5,0.0,4.6,,,,0.9,,,,,
2016-03-03,-3.3,4.7,-12.6,0.0,7.5,,,,1.0,,,,,
2016-03-04,-0.5,10.1,-9.5,0.0,9.4,,,,0.6,,,,,
2016-03-05,1.3,7.4,-4.8,0.0,0.0,,,,0.5,,,,,
2016-03-06,6.1,10.6,1.2,1.0,0.0,,,,1.1,,,,,
2016-03-07,3.7,11.4,0.2,0.5,1.5,,,,0.3,,,,,
2016-03-08,5.1,13.3,0.2,0.0,5.9,,,,0.7,,,,,
2016-03-09,1.6,3.3,-2.0,15.5,0.0,,,,1.4,,,,,
2016-03-10,-1.7,1.4,-3.6,0.0,0.8,,,,2.3,,,,,
2016-03-11,-2.2,3.4,-8.0,0.0,7.4,,,,1.6,,,,,
2016-03-12,-3.3,4.6,-10.9,0.0,10.0,,,,1.2,,,,,
2016-03-13,-1.4,4.9,-9.4,0.5,2.6,,,,0.8,,,,,
2016-03-14,-0.6,0.6,-2.1,8.0,0.0,,,,,,,,,
2016-03-15,-2.0,1.7,-8.1,0.0,7.8,,,,2.0,,,,,
2016-03-16,-1.3,7.6,-10.4,0.0,7.8,,,,0.8,,,,,
2016-03-17,2.6,14.8,-6.6,0.0,10.5,,,,0.7,,,,,
2016-03-18,3.8,10.1,-3.7,12.0,3.9,,,,0.9,,,,,
2016-03-19,7.1,13.0,2.7,25.5,2.0,,,,1.1,,,,,
2016-03-20,1.9,5.4,-1.7,0.0,3.2,,,,1.9,,,,,
2016-03-21,-0.4,5.2,-4.9,0.0,8.0,,,,2.0,,,,,
2016-03-22,1.0,10.4,-7.9,0.0,10.8,,,,1.2,,,,,
2016-03-23,1.9,9.5,-4.1,0.0,3.9,,,,1.5,,,,,
2016-03-24,-1.0,3.2,-4.3,0.0,8.0,,,,2.2,,,,,
2016-03-25,-2.4,3.0,-6.2,0.0,3.7,,,,1.7,,,,,
2016-03-26,-1.6,7.8,-9.3,0.0,10.8,,,,1.3,,,,,
2016-03-27,1.1,9.8,-8.0,0.0,9.9,,,,1.0,,,,,
2016-03-28,1.4,9.1,-4.0,0.0,3.7,,,,0.9,,,,,
2016-03-29,2.8,12.5,-7.0,0.0,10.0,,,,1.0,,,,,
2016-03-30,3.9,10.8,-3.7,1.0,4.8,,,,1.3,,,,,
2016-03-31,4.1,14.6,-4.7,0.0,10.6,,,,0.8,,,,,
2016-04-01,5.4,15.0,-4.8,0.0,5.8,,,,1.0,,,,,
2016-04-02,8.9,15.2,2.2,0.0,3.6,,,,1.0,,,,,
2016-04-03,8.7,10.1,7.3,6.5,0.0,,,,0.9,,,,,
2016-04-04,9.4,13.6,5.3,35.0,0.2,,,,1.0,,,,,
2016-04-05,5.8,12.9,-2.9,0.0,7.4,,,,1.3,,,,,
2016-04-06,5.9,17.0,-4.5,0.0,8.7,,,,0.8,,,,,
2016-04-07,7.2,11.8,3.7,101.5,0.0,,,,1.3,,,,,
2016-04-08,7.0,13.8,-2.6,0.0,5.7,,,,1.3,,,,,
2016-04-09,6.5,16.9,-3.9,0.0,11.2,,,,1.0,,,,,
2016-04-10,6.9,15.6,-1.4,0.0,1.4,,,,0.7,,,,,
2016-04-11,0.6,4.3,-3.5,0.0,8.9,,,,2.2,,,,,
2016-04-12,3.2,12.0,-7.5,0.0,8.8,,,,1.4,,,,,
2016-04-13,7.4,8.7,4.8,21.5,0.0,,,,1.4,,,,,
2016-04-14,11.5,19.2,5.1,10.0,6.5,,,,1.7,,,,,
2016-04-15,5.3,11.4,-2.9,0.0,11.6,,,,2.0,,,,,
2016-04-16,8.3,18.3,-4.0,0.0,10.8,,,,1.4,,,,,
2016-04-17,10.4,17.0,1.4,27.0,3.6,,,,2.2,,,,,
2016-04-18,5.2,10.6,-1.4,0.0,0.8,,,,0.6,,,,,
2016-04-19,3.4,12.1,-5.2,0.0,10.7,,,,1.2,,,,,
2016-04-20,5.2,13.8,-5.6,0.0,10.5,,,,1.1,,,,,
2016-04-21,8.4,11.0,5.2,64.0,0.0,,,,1.4,,,,,
2016-04-22,11.7,18.8,3.8,2.5,6.8,,,,1.3,,,,,
2016-04-23,11.5,19.9,2.6,5.0,6.9,,,,1.0,,,,,
2016-04-24,10.8,17.0,5.2,2.5,6.5,,,,1.6,,,,,
2016-04-25,10.7,17.5,4.0,0.0,5.4,,,,0.8,,,,,
2016-04-26,13.7,23.6,5.2,0.0,9.1,,,,0.9,,,,,
2016-04-27,11.1,18.4,5.5,5.0,4.4,,,,1.0,,,,,
2016-04-28,9.4,12.6,7.1,47.5,0.0,,,,1.3,,,,,
2016-04-29,3.5,7.7,-0.7,1.0,3.6,,,,2.2,,,,,
2016-04-30,6.3,14.9,-3.1,0.0,6.7,,,,1.0,,,,,
2016-05-01,9.1,17.2,2.5,0.0,2.7,,,,0.8,,,,,
2016-05-02,12.2,23.4,1.2,0.0,11.7,,,,0.8,,,,,
2016-05-03,11.4,16.6,2.8,2.5,4.1,,,,2.0,,,,,
2016-05-04,13.1,17.1,5.5,24.5,8.5,,,,2.5,,,,,
2016-05-05,9.5,15.6,2.3,0.0,10.7,,,,1.9,,,,,
2016-05-06,8.9,17.9,1.9,3.5,0.8,,,,1.1,,,,,
2016-05-07,10.2,17.9,2.6,3.5,5.1,,,,1.4,,,,,
2016-05-08,11.6,19.7,2.4,0.0,12.1,,,,1.8,,,,,
2016-05-09,11.7,13.9,9.2,4.0,0.0,,,,0.8,,,,,
2016-05-10,13.4,16.1,11.1,22.5,0.0,,,,1.0,,,,,
2016-05-11,12.7,17.2,8.2,48.0,0.6,,,,1.4,,,,,
2016-05-12,13.5,24.5,3.6,0.0,12.6,,,,1.4,,,,,
2016-05-13,14.0,23.8,4.0,0.0,11.7,,,,1.6,,,,,
2016-05-14,15.0,23.4,5.7,0.0,11.2,,,,1.1,,,,,
2016-05-15,12.4,18.4,5.6,0.0,4.1,,,,1.1,,,,,
2016-05-16,11.7,13.3,9.9,7.0,0.0,,,,1.6,,,,,
2016-05-17,11.4,19.2,1.4,24.5,7.9,,,,2.0,,,,,
2016-05-18,12.2,24.5,-0.8,0.0,13.2,,,,1.4,,,,,
2016-05-19,13.6,24.6,2.5,0.0,9.7,,,,0.8,,,,,
2016-05-20,13.4,23.0,5.3,1.5,8.8,,,,0.7,,,,,
2016-05-21,14.2,22.5,4.3,0.0,11.8,,,,1.4,,,,,
2016-05-22,14.1,26.0,1.7,0.0,13.2,,,,0.9,,,,,
2016-05-23,15.1,26.1,4.6,0.0,12.0,,,,0.8,,,,,
2016-05-24,15.8,24.2,4.5,0.0,9.8,,,,1.2,,,,,
2016-05-25,14.9,17.2,12.8,0.0,0.0,,,,1.3,,,,,
2016-05-26,17.1,22.4,13.6,2.0,0.8,,,,1.2,,,,,
2016-05-27,14.6,21.7,7.8,3.0,5.0,,,,1.2,,,,,
