calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,0.4,4.6,-2.2,3.5,5.1,,4,2,,,,,,
2016-01-02,0.7,3.2,-2.0,0.0,0.1,,0,0,0.5,,,,,
2016-01-03,2.1,11.4,-1.5,0.0,2.6,,0,0,0.4,,,,,
2016-01-04,4.5,12.5,-1.8,0.0,5.4,,0,0,1.2,,,,,
2016-01-05,3.6,9.7,-0.2,0.5,1.7,,0,0,0.8,,,,,
2016-01-06,3.9,8.2,1.8,0.0,1.4,,0,0,0.6,,,,,
2016-01-07,1.3,3.7,0.1,7.0,0.7,,0,0,0.7,,,,,
2016-01-08,1.2,3.2,0.0,7.5,0.1,,0,0,0.3,,,,,
2016-01-09,1.1,3.9,-0.1,5.5,1.7,,5,5,,,,,,
2016-01-10,1.5,4.4,0.1,5.0,0.2,,0,0,0.8,,,,,
2016-01-11,1.5,5.3,0.3,1.0,1.3,,0,0,0.8,,,,,
2016-01-12,0.4,2.8,-2.2,0.0,0.7,,0,0,1.3,,,,,
2016-01-13,0.1,5.2,-3.8,7.5,6.0,,12,12,0.6,,,,,
2016-01-14,-0.3,1.9,-1.1,18.0,0.0,,39,33,,,,,,
2016-01-15,-0.6,1.3,-2.2,4.5,0.0,,40,6,,,,,,
2016-01-16,0.2,4.7,-2.7,2.0,3.5,,28,3,0.6,,,,,
2016-01-17,-1.3,2.6,-6.4,1.5,2.2,,16,0,0.3,,,,,
2016-01-18,1.1,3.1,-0.4,43.0,0.0,,13,5,0.5,,,,,
2016-01-19,-3.5,-0.4,-5.3,29.0,0.0,,56,46,,,,,,
2016-01-20,-1.5,1.2,-5.2,26.0,0.0,,69,19,,,,,,
2016-01-21,-1.8,0.9,-4.2,2.5,0.8,,68,5,0.8,,,,,
2016-01-22,-3.6,-0.6,-5.9,0.0,0.1,,56,0,0.7,,,,,
2016-01-23,-3.1,1.5,-7.3,6.0,0.3,,64,16,0.4,,,,,
2016-01-24,-5.3,-1.8,-7.5,20.0,0.0,,82,22,,,,,,
2016-01-25,-4.8,-1.8,-7.6,17.5,0.0,,102,21,,,,,,
2016-01-26,-2.0,4.1,-6.5,0.0,6.8,,87,0,0.5,,,,,
2016-01-27,-0.3,4.2,-3.3,2.0,0.1,,74,2,0.5,,,,,
2016-01-28,0.6,7.4,-2.6,0.0,2.3,,67,0,0.3,,,,,
2016-01-29,1.0,2.3,0.0,42.5,0.0,,56,0,,,,,,
2016-01-30,0.8,3.2,-0.5,5.0,1.7,,49,2,0.5,,,,,
2016-01-31,1.9,6.5,-1.3,0.0,6.5,,45,0,0.8,,,,,
2016-02-01,0.1,2.0,-2.1,0.5,0.0,,42,4,1.6,,,,,
2016-02-02,-1.2,1.4,-3.5,0.0,0.2,,42,0,1.0,,,,,
2016-02-03,-1.5,2.5,-4.9,0.0,5.1,,40,1,0.8,,,,,
2016-02-04,-1.2,4.1,-7.2,0.0,2.1,,38,0,0.6,,,,,
2016-02-05,1.5,5.7,-0.8,0.0,2.5,,36,1,0.6,,,,,
2016-02-06,0.3,3.4,-1.4,8.0,1.6,,51,22,0.6,,,,,
2016-02-07,-2.6,0.7,-6.8,1.0,5.0,,48,6,0.8,,,,,
2016-02-08,-3.6,5.3,-11.0,0.0,7.8,,37,0,0.3,,,,,
2016-02-09,-0.5,1.6,-2.5,27.5,0.0,,72,36,0.8,,,,,
2016-02-10,-1.6,0.8,-4.8,7.5,0.7,,85,13,1.7,,,,,
2016-02-11,-3.1,5.3,-8.5,0.0,7.5,,71,0,0.2,,,,,
2016-02-12,2.5,10.8,-6.7,0.0,4.7,,62,0,1.0,,,,,
2016-02-13,3.9,9.2,2.0,6.5,0.0,,47,0,0.6,,,,,
2016-02-14,4.6,11.5,2.2,23.0,0.5,,40,0,0.8,,,,,
2016-02-15,-0.8,4.2,-3.8,2.5,0.0,,34,3,1.1,,,,,
2016-02-16,-1.9,1.5,-4.3,2.0,0.0,,39,6,,,,,,
2016-02-17,-1.8,0.6,-5.6,16.5,0.1,,71,35,,,,,,
2016-02-18,-2.4,6.8,-9.6,0.0,8.4,,62,1,,,,,,
2016-02-19,2.1,9.5,-5.2,0.0,7.7,,48,0,0.8,,,,,
2016-02-20,2.5,7.0,0.6,27.5,0.0,,38,0,0.6,,,,,
2016-02-21,0.5,3.1,-2.4,13.0,0.0,,40,7,0.9,,,,,
2016-02-22,0.6,4.3,-3.3,0.0,1.1,,39,0,0.5,,,,,
2016-02-23,2.8,8.5,-0.4,1.5,2.2,,34,3,0.7,,,,,
2016-02-24,-0.7,1.0,-2.3,0.0,6.0,,34,4,2.0,,,,,
2016-02-25,-0.8,3.0,-3.9,0.5,6.4,,32,6,1.1,,,,,
2016-02-26,-1.7,0.9,-4.2,10.5,0.6,,50,23,0.5,,,,,
2016-02-27,-0.9,4.6,-8.3,3.5,5.9,,49,1,,,,,,
2016-02-28,4.0,11.0,-4.0,0.0,8.7,,31,0,0.8,,,,,
2016-02-29,2.6,8.5,-4.0,18.0,0.1,,56,33,1.5,,,,,
2016-03-01,-3.5,-1.6,-5.2,10.5,0.1,,72,16,1.8,,,,,
2016-03-02,-1.3,3.3,-4.7,1.0,3.2,,61,4,0.7,,,,,
2016-03-03,-1.9,3.3,-7.0,0.0,0.1,,46,0,0.4,,,,,
2016-03-04,1.2,13.0,-5.2,0.0,9.0,,43,0,0.2,,,,,
2016-03-05,6.3,13.1,-1.6,0.0,4.6,,34,0,1.1,,,,,
2016-03-06,11.9,15.4,5.7,0.5,3.7,,25,0,2.6,,,,,
2016-03-07,7.2,16.1,2.6,1.0,3.3,,6,0,0.3,,,,,
2016-03-08,7.3,16.8,0.9,0.0,4.3,,0,0,0.8,,,,,
2016-03-09,2.6,6.8,0.1,15.5,0.0,,0,0,0.8,,,,,
2016-03-10,1.3,4.8,-0.1,0.5,0.2,,0,0,0.9,,,,,
2016-03-11,1.3,5.0,-1.9,0.0,5.5,,0,0,1.2,,,,,
2016-03-12,0.9,6.1,-3.4,0.0,7.4,,0,0,1.3,,,,,
2016-03-13,3.0,9.0,-2.8,0.5,2.4,,0,0,0.5,,,,,
2016-03-14,1.8,3.4,0.0,5.5,0.0,,0,0,,,,,,
2016-03-15,1.8,4.9,-2.3,0.5,6.3,,0,0,2.1,,,,,
