calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,1.0,6.6,-3.3,0.0,8.8,,,,1.4,4.9,960.7,76,1029.8,
2016-01-02,1.3,9.6,-4.3,0.0,5.0,,,,1.1,5.3,958.0,80,1026.8,
2016-01-03,2.1,11.2,-1.4,,5.0,,,,1.0,6.2,953.6,88,1021.8,
2016-01-04,2.7,11.1,-1.8,,3.2,,,,1.2,6.1,951.7,85,1019.7,
2016-01-05,2.8,10.1,-2.3,0.0,3.1,,,,1.5,5.7,953.6,79,1021.7,
2016-01-06,3.2,8.1,0.6,,1.1,,,,0.9,6.2,952.0,81,1019.8,
2016-01-07,1.5,5.2,-0.4,2.0,1.3,,,,1.3,5.8,948.9,86,1017.1,
2016-01-08,2.2,5.8,0.0,0.0,0.6,,,,1.5,5.7,948.7,82,1016.6,
2016-01-09,1.9,7.0,-0.5,0.5,5.5,,,,1.2,5.5,951.9,80,1020.1,
2016-01-10,1.6,5.1,0.0,0.0,1.5,,,,1.1,6.2,953.3,90,1021.7,
2016-01-11,2.2,6.5,0.6,0.0,1.9,,,,1.1,6.1,951.7,85,1019.9,
2016-01-12,0.4,3.5,-3.5,0.0,0.9,,,,2.3,4.6,948.7,73,1017.1,
2016-01-13,-0.2,5.6,-5.2,0.0,2.8,,,,1.7,4.4,947.2,76,1015.7,
2016-01-14,0.2,5.0,-3.6,0.0,2.4,,,,1.5,5.1,947.5,83,1015.9,
2016-01-15,0.0,6.0,-3.6,0.0,5.1,,,,1.4,4.7,950.5,79,1019.1,
2016-01-16,0.4,6.4,-2.5,0.0,5.8,,,,1.5,4.6,953.2,75,1021.9,
2016-01-17,-0.1,3.6,-3.4,0.0,0.8,,,,1.1,4.6,953.1,76,1022.0,
2016-01-18,0.5,1.8,-0.7,25.5,0.0,,2,4,0.6,6.3,933.3,99,1000.5,
2016-01-19,-2.6,0.7,-5.1,1.0,1.9,,5,7,3.0,3.9,937.7,78,1006.1,
2016-01-20,-2.9,0.4,-5.4,22.5,0.3,,34,30,1.5,4.6,946.2,92,1015.3,
2016-01-21,-2.1,1.8,-4.9,0.0,2.1,,31,2,1.1,4.5,953.0,86,1022.4,
2016-01-22,-3.5,1.2,-8.1,0.0,4.1,,22,,1.5,3.8,955.2,81,1025.1,
2016-01-23,-4.5,0.3,-9.1,0.0,0.1,,17,,1.0,3.8,950.6,86,1020.4,
2016-01-24,-4.7,-2.2,-7.8,0.5,3.0,,17,3,2.6,3.2,941.7,74,1010.9,
2016-01-25,-5.6,-0.4,-8.3,6.0,2.7,,25,10,0.9,3.5,952.1,86,1022.4,
2016-01-26,-3.6,4.4,-8.4,0.0,7.6,,21,,1.2,3.7,956.7,79,1026.7,
2016-01-27,-0.9,6.4,-4.4,0.0,6.6,,17,,0.9,4.7,959.6,84,1029.2,
2016-01-28,-0.1,6.4,-5.3,0.0,3.2,,13,,0.8,5.1,960.9,85,1030.3,
2016-01-29,1.6,2.9,0.6,35.5,0.0,,9,,0.5,6.8,954.4,99,1022.9,
2016-01-30,1.1,3.8,-2.6,10.0,0.8,,5,3,1.7,5.7,953.0,87,1021.6,
