calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-1.1,3.9,-4.5,1.0,7.1,,,,1.1,,,,,
2016-01-02,0.7,7.0,-3.7,0.0,1.9,,,,0.5,,,,,
2016-01-03,2.7,11.7,-1.3,0.0,6.0,,,,0.6,,,,,
2016-01-04,3.4,11.7,-2.3,0.0,4.6,,,,1.0,,,,,
2016-01-05,2.5,7.9,-2.5,0.0,0.4,,,,1.2,,,,,
2016-01-06,2.6,6.9,-0.6,0.0,0.7,,,,0.8,,,,,
2016-01-07,0.2,1.9,-1.3,1.0,0.0,,,,1.1,,,,,
2016-01-08,0.3,2.7,-1.2,0.5,0.0,,,,0.6,,,,,
2016-01-09,0.1,5.0,-1.7,0.0,3.9,,,,1.0,,,,,
2016-01-10,-0.1,2.9,-1.9,1.5,0.7,,,,0.7,,,,,
2016-01-11,0.2,3.2,-1.1,0.5,0.1,,,,0.9,,,,,
2016-01-12,-1.7,0.5,-4.3,0.0,0.6,,,,1.7,,,,,
2016-01-13,-1.5,2.8,-6.0,1.5,1.4,,,,0.8,,,,,
2016-01-14,-1.3,-0.1,-2.4,2.0,0.0,,,,,,,,,
2016-01-15,-1.7,2.2,-4.0,0.0,3.2,,,,,,,,,
2016-01-16,-1.0,3.8,-3.4,0.0,4.9,,,,0.9,,,,,
2016-01-17,-1.8,3.0,-6.7,0.0,3.0,,,,0.9,,,,,
2016-01-18,1.1,5.7,-1.0,17.5,0.0,,,,2.5,,,,,
2016-01-19,-4.4,0.0,-6.6,3.5,0.0,,,,1.7,,,,,
2016-01-20,-4.2,-1.3,-7.0,17.0,0.0,,,,1.7,,,,,
2016-01-21,-3.8,-0.2,-6.4,0.5,4.4,,,,1.0,,,,,
2016-01-22,-5.8,-1.0,-9.8,0.0,3.1,,,,1.1,,,,,
2016-01-23,-4.9,-1.5,-10.5,0.0,0.0,,,,0.7,,,,,
2016-01-24,-6.6,-2.9,-9.6,2.5,0.0,,,,1.9,,,,,
2016-01-25,-7.2,-1.8,-10.4,5.0,2.0,,,,,,,,,
2016-01-26,-4.4,2.2,-10.8,0.0,6.8,,,,0.8,,,,,
2016-01-27,-1.2,4.8,-4.6,0.0,6.0,,,,0.9,,,,,
2016-01-28,0.1,4.5,-5.0,0.0,1.8,,,,0.7,,,,,
2016-01-29,0.9,2.2,0.0,50.0,0.0,,,,0.5,,,,,
2016-01-30,-0.5,0.7,-2.4,13.0,0.0,,,,1.0,,,,,
2016-01-31,-0.6,3.9,-4.8,0.0,6.8,,,,0.6,,,,,
2016-02-01,-1.9,-0.1,-3.2,0.5,0.0,,,,1.7,,,,,
2016-02-02,-3.1,2.1,-6.6,0.0,3.0,,,,1.3,,,,,
2016-02-03,-4.5,1.8,-9.9,0.0,8.1,,,,0.9,,,,,
2016-02-04,-2.6,2.8,-9.0,0.0,3.3,,,,0.8,,,,,
2016-02-05,-0.5,5.4,-4.3,0.0,7.7,,,,0.9,,,,,
2016-02-06,-0.9,2.7,-3.1,0.0,1.3,,,,1.1,,,,,
2016-02-07,-3.5,0.8,-8.4,0.0,6.9,,,,1.6,,,,,
2016-02-08,-3.9,4.8,-11.0,0.0,8.2,,,,0.8,,,,,
2016-02-09,-1.3,0.8,-3.8,6.0,0.3,,,,2.3,,,,,
2016-02-10,-4.1,-0.6,-8.8,3.0,3.8,,,,2.3,,,,,
2016-02-11,-3.9,3.9,-10.7,0.0,8.5,,,,0.7,,,,,
2016-02-12,1.0,7.1,-4.9,0.0,2.4,,,,0.7,,,,,
2016-02-13,3.6,5.6,1.8,14.0,0.0,,,,0.8,,,,,
2016-02-14,5.7,8.9,3.5,48.0,0.0,,,,1.0,,,,,
2016-02-15,-1.4,3.6,-5.3,4.5,1.0,,,,2.4,,,,,
2016-02-16,-2.7,2.2,-7.5,0.0,4.0,,,,1.3,,,,,
2016-02-17,-2.6,1.2,-7.2,0.5,1.6,,,,1.7,,,,,
2016-02-18,-2.0,7.0,-8.6,0.0,9.0,,,,0.9,,,,,
2016-02-19,2.3,9.1,-3.2,0.0,3.3,,,,1.0,,,,,
2016-02-20,2.7,8.0,0.2,19.5,0.0,,,,1.0,,,,,
2016-02-21,1.1,3.7,-3.3,0.5,3.1,,,,2.2,,,,,
2016-02-22,0.7,6.7,-4.0,0.0,4.3,,,,0.9,,,,,
2016-02-23,2.8,6.5,-1.2,0.0,1.7,,,,1.2,,,,,
2016-02-24,-1.9,2.1,-4.9,0.0,6.7,,,,2.5,,,,,
2016-02-25,-2.1,2.9,-6.6,0.0,8.4,,,,1.6,,,,,
2016-02-26,-2.3,0.9,-5.3,0.5,1.9,,,,1.3,,,,,
2016-02-27,-1.1,4.7,-7.5,0.5,3.4,,,,1.0,,,,,
2016-02-28,2.5,11.0,-3.4,0.0,9.3,,,,1.0,,,,,
2016-02-29,0.9,6.9,-5.1,12.5,0.0,,,,1.1,,,,,
2016-03-01,-5.0,-1.8,-7.8,4.0,4.1,,,,,,,,,
2016-03-02,-2.4,2.3,-6.7,0.0,5.2,,,,1.2,,,,,
2016-03-03,-0.9,3.7,-5.1,0.0,2.4,,,,0.6,,,,,
2016-03-04,2.7,13.3,-3.4,0.0,9.7,,,,0.9,,,,,
2016-03-05,3.4,9.2,-0.3,0.0,0.1,,,,0.5,,,,,
2016-03-06,8.1,16.2,0.5,0.0,3.6,,,,1.1,,,,,
2016-03-07,8.7,14.5,4.8,1.0,0.2,,,,0.6,,,,,
2016-03-08,9.2,18.1,3.2,0.0,5.3,,,,1.1,,,,,
2016-03-09,2.3,6.2,-1.2,26.5,0.0,,,,1.0,,,,,
2016-03-10,-0.2,3.2,-2.0,1.0,0.1,,,,,,,,,
2016-03-11,0.3,6.1,-2.8,0.0,8.6,,,,1.5,,,,,
2016-03-12,-0.4,7.3,-6.0,0.0,8.1,,,,1.3,,,,,
2016-03-13,1.7,7.6,-4.8,0.0,1.2,,,,0.9,,,,,
2016-03-14,-0.1,1.1,-1.9,14.0,0.0,,,,,,,,,
2016-03-15,-0.5,2.7,-3.4,2.0,4.5,,,,1.6,,,,,
2016-03-16,1.5,10.0,-5.2,0.0,8.2,,,,0.8,,,,,
2016-03-17,6.1,17.6,-2.3,0.0,10.3,,,,1.0,,,,,
2016-03-18,7.5,15.8,0.7,6.0,5.2,,,,1.2,,,,,
2016-03-19,8.1,12.4,5.3,21.0,0.1,,,,1.0,,,,,
2016-03-20,3.6,6.1,1.1,0.0,0.5,,,,1.9,,,,,
2016-03-21,1.4,7.4,-2.8,0.0,7.2,,,,1.9,,,,,
2016-03-22,4.3,14.3,-4.1,0.0,10.4,,,,1.2,,,,,
2016-03-23,3.9,10.6,-0.1,2.0,2.9,,,,1.4,,,,,
2016-03-24,0.7,5.5,-3.2,1.0,5.7,,,,,,,,,
2016-03-25,-0.1,5.9,-3.7,0.0,8.1,,,,2.0,,,,,
2016-03-26,1.3,10.3,-4.1,0.0,10.9,,,,1.6,,,,,
2016-03-27,3.9,12.9,-3.2,0.0,7.1,,,,1.2,,,,,
2016-03-28,4.5,12.7,-1.1,3.0,6.5,,,,1.0,,,,,
2016-03-29,6.9,16.1,-0.6,0.0,9.0,,,,1.0,,,,,
2016-03-30,7.5,14.4,1.3,2.0,3.3,,,,1.2,,,,,
2016-03-31,6.9,16.4,-1.2,0.0,10.3,,,,1.2,,,,,
2016-04-01,9.6,19.2,1.9,0.0,6.5,,,,1.3,,,,,
2016-04-02,11.6,20.8,3.2,0.0,8.9,,,,1.2,,,,,
2016-04-03,11.4,16.3,9.0,0.0,0.5,,,,0.9,,,,,
2016-04-04,8.7,12.6,5.4,25.0,0.0,,,,0.8,,,,,
2016-04-05,7.9,16.2,1.9,0.5,5.5,,,,1.3,,,,,
2016-04-06,8.8,18.2,0.3,0.0,8.5,,,,1.3,,,,,
2016-04-07,8.7,13.5,5.8,37.0,0.0,,,,0.9,,,,,
2016-04-08,9.5,14.9,2.8,0.0,4.4,,,,1.3,,,,,
2016-04-09,10.4,20.5,1.7,0.0,10.9,,,,1.3,,,,,
2016-04-10,10.4,17.6,4.6,0.0,2.9,,,,1.1,,,,,
2016-04-11,2.8,7.4,-1.9,1.0,8.2,,,,2.8,,,,,
2016-04-12,5.9,16.5,-3.6,0.0,9.6,,,,1.2,,,,,
2016-04-13,9.9,16.1,5.9,7.5,0.3,,,,0.9,,,,,
2016-04-14,13.3,20.7,8.4,11.0,10.0,,,,2.0,,,,,
2016-04-15,8.1,13.8,1.5,0.0,10.7,,,,2.6,,,,,
2016-04-16,10.3,21.8,-0.4,0.0,10.3,,,,1.2,,,,,
2016-04-17,13.4,20.9,7.9,3.5,3.8,,,,1.8,,,,,
2016-04-18,8.9,12.4,4.8,0.0,0.7,,,,1.1,,,,,
2016-04-19,7.4,15.7,-0.6,0.0,9.2,,,,1.6,,,,,
2016-04-20,8.7,18.3,-0.6,0.0,9.6,,,,1.3,,,,,
2016-04-21,10.0,13.8,5.7,16.5,1.2,,,,0.6,,,,,
2016-04-22,12.9,18.8,8.3,5.5,7.9,,,,1.8,,,,,
2016-04-23,14.0,22.9,6.2,4.0,6.2,,,,1.1,,,,,
2016-04-24,10.6,16.2,7.1,4.0,1.4,,,,1.0,,,,,
2016-04-25,12.8,22.3,5.2,0.0,7.0,,,,1.2,,,,,
2016-04-26,14.5,24.5,6.0,0.0,10.8,,,,1.5,,,,,
