calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,5.9,10.7,0.2,0.0,9.3,,,,3.9,,,,,
2016-01-02,4.7,12.3,-1.5,0.0,7.2,,,,1.2,,,,,
2016-01-03,7.3,17.7,-1.5,0.0,9.0,,,,1.1,,,,,
2016-01-04,9.1,15.4,0.7,0.0,9.1,,,,1.7,,,,,
2016-01-05,10.8,16.4,6.3,0.0,6.4,,,,2.2,,,,,
2016-01-06,6.8,10.3,3.2,0.0,1.9,,,,1.1,,,,,
2016-01-07,6.3,11.2,1.9,0.0,6.6,,,,3.7,,,,,
2016-01-08,3.9,10.5,-1.9,0.0,8.8,,,,1.3,,,,,
2016-01-09,6.2,11.5,1.1,0.0,9.0,,,,2.6,,,,,
2016-01-10,6.9,14.7,0.6,0.0,9.2,,,,2.6,,,,,
2016-01-11,6.1,11.2,2.0,0.0,8.8,,,,2.4,,,,,
2016-01-12,3.1,6.0,0.3,0.0,0.1,,,,2.0,,,,,
2016-01-13,2.0,8.4,-4.7,0.0,9.4,,,,1.6,,,,,
2016-01-14,5.0,12.8,-2.2,0.0,7.7,,,,2.0,,,,,
2016-01-15,3.8,10.8,-3.2,0.0,6.5,,,,1.6,,,,,
2016-01-16,4.9,11.6,-2.0,0.0,9.2,,,,2.4,,,,,
2016-01-17,3.9,8.2,-2.2,2.0,4.6,,,,1.4,,,,,
2016-01-18,2.5,8.4,0.2,44.0,1.0,,,,2.2,,,,,
2016-01-19,3.5,6.8,-0.5,0.0,9.4,,,,4.2,,,,,
2016-01-20,0.6,5.7,-4.6,3.5,4.9,,,,3.6,,,,,
2016-01-21,3.3,6.2,0.2,0.0,6.5,,,,3.9,,,,,
2016-01-22,3.1,7.5,0.3,0.0,9.4,,,,3.8,,,,,
2016-01-23,2.3,5.9,-0.2,0.0,4.9,,,,2.9,,,,,
2016-01-24,1.1,5.6,-2.8,0.0,9.6,,,,4.7,,,,,
2016-01-25,1.4,6.9,-2.9,0.0,8.9,,,,3.4,,,,,
2016-01-26,2.5,9.4,-2.6,0.0,9.9,,,,2.1,,,,,
2016-01-27,5.4,12.9,-1.9,0.0,9.9,,,,2.7,,,,,
2016-01-28,7.0,14.2,1.7,0.0,9.7,,,,3.0,,,,,
2016-01-29,4.4,6.0,0.3,13.0,0.0,,,,1.4,,,,,
2016-01-30,2.9,5.8,0.4,3.5,0.0,,,,,,,,,
2016-01-31,5.8,11.1,1.9,0.0,9.8,,,,2.4,,,,,
2016-02-01,5.0,10.0,1.2,0.0,3.3,,,,3.4,,,,,
2016-02-02,3.9,9.5,0.7,0.0,8.5,,,,4.2,,,,,
2016-02-03,4.2,9.4,0.0,0.0,9.5,,,,3.2,,,,,
2016-02-04,3.4,10.4,-2.0,0.0,10.1,,,,1.6,,,,,
2016-02-05,5.8,12.9,-0.3,0.0,9.3,,,,2.1,,,,,
2016-02-06,5.9,11.2,1.7,4.5,5.9,,,,1.6,,,,,
2016-02-07,3.7,7.4,0.9,0.0,10.2,,,,4.5,,,,,
2016-02-08,3.0,8.1,-1.4,0.0,6.8,,,,1.3,,,,,
2016-02-09,4.2,11.6,-1.7,0.0,7.3,,,,2.7,,,,,
2016-02-10,3.7,8.8,0.3,0.0,9.7,,,,4.8,,,,,
2016-02-11,5.2,12.2,0.5,0.0,10.2,,,,3.4,,,,,
2016-02-12,5.0,11.8,-3.0,0.0,9.3,,,,1.0,,,,,
2016-02-13,10.0,16.2,4.0,0.0,3.5,,,,0.9,,,,,
2016-02-14,14.2,23.1,8.6,2.0,5.7,,,,3.5,,,,,
2016-02-15,6.4,13.1,0.7,0.0,0.9,,,,6.2,,,,,
2016-02-16,3.9,10.0,-0.7,0.0,9.9,,,,2.4,,,,,
2016-02-17,4.3,10.4,1.3,0.0,6.5,,,,4.1,,,,,
2016-02-18,3.8,10.4,-3.1,0.0,10.4,,,,1.6,,,,,
2016-02-19,8.4,17.9,-0.7,0.0,10.1,,,,2.0,,,,,
2016-02-20,6.9,9.5,4.5,10.0,0.0,,,,1.3,,,,,
2016-02-21,9.0,13.1,4.6,0.0,9.7,,,,6.7,,,,,
2016-02-22,6.5,11.3,2.7,0.0,6.9,,,,3.2,,,,,
2016-02-23,6.8,11.8,3.1,0.0,6.9,,,,1.5,,,,,
2016-02-24,5.5,9.6,0.1,2.0,7.3,,,,5.4,,,,,
2016-02-25,2.9,9.2,-2.2,0.0,8.3,,,,1.8,,,,,
2016-02-26,4.7,11.8,-2.3,0.0,7.7,,,,1.9,,,,,
2016-02-27,6.5,12.7,0.5,0.0,9.8,,,,2.4,,,,,
2016-02-28,8.3,15.2,2.1,0.0,9.3,,,,2.9,,,,,
2016-02-29,7.5,14.8,2.8,0.0,3.8,,,,3.9,,,,,
2016-03-01,3.2,7.2,0.2,0.0,11.0,,,,6.3,,,,,
2016-03-02,5.0,11.9,-1.3,0.0,11.0,,,,2.9,,,,,
2016-03-03,8.1,17.5,-2.0,0.0,10.7,,,,3.1,,,,,
2016-03-04,8.9,15.6,2.3,0.0,9.8,,,,2.6,,,,,
2016-03-05,9.1,13.7,4.2,0.0,2.4,,,,1.9,,,,,
2016-03-06,11.9,16.2,7.6,0.0,4.8,,,,1.1,,,,,
2016-03-07,12.4,13.7,10.4,2.5,0.0,,,,0.8,,,,,
2016-03-08,15.6,21.0,9.6,0.0,9.3,,,,2.3,,,,,
2016-03-09,8.3,14.2,3.8,15.0,0.0,,,,3.1,,,,,
2016-03-10,6.7,12.1,2.5,4.5,5.9,,,,2.6,,,,,
2016-03-11,4.7,8.5,2.2,2.5,0.9,,,,1.8,,,,,
2016-03-12,5.1,8.3,2.6,0.5,1.1,,,,1.5,,,,,
2016-03-13,6.3,9.3,4.4,0.0,0.4,,,,1.0,,,,,
2016-03-14,5.1,6.6,4.2,15.5,0.0,,,,1.2,,,,,
2016-03-15,6.4,10.8,2.8,0.0,11.4,,,,5.2,,,,,
2016-03-16,6.5,12.5,-0.9,0.0,7.1,,,,1.4,,,,,
2016-03-17,12.8,22.7,2.1,0.0,11.2,,,,2.1,,,,,
2016-03-18,13.0,18.8,4.1,0.0,6.1,,,,1.1,,,,,
2016-03-19,14.6,19.6,11.2,0.5,2.8,,,,2.9,,,,,
2016-03-20,11.8,15.9,8.5,0.0,11.3,,,,7.5,,,,,
2016-03-21,9.0,14.9,4.4,0.0,9.7,,,,5.0,,,,,
2016-03-22,8.8,16.5,-0.1,0.0,11.5,,,,1.6,,,,,
2016-03-23,10.5,16.6,4.9,2.0,2.7,,,,3.3,,,,,
2016-03-24,6.6,12.1,3.4,0.5,6.1,,,,3.1,,,,,
2016-03-25,6.5,11.1,2.2,0.0,9.2,,,,4.3,,,,,
2016-03-26,8.3,15.6,1.6,0.0,10.8,,,,2.9,,,,,
2016-03-27,10.0,14.7,6.9,0.0,3.8,,,,1.7,,,,,
2016-03-28,11.8,18.4,8.2,6.5,6.5,,,,1.8,,,,,
2016-03-29,12.7,19.4,6.7,0.0,9.4,,,,2.8,,,,,
2016-03-30,14.2,20.2,7.4,0.0,10.5,,,,2.2,,,,,
2016-03-31,14.8,22.1,7.1,0.0,10.7,,,,2.2,,,,,
2016-04-01,13.1,20.6,8.0,0.0,6.1,,,,2.9,,,,,
2016-04-02,11.2,13.5,9.4,0.0,0.0,,,,1.5,,,,,
2016-04-03,14.6,19.9,8.3,0.0,5.8,,,,1.8,,,,,
2016-04-04,15.6,23.2,10.1,4.0,2.3,,,,2.0,,,,,
2016-04-05,10.0,12.3,7.7,1.5,0.0,,,,2.0,,,,,
2016-04-06,14.4,23.2,5.2,0.0,9.3,,,,2.4,,,,,
2016-04-07,11.9,16.9,9.7,13.0,0.0,,,,1.5,,,,,
2016-04-08,17.2,22.8,11.3,0.0,5.0,,,,3.8,,,,,
2016-04-09,15.4,24.8,6.9,0.0,9.7,,,,2.0,,,,,
2016-04-10,16.4,23.4,10.4,0.0,0.9,,,,1.9,,,,,
2016-04-11,9.9,13.8,5.3,0.0,10.0,,,,6.1,,,,,
2016-04-12,9.9,16.0,3.8,0.0,11.2,,,,2.7,,,,,
2016-04-13,14.0,20.4,8.1,0.5,7.1,,,,2.0,,,,,
2016-04-14,17.2,22.3,13.1,2.5,5.8,,,,1.9,,,,,
2016-04-15,14.4,18.1,9.9,0.0,12.3,,,,6.7,,,,,
2016-04-16,13.5,19.4,4.7,0.0,9.4,,,,1.6,,,,,
2016-04-17,20.3,29.0,12.3,0.0,5.4,,,,2.8,,,,,
2016-04-18,18.0,24.3,13.1,0.0,4.4,,,,2.3,,,,,
2016-04-19,15.9,24.2,10.4,0.0,10.1,,,,3.3,,,,,
2016-04-20,14.8,20.9,9.0,0.0,12.2,,,,2.9,,,,,
2016-04-21,13.6,16.9,10.4,4.5,0.2,,,,1.1,,,,,
2016-04-22,17.7,26.6,12.2,0.0,9.5,,,,2.8,,,,,
2016-04-23,18.2,23.5,13.7,0.0,6.8,,,,1.4,,,,,
2016-04-24,16.7,20.2,14.6,13.0,2.9,,,,2.3,,,,,
2016-04-25,17.9,23.3,13.4,0.0,5.8,,,,1.7,,,,,
2016-04-26,19.5,27.1,12.2,0.0,11.8,,,,1.8,,,,,
2016-04-27,17.0,20.3,13.2,0.0,0.1,,,,2.0,,,,,
2016-04-28,14.6,16.1,13.1,23.5,0.0,,,,2.0,,,,,
2016-04-29,14.1,18.1,10.3,0.0,11.1,,,,6.0,,,,,
2016-04-30,15.6,23.1,8.0,0.0,10.1,,,,1.9,,,,,
2016-05-01,18.5,26.9,10.0,0.0,9.7,,,,1.6,,,,,
2016-05-02,16.0,18.8,13.2,0.0,0.0,,,,1.5,,,,,
2016-05-03,20.0,25.7,16.2,0.0,0.9,,,,2.4,,,,,
2016-05-04,22.7,30.5,17.4,1.5,8.1,,,,4.7,,,,,
2016-05-05,20.3,28.2,12.4,0.0,12.9,,,,3.9,,,,,
2016-05-06,17.8,21.8,12.1,0.0,3.3,,,,2.1,,,,,
2016-05-07,20.9,28.8,14.5,0.0,10.7,,,,2.3,,,,,
2016-05-08,21.1,26.9,16.5,0.0,11.1,,,,4.0,,,,,
2016-05-09,18.1,22.5,14.9,5.5,0.3,,,,2.1,,,,,
