calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-3.7,-0.4,-6.4,0.0,3.7,,9,8,1.4,,,,,
2016-01-02,0.4,6.2,-7.0,0.0,5.2,,8,1,0.5,,,,,
2016-01-03,3.9,9.2,0.1,0.0,7.7,,7,3,0.7,,,,,
2016-01-04,3.7,9.7,-1.1,0.0,7.8,,5,2,1.1,,,,,
2016-01-05,1.6,6.0,-1.0,0.0,7.6,,3,0,1.4,,,,,
2016-01-06,-0.6,2.4,-2.3,0.0,0.8,,2,6,0.5,,,,,
2016-01-07,-2.2,-0.2,-4.8,0.0,5.5,,3,3,1.6,,,,,
2016-01-08,-1.7,3.4,-6.1,0.0,5.2,,3,2,0.6,,,,,
2016-01-09,-2.5,1.5,-5.5,0.0,6.9,,3,3,1.0,,,,,
2016-01-10,-1.3,2.9,-5.8,0.0,8.0,,3,1,1.3,,,,,
2016-01-11,-2.4,0.9,-4.9,0.0,7.4,,5,4,0.9,,,,,
2016-01-12,-4.6,0.7,-7.6,0.0,5.9,,6,3,0.8,,,,,
2016-01-13,-3.6,2.0,-7.8,0.0,7.6,,3,2,0.8,,,,,
2016-01-14,-2.8,1.4,-5.7,0.0,7.4,,4,3,0.7,,,,,
2016-01-15,-3.6,0.0,-6.6,0.0,5.1,,3,4,0.6,,,,,
2016-01-16,-4.6,-1.1,-7.9,0.0,5.0,,4,2,0.8,,,,,
2016-01-17,-3.5,0.5,-7.4,2.5,3.9,,11,11,0.4,,,,,
2016-01-18,-1.6,2.4,-5.0,35.5,0.3,,44,34,,,,,,
2016-01-19,-6.5,-1.4,-10.7,0.0,3.4,,40,2,1.7,,,,,
2016-01-20,-7.4,-4.4,-12.4,26.5,0.0,,73,41,2.7,,,,,
2016-01-21,-5.9,-2.5,-8.6,0.5,3.3,,69,3,1.7,,,,,
2016-01-22,-6.3,-3.1,-9.6,0.0,7.9,,58,0,1.5,,,,,
2016-01-23,-6.5,-2.8,-9.8,4.0,2.8,,61,12,0.4,,,,,
2016-01-24,-8.6,-5.5,-12.2,2.5,2.6,,60,6,1.9,,,,,
2016-01-25,-8.7,-5.8,-11.9,0.0,5.5,,58,3,1.7,,,,,
2016-01-26,-5.8,0.4,-11.5,0.0,8.4,,53,1,0.5,,,,,
2016-01-27,-2.3,2.5,-8.0,0.0,8.1,,51,1,0.8,,,,,
2016-01-28,-1.1,5.4,-5.7,0.0,8.0,,49,2,0.5,,,,,
2016-01-29,-1.6,-0.4,-3.2,22.5,0.0,,66,21,,,,,,
2016-01-30,-2.6,0.8,-5.8,5.5,0.5,,67,4,,,,,,
2016-01-31,-2.5,1.6,-6.2,0.0,7.8,,63,3,1.0,,,,,
2016-02-01,-4.3,0.2,-8.6,0.0,3.0,,60,2,0.6,,,,,
2016-02-02,-6.3,-3.1,-9.6,0.0,4.6,,59,3,1.0,,,,,
2016-02-03,-5.7,-0.8,-9.8,0.0,8.2,,58,5,1.2,,,,,
2016-02-04,-4.7,1.6,-10.6,0.0,8.2,,58,4,0.5,,,,,
2016-02-05,-2.1,3.2,-6.4,0.0,8.2,,57,2,0.6,,,,,
2016-02-06,-3.4,1.9,-8.3,0.0,7.9,,55,1,0.9,,,,,
2016-02-07,-7.5,-4.8,-11.2,0.0,7.0,,53,2,1.4,,,,,
2016-02-08,-6.6,-1.8,-11.1,0.0,4.3,,53,4,0.5,,,,,
2016-02-09,-4.1,-0.9,-8.3,6.0,2.4,,70,24,1.5,,,,,
2016-02-10,-6.5,-4.8,-8.2,2.5,4.9,,73,5,3.0,,,,,
2016-02-11,-3.0,3.9,-8.1,0.0,8.7,,66,2,0.7,,,,,
2016-02-12,-0.2,5.7,-6.2,0.0,8.4,,60,1,0.4,,,,,
2016-02-13,6.3,10.9,1.7,0.0,3.7,,57,2,0.8,,,,,
2016-02-14,8.3,15.5,3.5,20.0,3.3,,48,1,1.0,,,,,
2016-02-15,-3.9,5.4,-8.4,0.0,2.6,,38,1,3.2,,,,,
2016-02-16,-5.6,-1.0,-10.3,0.0,4.8,,37,2,0.8,,,,,
2016-02-17,-6.0,-3.2,-9.4,0.5,3.2,,41,4,1.1,,,,,
2016-02-18,-4.3,2.1,-10.9,0.0,9.2,,40,7,0.6,,,,,
2016-02-19,1.3,6.0,-6.0,0.0,9.2,,38,4,0.9,,,,,
2016-02-20,1.2,4.4,-0.4,12.0,0.0,,39,4,0.4,,,,,
2016-02-21,-0.7,6.1,-6.1,0.0,7.1,,37,0,2.0,,,,,
2016-02-22,-2.2,3.3,-6.2,0.0,8.6,,36,1,0.9,,,,,
2016-02-23,0.0,4.5,-4.0,0.0,4.2,,35,2,0.6,,,,,
2016-02-24,-5.3,-1.9,-8.2,0.0,5.2,,34,3,2.1,,,,,
2016-02-25,-6.6,-2.8,-9.3,0.0,6.2,,33,2,0.8,,,,,
2016-02-26,-4.6,0.1,-8.4,0.0,8.7,,34,2,0.8,,,,,
2016-02-27,-2.4,3.2,-8.2,0.0,6.6,,33,1,0.7,,,,,
2016-02-28,0.8,7.0,-3.5,0.5,9.0,,33,6,1.2,,,,,
2016-02-29,-1.9,4.1,-8.2,4.0,1.2,,34,8,1.7,,,,,
2016-03-01,-8.2,-4.4,-10.6,1.5,5.3,,38,10,2.2,,,,,
2016-03-02,-4.6,0.0,-10.6,0.0,7.6,,35,4,0.9,,,,,
2016-03-03,0.1,5.5,-6.2,0.0,9.6,,34,2,1.2,,,,,
2016-03-04,2.3,8.5,-2.4,0.0,9.6,,32,4,0.6,,,,,
2016-03-05,2.9,8.7,-2.2,0.0,6.8,,28,5,0.4,,,,,
2016-03-06,5.6,11.1,1.2,0.0,6.2,,26,2,0.5,,,,,
2016-03-07,7.3,10.1,4.5,0.0,0.1,,22,7,0.3,,,,,
2016-03-08,8.7,15.4,2.8,0.0,9.3,,19,1,0.8,,,,,
2016-03-09,1.2,4.6,-0.9,23.5,0.0,,21,10,,,,,,
2016-03-10,-2.3,0.6,-3.9,3.5,4.0,,23,9,,,,,,
2016-03-11,-3.9,0.3,-6.4,0.5,0.9,,22,6,,,,,,
2016-03-12,-4.3,-2.3,-5.7,1.5,0.0,,22,7,0.3,,,,,
2016-03-13,-2.6,-0.1,-4.3,0.5,1.1,,22,1,0.4,,,,,
2016-03-14,-1.8,-0.3,-5.1,13.0,0.0,,32,12,,,,,,
2016-03-15,-3.6,-1.0,-7.5,0.0,6.9,,32,6,,,,,,
2016-03-16,0.3,5.7,-7.3,0.0,7.3,,26,3,0.5,,,,,
2016-03-17,6.0,13.2,-0.4,0.0,10.2,,24,4,0.8,,,,,
2016-03-18,6.5,12.7,0.9,0.5,6.2,,19,8,0.6,,,,,
2016-03-19,6.6,13.4,3.4,3.5,4.3,,18,9,1.4,,,,,
2016-03-20,1.0,4.4,-3.8,0.0,9.0,,,,2.3,,,,,
2016-03-21,-1.4,3.8,-5.4,0.0,10.3,,,,1.7,,,,,
2016-03-22,1.9,10.4,-5.6,0.0,10.3,,,,0.8,,,,,
2016-03-23,1.8,6.0,-2.5,2.5,2.1,,,,0.8,,,,,
2016-03-24,-2.3,0.9,-4.2,1.0,7.2,,,,,,,,,
2016-03-25,-4.0,0.5,-8.2,0.0,5.7,,,,1.4,,,,,
2016-03-26,-0.9,7.3,-8.8,0.0,9.5,,,,0.6,,,,,
2016-03-27,1.1,7.4,-2.2,0.0,3.2,,,,0.5,,,,,
2016-03-28,1.8,6.1,-1.9,0.5,3.1,,,,0.6,,,,,
2016-03-29,4.5,11.6,-1.8,0.0,8.3,,,,0.7,,,,,
2016-03-30,6.2,14.2,-0.4,1.0,7.4,,,,1.3,,,,,
2016-03-31,5.8,12.2,-0.5,0.0,10.3,,,,1.2,,,,,
2016-04-01,6.3,13.7,1.9,0.0,7.1,,,,0.8,,,,,
2016-04-02,4.2,10.8,0.3,0.0,2.0,,,,0.6,,,,,
2016-04-03,7.9,14.3,0.9,0.0,5.5,,,,0.6,,,,,
2016-04-04,9.3,14.3,6.2,9.5,1.5,,,,0.5,,,,,
2016-04-05,4.0,6.3,0.3,2.0,0.0,,,,0.5,,,,,
2016-04-06,7.7,14.6,1.3,0.0,9.8,,,,1.4,,,,,
2016-04-07,7.1,15.8,2.0,29.5,0.0,,0,0,0.5,,,,,
2016-04-08,8.5,14.0,3.4,0.0,6.0,,0,0,1.3,,,,,
2016-04-09,9.4,17.7,3.1,0.0,10.5,,0,0,0.9,,,,,
2016-04-10,10.0,15.1,5.7,0.0,4.1,,0,0,0.7,,,,,
2016-04-11,-0.3,6.3,-4.2,0.0,10.3,,0,0,3.0,,,,,
2016-04-12,1.5,9.9,-6.7,0.0,10.6,,0,0,0.8,,,,,
2016-04-13,5.9,12.0,-0.5,12.5,4.3,,0,0,0.6,,,,,
2016-04-14,10.9,19.3,6.2,14.0,7.9,,0,0,1.7,,,,,
2016-04-15,4.9,8.5,1.7,0.0,10.9,,0,0,3.3,,,,,
2016-04-16,7.7,14.1,2.0,0.0,10.1,,0,0,0.6,,,,,
2016-04-17,10.5,19.3,5.6,3.5,2.7,,0,0,0.9,,,,,
2016-04-18,11.3,17.2,5.4,0.0,3.0,,0,0,1.3,,,,,
2016-04-19,7.1,15.2,0.7,0.0,11.3,,0,0,1.3,,,,,
2016-04-20,6.0,13.2,-1.3,0.0,9.7,,0,0,0.7,,,,,
2016-04-21,7.4,14.2,2.0,28.0,0.7,,0,0,0.6,,,,,
2016-04-22,12.5,20.2,6.4,1.0,7.0,,0,0,1.1,,,,,
2016-04-23,10.8,17.8,6.8,1.0,4.5,,0,0,0.5,,,,,
2016-04-24,9.7,15.1,5.9,0.5,3.5,,0,0,0.7,,,,,
2016-04-25,9.5,16.2,5.1,0.0,7.0,,0,0,0.6,,,,,
2016-04-26,12.6,22.1,4.2,0.0,10.9,,0,0,0.8,,,,,
2016-04-27,11.1,17.2,7.9,2.0,5.5,,0,0,0.7,,,,,
2016-04-28,8.0,9.1,6.8,64.5,0.0,,0,0,0.7,,,,,
2016-04-29,3.4,7.2,1.4,0.0,2.1,,0,0,2.5,,,,,
2016-04-30,7.4,13.8,1.6,0.0,8.6,,0,0,1.3,,,,,
2016-05-01,11.9,18.1,6.1,0.0,8.0,,0,0,1.2,,,,,
2016-05-02,11.9,18.1,7.5,0.0,10.5,,0,0,0.6,,,,,
2016-05-03,10.5,16.7,6.9,0.0,1.1,,0,0,0.6,,,,,
2016-05-04,13.1,19.2,7.3,18.5,8.4,,0,0,1.1,,,,,
2016-05-05,10.9,16.5,5.7,0.0,11.4,,0,0,1.2,,,,,
2016-05-06,10.1,14.2,5.4,0.0,3.2,,0,0,0.5,,,,,
2016-05-07,14.1,23.9,7.3,0.0,10.2,,0,0,1.2,,,,,
2016-05-08,11.9,18.7,6.5,0.0,11.5,,0,0,1.3,,,,,
2016-05-09,10.0,12.9,6.2,6.5,0.0,,0,0,0.4,,,,,
2016-05-10,12.7,17.2,9.9,22.0,0.3,,0,0,0.4,,,,,
2016-05-11,13.5,18.2,9.0,10.5,0.1,,0,0,0.7,,,,,
2016-05-12,13.4,21.4,6.4,0.0,12.0,,0,0,0.8,,,,,
2016-05-13,14.3,22.3,7.3,0.0,11.7,,0,0,0.5,,,,,
2016-05-14,13.9,20.2,8.4,0.0,6.2,,0,0,0.5,,,,,
2016-05-15,11.3,18.5,8.0,0.0,6.2,,0,0,0.4,,,,,
2016-05-16,10.2,12.1,8.8,0.5,0.0,,0,0,0.3,,,,,
2016-05-17,11.6,18.2,5.0,21.0,3.1,,0,0,0.5,,,,,
2016-05-18,13.6,22.2,4.7,0.0,12.1,,0,0,0.6,,,,,
2016-05-19,13.0,19.8,6.7,0.0,11.8,,0,0,0.5,,,,,
2016-05-20,11.3,17.9,6.5,0.0,8.3,,0,0,0.3,,,,,
2016-05-21,14.4,22.4,5.9,0.0,12.0,,0,0,0.8,,,,,
2016-05-22,16.1,23.6,8.3,0.0,11.7,,0,0,0.5,,,,,
