calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,5.8,10.7,1.5,0.0,9.4,11.63,,,,4.5,1011.8,50,1025.9,0.3
2016-01-02,6.0,12.9,1.0,,7.4,11.09,,,,4.2,1007.7,47,1021.7,3.3
2016-01-03,9.8,18.0,3.9,,9.1,11.09,,,,5.9,1002.4,51,1016.2,0.5
2016-01-04,10.3,15.8,3.4,,9.1,11.08,,,,6.1,999.7,50,1013.4,0.3
2016-01-05,10.6,17.8,4.3,,7.1,9.73,,,,5.5,1002.3,45,1016.1,2.5
2016-01-06,7.1,10.1,4.9,,1.8,6.84,,,,5.9,1003.3,58,1017.2,10.0
2016-01-07,5.5,10.1,2.2,,3.2,5.72,,,,4.9,999.2,55,1013.1,2.3
2016-01-08,4.4,10.2,-0.9,,9.0,11.14,,,,4.6,999.7,56,1013.7,1.5
2016-01-09,5.8,12.0,1.7,,9.5,12.19,,,,4.4,1003.3,49,1017.4,1.0
2016-01-10,6.6,14.9,1.1,,9.4,11.92,,,,4.3,1002.7,47,1016.6,1.5
2016-01-11,5.6,11.3,2.7,,9.2,11.34,,,,4.2,1003.3,48,1017.3,6.5
2016-01-12,3.7,7.7,-0.3,,1.1,5.67,,,,4.2,1001.0,53,1015.1,7.8
2016-01-13,2.3,8.6,-2.3,,9.3,12.14,,,,3.8,999.3,54,1013.4,0.0
2016-01-14,4.8,12.3,-0.7,,7.6,10.50,,,,3.9,998.0,47,1012.0,2.5
2016-01-15,4.5,11.4,-1.3,0.0,8.2,12.91,,,,4.6,1002.2,56,1016.3,3.5
2016-01-16,4.5,11.7,-0.9,,9.4,12.62,,,,4.4,1005.1,55,1019.2,3.3
2016-01-17,4.0,8.5,-0.5,1.0,4.7,8.54,,,,4.4,1008.1,55,1022.3,5.0
2016-01-18,1.9,5.7,0.1,50.5,0.7,3.08,20,20,,6.3,986.6,91,1000.6,5.8
2016-01-19,3.2,6.5,-0.4,,9.6,13.77,13,,,3.6,987.1,47,1001.0,0.5
2016-01-20,-0.1,5.5,-4.3,5.5,3.6,7.53,16,6,,4.4,995.7,72,1009.9,3.5
2016-01-21,1.8,6.8,-4.0,,6.4,10.51,11,,,4.1,1003.9,60,1018.2,5.3
2016-01-22,2.4,8.4,-1.8,,9.4,13.92,10,,,3.7,1006.3,52,1020.5,4.3
2016-01-23,1.5,5.1,-1.5,,5.1,10.26,8,,,3.9,1003.7,58,1017.9,10.0
2016-01-24,0.5,6.4,-3.6,,8.6,14.12,7,,,3.0,990.9,50,1005.1,2.0
2016-01-25,0.2,6.0,-6.1,,9.4,13.63,7,,,2.9,1002.6,47,1016.9,1.3
2016-01-26,1.8,9.1,-3.8,,9.9,14.27,6,,,3.3,1008.8,49,1023.1,0.0
2016-01-27,4.5,12.5,-1.3,,9.9,13.88,3,,,4.2,1009.7,52,1023.9,0.0
2016-01-28,6.4,13.6,0.3,,,,,,,4.9,1011.7,53,1025.7,0.3
2016-01-29,4.0,5.4,0.2,16.0,0.0,1.74,3,3,1.8,6.7,1010.1,82,1024.4,10.0
2016-01-30,2.6,4.9,0.4,3.5,0.0,4.22,2,,0.9,6.6,1006.6,89,1020.8,10.0
2016-01-31,5.0,11.0,0.1,,9.6,12.80,,,1.8,5.5,1006.4,66,1020.4,3.0
2016-02-01,4.5,9.1,1.9,,3.0,8.81,,,3.5,4.1,1005.9,49,1020.0,10.0
2016-02-02,3.3,8.4,-0.4,,8.9,12.89,,,3.0,3.8,1004.7,49,1018.8,2.8
2016-02-03,3.6,9.2,-1.6,,9.5,14.02,,,3.1,3.7,1007.6,48,1021.7,2.5
2016-02-04,3.1,9.5,-2.4,,9.8,13.95,,,2.0,3.7,1006.0,49,1020.2,1.3
2016-02-05,5.6,12.5,0.8,,9.0,12.76,,,2.9,4.4,1001.9,50,1015.9,6.8
2016-02-06,5.4,11.8,1.0,0.0,4.9,9.99,,,2.2,4.8,998.8,55,1012.8,10.0
2016-02-07,3.3,7.2,0.8,,9.9,14.48,,,4.1,3.1,1002.5,40,1016.6,4.5
2016-02-08,2.6,7.8,-1.3,,6.5,12.18,,,1.9,4.0,1004.6,53,1018.8,6.5
2016-02-09,4.0,13.0,-1.1,0.0,7.6,12.01,,,2.6,4.6,996.4,59,1010.4,3.5
2016-02-10,3.5,8.2,0.1,,7.0,11.81,,,3.3,3.9,1006.3,51,1020.5,2.3
2016-02-11,4.8,12.1,-1.4,,10.1,14.87,,,2.5,3.6,1016.2,45,1030.4,0.0
2016-02-12,5.3,11.5,-0.9,,9.3,14.10,,,1.9,4.8,1017.1,55,1031.3,4.0
2016-02-13,10.2,15.5,4.4,0.0,3.5,8.44,,,1.7,6.7,1005.6,55,1019.4,10.0
2016-02-14,12.9,22.9,7.9,3.5,4.5,10.15,,,4.2,10.1,986.1,68,999.5,7.8
2016-02-15,5.7,11.3,0.1,,2.9,7.35,,,6.0,4.0,989.8,43,1003.6,7.5
2016-02-16,3.9,9.4,-1.3,,9.8,16.04,,,2.3,3.5,997.6,45,1011.6,1.0
2016-02-17,3.3,8.5,-0.3,,5.5,9.04,,,3.8,3.9,1001.6,52,1015.7,1.0
2016-02-18,4.0,10.1,-1.9,,9.7,14.79,,,1.7,3.8,1010.9,49,1025.1,0.3
2016-02-19,8.7,18.0,1.2,,10.0,15.82,,,3.3,4.2,1010.8,41,1024.8,3.5
2016-02-20,7.1,9.5,5.8,9.5,0.0,2.96,,,1.7,6.9,1006.4,68,1020.3,10.0
2016-02-21,8.7,12.8,4.4,,9.8,16.63,,,5.7,5.6,1000.7,50,1014.5,3.3
2016-02-22,6.3,11.0,2.5,,7.8,14.52,,,2.5,4.7,1014.7,49,1028.9,9.3
2016-02-23,6.7,11.4,3.3,,7.9,14.83,,,1.7,6.5,1007.7,67,1021.7,4.5
2016-02-24,4.8,7.9,1.9,0.0,7.1,15.20,,,5.1,3.6,1008.5,43,1022.6,8.5
2016-02-25,3.6,8.8,-0.1,,8.7,15.64,,,2.7,2.9,1011.6,38,1025.8,0.5
2016-02-26,4.4,10.0,-1.1,,6.9,13.66,,,2.6,3.3,1010.3,41,1024.5,2.3
2016-02-27,6.4,11.6,-0.4,,9.1,16.07,,,2.1,4.0,1010.5,43,1024.5,0.8
2016-02-28,8.3,14.8,2.4,0.0,9.3,15.96,,,3.1,5.3,1010.7,51,1024.7,5.5
2016-02-29,7.0,13.4,1.7,0.5,3.6,10.83,,,3.3,6.4,996.5,64,1010.4,8.0
2016-03-01,2.7,6.5,-0.2,0.0,11.0,18.32,,,4.5,2.9,1002.5,41,1016.7,1.0
2016-03-02,4.3,11.1,-2.4,,10.8,18.75,,,3.0,3.3,1007.0,42,1021.2,0.5
2016-03-03,8.0,17.2,0.8,,10.8,18.03,,,3.8,4.6,1008.1,45,1022.1,0.3
2016-03-04,8.8,14.9,3.4,,10.0,16.73,,,2.4,6.0,1015.8,54,1029.8,5.0
2016-03-05,8.8,13.3,3.9,0.0,5.0,13.40,,,2.1,8.0,1018.5,71,1032.5,8.8
2016-03-06,11.8,15.9,7.7,1.0,5.4,13.14,,,1.2,10.2,1011.8,75,1025.6,8.3
2016-03-07,12.6,14.9,11.0,1.5,0.0,2.71,,,1.4,11.6,1004.7,79,1018.4,10.0
2016-03-08,15.3,20.5,10.3,0.0,8.2,16.51,,,2.8,11.3,999.8,66,1013.3,6.8
2016-03-09,8.0,13.6,3.8,21.5,0.0,1.14,,,2.6,8.5,1001.8,81,1015.7,10.0
2016-03-10,6.5,11.8,2.1,1.5,6.8,15.42,,,2.6,5.8,1003.0,63,1017.0,10.0
2016-03-11,4.5,7.7,2.1,0.0,0.5,9.62,,,1.9,6.4,1004.8,77,1018.9,10.0
2016-03-12,4.3,6.8,2.2,0.5,0.0,6.04,,,1.4,6.2,1009.5,75,1023.7,10.0
2016-03-13,5.9,8.7,3.5,0.0,1.2,8.61,,,1.3,6.4,1010.9,70,1025.0,10.0
2016-03-14,5.0,6.1,4.0,12.5,0.0,2.57,,,1.4,7.4,1001.5,85,1015.5,10.0
2016-03-15,6.3,10.4,2.9,,10.6,18.98,,,4.1,4.6,1002.4,48,1016.4,0.0
2016-03-16,6.6,11.9,0.4,,8.3,15.88,,,1.8,4.8,1009.1,49,1023.1,7.5
2016-03-17,13.3,22.1,4.6,,11.1,20.93,,,2.7,5.1,1007.5,38,1021.2,0.5
2016-03-18,13.1,18.3,6.6,0.0,6.1,14.30,,,1.8,7.5,1004.5,50,1018.2,9.0
2016-03-19,14.4,21.5,10.8,0.5,2.7,10.87,,,3.0,10.0,993.8,62,1007.3,9.0
2016-03-20,11.2,15.0,7.6,,11.2,20.52,,,5.5,5.6,998.5,43,1012.2,3.8
2016-03-21,8.2,13.5,3.5,,10.7,21.79,,,4.2,4.1,1004.0,38,1017.9,3.8
2016-03-22,8.7,15.5,0.9,,11.4,21.51,,,2.1,4.6,1001.7,41,1015.6,0.0
2016-03-23,9.2,14.5,4.6,1.5,2.2,10.90,,,4.8,6.3,1000.1,56,1013.9,7.5
2016-03-24,6.3,11.9,2.6,0.5,6.9,15.63,,,3.7,5.4,1001.9,58,1015.9,5.3
2016-03-25,5.5,10.5,1.1,,8.4,18.33,,,3.8,4.0,1004.8,46,1018.8,4.8
2016-03-26,8.0,14.7,0.7,,11.3,22.68,,,2.5,4.5,1006.0,44,1020.0,5.0
2016-03-27,9.8,14.5,6.7,0.0,5.5,16.94,,,1.8,7.0,1005.7,58,1019.5,8.3
2016-03-28,11.3,18.0,6.9,4.0,7.3,17.58,,,2.4,8.3,1005.4,64,1019.1,7.8
2016-03-29,12.3,18.0,6.0,,9.2,20.52,,,3.0,7.3,1008.7,52,1022.5,5.3
2016-03-30,14.1,19.8,8.3,,10.6,19.19,,,2.4,7.7,1004.1,49,1017.7,8.3
2016-03-31,14.6,21.7,6.6,,10.7,22.46,,,2.5,4.2,1004.1,28,1017.7,6.0
2016-04-01,12.8,19.3,8.0,,6.6,17.28,,,3.4,6.9,1007.2,45,1020.9,9.0
