calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,0.1,2.8,-2.6,3.5,0.4,,17,13,1.9,,,,,
2016-01-02,0.8,9.3,-4.0,0.0,4.7,,12,1,2.0,,,,,
2016-01-03,3.3,11.1,-0.5,0.0,5.0,,6,1,2.5,,,,,
2016-01-04,5.3,12.3,0.6,0.0,4.4,,2,0,2.4,,,,,
2016-01-05,5.3,7.8,2.2,0.5,4.1,,0,0,2.1,,,,,
2016-01-06,3.4,5.9,0.1,0.0,0.6,,0,0,1.6,,,,,
2016-01-07,1.5,4.7,-0.7,2.5,0.0,,0,0,1.3,,,,,
2016-01-08,0.4,6.0,-3.0,0.5,4.0,,0,0,1.4,,,,,
2016-01-09,0.9,4.3,-1.3,0.5,4.3,,0,0,1.3,,,,,
2016-01-10,1.6,5.6,-2.4,0.0,4.4,,0,0,2.5,,,,,
2016-01-11,0.2,3.0,-1.5,1.5,5.3,,1,1,1.6,,,,,
2016-01-12,-0.4,2.1,-2.2,0.0,3.5,,0,0,1.9,,,,,
2016-01-13,-0.6,5.7,-3.9,0.0,4.8,,0,0,1.3,,,,,
2016-01-14,-0.5,4.8,-3.6,0.0,3.7,,0,0,1.9,,,,,
2016-01-15,-0.4,3.0,-3.9,0.0,4.0,,0,0,2.0,,,,,
2016-01-16,-0.4,3.3,-3.0,0.0,2.0,,0,0,1.9,,,,,
2016-01-17,-0.2,4.2,-4.8,0.5,0.4,,0,0,1.6,,,,,
2016-01-18,0.5,5.0,-1.0,25.0,0.0,,31,31,2.6,,,,,
2016-01-19,-0.9,2.5,-6.6,0.5,3.2,,25,0,1.8,,,,,
2016-01-20,-3.2,0.3,-7.8,17.0,0.0,,38,18,2.5,,,,,
2016-01-21,-1.4,0.2,-2.5,4.0,0.0,,47,10,2.2,,,,,
2016-01-22,-2.0,-0.2,-3.4,1.5,0.0,,46,8,2.4,,,,,
2016-01-23,-1.8,2.3,-5.8,0.0,2.3,,43,2,2.2,,,,,
2016-01-24,-5.6,-0.4,-9.7,8.0,2.0,,53,16,1.7,,,,,
2016-01-25,-3.9,-2.1,-9.0,2.0,0.0,,53,5,2.1,,,,,
2016-01-26,-2.7,4.9,-8.2,0.0,6.1,,49,1,1.3,,,,,
2016-01-27,-0.5,5.7,-6.6,0.0,6.0,,42,0,2.5,,,,,
2016-01-28,2.4,7.5,-2.2,0.0,5.3,,35,1,2.1,,,,,
2016-01-29,1.2,2.4,0.2,13.0,0.0,,32,5,1.0,,,,,
2016-01-30,0.6,3.1,-0.5,3.5,0.3,,34,6,,,,,,
2016-01-31,1.3,5.1,-1.7,0.0,4.8,,29,0,2.0,,,,,
2016-02-01,-0.5,2.1,-2.6,0.0,3.2,,26,1,1.9,,,,,
