calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,1.9,5.5,-2.5,0.0,6.4,,,,2.7,,,,,
2016-01-02,2.4,11.1,-3.6,0.0,6.2,,,,1.3,,,,,
2016-01-03,5.3,14.5,-1.5,0.0,9.0,,,,1.5,,,,,
2016-01-04,7.0,14.8,0.0,0.0,9.0,,,,2.5,,,,,
2016-01-05,7.1,12.3,2.7,0.0,7.4,,,,2.0,,,,,
2016-01-06,4.3,8.5,1.0,0.0,1.4,,,,1.6,,,,,
2016-01-07,2.1,6.3,-2.3,0.0,7.5,,,,2.4,,,,,
2016-01-08,1.5,8.8,-4.1,0.0,8.8,,,,1.4,,,,,
2016-01-09,2.0,7.1,-1.5,0.0,9.0,,,,2.0,,,,,
2016-01-10,2.5,9.4,-4.1,0.0,8.7,,,,2.0,,,,,
2016-01-11,2.5,5.7,0.3,0.0,8.6,,,,2.6,,,,,
2016-01-12,1.0,6.0,-2.6,0.0,2.9,,,,1.9,,,,,
2016-01-13,-0.6,6.0,-5.7,0.0,8.7,,,,1.7,,,,,
2016-01-14,0.1,7.3,-5.7,0.0,6.2,,,,1.4,,,,,
2016-01-15,1.1,6.8,-4.6,0.0,8.2,,,,1.6,,,,,
2016-01-16,1.5,6.4,-2.5,0.0,8.4,,,,1.8,,,,,
2016-01-17,1.1,6.6,-5.0,0.5,4.6,,,,1.5,,,,,
2016-01-18,0.1,2.2,-1.8,36.5,0.4,,,,1.3,,,,,
2016-01-19,-0.6,2.6,-6.7,1.0,8.7,,,,2.8,,,,,
2016-01-20,-3.1,1.6,-8.4,12.0,0.7,,,,2.8,,,,,
2016-01-21,-0.5,2.4,-3.3,0.0,4.1,,,,2.5,,,,,
2016-01-22,-1.0,3.1,-5.8,0.0,8.8,,,,2.2,,,,,
2016-01-23,-1.0,2.4,-3.9,0.0,4.9,,,,1.8,,,,,
2016-01-24,-4.6,1.6,-9.8,0.0,3.4,,,,2.1,,,,,
2016-01-25,-4.2,1.0,-10.6,0.0,7.4,,,,2.0,,,,,
2016-01-26,-2.2,5.9,-8.9,0.0,9.6,,,,1.4,,,,,
2016-01-27,-0.2,7.5,-7.8,0.0,9.7,,,,1.9,,,,,
2016-01-28,2.6,8.8,-4.1,0.0,9.7,,,,2.2,,,,,
2016-01-29,1.5,2.7,0.0,16.5,0.0,,,,0.7,,,,,
2016-01-30,0.8,2.8,-0.7,5.5,0.2,,,,,,,,,
2016-01-31,1.7,7.3,-2.0,0.0,8.6,,,,1.8,,,,,
2016-02-01,0.7,5.4,-2.8,0.0,3.7,,,,2.7,,,,,
2016-02-02,0.0,3.8,-3.9,0.0,9.1,,,,2.4,,,,,
2016-02-03,0.3,4.3,-3.9,0.0,9.5,,,,2.7,,,,,
2016-02-04,-0.7,6.3,-6.8,0.0,9.3,,,,1.3,,,,,
2016-02-05,1.0,7.3,-4.5,0.0,9.1,,,,1.7,,,,,
2016-02-06,1.9,7.1,-1.3,0.0,6.3,,,,1.9,,,,,
2016-02-07,-0.8,2.1,-4.2,0.0,9.9,,,,3.3,,,,,
2016-02-08,-0.8,4.9,-5.8,0.0,7.8,,,,1.1,,,,,
2016-02-09,0.3,8.3,-4.9,4.0,6.2,,,,1.8,,,,,
2016-02-10,-1.0,1.7,-2.8,5.5,1.6,,,,3.0,,,,,
2016-02-11,1.4,7.5,-3.5,0.0,10.2,,,,3.1,,,,,
2016-02-12,1.2,9.1,-6.3,0.0,9.6,,,,1.4,,,,,
2016-02-13,6.6,14.4,1.2,0.0,3.1,,,,1.3,,,,,
2016-02-14,8.7,17.9,3.8,6.5,3.7,,,,2.2,,,,,
2016-02-15,2.6,8.1,-2.9,0.0,5.6,,,,4.1,,,,,
2016-02-16,0.5,6.6,-5.4,0.0,7.7,,,,1.5,,,,,
2016-02-17,-0.7,4.2,-4.9,0.0,8.1,,,,2.4,,,,,
2016-02-18,0.9,8.5,-5.5,0.0,10.5,,,,1.7,,,,,
2016-02-19,4.3,14.4,-3.8,0.0,10.2,,,,1.7,,,,,
2016-02-20,4.1,7.8,1.2,5.5,0.0,,,,1.3,,,,,
2016-02-21,4.8,8.3,1.2,0.0,9.0,,,,3.6,,,,,
2016-02-22,3.9,8.8,0.5,0.0,7.6,,,,3.1,,,,,
2016-02-23,4.7,10.0,0.0,0.0,7.9,,,,2.3,,,,,
2016-02-24,1.4,4.3,-0.5,0.0,7.1,,,,3.7,,,,,
2016-02-25,0.0,4.4,-3.4,0.0,7.2,,,,2.3,,,,,
2016-02-26,0.4,7.1,-5.4,0.0,7.7,,,,1.7,,,,,
2016-02-27,3.8,9.8,-2.2,0.0,9.3,,,,2.3,,,,,
2016-02-28,6.3,12.9,0.6,0.0,10.0,,,,2.4,,,,,
2016-02-29,4.1,12.8,-2.1,0.0,3.3,,,,2.8,,,,,
2016-03-01,-1.1,2.0,-3.4,0.0,8.0,,,,3.8,,,,,
2016-03-02,0.4,6.9,-6.2,0.0,10.1,,,,2.1,,,,,
2016-03-03,4.0,11.9,-4.1,0.0,10.8,,,,2.8,,,,,
2016-03-04,6.0,12.5,-1.2,0.0,10.3,,,,2.5,,,,,
2016-03-05,6.5,12.7,-0.3,0.0,7.1,,,,2.6,,,,,
2016-03-06,9.9,14.8,6.2,0.0,4.7,,,,1.9,,,,,
2016-03-07,9.7,13.1,6.5,2.0,0.0,,,,0.8,,,,,
2016-03-08,12.5,20.6,7.0,0.0,8.9,,,,2.7,,,,,
2016-03-09,6.0,10.1,3.2,20.0,0.0,,,,2.2,,,,,
2016-03-10,3.9,8.2,0.2,0.5,7.3,,,,3.6,,,,,
2016-03-11,2.8,7.3,0.2,0.0,1.2,,,,2.0,,,,,
2016-03-12,2.6,6.0,0.6,0.5,2.3,,,,2.4,,,,,
2016-03-13,4.0,7.0,1.5,0.0,2.9,,,,2.0,,,,,
2016-03-14,2.6,3.9,1.7,9.0,0.0,,,,1.4,,,,,
2016-03-15,3.0,6.0,-1.4,0.0,9.7,,,,3.8,,,,,
2016-03-16,3.6,11.7,-3.9,0.0,8.9,,,,1.8,,,,,
2016-03-17,,,,,,,,,,,,,,
2016-03-18,,,,,,,,,,,,,,
2016-03-19,11.9,21.0,7.2,0.5,3.9,,,,2.6,,,,,
2016-03-20,8.0,11.4,4.3,0.0,8.7,,,,4.1,,,,,
2016-03-21,4.1,9.0,-2.0,0.0,10.8,,,,3.3,,,,,
2016-03-22,4.9,14.4,-6.0,0.0,11.4,,,,1.5,,,,,
2016-03-23,5.2,10.7,-1.1,1.0,1.4,,,,2.4,,,,,
2016-03-24,3.4,7.9,-0.1,1.0,7.9,,,,2.5,,,,,
2016-03-25,1.9,6.5,-3.5,0.0,9.8,,,,2.9,,,,,
2016-03-26,4.1,12.3,-6.3,0.0,11.2,,,,2.1,,,,,
2016-03-27,7.4,13.7,3.5,2.0,5.5,,,,1.5,,,,,
2016-03-28,7.9,15.3,1.3,0.5,7.4,,,,1.8,,,,,
2016-03-29,9.1,16.9,-1.4,0.0,10.4,,,,2.0,,,,,
2016-03-30,11.3,19.5,1.5,0.0,9.2,,,,2.1,,,,,
2016-03-31,9.4,18.6,-1.0,0.0,11.2,,,,2.4,,,,,
2016-04-01,9.3,18.3,-0.8,0.0,6.9,,,,2.4,,,,,
2016-04-02,8.8,12.1,6.9,0.0,0.0,,,,1.5,,,,,
2016-04-03,12.6,18.7,5.1,0.0,5.5,,,,1.6,,,,,
2016-04-04,13.1,20.4,10.2,7.0,2.4,,,,2.2,,,,,
2016-04-05,8.7,10.6,4.9,0.0,0.0,,,,1.6,,,,,
2016-04-06,11.1,21.2,-0.2,0.0,10.3,,,,1.8,,,,,
2016-04-07,9.3,14.8,6.6,18.0,0.0,,,,1.2,,,,,
2016-04-08,12.5,18.0,3.6,0.0,6.5,,,,2.6,,,,,
2016-04-09,11.5,21.9,0.0,0.0,10.4,,,,1.9,,,,,
2016-04-10,12.8,21.5,3.6,0.0,3.6,,,,1.7,,,,,
2016-04-11,5.6,9.7,1.6,0.0,7.6,,,,4.3,,,,,
2016-04-12,6.9,13.8,-1.4,0.0,11.3,,,,2.0,,,,,
2016-04-13,10.9,17.3,1.8,3.5,6.7,,,,1.9,,,,,
2016-04-14,15.5,23.0,10.5,9.0,6.9,,,,2.5,,,,,
2016-04-15,9.6,15.2,0.4,0.0,10.0,,,,4.7,,,,,
2016-04-16,9.9,17.7,-1.8,0.0,9.7,,,,1.8,,,,,
2016-04-17,14.7,22.4,8.8,2.0,4.8,,,,1.8,,,,,
2016-04-18,13.2,21.9,5.1,0.0,6.1,,,,3.1,,,,,
2016-04-19,11.7,20.7,2.3,0.0,12.0,,,,2.6,,,,,
2016-04-20,11.2,18.5,2.4,0.0,11.6,,,,2.0,,,,,
2016-04-21,10.5,15.8,4.1,12.0,0.3,,,,1.1,,,,,
2016-04-22,16.3,23.0,8.3,0.0,11.0,,,,2.8,,,,,
2016-04-23,16.3,22.3,11.2,0.0,7.1,,,,2.0,,,,,
2016-04-24,15.8,20.7,12.2,0.0,6.2,,,,2.9,,,,,
2016-04-25,15.0,21.9,9.2,0.0,6.3,,,,1.7,,,,,
2016-04-26,16.5,25.5,6.3,0.0,11.9,,,,1.9,,,,,
2016-04-27,14.9,20.0,7.8,0.5,6.9,,,,2.0,,,,,
