calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,1.7,9.3,-3.0,0.0,5.7,,,,1.5,,,,,
2016-01-02,0.2,8.7,-3.7,0.0,5.4,,,,0.6,,,,,
2016-01-03,2.6,14.5,-2.9,0.0,5.6,,,,0.7,,,,,
2016-01-04,3.2,13.6,-2.4,0.0,5.8,,,,0.9,,,,,
2016-01-05,3.3,13.3,-2.1,0.0,3.6,,,,0.7,,,,,
2016-01-06,2.9,8.0,-0.9,0.0,1.4,,,,0.9,,,,,
2016-01-07,2.4,10.5,-2.1,0.0,5.5,,,,1.5,,,,,
2016-01-08,0.5,8.5,-3.9,0.0,5.7,,,,0.9,,,,,
2016-01-09,0.7,9.6,-4.2,0.0,5.8,,,,0.8,,,,,
2016-01-10,1.9,12.5,-3.8,0.0,5.8,,,,1.1,,,,,
2016-01-11,0.9,8.7,-3.7,0.0,5.8,,,,1.0,,,,,
2016-01-12,1.0,7.2,-3.6,0.0,0.6,,,,0.8,,,,,
2016-01-13,-1.4,6.5,-6.2,0.0,5.6,,,,0.9,,,,,
2016-01-14,-0.2,10.0,-5.3,0.0,4.7,,,,1.0,,,,,
2016-01-15,1.1,8.4,-5.0,0.0,3.6,,,,1.1,,,,,
2016-01-16,2.3,10.0,-2.2,0.0,5.8,,,,0.8,,,,,
2016-01-17,0.5,6.3,-4.3,2.5,1.6,,,,0.9,,,,,
2016-01-18,0.0,2.2,-0.8,45.5,1.9,,,,,,,,,
2016-01-19,-0.6,3.6,-6.7,0.0,5.5,,,,2.1,,,,,
2016-01-20,-1.1,4.6,-8.5,0.0,5.0,,,,2.5,,,,,
2016-01-21,0.0,5.6,-3.7,0.0,3.9,,,,1.0,,,,,
2016-01-22,-0.3,6.4,-4.9,0.0,6.1,,,,1.0,,,,,
2016-01-23,-1.0,4.5,-5.3,0.0,3.7,,,,1.2,,,,,
2016-01-24,-2.4,2.5,-6.4,0.0,5.9,,,,3.5,,,,,
2016-01-25,-2.0,4.1,-5.8,0.0,6.2,,,,1.9,,,,,
2016-01-26,-2.7,6.4,-8.6,0.0,6.2,,,,1.0,,,,,
2016-01-27,-0.9,10.4,-7.0,0.0,6.2,,,,0.7,,,,,
2016-01-28,-0.2,9.9,-5.2,0.0,5.7,,,,0.7,,,,,
2016-01-29,1.1,4.4,-1.3,11.5,0.0,,,,0.5,,,,,
2016-01-30,1.0,3.1,-0.1,2.5,0.1,,,,,,,,,
2016-01-31,1.3,8.3,-1.9,0.0,6.4,,,,0.7,,,,,
2016-02-01,1.1,6.5,-2.5,0.0,2.6,,,,0.7,,,,,
2016-02-02,1.2,7.5,-2.6,0.0,6.8,,,,1.5,,,,,
2016-02-03,0.3,7.5,-4.1,0.0,5.9,,,,0.8,,,,,
2016-02-04,-0.4,7.1,-5.1,0.0,6.8,,,,1.1,,,,,
2016-02-05,0.6,9.7,-4.9,0.0,6.2,,,,1.0,,,,,
2016-02-06,1.5,7.9,-3.0,0.0,4.9,,,,1.1,,,,,
2016-02-07,1.3,6.7,-1.9,0.0,7.0,,,,1.9,,,,,
2016-02-08,-0.8,4.4,-4.6,0.0,3.0,,,,1.0,,,,,
2016-02-09,0.7,10.7,-5.3,0.0,4.3,,,,1.5,,,,,
2016-02-10,1.8,6.4,-1.5,0.0,7.2,,,,2.9,,,,,
2016-02-11,1.6,9.3,-3.3,0.0,7.1,,,,1.1,,,,,
2016-02-12,1.8,10.2,-4.5,0.0,6.3,,,,1.0,,,,,
2016-02-13,5.0,12.3,0.2,0.0,2.6,,,,0.7,,,,,
2016-02-14,8.2,17.4,3.2,8.0,4.7,,,,0.8,,,,,
2016-02-15,2.8,7.0,-3.0,0.0,0.0,,,,1.6,,,,,
2016-02-16,-0.3,6.2,-4.8,0.0,4.8,,,,1.3,,,,,
2016-02-17,-0.5,7.0,-4.5,0.0,1.8,,,,1.1,,,,,
2016-02-18,0.0,8.0,-5.4,0.0,7.8,,,,1.1,,,,,
2016-02-19,4.5,15.4,-3.4,0.0,7.9,,,,1.5,,,,,
2016-02-20,3.5,7.1,0.9,14.0,0.1,,,,0.5,,,,,
2016-02-21,5.6,12.9,-0.6,0.0,8.0,,,,1.4,,,,,
2016-02-22,3.2,8.4,-1.4,0.0,7.9,,,,1.8,,,,,
2016-02-23,3.8,9.6,-0.6,0.0,6.9,,,,1.3,,,,,
2016-02-24,3.1,8.0,0.3,0.0,4.4,,,,1.7,,,,,
2016-02-25,1.0,7.9,-3.1,0.0,6.0,,,,1.3,,,,,
2016-02-26,0.9,10.3,-5.3,0.0,5.5,,,,1.0,,,,,
2016-02-27,1.7,9.5,-5.1,0.0,8.0,,,,1.2,,,,,
2016-02-28,4.7,12.4,-2.4,0.0,6.6,,,,1.9,,,,,
2016-02-29,5.7,11.9,1.2,0.0,3.4,,,,2.0,,,,,
2016-03-01,0.9,5.9,-2.5,0.0,8.3,,,,2.6,,,,,
2016-03-02,1.5,11.1,-5.0,0.0,8.7,,,,1.0,,,,,
2016-03-03,4.5,16.6,-4.0,0.0,8.7,,,,1.0,,,,,
2016-03-04,6.0,13.1,-1.8,0.0,8.6,,,,1.7,,,,,
2016-03-05,7.7,12.5,3.3,0.0,3.0,,,,1.7,,,,,
2016-03-06,9.7,15.3,5.9,0.0,4.2,,,,1.2,,,,,
2016-03-07,10.1,13.9,7.2,0.0,0.0,,,,0.6,,,,,
2016-03-08,13.2,20.2,7.9,0.0,8.4,,,,1.5,,,,,
2016-03-09,6.9,10.3,3.1,17.0,0.0,,,,0.7,,,,,
2016-03-10,3.6,7.2,0.4,4.0,0.9,,,,1.1,,,,,
2016-03-11,1.9,4.4,0.3,3.0,0.4,,,,0.6,,,,,
2016-03-12,1.3,2.5,0.2,1.5,0.0,,,,0.6,,,,,
2016-03-13,2.6,4.2,1.5,0.0,0.0,,,,0.6,,,,,
2016-03-14,1.5,3.4,0.0,16.0,0.0,,,,0.3,,,,,
2016-03-15,2.5,9.0,-1.8,0.0,8.5,,,,1.2,,,,,
2016-03-16,3.4,9.7,-2.8,0.0,5.1,,,,1.0,,,,,
2016-03-17,8.3,19.1,-0.2,0.0,8.9,,,,1.2,,,,,
2016-03-18,9.1,16.7,1.4,0.0,4.7,,,,1.0,,,,,
2016-03-19,11.5,19.2,7.3,1.5,3.9,,,,0.9,,,,,
2016-03-20,9.8,15.9,6.2,0.0,9.1,,,,1.9,,,,,
2016-03-21,6.4,13.7,-0.5,0.0,6.8,,,,1.7,,,,,
2016-03-22,5.1,13.8,-2.3,0.0,9.1,,,,1.3,,,,,
2016-03-23,6.8,13.3,0.8,0.0,2.1,,,,1.7,,,,,
2016-03-24,4.2,9.9,-1.5,2.0,2.6,,,,1.4,,,,,
2016-03-25,3.7,10.6,-2.0,0.0,7.5,,,,1.6,,,,,
2016-03-26,5.3,10.6,-0.5,0.0,6.1,,,,1.2,,,,,
2016-03-27,6.7,10.6,4.0,0.0,1.7,,,,1.4,,,,,
2016-03-28,7.7,12.5,4.1,2.5,3.7,,,,1.1,,,,,
2016-03-29,8.5,14.7,2.4,0.0,6.2,,,,1.2,,,,,
2016-03-30,10.3,18.1,3.3,0.0,7.8,,,,1.3,,,,,
2016-03-31,10.5,18.2,2.7,0.0,9.0,,,,1.4,,,,,
2016-04-01,9.8,16.7,2.9,0.0,4.9,,,,2.0,,,,,
2016-04-02,8.5,11.4,6.3,0.0,0.0,,,,1.4,,,,,
2016-04-03,11.7,17.8,4.2,0.0,6.0,,,,1.4,,,,,
2016-04-04,14.0,21.0,10.0,1.5,2.6,,,,1.1,,,,,
2016-04-05,8.6,11.9,6.3,2.0,0.0,,,,1.6,,,,,
2016-04-06,10.9,20.8,2.9,0.0,7.4,,,,1.0,,,,,
2016-04-07,9.0,10.7,7.3,8.0,0.0,,,,0.5,,,,,
2016-04-08,12.3,20.6,7.0,0.0,3.5,,,,0.9,,,,,
2016-04-09,12.3,21.7,4.6,0.0,7.5,,,,1.4,,,,,
2016-04-10,12.5,20.7,5.9,0.0,1.0,,,,0.8,,,,,
2016-04-11,8.3,14.4,3.7,0.0,8.5,,,,2.4,,,,,
