calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-3.7,-0.5,-8.3,0.0,7.8,,,,2.8,,,,,
2016-01-02,0.5,5.7,-9.1,0.0,6.2,,,,2.6,,,,,
2016-01-03,3.7,8.9,-1.6,0.0,7.7,,,,2.3,,,,,
2016-01-04,3.7,9.7,-1.4,0.0,7.7,,,,2.9,,,,,
2016-01-05,1.7,5.8,-1.2,0.0,6.2,,,,3.4,,,,,
2016-01-06,-0.6,2.5,-2.3,0.0,1.0,,,,2.0,,,,,
2016-01-07,-1.9,0.6,-5.9,0.0,3.0,,,,3.2,,,,,
2016-01-08,-2.0,2.3,-7.5,0.0,7.5,,,,2.2,,,,,
2016-01-09,-3.1,1.7,-7.1,0.0,7.2,,,,2.3,,,,,
2016-01-10,-1.6,3.1,-7.9,0.0,6.7,,,,3.1,,,,,
2016-01-11,-3.5,-1.1,-5.5,0.0,7.5,,,,3.7,,,,,
2016-01-12,-4.8,-0.6,-7.6,0.0,6.6,,,,2.3,,,,,
2016-01-13,-4.0,0.8,-10.6,0.0,7.4,,,,2.9,,,,,
2016-01-14,-3.1,0.2,-7.6,0.0,4.8,,,,3.4,,,,,
2016-01-15,-3.6,0.3,-9.3,0.0,5.5,,,,2.3,,,,,
2016-01-16,-5.1,-0.1,-9.2,0.0,7.4,,,,2.2,,,,,
2016-01-17,-3.9,1.4,-9.2,2.0,4.0,,,,1.7,,,,,
2016-01-18,-2.1,1.9,-5.4,31.0,1.1,,,,3.0,,,,,
2016-01-19,-6.7,-2.2,-9.3,6.0,4.1,,,,4.0,,,,,
2016-01-20,-6.9,-4.3,-10.3,15.0,0.3,,,,4.0,,,,,
2016-01-21,-6.1,-3.6,-8.4,0.0,4.9,,,,2.8,,,,,
2016-01-22,-6.3,-3.5,-8.7,0.0,6.4,,,,3.6,,,,,
2016-01-23,-6.6,-1.6,-10.0,2.0,3.6,,,,1.5,,,,,
2016-01-24,-8.5,-4.3,-11.5,0.5,2.9,,,,4.1,,,,,
2016-01-25,-9.0,-5.5,-12.1,0.0,5.9,,,,3.1,,,,,
2016-01-26,-6.8,-0.1,-14.3,0.0,8.0,,,,1.7,,,,,
2016-01-27,-2.3,2.2,-10.2,0.0,8.0,,,,2.4,,,,,
2016-01-28,-1.0,4.0,-7.5,0.0,8.2,,,,2.2,,,,,
2016-01-29,-1.9,-0.6,-3.3,28.5,0.0,,,,,,,,,
2016-01-30,-3.1,0.2,-7.4,12.5,0.6,,,,,,,,,
2016-01-31,-2.7,0.4,-8.7,0.0,8.3,,,,2.3,,,,,
2016-02-01,-5.3,-2.3,-10.3,0.0,2.8,,,,2.5,,,,,
2016-02-02,-6.3,-3.4,-9.9,0.0,5.7,,,,2.7,,,,,
2016-02-03,-8.6,-2.1,-14.1,0.0,8.5,,,,1.9,,,,,
2016-02-04,-5.7,0.7,-14.6,0.0,8.5,,,,1.7,,,,,
2016-02-05,-4.2,1.9,-9.3,0.0,8.5,,,,1.8,,,,,
2016-02-06,-4.4,0.3,-10.9,0.0,4.8,,,,2.2,,,,,
2016-02-07,-8.9,-4.5,-13.8,0.0,7.7,,,,2.2,,,,,
2016-02-08,-8.6,-1.7,-15.6,0.0,8.3,,,,1.7,,,,,
2016-02-09,-4.0,-1.3,-6.6,2.5,2.2,,,,4.1,,,,,
2016-02-10,-6.8,-5.0,-8.4,0.5,5.7,,,,3.9,,,,,
2016-02-11,-5.5,2.8,-12.6,0.0,8.8,,,,1.6,,,,,
2016-02-12,-1.6,5.9,-9.2,0.0,8.3,,,,1.7,,,,,
2016-02-13,6.8,10.7,2.7,0.0,5.1,,,,3.8,,,,,
2016-02-14,8.0,14.4,2.3,32.0,3.7,,,,4.6,,,,,
2016-02-15,-4.0,5.6,-8.9,0.0,2.2,,,,3.6,,,,,
2016-02-16,-5.4,-1.0,-11.6,0.0,7.6,,,,3.0,,,,,
2016-02-17,-5.2,-2.1,-9.0,0.0,4.3,,,,2.8,,,,,
2016-02-18,-4.8,3.5,-12.0,0.0,9.4,,,,1.7,,,,,
2016-02-19,1.4,5.6,-3.8,0.0,9.4,,,,3.5,,,,,
2016-02-20,0.4,7.8,-1.5,22.5,0.0,,,,1.0,,,,,
2016-02-21,-0.5,5.8,-5.3,0.0,6.5,,,,3.8,,,,,
2016-02-22,-2.4,2.7,-6.4,0.0,8.8,,,,1.7,,,,,
2016-02-23,0.3,6.2,-4.0,0.0,7.0,,,,1.8,,,,,
2016-02-24,-5.2,-1.6,-7.4,0.0,8.5,,,,2.8,,,,,
2016-02-25,-6.8,-2.5,-9.6,0.0,7.1,,,,2.2,,,,,
2016-02-26,-4.4,-0.4,-8.9,0.0,7.2,,,,2.6,,,,,
2016-02-27,-2.0,3.9,-9.5,0.0,8.5,,,,2.1,,,,,
2016-02-28,0.7,6.6,-2.3,0.0,9.0,,,,2.7,,,,,
2016-02-29,-1.5,5.8,-8.1,5.0,0.8,,,,2.5,,,,,
2016-03-01,-8.8,-6.1,-11.9,0.5,5.6,,,,3.5,,,,,
2016-03-02,-4.8,0.0,-11.8,0.0,10.2,,,,2.5,,,,,
2016-03-03,0.7,5.2,-6.0,0.0,10.3,,,,2.9,,,,,
2016-03-04,1.6,9.2,-3.8,0.0,10.3,,,,1.6,,,,,
2016-03-05,2.4,7.5,-2.7,0.0,2.5,,,,1.1,,,,,
2016-03-06,6.8,11.9,0.7,0.0,4.1,,,,2.5,,,,,
2016-03-07,5.8,9.6,3.3,0.0,0.3,,,,1.1,,,,,
2016-03-08,8.5,15.0,1.9,0.0,8.9,,,,2.6,,,,,
2016-03-09,1.1,4.9,-1.3,24.5,0.0,,,,,,,,,
2016-03-10,-2.9,0.3,-5.1,6.0,6.9,,,,,,,,,
2016-03-11,-4.1,-0.9,-7.2,0.0,4.5,,,,1.5,,,,,
2016-03-12,-4.3,-1.7,-6.9,0.5,0.1,,,,0.9,,,,,
2016-03-13,-2.7,0.1,-4.7,0.5,1.8,,,,1.1,,,,,
2016-03-14,-2.2,-0.8,-6.1,14.5,0.0,,,,,,,,,
2016-03-15,-3.7,-1.1,-7.9,0.0,6.8,,,,,,,,,
2016-03-16,-0.3,4.8,-8.8,0.0,8.2,,,,1.5,,,,,
2016-03-17,4.9,12.0,-1.4,0.0,11.0,,,,2.0,,,,,
2016-03-18,4.8,12.4,-1.2,1.0,5.1,,,,1.9,,,,,
2016-03-19,5.6,12.3,0.9,9.0,2.9,,,,1.7,,,,,
2016-03-20,1.0,5.3,-3.9,0.0,10.6,,,,2.4,,,,,
2016-03-21,-1.6,3.9,-5.8,0.0,11.2,,,,2.3,,,,,
2016-03-22,2.2,10.0,-6.0,0.0,11.3,,,,2.3,,,,,
2016-03-23,1.7,5.0,-2.5,1.0,2.6,,,,2.9,,,,,
2016-03-24,-2.5,1.0,-5.3,1.0,8.6,,,,2.3,,,,,
2016-03-25,-3.9,0.0,-7.1,0.0,6.8,,,,2.5,,,,,
2016-03-26,-1.3,5.8,-9.3,0.0,10.6,,,,1.9,,,,,
2016-03-27,0.7,6.8,-2.2,0.0,3.5,,,,1.4,,,,,
2016-03-28,1.2,6.9,-2.4,0.5,3.2,,,,1.0,,,,,
2016-03-29,3.8,12.1,-2.9,0.0,8.9,,,,1.7,,,,,
2016-03-30,6.4,12.7,-0.1,0.0,7.8,,,,2.7,,,,,
2016-03-31,5.4,12.5,0.8,0.0,10.4,,,,2.7,,,,,
2016-04-01,4.9,12.3,-1.0,0.0,7.1,,,,2.4,,,,,
2016-04-02,4.1,10.8,0.3,0.0,4.4,,,,1.4,,,,,
2016-04-03,7.6,14.1,2.5,0.0,2.9,,,,1.4,,,,,
2016-04-04,8.7,15.5,5.0,14.0,3.5,,,,2.2,,,,,
2016-04-05,4.0,6.5,0.3,0.0,0.1,,,,1.3,,,,,
2016-04-06,7.4,14.2,2.8,0.0,10.6,,,,2.6,,,,,
2016-04-07,6.7,16.2,1.6,27.5,0.0,,,,2.5,,,,,
2016-04-08,8.6,12.6,4.0,0.0,6.9,,,,4.2,,,,,
2016-04-09,9.3,16.6,1.2,0.0,10.4,,,,2.4,,,,,
2016-04-10,9.1,14.1,2.9,0.0,3.3,,,,1.8,,,,,
2016-04-11,-0.3,8.6,-4.4,0.0,9.4,,,,3.9,,,,,
2016-04-12,1.3,9.1,-7.4,0.0,11.2,,,,1.8,,,,,
2016-04-13,5.1,10.9,-1.3,12.0,2.8,,,,1.1,,,,,
2016-04-14,10.8,18.1,5.7,13.0,7.1,,,,1.9,,,,,
2016-04-15,5.2,8.4,1.4,0.0,12.1,,,,4.3,,,,,
2016-04-16,6.5,13.7,-0.3,0.0,10.9,,,,1.7,,,,,
2016-04-17,12.1,18.3,4.3,3.0,5.4,,,,4.0,,,,,
2016-04-18,11.1,17.5,5.4,0.0,5.0,,,,2.9,,,,,
2016-04-19,6.7,14.3,-1.2,0.0,12.5,,,,2.9,,,,,
2016-04-20,5.5,14.0,-2.4,0.0,12.0,,,,1.9,,,,,
2016-04-21,7.0,13.4,1.4,21.0,0.5,,,,1.7,,,,,
2016-04-22,13.2,18.4,6.2,0.5,10.1,,,,2.9,,,,,
2016-04-23,10.8,17.5,6.8,1.0,5.6,,,,1.4,,,,,
2016-04-24,10.3,15.9,6.5,0.0,5.5,,,,1.8,,,,,
2016-04-25,9.1,15.7,4.7,0.0,6.2,,,,1.5,,,,,
2016-04-26,11.7,21.2,2.3,0.0,12.3,,,,1.9,,,,,
2016-04-27,10.6,17.6,5.6,0.0,7.7,,,,1.8,,,,,
2016-04-28,7.5,8.8,6.6,49.5,0.0,,,,2.4,,,,,
2016-04-29,3.5,6.9,1.1,0.0,6.5,,,,4.0,,,,,
2016-04-30,7.0,12.8,1.2,0.0,8.9,,,,3.1,,,,,
2016-05-01,11.8,17.5,4.9,0.0,7.1,,,,3.1,,,,,
2016-05-02,11.1,17.9,5.6,0.0,10.1,,,,1.6,,,,,
2016-05-03,10.6,14.3,6.2,0.0,1.5,,,,2.0,,,,,
2016-05-04,12.7,17.3,6.4,16.5,9.2,,,,3.4,,,,,
2016-05-05,11.2,15.5,6.1,0.0,12.3,,,,3.7,,,,,
2016-05-06,9.4,13.3,3.9,0.0,2.3,,,,1.4,,,,,
2016-05-07,14.6,22.3,8.6,0.0,9.1,,,,4.5,,,,,
2016-05-08,10.8,17.0,5.8,0.0,11.5,,,,2.7,,,,,
2016-05-09,8.9,11.8,4.5,6.5,0.0,,,,1.6,,,,,
2016-05-10,12.5,17.7,9.6,11.5,0.8,,,,1.0,,,,,
2016-05-11,13.4,18.9,10.6,10.5,0.4,,,,2.9,,,,,
2016-05-12,13.3,20.8,7.3,0.0,13.4,,,,2.2,,,,,
2016-05-13,13.5,21.0,5.1,0.0,9.7,,,,1.7,,,,,
2016-05-14,13.8,18.8,9.0,0.0,7.8,,,,1.5,,,,,
2016-05-15,11.2,17.8,7.9,0.0,5.8,,,,1.3,,,,,
2016-05-16,10.5,14.6,8.6,0.5,0.7,,,,1.3,,,,,
2016-05-17,10.8,17.5,3.3,26.5,3.5,,,,1.3,,,,,
2016-05-18,12.1,20.7,2.4,0.0,13.6,,,,2.0,,,,,
2016-05-19,12.0,19.5,4.2,0.0,11.9,,,,1.9,,,,,
2016-05-20,10.5,17.3,5.5,0.0,7.8,,,,1.5,,,,,
2016-05-21,13.3,21.5,5.2,0.0,13.2,,,,1.8,,,,,
2016-05-22,14.6,22.5,6.3,0.0,11.9,,,,2.0,,,,,
2016-05-23,16.1,24.4,8.0,0.0,11.8,,,,1.7,,,,,
2016-05-24,17.1,24.2,9.3,0.0,10.4,,,,2.0,,,,,
2016-05-25,13.5,18.0,10.2,0.0,0.2,,,,1.7,,,,,
2016-05-26,16.9,23.4,10.3,0.0,7.2,,,,1.5,,,,,
2016-05-27,13.8,18.9,6.6,1.5,3.8,,,,1.6,,,,,
2016-05-28,13.2,20.6,6.3,0.0,2.5,,,,1.5,,,,,
2016-05-29,14.0,20.4,4.4,0.0,9.0,,,,2.1,,,,,
2016-05-30,9.3,12.2,7.5,7.0,0.0,,,,1.4,,,,,
2016-05-31,14.9,22.4,8.0,0.5,11.2,,,,1.5,,,,,
2016-06-01,11.0,15.1,6.0,0.0,13.2,,,,3.8,,,,,
2016-06-02,8.6,13.9,4.3,0.0,9.5,,,,2.8,,,,,
2016-06-03,11.1,19.7,1.8,0.0,12.0,,,,1.7,,,,,
2016-06-04,14.7,21.1,6.6,0.0,9.4,,,,1.8,,,,,
2016-06-05,14.5,19.8,8.7,0.0,7.8,,,,1.6,,,,,
2016-06-06,12.6,18.2,6.2,0.0,8.6,,,,1.8,,,,,
2016-06-07,12.9,17.2,11.6,2.0,0.2,,,,1.2,,,,,
2016-06-08,13.4,15.2,12.1,0.5,0.0,,,,0.7,,,,,
2016-06-09,13.9,16.9,10.7,14.0,0.0,,,,0.9,,,,,
2016-06-10,16.0,22.9,8.6,0.0,11.5,,,,1.6,,,,,
2016-06-11,17.0,23.0,12.3,0.0,6.1,,,,1.7,,,,,
2016-06-12,15.5,20.6,10.5,0.5,5.8,,,,1.8,,,,,
2016-06-13,13.1,14.6,11.5,48.5,0.0,,,,1.4,,,,,
2016-06-14,15.9,21.9,12.7,2.5,2.4,,,,1.2,,,,,
2016-06-15,13.9,17.0,12.9,8.0,0.3,,,,1.4,,,,,
2016-06-16,13.5,14.4,12.9,13.0,0.0,,,,1.6,,,,,
2016-06-17,17.1,22.0,12.5,2.0,6.3,,,,1.9,,,,,
2016-06-18,17.9,24.1,12.6,0.0,13.1,,,,2.1,,,,,
2016-06-19,15.3,19.9,12.3,12.0,2.1,,,,1.4,,,,,
2016-06-20,17.1,23.3,12.7,0.0,8.1,,,,1.6,,,,,
2016-06-21,14.6,18.9,12.5,2.0,2.4,,,,1.2,,,,,
2016-06-22,15.4,18.2,12.0,2.0,0.5,,,,1.1,,,,,
2016-06-23,15.6,20.7,10.3,24.0,3.3,,,,1.3,,,,,
2016-06-24,14.0,17.6,9.4,15.5,2.1,,,,1.3,,,,,
2016-06-25,17.1,23.1,13.8,22.5,4.4,,,,3.9,,,,,
2016-06-26,15.6,19.8,11.7,0.0,4.4,,,,2.5,,,,,
2016-06-27,16.3,21.8,10.0,1.0,8.6,,,,1.8,,,,,
2016-06-28,12.9,14.2,10.5,23.5,0.0,,,,0.9,,,,,
2016-06-29,14.2,15.4,13.3,5.0,0.0,,,,0.9,,,,,
2016-06-30,17.1,21.7,14.1,2.5,1.5,,,,0.9,,,,,
2016-07-01,19.5,26.1,13.7,0.0,8.8,,,,1.4,,,,,
2016-07-02,20.8,25.0,16.8,0.0,1.5,,,,2.4,,,,,
2016-07-03,21.8,26.6,16.8,0.0,3.2,,,,4.0,,,,,
2016-07-04,20.1,26.5,16.2,2.0,3.6,,,,1.7,,,,,
