calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,,,,0.0,,,3,4,,,,,,
2016-01-02,,,,0.0,,,2,1,,,,,,
2016-01-03,,,,0.0,,,0,0,,,,,,
2016-01-04,,,,0.0,,,0,0,,,,,,
2016-01-05,,,,1.0,,,0,0,,,,,,
2016-01-06,,,,0.0,,,0,0,,,,,,
2016-01-07,,,,0.5,,,0,0,,,,,,
2016-01-08,,,,9.5,,,6,7,,,,,,
2016-01-09,,,,0.5,,,7,2,,,,,,
2016-01-10,,,,0.0,,,5,0,,,,,,
2016-01-11,,,,0.0,,,1,0,,,,,,
2016-01-12,,,,0.5,,,0,0,,,,,,
2016-01-13,,,,4.5,,,9,9,,,,,,
2016-01-14,,,,10.5,,,22,14,,,,,,
2016-01-15,,,,2.0,,,22,3,,,,,,
2016-01-16,,,,0.0,,,18,2,,,,,,
2016-01-17,,,,18.5,,,28,18,,,,,,
2016-01-18,,,,41.0,,,33,15,,,,,,
2016-01-19,,,,8.5,,,46,19,,,,,,
2016-01-20,,,,17.0,,,65,22,,,,,,
2016-01-21,,,,3.5,,,62,3,,,,,,
2016-01-22,,,,6.0,,,63,5,,,,,,
2016-01-23,,,,26.5,,,108,53,,,,,,
2016-01-24,,,,27.5,,,148,45,,,,,,
2016-01-25,,,,4.5,,,142,3,,,,,,
2016-01-26,,,,2.0,,,126,0,,,,,,
2016-01-27,,,,0.0,,,112,0,,,,,,
2016-01-28,,,,9.0,,,97,0,,,,,,
2016-01-29,,,,20.5,,,79,0,,,,,,
2016-01-30,,,,0.0,,,66,0,,,,,,
2016-01-31,,,,1.0,,,61,2,,,,,,
2016-02-01,,,,0.0,,,59,1,,,,,,
2016-02-02,,,,2.0,,,58,3,,,,,,
2016-02-03,,,,1.5,,,57,2,,,,,,
2016-02-04,,,,0.0,,,57,0,,,,,,
2016-02-05,,,,0.0,,,56,0,,,,,,
2016-02-06,,,,6.5,,,68,16,,,,,,
2016-02-07,,,,3.5,,,72,5,,,,,,
2016-02-08,,,,0.5,,,66,4,,,,,,
2016-02-09,,,,0.0,,,63,1,,,,,,
2016-02-10,,,,0.0,,,60,2,,,,,,
2016-02-11,,,,0.0,,,57,2,,,,,,
2016-02-12,,,,5.0,,,54,1,,,,,,
2016-02-13,,,,48.0,,,44,1,,,,,,
2016-02-14,,,,9.0,,,33,0,,,,,,
2016-02-15,,,,13.5,,,52,29,,,,,,
2016-02-16,,,,15.0,,,75,24,,,,,,
2016-02-17,,,,3.0,,,78,7,,,,,,
2016-02-18,,,,0.0,,,69,1,,,,,,
2016-02-19,,,,0.0,,,57,1,,,,,,
2016-02-20,,,,54.5,,,45,1,,,,,,
2016-02-21,,,,3.5,,,43,7,,,,,,
2016-02-22,,,,0.0,,,41,1,,,,,,
2016-02-23,,,,3.0,,,40,3,,,,,,
2016-02-24,,,,3.0,,,47,13,,,,,,
2016-02-25,,,,3.5,,,52,6,,,,,,
2016-02-26,,,,0.5,,,50,4,,,,,,
2016-02-27,,,,3.0,,,44,6,,,,,,
2016-02-28,,,,0.0,,,43,2,,,,,,
