calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,,,,0.0,,,4,0,,,,,,
2016-01-02,,,,2.5,,,9,5,,,,,,
2016-01-03,,,,0.0,,,5,0,,,,,,
2016-01-04,,,,0.0,,,4,0,,,,,,
2016-01-05,,,,0.0,,,5,1,,,,,,
2016-01-06,,,,0.0,,,5,0,,,,,,
2016-01-07,,,,0.0,,,5,1,,,,,,
2016-01-08,,,,0.0,,,5,2,,,,,,
2016-01-09,,,,0.0,,,4,0,,,,,,
2016-01-10,,,,0.0,,,5,1,,,,,,
2016-01-11,,,,0.0,,,5,1,,,,,,
2016-01-12,,,,0.0,,,4,0,,,,,,
2016-01-13,,,,0.0,,,5,1,,,,,,
2016-01-14,,,,10.5,,,24,19,,,,,,
2016-01-15,,,,0.0,,,19,1,,,,,,
2016-01-16,,,,0.0,,,16,2,,,,,,
2016-01-17,,,,0.5,,,16,2,,,,,,
2016-01-18,,,,0.0,,,14,1,,,,,,
2016-01-19,,,,0.0,,,14,0,,,,,,
2016-01-20,,,,0.0,,,13,0,,,,,,
2016-01-21,,,,2.0,,,20,9,,,,,,
2016-01-22,,,,0.5,,,19,2,,,,,,
2016-01-23,,,,0.0,,,18,1,,,,,,
2016-01-24,,,,0.0,,,17,1,,,,,,
2016-01-25,,,,0.0,,,16,0,,,,,,
2016-01-26,,,,0.0,,,15,0,,,,,,
2016-01-27,,,,0.5,,,14,2,,,,,,
2016-01-28,,,,0.0,,,14,0,,,,,,
2016-01-29,,,,0.0,,,14,1,,,,,,
2016-01-30,,,,0.0,,,13,0,,,,,,
2016-01-31,,,,0.0,,,13,0,,,,,,
2016-02-01,,,,0.0,,,13,0,,,,,,
2016-02-02,,,,0.5,,,17,5,,,,,,
2016-02-03,,,,1.0,,,20,3,,,,,,
2016-02-04,,,,0.0,,,16,1,,,,,,
2016-02-05,,,,0.0,,,15,0,,,,,,
2016-02-06,,,,0.0,,,15,2,,,,,,
2016-02-07,,,,0.0,,,15,1,,,,,,
2016-02-08,,,,0.0,,,15,1,,,,,,
2016-02-09,,,,4.5,,,23,10,,,,,,
2016-02-10,,,,6.5,,,30,15,,,,,,
2016-02-11,,,,0.0,,,30,0,,,,,,
2016-02-12,,,,0.0,,,26,0,,,,,,
2016-02-13,,,,0.0,,,23,0,,,,,,
2016-02-14,,,,14.5,,,15,1,,,,,,
2016-02-15,,,,0.0,,,10,1,,,,,,
2016-02-16,,,,0.0,,,10,1,,,,,,
2016-02-17,,,,0.0,,,10,1,,,,,,
2016-02-18,,,,0.5,,,11,2,,,,,,
2016-02-19,,,,0.5,,,9,0,,,,,,
2016-02-20,,,,7.0,,,13,9,,,,,,
2016-02-21,,,,11.0,,,31,18,,,,,,
2016-02-22,,,,0.0,,,28,0,,,,,,
2016-02-23,,,,6.5,,,34,14,,,,,,
2016-02-24,,,,1.5,,,34,4,,,,,,
2016-02-25,,,,0.0,,,34,0,,,,,,
2016-02-26,,,,0.0,,,30,1,,,,,,
2016-02-27,,,,0.0,,,31,3,,,,,,
2016-02-28,,,,0.0,,,29,0,,,,,,
2016-02-29,,,,8.0,,,34,6,,,,,,
2016-03-01,,,,3.5,,,32,8,,,,,,
2016-03-02,,,,0.5,,,32,2,,,,,,
2016-03-03,,,,0.5,,,30,2,,,,,,
2016-03-04,,,,0.0,,,30,0,,,,,,
2016-03-05,,,,0.0,,,28,0,,,,,,
2016-03-06,,,,8.0,,,27,0,,,,,,
2016-03-07,,,,0.5,,,17,0,,,,,,
2016-03-08,,,,0.5,,,10,0,,,,,,
2016-03-09,,,,0.0,,,8,0,,,,,,
2016-03-10,,,,0.0,,,8,1,,,,,,
2016-03-11,,,,0.0,,,9,1,,,,,,
2016-03-12,,,,0.0,,,9,0,,,,,,
2016-03-13,,,,1.0,,,8,3,,,,,,
2016-03-14,,,,0.0,,,7,1,,,,,,
2016-03-15,,,,0.0,,,0,0,,,,,,
2016-03-16,,,,0.0,,,0,0,,,,,,
2016-03-17,,,,0.0,,,0,0,,,,,,
2016-03-18,,,,0.0,,,0,0,,,,,,
2016-03-19,,,,7.5,,,0,0,,,,,,
2016-03-20,,,,0.0,,,0,0,,,,,,
2016-03-21,,,,0.0,,,0,0,,,,,,
2016-03-22,,,,0.0,,,0,0,,,,,,
2016-03-23,,,,1.0,,,2,2,,,,,,
2016-03-24,,,,0.0,,,0,0,,,,,,
2016-03-25,,,,0.0,,,0,0,,,,,,
2016-03-26,,,,0.0,,,2,2,,,,,,
2016-03-27,,,,0.0,,,0,0,,,,,,
2016-03-28,,,,0.0,,,0,0,,,,,,
2016-03-29,,,,0.0,,,0,0,,,,,,
2016-03-30,,,,12.0,,,0,0,,,,,,
2016-03-31,,,,0.0,,,0,0,,,,,,
2016-04-01,,,,0.0,,,0,0,,,,,,
