calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,,,,0.0,,,63,0,,,,,,
2016-01-02,,,,3.0,,,64,9,,,,,,
2016-01-03,,,,0.0,,,63,0,,,,,,
2016-01-04,,,,0.0,,,60,1,,,,,,
2016-01-05,,,,5.5,,,73,16,,,,,,
2016-01-06,,,,2.0,,,77,11,,,,,,
2016-01-07,,,,0.5,,,78,1,,,,,,
2016-01-08,,,,3.0,,,80,8,,,,,,
2016-01-09,,,,1.5,,,77,3,,,,,,
2016-01-10,,,,6.5,,,88,14,,,,,,
2016-01-11,,,,0.0,,,86,0,,,,,,
2016-01-12,,,,0.5,,,80,1,,,,,,
2016-01-13,,,,0.0,,,79,0,,,,,,
2016-01-14,,,,4.0,,,83,8,,,,,,
2016-01-15,,,,0.5,,,79,2,,,,,,
2016-01-16,,,,0.0,,,78,1,,,,,,
2016-01-17,,,,0.0,,,77,0,,,,,,
2016-01-18,,,,6.5,,,81,8,,,,,,
2016-01-19,,,,14.5,,,98,17,,,,,,
2016-01-20,,,,4.0,,,99,6,,,,,,
2016-01-21,,,,5.5,,,114,15,,,,,,
2016-01-22,,,,1.0,,,109,4,,,,,,
2016-01-23,,,,0.0,,,106,0,,,,,,
2016-01-24,,,,0.0,,,101,1,,,,,,
2016-01-25,,,,1.5,,,100,4,,,,,,
2016-01-26,,,,0.0,,,98,0,,,,,,
2016-01-27,,,,2.5,,,101,11,,,,,,
2016-01-28,,,,2.0,,,105,4,,,,,,
2016-01-29,,,,0.0,,,100,0,,,,,,
2016-01-30,,,,0.0,,,95,0,,,,,,
2016-01-31,,,,0.0,,,93,1,,,,,,
2016-02-01,,,,0.0,,,92,0,,,,,,
2016-02-02,,,,0.0,,,90,2,,,,,,
2016-02-03,,,,0.0,,,90,0,,,,,,
2016-02-04,,,,0.0,,,89,2,,,,,,
2016-02-05,,,,2.0,,,96,10,,,,,,
2016-02-06,,,,0.0,,,95,3,,,,,,
2016-02-07,,,,7.5,,,107,17,,,,,,
2016-02-08,,,,0.0,,,106,0,,,,,,
2016-02-09,,,,6.0,,,108,10,,,,,,
2016-02-10,,,,9.5,,,126,24,,,,,,
2016-02-11,,,,0.5,,,127,1,,,,,,
2016-02-12,,,,0.0,,,116,0,,,,,,
2016-02-13,,,,0.0,,,109,0,,,,,,
2016-02-14,,,,7.5,,,97,0,,,,,,
2016-02-15,,,,0.5,,,93,4,,,,,,
2016-02-16,,,,2.0,,,97,6,,,,,,
2016-02-17,,,,6.0,,,107,13,,,,,,
2016-02-18,,,,3.5,,,113,8,,,,,,
2016-02-19,,,,6.0,,,103,2,,,,,,
2016-02-20,,,,5.5,,,105,10,,,,,,
2016-02-21,,,,11.5,,,121,22,,,,,,
2016-02-22,,,,0.5,,,120,0,,,,,,
2016-02-23,,,,1.0,,,119,9,,,,,,
2016-02-24,,,,2.0,,,121,5,,,,,,
2016-02-25,,,,0.5,,,118,2,,,,,,
2016-02-26,,,,1.5,,,121,4,,,,,,
2016-02-27,,,,1.0,,,120,2,,,,,,
2016-02-28,,,,0.0,,,117,0,,,,,,
2016-02-29,,,,4.0,,,130,22,,,,,,
2016-03-01,,,,13.0,,,146,25,,,,,,
2016-03-02,,,,0.0,,,144,1,,,,,,
2016-03-03,,,,0.5,,,137,5,,,,,,
2016-03-04,,,,0.5,,,138,2,,,,,,
2016-03-05,,,,0.0,,,129,0,,,,,,
2016-03-06,,,,10.0,,,125,0,,,,,,
2016-03-07,,,,0.0,,,117,0,,,,,,
2016-03-08,,,,0.5,,,113,4,,,,,,
2016-03-09,,,,0.5,,,112,2,,,,,,
2016-03-10,,,,0.0,,,112,4,,,,,,
2016-03-11,,,,1.5,,,115,5,,,,,,
2016-03-12,,,,0.5,,,116,1,,,,,,
2016-03-13,,,,0.0,,,113,0,,,,,,
2016-03-14,,,,0.0,,,109,1,,,,,,
2016-03-15,,,,0.0,,,107,0,,,,,,
2016-03-16,,,,0.0,,,106,0,,,,,,
2016-03-17,,,,0.0,,,100,0,,,,,,
2016-03-18,,,,0.0,,,95,0,,,,,,
2016-03-19,,,,1.5,,,89,0,,,,,,
2016-03-20,,,,3.0,,,93,7,,,,,,
2016-03-21,,,,0.5,,,95,3,,,,,,
2016-03-22,,,,0.0,,,89,3,,,,,,
2016-03-23,,,,1.5,,,89,3,,,,,,
2016-03-24,,,,3.5,,,92,7,,,,,,
2016-03-25,,,,7.5,,,101,14,,,,,,
2016-03-26,,,,1.5,,,103,3,,,,,,
2016-03-27,,,,0.0,,,91,0,,,,,,
2016-03-28,,,,1.5,,,86,0,,,,,,
2016-03-29,,,,0.0,,,81,0,,,,,,
2016-03-30,,,,3.0,,,77,0,,,,,,
2016-03-31,,,,0.0,,,74,1,,,,,,
2016-04-01,,,,0.0,,,70,0,,,,,,
2016-04-02,,,,0.0,,,66,0,,,,,,
2016-04-03,,,,3.0,,,61,0,,,,,,
2016-04-04,,,,0.0,,,58,0,,,,,,
2016-04-05,,,,1.5,,,53,0,,,,,,
2016-04-06,,,,0.0,,,47,0,,,,,,
2016-04-07,,,,1.5,,,42,0,,,,,,
2016-04-08,,,,0.5,,,39,0,,,,,,
2016-04-09,,,,0.0,,,32,0,,,,,,
2016-04-10,,,,0.0,,,28,0,,,,,,
2016-04-11,,,,4.5,,,35,12,,,,,,
2016-04-12,,,,0.0,,,35,0,,,,,,
2016-04-13,,,,2.5,,,26,0,,,,,,
2016-04-14,,,,4.0,,,21,0,,,,,,
2016-04-15,,,,3.0,,,15,0,,,,,,
2016-04-16,,,,0.0,,,15,0,,,,,,
2016-04-17,,,,13.0,,,8,0,,,,,,
2016-04-18,,,,3.5,,,0,0,,,,,,
2016-04-19,,,,0.5,,,0,0,,,,,,
2016-04-20,,,,0.0,,,0,0,,,,,,
2016-04-21,,,,0.0,,,0,0,,,,,,
2016-04-22,,,,0.0,,,0,0,,,,,,
2016-04-23,,,,7.5,,,0,0,,,,,,
2016-04-24,,,,0.0,,,0,0,,,,,,
2016-04-25,,,,0.0,,,0,0,,,,,,
2016-04-26,,,,0.0,,,0,0,,,,,,
2016-04-27,,,,0.0,,,0,0,,,,,,
2016-04-28,,,,5.0,,,0,0,,,,,,
2016-04-29,,,,18.0,,,0,0,,,,,,
2016-04-30,,,,7.0,,,1,1,,,,,,
2016-05-01,,,,0.0,,,0,0,,,,,,
2016-05-02,,,,0.0,,,0,0,,,,,,
2016-05-03,,,,0.0,,,0,0,,,,,,
2016-05-04,,,,8.5,,,0,0,,,,,,
2016-05-05,,,,1.5,,,0,0,,,,,,
2016-05-06,,,,0.5,,,0,0,,,,,,
2016-05-07,,,,5.5,,,0,0,,,,,,
2016-05-08,,,,0.0,,,0,0,,,,,,
2016-05-09,,,,0.0,,,0,0,,,,,,
2016-05-10,,,,1.0,,,0,0,,,,,,
2016-05-11,,,,14.5,,,0,0,,,,,,
2016-05-12,,,,2.0,,,0,0,,,,,,
2016-05-13,,,,0.0,,,0,0,,,,,,
2016-05-14,,,,0.0,,,0,0,,,,,,
2016-05-15,,,,0.0,,,0,0,,,,,,
2016-05-16,,,,1.5,,,0,0,,,,,,
2016-05-17,,,,0.5,,,0,0,,,,,,
2016-05-18,,,,0.0,,,0,0,,,,,,
2016-05-19,,,,0.0,,,0,0,,,,,,
2016-05-20,,,,0.0,,,0,0,,,,,,
2016-05-21,,,,0.0,,,0,0,,,,,,
2016-05-22,,,,0.0,,,0,0,,,,,,
2016-05-23,,,,0.0,,,0,0,,,,,,
2016-05-24,,,,0.0,,,0,0,,,,,,
2016-05-25,,,,2.0,,,0,0,,,,,,
2016-05-26,,,,0.0,,,0,0,,,,,,
2016-05-27,,,,0.0,,,0,0,,,,,,
2016-05-28,,,,3.0,,,0,0,,,,,,
2016-05-29,,,,0.0,,,0,0,,,,,,
2016-05-30,,,,0.0,,,0,0,,,,,,
2016-05-31,,,,28.0,,,0,0,,,,,,
2016-06-01,,,,12.5,,,0,0,,,,,,
2016-06-02,,,,0.0,,,0,0,,,,,,
2016-06-03,,,,0.5,,,0,0,,,,,,
2016-06-04,,,,7.0,,,0,0,,,,,,
2016-06-05,,,,0.0,,,0,0,,,,,,
2016-06-06,,,,0.0,,,0,0,,,,,,
2016-06-07,,,,0.0,,,0,0,,,,,,
2016-06-08,,,,1.0,,,0,0,,,,,,
2016-06-09,,,,4.5,,,0,0,,,,,,
2016-06-10,,,,0.0,,,0,0,,,,,,
2016-06-11,,,,0.0,,,0,0,,,,,,
2016-06-12,,,,0.0,,,0,0,,,,,,
2016-06-13,,,,6.5,,,0,0,,,,,,
2016-06-14,,,,1.5,,,0,0,,,,,,
2016-06-15,,,,0.0,,,0,0,,,,,,
2016-06-16,,,,4.0,,,0,0,,,,,,
2016-06-17,,,,28.0,,,0,0,,,,,,
2016-06-18,,,,0.5,,,0,0,,,,,,
2016-06-19,,,,0.0,,,0,0,,,,,,
2016-06-20,,,,10.5,,,0,0,,,,,,
2016-06-21,,,,3.0,,,0,0,,,,,,
2016-06-22,,,,0.0,,,0,0,,,,,,
2016-06-23,,,,0.0,,,0,0,,,,,,
2016-06-24,,,,0.0,,,0,0,,,,,,
2016-06-25,,,,22.0,,,0,0,,,,,,
2016-06-26,,,,4.0,,,0,0,,,,,,
2016-06-27,,,,0.0,,,0,0,,,,,,
2016-06-28,,,,0.0,,,0,0,,,,,,
2016-06-29,,,,0.0,,,0,0,,,,,,
2016-06-30,,,,0.0,,,0,0,,,,,,
2016-07-01,,,,0.0,,,0,0,,,,,,
2016-07-02,,,,30.0,,,0,0,,,,,,
2016-07-03,,,,0.0,,,0,0,,,,,,
2016-07-04,,,,0.0,,,0,0,,,,,,
2016-07-05,,,,0.0,,,0,0,,,,,,
2016-07-06,,,,0.0,,,0,0,,,,,,
2016-07-07,,,,0.0,,,0,0,,,,,,
2016-07-08,,,,0.0,,,0,0,,,,,,
2016-07-09,,,,0.0,,,0,0,,,,,,
2016-07-10,,,,21.0,,,0,0,,,,,,
2016-07-11,,,,0.0,,,0,0,,,,,,
2016-07-12,,,,0.0,,,0,0,,,,,,
2016-07-13,,,,0.0,,,0,0,,,,,,
2016-07-14,,,,0.0,,,0,0,,,,,,
2016-07-15,,,,0.0,,,0,0,,,,,,
2016-07-16,,,,0.0,,,0,0,,,,,,
2016-07-17,,,,0.0,,,0,0,,,,,,
2016-07-18,,,,1.0,,,0,0,,,,,,
2016-07-19,,,,5.5,,,0,0,,,,,,
2016-07-20,,,,0.0,,,0,0,,,,,,
2016-07-21,,,,0.0,,,0,0,,,,,,
2016-07-22,,,,0.0,,,0,0,,,,,,
2016-07-23,,,,0.0,,,0,0,,,,,,
2016-07-24,,,,0.0,,,0,0,,,,,,
2016-07-25,,,,0.0,,,0,0,,,,,,
2016-07-26,,,,0.0,,,0,0,,,,,,
2016-07-27,,,,13.5,,,0,0,,,,,,
2016-07-28,,,,6.5,,,0,0,,,,,,
2016-07-29,,,,18.5,,,0,0,,,,,,
2016-07-30,,,,0.0,,,0,0,,,,,,
2016-07-31,,,,0.0,,,0,0,,,,,,
2016-08-01,,,,0.0,,,0,0,,,,,,
2016-08-02,,,,23.0,,,0,0,,,,,,
2016-08-03,,,,0.0,,,0,0,,,,,,
2016-08-04,,,,0.0,,,0,0,,,,,,
2016-08-05,,,,0.0,,,0,0,,,,,,
2016-08-06,,,,0.0,,,0,0,,,,,,
2016-08-07,,,,0.0,,,0,0,,,,,,
2016-08-08,,,,0.0,,,0,0,,,,,,
2016-08-09,,,,6.0,,,0,0,,,,,,
2016-08-10,,,,0.0,,,0,0,,,,,,
2016-08-11,,,,0.0,,,0,0,,,,,,
2016-08-12,,,,0.0,,,0,0,,,,,,
2016-08-13,,,,0.0,,,0,0,,,,,,
2016-08-14,,,,0.0,,,0,0,,,,,,
2016-08-15,,,,1.5,,,0,0,,,,,,
2016-08-16,,,,30.0,,,0,0,,,,,,
2016-08-17,,,,105.0,,,0,0,,,,,,
2016-08-18,,,,0.0,,,0,0,,,,,,
2016-08-19,,,,0.0,,,0,0,,,,,,
2016-08-20,,,,35.0,,,0,0,,,,,,
2016-08-21,,,,3.5,,,0,0,,,,,,
2016-08-22,,,,20.0,,,0,0,,,,,,
2016-08-23,,,,31.0,,,0,0,,,,,,
2016-08-24,,,,0.0,,,0,0,,,,,,
2016-08-25,,,,0.0,,,0,0,,,,,,
2016-08-26,,,,2.5,,,0,0,,,,,,
2016-08-27,,,,0.0,,,0,0,,,,,,
2016-08-28,,,,0.0,,,0,0,,,,,,
2016-08-29,,,,0.0,,,0,0,,,,,,
2016-08-30,,,,49.5,,,0,0,,,,,,
2016-08-31,,,,4.0,,,0,0,,,,,,
2016-09-01,,,,0.0,,,0,0,,,,,,
2016-09-02,,,,0.0,,,0,0,,,,,,
2016-09-03,,,,0.0,,,0,0,,,,,,
2016-09-04,,,,0.0,,,0,0,,,,,,
2016-09-05,,,,0.0,,,0,0,,,,,,
2016-09-06,,,,20.0,,,0,0,,,,,,
2016-09-07,,,,0.0,,,0,0,,,,,,
2016-09-08,,,,18.5,,,0,0,,,,,,
2016-09-09,,,,19.5,,,0,0,,,,,,
2016-09-10,,,,0.0,,,0,0,,,,,,
2016-09-11,,,,0.0,,,0,0,,,,,,
2016-09-12,,,,0.0,,,0,0,,,,,,
2016-09-13,,,,0.0,,,0,0,,,,,,
2016-09-14,,,,0.0,,,0,0,,,,,,
2016-09-15,,,,0.5,,,0,0,,,,,,
2016-09-16,,,,0.0,,,0,0,,,,,,
2016-09-17,,,,9.0,,,0,0,,,,,,
2016-09-18,,,,1.5,,,0,0,,,,,,
2016-09-19,,,,0.5,,,0,0,,,,,,
2016-09-20,,,,0.0,,,0,0,,,,,,
2016-09-21,,,,0.0,,,0,0,,,,,,
2016-09-22,,,,0.0,,,0,0,,,,,,
2016-09-23,,,,8.5,,,0,0,,,,,,
2016-09-24,,,,0.0,,,0,0,,,,,,
2016-09-25,,,,0.0,,,0,0,,,,,,
2016-09-26,,,,0.0,,,0,0,,,,,,
2016-09-27,,,,0.0,,,0,0,,,,,,
2016-09-28,,,,2.0,,,0,0,,,,,,
2016-09-29,,,,0.0,,,0,0,,,,,,
2016-09-30,,,,0.0,,,0,0,,,,,,
2016-10-01,,,,0.0,,,0,0,,,,,,
2016-10-02,,,,0.0,,,0,0,,,,,,
2016-10-03,,,,4.0,,,0,0,,,,,,
2016-10-04,,,,11.5,,,0,0,,,,,,
2016-10-05,,,,5.5,,,0,0,,,,,,
2016-10-06,,,,3.0,,,0,0,,,,,,
2016-10-07,,,,0.0,,,0,0,,,,,,
2016-10-08,,,,0.5,,,0,0,,,,,,
2016-10-09,,,,1.5,,,0,0,,,,,,
2016-10-10,,,,2.5,,,0,0,,,,,,
2016-10-11,,,,3.5,,,0,0,,,,,,
2016-10-12,,,,0.0,,,0,0,,,,,,
2016-10-13,,,,0.0,,,0,0,,,,,,
2016-10-14,,,,0.5,,,0,0,,,,,,
2016-10-15,,,,0.0,,,0,0,,,,,,
2016-10-16,,,,0.0,,,0,0,,,,,,
2016-10-17,,,,1.0,,,0,0,,,,,,
2016-10-18,,,,0.0,,,0,0,,,,,,
2016-10-19,,,,0.0,,,0,0,,,,,,
2016-10-20,,,,7.0,,,0,0,,,,,,
2016-10-21,,,,5.5,,,9,9,,,,,,
2016-10-22,,,,1.5,,,0,0,,,,,,
2016-10-23,,,,0.0,,,0,0,,,,,,
2016-10-24,,,,0.0,,,0,0,,,,,,
2016-10-25,,,,0.0,,,0,0,,,,,,
2016-10-26,,,,6.5,,,0,0,,,,,,
2016-10-27,,,,0.5,,,0,0,,,,,,
2016-10-28,,,,0.5,,,0,0,,,,,,
2016-10-29,,,,0.5,,,0,0,,,,,,
2016-10-30,,,,1.0,,,0,0,,,,,,
2016-10-31,,,,10.0,,,0,0,,,,,,
2016-11-01,,,,0.0,,,0,0,,,,,,
2016-11-02,,,,0.0,,,0,0,,,,,,
2016-11-03,,,,2.5,,,0,0,,,,,,
2016-11-04,,,,0.0,,,1,1,,,,,,
2016-11-05,,,,36.0,,,12,12,,,,,,
2016-11-06,,,,17.0,,,38,37,,,,,,
2016-11-07,,,,0.0,,,29,0,,,,,,
2016-11-08,,,,5.5,,,22,0,,,,,,
2016-11-09,,,,5.5,,,27,20,,,,,,
2016-11-10,,,,0.0,,,24,0,,,,,,
2016-11-11,,,,4.0,,,18,0,,,,,,
2016-11-12,,,,2.0,,,13,0,,,,,,
2016-11-13,,,,5.5,,,7,0,,,,,,
2016-11-14,,,,0.0,,,3,0,,,,,,
2016-11-15,,,,5.0,,,2,0,,,,,,
2016-11-16,,,,1.5,,,5,5,,,,,,
2016-11-17,,,,0.0,,,5,4,,,,,,
2016-11-18,,,,5.0,,,3,0,,,,,,
2016-11-19,,,,0.0,,,0,0,,,,,,
2016-11-20,,,,2.0,,,0,0,,,,,,
2016-11-21,,,,0.5,,,4,4,,,,,,
2016-11-22,,,,1.0,,,3,3,,,,,,
2016-11-23,,,,0.0,,,0,0,,,,,,
2016-11-24,,,,0.0,,,1,2,,,,,,
2016-11-25,,,,0.0,,,2,2,,,,,,
2016-11-26,,,,0.0,,,3,1,,,,,,
2016-11-27,,,,0.5,,,3,2,,,,,,
2016-11-28,,,,0.0,,,1,1,,,,,,
2016-11-29,,,,0.0,,,1,1,,,,,,
2016-11-30,,,,0.0,,,0,0,,,,,,
2016-12-01,,,,4.5,,,0,0,,,,,,
2016-12-02,,,,6.5,,,15,17,,,,,,
2016-12-03,,,,0.0,,,13,0,,,,,,
2016-12-04,,,,0.0,,,7,0,,,,,,
2016-12-05,,,,0.0,,,0,0,,,,,,
2016-12-06,,,,8.5,,,20,20,,,,,,
2016-12-07,,,,0.0,,,17,0,,,,,,
2016-12-08,,,,0.0,,,14,3,,,,,,
2016-12-09,,,,2.0,,,13,5,,,,,,
2016-12-10,,,,12.5,,,45,34,,,,,,
2016-12-11,,,,4.0,,,45,10,,,,,,
2016-12-12,,,,0.0,,,42,0,,,,,,
2016-12-13,,,,1.0,,,33,0,,,,,,
2016-12-14,,,,4.5,,,38,13,,,,,,
2016-12-15,,,,11.5,,,58,26,,,,,,
2016-12-16,,,,1.5,,,58,1,,,,,,
2016-12-17,,,,0.0,,,50,1,,,,,,
2016-12-18,,,,0.0,,,43,0,,,,,,
2016-12-19,,,,0.0,,,34,0,,,,,,
2016-12-20,,,,0.0,,,32,0,,,,,,
2016-12-21,,,,0.0,,,31,0,,,,,,
2016-12-22,,,,30.5,,,60,32,,,,,,
2016-12-23,,,,20.5,,,91,31,,,,,,
2016-12-24,,,,0.5,,,90,1,,,,,,
2016-12-25,,,,0.0,,,81,1,,,,,,
2016-12-26,,,,2.5,,,75,1,,,,,,
2016-12-27,,,,2.0,,,74,9,,,,,,
2016-12-28,,,,0.0,,,72,0,,,,,,
2016-12-29,,,,3.0,,,70,4,,,,,,
2016-12-30,,,,3.0,,,77,13,,,,,,
2016-12-31,,,,1.0,,,80,3,,,,,,
2017-01-01,,,,0.0,,,72,0,,,,,,
2017-01-02,,,,0.0,,,67,0,,,,,,
2017-01-03,,,,0.0,,,65,0,,,,,,
2017-01-04,,,,0.5,,,66,5,,,,,,
2017-01-05,,,,9.0,,,90,26,,,,,,
