calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,,,,2.0,,,35,4,,,,,,
2016-01-02,,,,9.0,,,37,9,,,,,,
2016-01-03,,,,0.0,,,31,0,,,,,,
2016-01-04,,,,0.0,,,27,0,,,,,,
2016-01-05,,,,0.5,,,28,3,,,,,,
2016-01-06,,,,0.5,,,26,1,,,,,,
2016-01-07,,,,2.0,,,31,8,,,,,,
2016-01-08,,,,1.0,,,29,2,,,,,,
2016-01-09,,,,5.5,,,37,13,,,,,,
2016-01-10,,,,2.5,,,39,7,,,,,,
2016-01-11,,,,0.5,,,39,2,,,,,,
2016-01-12,,,,1.0,,,38,2,,,,,,
2016-01-13,,,,0.5,,,39,6,,,,,,
2016-01-14,,,,0.5,,,42,4,,,,,,
2016-01-15,,,,0.0,,,39,0,,,,,,
2016-01-16,,,,3.5,,,44,11,,,,,,
2016-01-17,,,,3.0,,,51,12,,,,,,
2016-01-18,,,,0.0,,,50,0,,,,,,
2016-01-19,,,,0.0,,,44,1,,,,,,
2016-01-20,,,,0.0,,,40,1,,,,,,
2016-01-21,,,,2.0,,,44,6,,,,,,
2016-01-22,,,,4.0,,,48,7,,,,,,
2016-01-23,,,,3.0,,,54,7,,,,,,
2016-01-24,,,,0.0,,,50,0,,,,,,
2016-01-25,,,,0.0,,,47,2,,,,,,
2016-01-26,,,,0.0,,,46,2,,,,,,
2016-01-27,,,,0.0,,,43,2,,,,,,
2016-01-28,,,,0.5,,,45,4,,,,,,
2016-01-29,,,,3.5,,,54,11,,,,,,
2016-01-30,,,,1.0,,,52,5,,,,,,
2016-01-31,,,,7.5,,,72,27,,,,,,
2016-02-01,,,,1.5,,,71,8,,,,,,
2016-02-02,,,,2.5,,,73,8,,,,,,
2016-02-03,,,,1.5,,,72,6,,,,,,
2016-02-04,,,,1.5,,,66,4,,,,,,
2016-02-05,,,,3.0,,,68,9,,,,,,
2016-02-06,,,,4.5,,,77,13,,,,,,
2016-02-07,,,,0.5,,,77,4,,,,,,
2016-02-08,,,,0.0,,,71,0,,,,,,
2016-02-09,,,,1.5,,,69,5,,,,,,
2016-02-10,,,,2.0,,,83,15,,,,,,
2016-02-11,,,,1.5,,,85,6,,,,,,
2016-02-12,,,,0.0,,,75,0,,,,,,
2016-02-13,,,,0.5,,,70,0,,,,,,
2016-02-14,,,,9.5,,,62,8,,,,,,
2016-02-15,,,,4.0,,,66,10,,,,,,
2016-02-16,,,,3.5,,,72,9,,,,,,
2016-02-17,,,,0.5,,,72,2,,,,,,
2016-02-18,,,,0.0,,,69,0,,,,,,
2016-02-19,,,,14.0,,,77,14,,,,,,
2016-02-20,,,,0.0,,,70,0,,,,,,
2016-02-21,,,,2.0,,,74,11,,,,,,
2016-02-22,,,,3.0,,,79,7,,,,,,
2016-02-23,,,,5.0,,,83,10,,,,,,
2016-02-24,,,,0.5,,,83,2,,,,,,
2016-02-25,,,,2.0,,,88,11,,,,,,
2016-02-26,,,,0.0,,,86,1,,,,,,
2016-02-27,,,,5.0,,,96,16,,,,,,
2016-02-28,,,,1.0,,,97,2,,,,,,
2016-02-29,,,,0.0,,,92,5,,,,,,
2016-03-01,,,,0.5,,,95,7,,,,,,
2016-03-02,,,,0.5,,,96,2,,,,,,
2016-03-03,,,,0.0,,,93,0,,,,,,
2016-03-04,,,,0.0,,,90,0,,,,,,
2016-03-05,,,,0.0,,,89,2,,,,,,
2016-03-06,,,,14.0,,,86,0,,,,,,
2016-03-07,,,,0.5,,,72,0,,,,,,
2016-03-08,,,,3.0,,,67,3,,,,,,
2016-03-09,,,,0.0,,,67,0,,,,,,
2016-03-10,,,,0.5,,,67,2,,,,,,
2016-03-11,,,,2.5,,,71,7,,,,,,
2016-03-12,,,,1.0,,,73,3,,,,,,
2016-03-13,,,,0.5,,,70,2,,,,,,
2016-03-14,,,,1.0,,,68,0,,,,,,
2016-03-15,,,,0.0,,,65,0,,,,,,
2016-03-16,,,,0.0,,,64,0,,,,,,
2016-03-17,,,,0.0,,,57,1,,,,,,
2016-03-18,,,,0.0,,,51,0,,,,,,
2016-03-19,,,,0.0,,,45,1,,,,,,
2016-03-20,,,,0.0,,,44,1,,,,,,
2016-03-21,,,,0.0,,,44,0,,,,,,
2016-03-22,,,,0.0,,,43,1,,,,,,
2016-03-23,,,,4.5,,,47,9,,,,,,
2016-03-24,,,,0.0,,,43,0,,,,,,
2016-03-25,,,,0.5,,,42,5,,,,,,
2016-03-26,,,,0.5,,,41,2,,,,,,
2016-03-27,,,,0.0,,,38,1,,,,,,
2016-03-28,,,,5.5,,,27,1,,,,,,
2016-03-29,,,,0.0,,,22,0,,,,,,
2016-03-30,,,,2.5,,,16,0,,,,,,
2016-03-31,,,,0.0,,,9,0,,,,,,
2016-04-01,,,,0.0,,,5,0,,,,,,
2016-04-02,,,,0.0,,,0,0,,,,,,
2016-04-03,,,,2.5,,,0,0,,,,,,
2016-04-04,,,,0.0,,,0,0,,,,,,
2016-04-05,,,,1.5,,,0,0,,,,,,
2016-04-06,,,,0.0,,,0,0,,,,,,
2016-04-07,,,,0.0,,,0,0,,,,,,
2016-04-08,,,,1.0,,,0,0,,,,,,
2016-04-09,,,,3.0,,,0,0,,,,,,
2016-04-10,,,,0.0,,,0,0,,,,,,
2016-04-11,,,,1.0,,,0,0,,,,,,
2016-04-12,,,,0.0,,,0,0,,,,,,
2016-04-13,,,,5.5,,,0,0,,,,,,
2016-04-14,,,,7.5,,,0,0,,,,,,
2016-04-15,,,,0.5,,,0,0,,,,,,
2016-04-16,,,,0.5,,,0,0,,,,,,
2016-04-17,,,,6.5,,,0,0,,,,,,
2016-04-18,,,,6.5,,,0,0,,,,,,
2016-04-19,,,,0.0,,,0,0,,,,,,
2016-04-20,,,,0.5,,,0,0,,,,,,
2016-04-21,,,,0.0,,,0,0,,,,,,
2016-04-22,,,,0.0,,,0,0,,,,,,
2016-04-23,,,,5.0,,,0,0,,,,,,
2016-04-24,,,,0.0,,,0,0,,,,,,
2016-04-25,,,,0.0,,,0,0,,,,,,
2016-04-26,,,,0.0,,,0,0,,,,,,
2016-04-27,,,,0.0,,,0,0,,,,,,
2016-04-28,,,,0.0,,,0,0,,,,,,
2016-04-29,,,,0.0,,,0,0,,,,,,
2016-04-30,,,,1.5,,,0,0,,,,,,
2016-05-01,,,,0.0,,,0,0,,,,,,
2016-05-02,,,,0.0,,,0,0,,,,,,
2016-05-03,,,,0.0,,,0,0,,,,,,
2016-05-04,,,,4.0,,,0,0,,,,,,
2016-05-05,,,,7.0,,,0,0,,,,,,
2016-05-06,,,,1.5,,,0,0,,,,,,
2016-05-07,,,,2.5,,,0,0,,,,,,
2016-05-08,,,,0.0,,,0,0,,,,,,
2016-05-09,,,,0.0,,,0,0,,,,,,
2016-05-10,,,,0.0,,,0,0,,,,,,
2016-05-11,,,,3.0,,,0,0,,,,,,
2016-05-12,,,,2.0,,,0,0,,,,,,
2016-05-13,,,,0.0,,,0,0,,,,,,
2016-05-14,,,,0.0,,,0,0,,,,,,
2016-05-15,,,,0.0,,,0,0,,,,,,
2016-05-16,,,,0.0,,,0,0,,,,,,
2016-05-17,,,,6.0,,,0,0,,,,,,
2016-05-18,,,,0.0,,,0,0,,,,,,
2016-05-19,,,,0.0,,,0,0,,,,,,
2016-05-20,,,,0.0,,,0,0,,,,,,
2016-05-21,,,,0.0,,,0,0,,,,,,
2016-05-22,,,,0.0,,,0,0,,,,,,
2016-05-23,,,,0.0,,,0,0,,,,,,
2016-05-24,,,,0.0,,,0,0,,,,,,
2016-05-25,,,,1.0,,,0,0,,,,,,
2016-05-26,,,,0.0,,,0,0,,,,,,
2016-05-27,,,,2.5,,,0,0,,,,,,
2016-05-28,,,,0.5,,,0,0,,,,,,
2016-05-29,,,,0.0,,,0,0,,,,,,
2016-05-30,,,,0.0,,,0,0,,,,,,
2016-05-31,,,,12.5,,,0,0,,,,,,
2016-06-01,,,,10.5,,,0,0,,,,,,
2016-06-02,,,,0.0,,,0,0,,,,,,
2016-06-03,,,,0.0,,,0,0,,,,,,
2016-06-04,,,,15.0,,,0,0,,,,,,
2016-06-05,,,,0.0,,,0,0,,,,,,
2016-06-06,,,,0.0,,,0,0,,,,,,
2016-06-07,,,,0.0,,,0,0,,,,,,
2016-06-08,,,,0.0,,,0,0,,,,,,
2016-06-09,,,,0.5,,,0,0,,,,,,
2016-06-10,,,,0.5,,,0,0,,,,,,
2016-06-11,,,,0.0,,,0,0,,,,,,
2016-06-12,,,,0.0,,,0,0,,,,,,
2016-06-13,,,,40.0,,,0,0,,,,,,
2016-06-14,,,,3.0,,,0,0,,,,,,
2016-06-15,,,,0.0,,,0,0,,,,,,
2016-06-16,,,,4.0,,,0,0,,,,,,
2016-06-17,,,,5.0,,,0,0,,,,,,
2016-06-18,,,,4.5,,,0,0,,,,,,
2016-06-19,,,,0.0,,,0,0,,,,,,
2016-06-20,,,,6.5,,,0,0,,,,,,
2016-06-21,,,,0.0,,,0,0,,,,,,
2016-06-22,,,,0.0,,,0,0,,,,,,
2016-06-23,,,,0.0,,,0,0,,,,,,
2016-06-24,,,,0.0,,,0,0,,,,,,
2016-06-25,,,,8.5,,,0,0,,,,,,
2016-06-26,,,,3.0,,,0,0,,,,,,
2016-06-27,,,,0.0,,,0,0,,,,,,
