calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,,,,0.0,,,56,1,,,,,,
2016-01-02,,,,7.5,,,55,5,,,,,,
2016-01-03,,,,0.0,,,53,0,,,,,,
2016-01-04,,,,0.5,,,53,7,,,,,,
2016-01-05,,,,3.0,,,59,7,,,,,,
2016-01-06,,,,1.0,,,61,3,,,,,,
2016-01-07,,,,2.0,,,64,11,,,,,,
2016-01-08,,,,1.0,,,62,2,,,,,,
2016-01-09,,,,2.0,,,63,6,,,,,,
2016-01-10,,,,4.0,,,71,10,,,,,,
2016-01-11,,,,2.0,,,70,4,,,,,,
2016-01-12,,,,3.5,,,74,11,,,,,,
2016-01-13,,,,2.5,,,78,8,,,,,,
2016-01-14,,,,10.0,,,90,22,,,,,,
2016-01-15,,,,8.0,,,104,20,,,,,,
2016-01-16,,,,4.5,,,105,8,,,,,,
2016-01-17,,,,0.0,,,99,0,,,,,,
2016-01-18,,,,0.0,,,90,0,,,,,,
2016-01-19,,,,1.0,,,86,2,,,,,,
2016-01-20,,,,9.0,,,94,14,,,,,,
2016-01-21,,,,7.5,,,101,9,,,,,,
2016-01-22,,,,1.0,,,97,3,,,,,,
2016-01-23,,,,3.0,,,107,12,,,,,,
2016-01-24,,,,2.0,,,102,7,,,,,,
2016-01-25,,,,2.5,,,103,8,,,,,,
2016-01-26,,,,5.5,,,107,10,,,,,,
2016-01-27,,,,4.5,,,121,14,,,,,,
2016-01-28,,,,0.0,,,111,1,,,,,,
2016-01-29,,,,0.5,,,108,1,,,,,,
2016-01-30,,,,1.0,,,107,9,,,,,,
2016-01-31,,,,1.5,,,108,4,,,,,,
2016-02-01,,,,1.0,,,107,5,,,,,,
2016-02-02,,,,4.0,,,118,12,,,,,,
2016-02-03,,,,0.0,,,112,4,,,,,,
2016-02-04,,,,7.0,,,122,21,,,,,,
2016-02-05,,,,1.0,,,122,4,,,,,,
2016-02-06,,,,3.5,,,120,7,,,,,,
2016-02-07,,,,1.5,,,120,5,,,,,,
2016-02-08,,,,0.0,,,116,0,,,,,,
2016-02-09,,,,3.0,,,115,9,,,,,,
2016-02-10,,,,4.5,,,122,11,,,,,,
2016-02-11,,,,0.0,,,120,1,,,,,,
