calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,5.5,11.0,0.6,0.5,9.5,,,,2.6,,,,,
2016-01-02,4.0,11.1,-0.9,0.0,7.9,,,,1.1,,,,,
2016-01-03,5.6,14.9,-1.3,0.0,9.1,,,,0.9,,,,,
2016-01-04,6.7,14.4,0.0,0.0,9.3,,,,1.1,,,,,
2016-01-05,8.1,15.6,1.8,0.0,7.1,,,,1.3,,,,,
2016-01-06,6.0,8.8,3.1,0.0,0.0,,,,1.0,,,,,
2016-01-07,5.3,13.1,0.4,0.0,8.2,,,,1.3,,,,,
2016-01-08,3.9,9.9,-1.1,0.0,9.2,,,,1.0,,,,,
2016-01-09,4.7,11.9,-2.3,0.0,9.4,,,,1.3,,,,,
2016-01-10,6.2,13.2,-1.2,0.0,9.5,,,,1.6,,,,,
2016-01-11,5.0,10.0,-0.4,0.0,8.8,,,,1.6,,,,,
2016-01-12,2.1,3.7,-1.6,0.0,0.0,,,,1.2,,,,,
2016-01-13,1.0,8.0,-4.5,0.0,9.3,,,,1.0,,,,,
2016-01-14,3.7,11.5,-3.7,0.0,9.2,,,,1.6,,,,,
2016-01-15,4.1,9.4,-0.1,0.0,7.8,,,,1.6,,,,,
2016-01-16,5.0,11.8,-0.7,0.0,8.7,,,,1.9,,,,,
2016-01-17,4.0,7.9,-1.2,2.5,4.8,,,,1.4,,,,,
2016-01-18,2.5,5.6,0.2,34.5,0.1,,,,3.6,,,,,
2016-01-19,3.6,7.2,-1.5,0.0,9.5,,,,3.6,,,,,
2016-01-20,1.6,5.9,-2.6,0.0,8.3,,,,4.2,,,,,
2016-01-21,3.9,8.7,-0.1,0.0,8.7,,,,3.3,,,,,
2016-01-22,3.7,9.3,-1.5,0.0,9.4,,,,2.8,,,,,
2016-01-23,1.7,5.7,-1.6,0.0,1.8,,,,1.7,,,,,
2016-01-24,1.5,6.4,-2.2,0.0,9.4,,,,3.7,,,,,
2016-01-25,1.5,6.8,-2.4,0.0,9.9,,,,3.2,,,,,
2016-01-26,1.6,8.9,-4.9,0.0,9.8,,,,1.2,,,,,
2016-01-27,4.4,13.2,-4.1,0.0,9.8,,,,1.6,,,,,
2016-01-28,5.3,13.4,-2.2,0.0,9.7,,,,1.0,,,,,
2016-01-29,4.0,7.7,0.2,9.0,0.1,,,,1.8,,,,,
2016-01-30,2.2,4.5,0.3,3.0,0.1,,,,1.8,,,,,
2016-01-31,4.4,10.0,-1.3,0.0,8.2,,,,1.1,,,,,
2016-02-01,3.2,6.1,0.6,0.0,0.0,,,,1.2,,,,,
2016-02-02,4.2,9.8,-0.6,0.0,9.3,,,,2.7,,,,,
2016-02-03,2.1,7.8,-3.8,0.0,9.4,,,,1.1,,,,,
2016-02-04,2.9,9.5,-3.2,0.0,10.0,,,,1.1,,,,,
2016-02-05,4.9,13.2,-2.9,0.0,9.4,,,,1.5,,,,,
2016-02-06,5.3,10.1,0.6,3.0,2.3,,,,2.0,,,,,
2016-02-07,3.1,8.1,-0.3,0.5,9.8,,,,1.8,,,,,
2016-02-08,1.9,7.2,-1.7,0.0,4.2,,,,1.7,,,,,
2016-02-09,3.8,11.9,-3.1,0.0,9.2,,,,2.0,,,,,
2016-02-10,4.5,8.6,2.1,0.0,10.3,,,,5.0,,,,,
2016-02-11,3.0,9.3,-3.8,0.0,10.4,,,,1.3,,,,,
2016-02-12,4.1,10.5,-2.3,0.0,3.3,,,,1.0,,,,,
2016-02-13,10.9,18.4,5.3,0.0,4.6,,,,1.0,,,,,
2016-02-14,13.7,21.1,8.6,5.5,3.4,,,,1.6,,,,,
2016-02-15,5.9,12.3,0.1,5.5,0.0,,,,1.7,,,,,
2016-02-16,3.0,9.0,-1.7,0.0,10.0,,,,,,,,,
2016-02-17,4.2,11.0,-1.6,0.0,10.2,,,,2.6,,,,,
2016-02-18,3.7,10.1,-3.1,0.0,9.6,,,,1.4,,,,,
2016-02-19,8.0,17.0,-1.2,0.0,10.0,,,,1.4,,,,,
