calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,2.9,10.5,-3.2,0.0,8.7,,,,1.5,,,,,
2016-01-02,2.5,11.2,-2.2,0.0,6.9,,,,0.8,,,,,
2016-01-03,4.7,17.2,-2.7,0.0,8.7,,,,1.0,,,,,
2016-01-04,5.6,15.6,-1.3,0.0,8.6,,,,0.9,,,,,
2016-01-05,5.0,13.5,-1.4,0.0,4.5,,,,1.1,,,,,
2016-01-06,3.5,7.7,-0.5,0.0,0.0,,,,0.6,,,,,
2016-01-07,3.2,11.9,-2.9,0.0,7.3,,,,1.2,,,,,
2016-01-08,1.2,10.0,-3.5,0.0,4.1,,,,0.8,,,,,
2016-01-09,2.3,10.3,-4.3,0.0,8.8,,,,1.0,,,,,
2016-01-10,3.5,12.8,-2.6,0.0,8.8,,,,1.0,,,,,
2016-01-11,2.3,9.7,-4.1,0.0,7.7,,,,1.6,,,,,
2016-01-12,0.9,3.6,-4.4,0.0,0.0,,,,0.7,,,,,
2016-01-13,-0.3,8.5,-6.9,0.0,8.8,,,,1.1,,,,,
2016-01-14,1.5,11.0,-6.2,0.0,7.5,,,,1.0,,,,,
2016-01-15,1.0,8.5,-2.9,0.0,3.8,,,,0.9,,,,,
2016-01-16,2.1,10.5,-4.0,0.0,8.3,,,,1.0,,,,,
2016-01-17,2.2,8.9,-5.0,2.0,5.0,,,,0.9,,,,,
2016-01-18,2.7,8.1,-1.2,30.5,0.0,,,,2.0,,,,,
2016-01-19,2.3,7.5,-1.6,0.0,8.7,,,,1.7,,,,,
2016-01-20,0.7,6.3,-4.9,0.0,6.8,,,,1.9,,,,,
2016-01-21,0.4,9.1,-5.0,0.0,6.4,,,,1.0,,,,,
2016-01-22,1.2,9.1,-4.8,0.0,8.0,,,,1.5,,,,,
2016-01-23,-0.6,3.6,-5.5,3.0,0.1,,,,0.8,,,,,
2016-01-24,-0.4,5.9,-5.6,0.0,6.0,,,,,,,,,
2016-01-25,-1.9,6.3,-7.7,0.0,6.4,,,,1.2,,,,,
2016-01-26,-0.5,8.8,-7.1,0.0,9.1,,,,1.0,,,,,
2016-01-27,1.6,12.5,-5.8,0.0,9.1,,,,1.0,,,,,
2016-01-28,3.2,14.0,-4.7,0.0,8.9,,,,1.1,,,,,
2016-01-29,1.4,5.9,-1.2,14.5,0.0,,,,,,,,,
2016-01-30,0.6,3.0,-0.4,5.5,0.0,,,,,,,,,
2016-01-31,1.9,8.5,-2.4,0.0,8.9,,,,0.9,,,,,
2016-02-01,2.2,6.5,-1.0,0.0,1.6,,,,1.2,,,,,
2016-02-02,1.1,9.0,-4.0,0.0,6.4,,,,1.2,,,,,
2016-02-03,-0.1,8.7,-6.7,0.0,9.2,,,,1.1,,,,,
2016-02-04,0.6,8.7,-5.4,0.0,9.1,,,,1.0,,,,,
2016-02-05,2.2,12.3,-4.5,0.0,8.7,,,,1.1,,,,,
2016-02-06,2.5,7.9,-2.0,2.5,1.5,,,,1.1,,,,,
2016-02-07,1.0,7.3,-4.4,0.0,8.2,,,,1.4,,,,,
2016-02-08,-1.4,6.2,-6.6,0.0,2.1,,,,0.8,,,,,
2016-02-09,2.3,11.5,-5.2,0.0,8.3,,,,1.2,,,,,
2016-02-10,1.3,7.2,-4.8,0.0,9.5,,,,2.5,,,,,
2016-02-11,0.9,10.7,-6.3,0.0,9.6,,,,1.1,,,,,
2016-02-12,3.2,10.5,-4.7,0.0,2.1,,,,0.8,,,,,
2016-02-13,10.1,18.5,5.3,0.0,3.5,,,,0.9,,,,,
2016-02-14,15.0,20.5,9.3,6.5,2.7,,,,2.4,,,,,
2016-02-15,3.7,10.4,-3.5,1.0,0.0,,,,1.3,,,,,
2016-02-16,0.2,8.3,-6.1,0.0,9.6,,,,1.5,,,,,
2016-02-17,0.9,10.8,-5.1,0.0,7.5,,,,1.8,,,,,
2016-02-18,1.2,9.6,-6.6,0.0,8.2,,,,1.2,,,,,
2016-02-19,5.4,16.0,-3.0,0.0,9.7,,,,1.1,,,,,
2016-02-20,6.1,11.4,1.0,16.5,0.0,,,,0.6,,,,,
2016-02-21,6.5,12.7,-1.3,0.0,6.8,,,,2.5,,,,,
2016-02-22,3.1,10.0,-3.5,0.0,6.7,,,,1.3,,,,,
2016-02-23,4.2,9.6,0.4,0.5,1.7,,,,1.1,,,,,
2016-02-24,3.5,7.4,-0.6,0.0,2.9,,,,2.6,,,,,
2016-02-25,1.0,7.8,-2.9,0.0,7.3,,,,1.2,,,,,
2016-02-26,1.7,10.7,-5.1,0.0,7.8,,,,1.2,,,,,
2016-02-27,2.5,10.9,-5.2,0.0,9.3,,,,1.5,,,,,
2016-02-28,4.0,11.9,-3.0,0.0,10.2,,,,1.7,,,,,
2016-02-29,5.2,12.1,1.3,2.0,0.2,,,,1.3,,,,,
2016-03-01,1.4,6.5,-4.2,0.0,7.6,,,,2.2,,,,,
2016-03-02,1.2,10.3,-6.7,0.0,10.0,,,,1.2,,,,,
2016-03-03,5.2,15.4,-4.0,0.0,10.4,,,,1.5,,,,,
2016-03-04,4.1,11.6,-2.4,0.0,9.7,,,,1.5,,,,,
2016-03-05,6.5,10.0,2.4,0.0,0.1,,,,0.9,,,,,
2016-03-06,11.8,17.7,6.2,0.0,3.4,,,,1.3,,,,,
2016-03-07,13.0,15.7,10.6,3.5,0.0,,,,1.4,,,,,
2016-03-08,13.7,19.6,10.1,0.0,2.5,,,,1.0,,,,,
2016-03-09,5.3,12.5,1.3,15.5,0.0,,,,1.1,,,,,
2016-03-10,3.9,6.9,1.7,0.0,0.1,,,,2.4,,,,,
2016-03-11,3.0,5.7,1.3,0.0,0.0,,,,0.9,,,,,
2016-03-12,3.1,7.3,1.1,0.0,1.7,,,,1.4,,,,,
2016-03-13,4.0,7.7,-1.1,0.0,0.3,,,,1.3,,,,,
2016-03-14,4.3,6.2,2.9,12.5,0.0,,,,1.7,,,,,
2016-03-15,4.5,10.5,-0.9,0.0,10.0,,,,2.4,,,,,
2016-03-16,4.5,12.6,-3.7,0.0,5.6,,,,1.3,,,,,
2016-03-17,9.4,20.3,0.7,0.0,10.9,,,,1.5,,,,,
2016-03-18,11.6,20.9,1.7,0.0,8.6,,,,1.8,,,,,
2016-03-19,12.5,17.0,8.6,5.5,1.1,,,,0.9,,,,,
2016-03-20,8.9,15.5,4.6,0.0,7.4,,,,1.7,,,,,
2016-03-21,5.2,11.6,0.0,0.0,2.8,,,,1.4,,,,,
2016-03-22,6.3,15.1,-2.5,0.0,9.8,,,,1.4,,,,,
2016-03-23,6.1,14.9,0.4,7.5,1.3,,,,1.3,,,,,
2016-03-24,3.6,8.4,-1.5,0.0,2.1,,,,1.0,,,,,
2016-03-25,3.2,10.4,-2.7,0.0,9.5,,,,1.8,,,,,
2016-03-26,4.3,14.5,-3.6,0.0,10.5,,,,1.4,,,,,
2016-03-27,5.8,13.4,-1.1,0.0,4.8,,,,1.5,,,,,
2016-03-28,9.2,16.3,3.3,0.0,4.6,,,,1.6,,,,,
2016-03-29,8.5,17.3,0.2,0.0,10.5,,,,1.6,,,,,
2016-03-30,11.9,20.7,4.2,0.0,9.7,,,,1.7,,,,,
2016-03-31,12.6,20.2,6.3,0.0,10.5,,,,2.1,,,,,
2016-04-01,9.7,17.5,4.4,0.0,6.8,,,,1.4,,,,,
2016-04-02,9.5,13.6,6.7,0.0,0.1,,,,1.0,,,,,
2016-04-03,12.7,17.9,8.2,0.5,0.4,,,,1.6,,,,,
2016-04-04,12.7,17.8,8.1,14.0,0.0,,,,1.1,,,,,
2016-04-05,8.2,11.2,3.2,0.5,0.0,,,,1.3,,,,,
2016-04-06,10.2,20.4,0.7,0.0,10.1,,,,1.3,,,,,
2016-04-07,10.4,12.6,6.9,35.0,0.0,,,,0.7,,,,,
2016-04-08,12.7,20.7,7.7,0.5,6.4,,,,1.6,,,,,
2016-04-09,13.6,22.3,4.6,0.0,10.4,,,,1.7,,,,,
2016-04-10,13.1,22.2,7.0,0.0,4.9,,,,1.2,,,,,
2016-04-11,7.8,13.2,0.8,0.0,7.8,,,,3.4,,,,,
2016-04-12,6.7,14.2,-0.9,0.0,11.3,,,,1.8,,,,,
2016-04-13,11.1,17.0,5.7,3.5,0.0,,,,1.2,,,,,
2016-04-14,14.3,18.7,11.0,29.5,0.1,,,,1.4,,,,,
2016-04-15,11.9,17.0,2.5,0.0,11.5,,,,3.3,,,,,
2016-04-16,9.2,16.3,0.0,0.0,3.1,,,,1.4,,,,,
2016-04-17,15.6,23.1,7.0,0.0,0.9,,,,3.1,,,,,
2016-04-18,14.2,20.4,9.8,0.5,0.4,,,,1.0,,,,,
2016-04-19,10.7,18.5,6.2,2.5,,,,,1.1,,,,,
2016-04-20,9.5,17.4,2.7,0.0,10.6,,,,1.6,,,,,
2016-04-21,12.6,18.4,6.6,13.0,0.0,,,,1.0,,,,,
2016-04-22,15.4,22.7,10.8,1.0,9.4,,,,1.6,,,,,
2016-04-23,15.6,20.9,11.5,0.0,2.8,,,,1.0,,,,,
2016-04-24,13.2,18.3,10.1,0.5,2.2,,,,1.8,,,,,
2016-04-25,13.6,19.8,9.2,0.0,6.1,,,,1.3,,,,,
2016-04-26,16.0,24.8,8.0,0.0,9.5,,,,1.3,,,,,
2016-04-27,14.9,20.9,10.8,0.0,7.0,,,,1.4,,,,,
2016-04-28,13.0,15.1,11.6,29.5,0.0,,,,0.8,,,,,
2016-04-29,11.7,18.1,4.4,0.0,7.3,,,,3.0,,,,,
2016-04-30,11.0,20.5,1.6,2.5,9.3,,,,1.0,,,,,
2016-05-01,13.9,22.0,7.3,0.0,7.3,,,,1.0,,,,,
2016-05-02,13.7,19.3,10.1,0.0,1.1,,,,1.1,,,,,
2016-05-03,18.5,25.4,11.5,0.0,4.2,,,,2.4,,,,,
2016-05-04,18.5,26.6,11.2,6.5,5.9,,,,2.9,,,,,
2016-05-05,16.4,25.1,8.6,0.0,10.7,,,,1.3,,,,,
2016-05-06,14.9,21.1,6.5,0.0,2.9,,,,1.7,,,,,
2016-05-07,20.1,26.9,13.2,0.0,9.7,,,,1.4,,,,,
2016-05-08,18.4,25.7,11.5,0.0,11.1,,,,1.9,,,,,
2016-05-09,16.4,22.0,10.7,3.0,4.2,,,,2.1,,,,,
2016-05-10,17.0,21.1,14.2,14.5,0.0,,,,1.0,,,,,
2016-05-11,16.7,20.6,13.6,6.0,0.0,,,,0.9,,,,,
2016-05-12,17.1,26.3,10.7,0.0,12.4,,,,1.3,,,,,
2016-05-13,17.6,26.1,9.7,0.0,9.2,,,,1.2,,,,,
2016-05-14,16.7,22.5,10.1,0.0,7.0,,,,1.3,,,,,
2016-05-15,13.5,20.9,7.4,0.0,9.6,,,,1.6,,,,,
2016-05-16,15.2,19.3,8.9,0.0,2.4,,,,0.9,,,,,
2016-05-17,14.8,18.5,10.3,37.5,0.0,,,,1.1,,,,,
2016-05-18,15.5,24.5,7.3,0.0,12.4,,,,1.7,,,,,
2016-05-19,15.7,25.2,7.5,0.0,11.4,,,,1.1,,,,,
2016-05-20,13.7,18.8,7.1,0.0,4.0,,,,1.1,,,,,
2016-05-21,16.3,24.5,8.0,0.0,7.9,,,,1.2,,,,,
2016-05-22,18.7,28.5,12.0,0.0,11.9,,,,1.3,,,,,
2016-05-23,19.6,29.9,10.4,0.0,12.1,,,,1.4,,,,,
2016-05-24,19.6,28.3,11.4,0.0,8.0,,,,1.3,,,,,
2016-05-25,19.0,23.9,15.1,0.0,0.0,,,,1.1,,,,,
2016-05-26,21.2,27.5,14.3,0.0,3.3,,,,1.5,,,,,
2016-05-27,17.4,20.5,14.7,4.5,0.0,,,,1.2,,,,,
2016-05-28,17.1,23.4,13.2,0.0,0.8,,,,0.8,,,,,
2016-05-29,19.6,27.2,11.9,0.0,10.2,,,,1.3,,,,,
2016-05-30,16.8,21.1,14.9,4.5,0.4,,,,1.1,,,,,
2016-05-31,18.9,24.8,14.3,1.5,3.7,,,,1.1,,,,,
2016-06-01,18.7,25.9,12.6,0.0,12.4,,,,1.8,,,,,
2016-06-02,17.9,23.5,10.6,0.0,11.9,,,,3.6,,,,,
2016-06-03,15.0,22.7,6.4,0.0,12.7,,,,1.8,,,,,
2016-06-04,19.4,27.4,10.3,0.0,8.0,,,,1.4,,,,,
2016-06-05,20.4,26.5,14.7,0.0,5.0,,,,0.9,,,,,
2016-06-06,17.7,23.2,13.6,0.0,3.3,,,,1.5,,,,,
2016-06-07,17.4,19.4,15.5,0.0,0.0,,,,0.8,,,,,
2016-06-08,20.2,26.5,15.8,0.0,2.9,,,,1.3,,,,,
2016-06-09,20.0,23.7,16.9,16.0,0.5,,,,0.7,,,,,
2016-06-10,21.0,27.6,16.1,0.0,10.2,,,,1.4,,,,,
2016-06-11,21.5,29.5,13.9,0.0,10.7,,,,1.5,,,,,
2016-06-12,21.9,27.2,16.9,0.0,7.4,,,,1.5,,,,,
2016-06-13,18.1,20.5,15.3,35.0,0.0,,,,1.3,,,,,
2016-06-14,19.5,26.0,14.6,0.0,5.4,,,,1.4,,,,,
2016-06-15,17.0,19.4,15.2,11.0,0.0,,,,0.7,,,,,
2016-06-16,19.6,21.7,17.1,2.0,0.0,,,,1.2,,,,,
2016-06-17,22.1,30.5,18.2,1.0,6.8,,,,1.1,,,,,
2016-06-18,23.3,31.9,15.9,0.0,12.4,,,,1.3,,,,,
2016-06-19,21.9,27.4,16.8,1.5,4.2,,,,1.7,,,,,
2016-06-20,22.0,29.8,18.1,13.0,8.8,,,,1.3,,,,,
2016-06-21,21.2,26.6,17.7,0.0,4.0,,,,0.9,,,,,
2016-06-22,20.9,24.4,18.3,0.0,0.0,,,,1.2,,,,,
2016-06-23,21.0,25.4,17.5,6.0,1.9,,,,1.2,,,,,
2016-06-24,19.9,22.9,16.8,4.5,0.0,,,,1.1,,,,,
2016-06-25,21.6,24.9,19.5,7.0,0.0,,,,0.8,,,,,
2016-06-26,22.1,28.7,17.1,5.0,7.3,,,,1.2,,,,,
2016-06-27,20.7,27.0,15.2,0.0,8.6,,,,1.4,,,,,
2016-06-28,18.4,20.4,16.4,17.5,0.0,,,,0.8,,,,,
2016-06-29,20.1,25.3,16.8,0.0,0.9,,,,1.1,,,,,
2016-06-30,21.6,25.7,19.0,0.0,0.4,,,,0.8,,,,,
2016-07-01,23.8,30.9,19.6,0.0,7.5,,,,1.1,,,,,
2016-07-02,24.1,28.7,20.3,0.0,0.4,,,,0.7,,,,,
2016-07-03,24.8,30.8,20.8,0.0,0.7,,,,0.7,,,,,
2016-07-04,23.4,28.5,21.2,9.0,1.3,,,,0.7,,,,,
2016-07-05,18.8,21.5,17.2,0.5,0.0,,,,0.7,,,,,
2016-07-06,19.9,22.7,17.2,0.0,0.0,,,,0.6,,,,,
2016-07-07,22.6,31.9,17.7,0.0,9.7,,,,1.6,,,,,
2016-07-08,22.6,27.5,18.9,0.0,0.3,,,,0.8,,,,,
2016-07-09,21.2,24.2,18.8,4.5,0.0,,,,0.6,,,,,
2016-07-10,23.8,31.0,17.9,0.0,8.0,,,,1.0,,,,,
2016-07-11,24.6,32.4,18.7,0.0,10.9,,,,1.3,,,,,
2016-07-12,23.5,28.3,20.3,0.0,8.2,,,,1.5,,,,,
2016-07-13,23.4,25.5,21.6,4.0,0.0,,,,0.6,,,,,
2016-07-14,24.1,31.6,21.0,3.0,3.2,,,,1.0,,,,,
2016-07-15,21.6,24.9,18.7,1.0,0.2,,,,0.9,,,,,
2016-07-16,21.8,27.4,17.7,0.0,2.7,,,,0.9,,,,,
2016-07-17,23.8,27.8,20.7,0.0,0.0,,,,0.6,,,,,
2016-07-18,26.0,32.2,22.4,0.0,4.7,,,,1.3,,,,,
2016-07-19,25.2,32.1,21.1,0.5,9.6,,,,1.4,,,,,
2016-07-20,23.1,27.6,19.8,5.5,5.0,,,,1.6,,,,,
2016-07-21,20.9,23.5,19.4,0.0,0.0,,,,0.7,,,,,
2016-07-22,20.1,23.9,16.8,0.0,0.0,,,,0.7,,,,,
2016-07-23,20.0,25.6,13.8,0.0,2.2,,,,1.0,,,,,
2016-07-24,21.4,28.9,15.1,0.0,6.1,,,,1.0,,,,,
2016-07-25,22.1,27.9,17.9,0.0,1.2,,,,1.0,,,,,
