calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,3.7,10.4,-1.8,0.0,9.4,,,,1.3,,,,,
2016-01-02,3.7,10.4,-1.5,0.0,6.7,,,,1.3,,,,,
2016-01-03,5.4,15.7,-2.5,0.0,8.0,,,,0.8,,,,,
2016-01-04,5.9,15.2,-1.3,0.0,9.1,,,,0.8,,,,,
2016-01-05,6.9,14.2,-1.4,0.0,7.6,,,,1.3,,,,,
2016-01-06,6.3,9.8,2.0,0.0,0.0,,,,1.1,,,,,
2016-01-07,5.6,13.1,-0.4,0.0,6.2,,,,1.2,,,,,
2016-01-08,3.1,11.3,-1.1,0.0,4.2,,,,0.9,,,,,
2016-01-09,4.3,10.7,-3.1,0.0,9.3,,,,1.3,,,,,
2016-01-10,5.6,13.0,-0.6,0.0,9.4,,,,1.7,,,,,
2016-01-11,4.2,9.3,-2.4,0.0,2.7,,,,1.7,,,,,
2016-01-12,2.1,3.6,-2.9,0.0,0.0,,,,1.2,,,,,
2016-01-13,0.5,9.2,-6.1,0.0,8.7,,,,0.8,,,,,
2016-01-14,3.8,10.9,-4.5,0.0,9.5,,,,1.5,,,,,
2016-01-15,5.2,8.3,2.6,0.0,4.9,,,,2.3,,,,,
2016-01-16,4.3,11.2,-1.8,0.0,9.4,,,,1.9,,,,,
2016-01-17,4.4,9.2,-3.2,0.0,5.4,,,,1.9,,,,,
2016-01-18,6.0,11.1,0.5,66.5,0.0,,,,4.7,,,,,
2016-01-19,4.3,7.9,-0.9,0.0,9.0,,,,4.0,,,,,
2016-01-20,1.9,7.8,-2.9,0.0,8.9,,,,2.8,,,,,
2016-01-21,2.1,8.8,-4.2,0.0,8.8,,,,1.5,,,,,
2016-01-22,2.1,9.8,-3.1,0.0,9.3,,,,1.2,,,,,
2016-01-23,1.6,5.6,-3.6,0.5,0.0,,,,1.3,,,,,
2016-01-24,1.8,6.6,-2.3,2.0,8.6,,,,3.4,,,,,
2016-01-25,0.6,7.2,-4.9,0.0,9.2,,,,2.4,,,,,
2016-01-26,0.4,9.3,-7.0,0.0,9.6,,,,0.9,,,,,
2016-01-27,2.8,12.5,-5.9,0.0,9.8,,,,1.2,,,,,
2016-01-28,3.9,13.8,-4.3,0.0,9.8,,,,0.7,,,,,
2016-01-29,4.4,8.2,0.0,17.0,0.0,,,,2.9,,,,,
2016-01-30,2.6,5.1,0.3,11.5,0.0,,,,2.0,,,,,
2016-01-31,3.7,9.8,-1.6,0.0,9.8,,,,1.1,,,,,
2016-02-01,3.2,5.5,1.5,0.5,0.0,,,,1.2,,,,,
2016-02-02,2.6,8.9,-1.6,0.0,8.4,,,,1.1,,,,,
2016-02-03,2.1,8.0,-4.9,0.0,9.9,,,,1.5,,,,,
2016-02-04,2.5,9.1,-3.5,0.0,9.9,,,,1.2,,,,,
2016-02-05,4.1,11.8,-4.3,0.0,9.3,,,,1.5,,,,,
2016-02-06,4.8,7.1,1.8,0.0,0.0,,,,2.4,,,,,
2016-02-07,2.6,7.2,-3.0,0.0,6.5,,,,1.7,,,,,
2016-02-08,1.2,8.2,-4.0,0.0,2.5,,,,1.5,,,,,
2016-02-09,3.7,12.6,-5.3,0.0,9.5,,,,1.8,,,,,
2016-02-10,2.2,9.3,-3.2,0.0,7.9,,,,1.8,,,,,
2016-02-11,1.0,10.2,-6.7,0.0,10.3,,,,1.1,,,,,
2016-02-12,4.0,9.9,-5.0,0.0,3.7,,,,0.9,,,,,
2016-02-13,13.1,19.4,6.4,0.0,5.4,,,,1.8,,,,,
2016-02-14,17.1,22.0,11.5,4.0,2.7,,,,3.3,,,,,
2016-02-15,5.2,11.6,-0.9,3.0,0.0,,,,1.9,,,,,
2016-02-16,2.4,8.8,-4.5,0.0,9.5,,,,1.1,,,,,
2016-02-17,3.4,11.3,-3.0,0.0,10.1,,,,2.0,,,,,
2016-02-18,1.8,9.8,-5.6,0.0,8.3,,,,1.2,,,,,
2016-02-19,6.7,16.5,-3.5,0.0,9.2,,,,1.3,,,,,
2016-02-20,8.5,12.7,4.6,24.5,0.6,,,,1.9,,,,,
2016-02-21,8.0,15.5,-0.5,0.0,3.1,,,,1.7,,,,,
2016-02-22,3.6,9.4,-2.4,1.5,3.7,,,,1.4,,,,,
2016-02-23,5.3,9.1,1.0,3.0,0.5,,,,1.2,,,,,
2016-02-24,3.8,6.8,0.2,0.0,0.4,,,,2.0,,,,,
2016-02-25,2.3,6.9,-0.5,0.0,6.6,,,,1.5,,,,,
2016-02-26,3.2,9.6,-4.3,0.0,10.2,,,,1.8,,,,,
2016-02-27,4.2,10.1,-3.6,0.0,10.5,,,,1.6,,,,,
2016-02-28,5.4,10.0,-2.0,0.0,9.2,,,,2.4,,,,,
2016-02-29,6.6,11.3,3.0,1.5,0.1,,,,1.4,,,,,
2016-03-01,3.2,8.5,-1.7,0.0,10.7,,,,2.6,,,,,
2016-03-02,2.9,11.5,-5.4,0.0,10.4,,,,1.7,,,,,
2016-03-03,6.5,16.9,-3.3,0.0,10.8,,,,1.6,,,,,
2016-03-04,5.7,10.8,-1.6,0.0,10.1,,,,1.8,,,,,
2016-03-05,8.1,11.6,4.5,0.0,3.7,,,,2.4,,,,,
2016-03-06,12.7,18.2,7.4,0.0,2.5,,,,2.0,,,,,
2016-03-07,13.9,15.2,11.3,14.0,0.0,,,,1.7,,,,,
2016-03-08,12.7,19.3,10.2,0.0,3.1,,,,1.2,,,,,
2016-03-09,6.3,12.3,2.9,19.0,0.0,,,,3.5,,,,,
2016-03-10,5.1,7.1,2.8,0.5,0.0,,,,2.6,,,,,
2016-03-11,3.8,5.7,1.0,0.0,0.0,,,,1.5,,,,,
2016-03-12,5.4,8.5,2.1,0.0,4.2,,,,2.4,,,,,
2016-03-13,5.5,7.5,1.5,0.0,0.0,,,,1.4,,,,,
2016-03-14,5.3,6.9,3.7,28.5,0.0,,,,1.9,,,,,
2016-03-15,6.1,13.1,-0.6,3.5,9.7,,,,2.5,,,,,
2016-03-16,4.9,12.8,-2.3,0.0,2.7,,,,0.9,,,,,
2016-03-17,8.8,17.9,-0.5,0.0,11.2,,,,1.3,,,,,
2016-03-18,12.6,20.5,0.9,0.0,9.4,,,,2.2,,,,,
2016-03-19,13.6,17.1,10.0,10.0,0.1,,,,1.5,,,,,
2016-03-20,10.2,13.2,7.9,0.0,9.1,,,,2.2,,,,,
2016-03-21,7.1,10.6,1.3,0.0,5.3,,,,2.5,,,,,
2016-03-22,6.7,15.7,-2.0,0.0,9.9,,,,1.4,,,,,
2016-03-23,7.5,12.8,1.0,0.0,3.3,,,,2.0,,,,,
2016-03-24,4.6,8.3,-1.4,1.0,2.1,,,,1.8,,,,,
2016-03-25,3.8,11.8,-3.8,0.0,8.6,,,,1.5,,,,,
2016-03-26,4.9,11.5,-0.1,0.0,6.5,,,,1.5,,,,,
2016-03-27,6.2,13.4,-0.1,0.0,3.2,,,,1.6,,,,,
2016-03-28,9.0,15.1,4.2,0.0,2.8,,,,1.6,,,,,
2016-03-29,9.0,14.9,1.0,0.0,10.7,,,,1.8,,,,,
2016-03-30,13.1,19.1,6.5,0.0,6.8,,,,1.7,,,,,
2016-03-31,12.3,19.9,3.3,0.0,10.4,,,,1.7,,,,,
2016-04-01,10.2,13.8,8.1,0.0,6.2,,,,3.3,,,,,
2016-04-02,9.6,12.3,7.8,0.0,0.0,,,,2.0,,,,,
2016-04-03,13.4,18.3,8.9,0.0,0.5,,,,1.9,,,,,
2016-04-04,13.0,21.3,8.2,18.5,1.0,,,,3.2,,,,,
2016-04-05,9.3,11.6,4.9,0.0,0.0,,,,1.8,,,,,
2016-04-06,11.5,20.1,1.1,0.0,9.9,,,,1.5,,,,,
2016-04-07,12.7,17.2,9.3,25.0,0.0,,,,1.6,,,,,
2016-04-08,12.1,16.5,8.0,0.0,3.4,,,,1.5,,,,,
2016-04-09,14.5,22.6,5.7,0.0,6.6,,,,1.8,,,,,
2016-04-10,13.3,23.3,7.6,0.0,5.0,,,,2.2,,,,,
2016-04-11,8.9,15.6,1.9,0.0,7.5,,,,2.7,,,,,
2016-04-12,7.4,12.3,0.5,0.0,11.7,,,,1.9,,,,,
2016-04-13,13.4,19.1,6.4,2.0,1.0,,,,1.4,,,,,
2016-04-14,12.6,15.9,9.6,28.0,1.1,,,,1.7,,,,,
2016-04-15,13.5,20.1,4.3,0.0,12.3,,,,2.5,,,,,
2016-04-16,12.1,18.5,1.6,0.0,3.4,,,,1.6,,,,,
2016-04-17,18.4,22.0,15.6,5.5,1.9,,,,3.6,,,,,
