calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,4.2,7.5,1.6,0.0,3.3,,,,2.1,,,,,
2016-01-02,10.7,12.6,4.2,0.5,0.6,,,,6.8,,,,,
2016-01-03,12.3,15.5,7.4,0.0,6.2,,,,4.7,,,,,
2016-01-04,11.1,14.3,7.1,0.5,1.1,,,,5.7,,,,,
2016-01-05,9.0,10.8,5.0,0.0,1.0,,,,5.0,,,,,
2016-01-06,7.1,10.6,4.5,0.0,0.2,,,,3.0,,,,,
2016-01-07,4.2,6.9,2.5,10.0,0.0,,,,2.0,,,,,
2016-01-08,4.4,7.3,2.1,33.0,0.0,,,,4.1,,,,,
2016-01-09,4.4,9.0,1.5,14.0,1.5,,,,3.3,,,,,
2016-01-10,7.4,9.2,5.1,5.5,0.3,,,,7.7,,,,,
2016-01-11,2.5,5.1,1.3,2.5,0.3,,,,2.8,,,,,
2016-01-12,1.5,3.5,-0.7,0.5,0.0,,,,2.9,,,,,
2016-01-13,2.8,6.8,-0.8,10.0,0.3,,,,4.9,,,,,
2016-01-14,2.8,5.5,0.6,20.0,0.1,,,,4.5,,,,,
2016-01-15,3.7,6.4,1.4,3.5,2.5,,,,3.8,,,,,
2016-01-16,3.9,6.5,2.0,1.0,0.4,,,,4.3,,,,,
2016-01-17,3.8,6.7,0.7,1.5,2.4,,,,3.4,,,,,
2016-01-18,6.9,10.3,4.5,30.5,0.0,,,,6.4,,,,,
2016-01-19,2.6,7.3,-0.5,5.5,0.6,,,,13.4,,,,,
2016-01-20,3.2,6.6,0.2,6.5,0.5,,,,6.0,,,,,
2016-01-21,2.3,5.1,0.5,4.5,1.6,,,,3.5,,,,,
2016-01-22,0.9,3.5,-0.7,3.0,0.5,,,,2.7,,,,,
2016-01-23,0.9,4.4,-0.7,23.0,0.7,,,,2.8,,,,,
2016-01-24,-0.5,3.7,-4.0,45.5,0.0,,,,10.1,,,,,
2016-01-25,0.6,3.0,-1.6,9.0,2.1,,,,5.4,,,,,
2016-01-26,3.5,6.4,-1.2,5.5,3.3,,,,4.7,,,,,
2016-01-27,6.2,9.0,2.8,7.5,0.7,,,,5.8,,,,,
2016-01-28,7.1,10.8,3.9,0.0,2.9,,,,4.0,,,,,
2016-01-29,3.6,4.7,2.6,20.0,0.0,,,,4.7,,,,,
2016-01-30,3.8,7.9,1.7,6.0,3.5,,,,2.4,,,,,
2016-01-31,3.6,9.0,0.8,2.5,3.3,,,,2.3,,,,,
