calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,3.3,7.8,0.5,1.5,3.1,,0,0,1.4,,,,,
2016-01-02,8.2,11.7,4.4,0.0,0.2,,0,0,2.7,,,,,
2016-01-03,8.6,14.0,5.4,0.0,2.0,,0,0,2.2,,,,,
2016-01-04,8.8,14.8,4.7,0.0,0.8,,0,0,2.5,,,,,
2016-01-05,6.3,10.4,3.9,8.0,0.1,,0,0,2.0,,,,,
2016-01-06,6.2,10.6,3.8,0.0,1.5,,0,0,1.4,,,,,
2016-01-07,3.6,5.1,2.3,26.5,0.2,,0,0,1.6,,,,,
2016-01-08,2.9,4.1,1.1,26.0,0.0,,0,0,1.6,,,,,
2016-01-09,3.1,6.5,0.3,18.5,2.6,,0,0,1.4,,,,,
2016-01-10,3.7,6.0,2.1,14.0,0.1,,0,0,1.8,,,,,
2016-01-11,3.4,7.7,1.4,4.5,1.4,,0,0,1.1,,,,,
2016-01-12,2.3,5.7,-0.7,0.0,3.4,,0,0,2.2,,,,,
2016-01-13,1.4,6.7,-1.5,25.0,1.3,,1,3,1.4,,,,,
2016-01-14,1.2,2.8,0.2,35.5,0.0,,7,12,1.5,,,,,
2016-01-15,1.5,3.6,0.3,14.5,1.5,,9,5,1.3,,,,,
2016-01-16,1.2,3.4,-0.7,10.5,0.8,,7,2,1.2,,,,,
2016-01-17,0.9,4.5,-2.2,0.0,1.9,,6,2,1.0,,,,,
2016-01-18,3.1,5.3,1.1,40.0,0.0,,6,6,2.1,,,,,
2016-01-19,-0.7,4.8,-2.2,22.5,0.0,,35,35,6.6,,,,,
2016-01-20,1.4,3.6,-1.2,11.5,0.4,,35,5,2.5,,,,,
2016-01-21,0.2,2.5,-2.3,4.5,0.5,,30,,0.5,,,,,
2016-01-22,-1.8,1.4,-4.9,1.0,0.0,,25,3,1.1,,,,,
2016-01-23,0.2,4.3,-5.2,7.0,2.0,,23,5,2.1,,,,,
2016-01-24,-2.3,1.3,-5.2,14.0,0.0,,46,26,5.1,,,,,
