calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,4.8,9.9,1.6,0.0,5.7,,,,1.1,,,,,
2016-01-02,10.2,13.9,3.4,0.0,2.1,,,,2.7,,,,,
2016-01-03,10.5,16.0,6.1,0.0,4.6,,,,1.5,,,,,
2016-01-04,10.2,16.1,5.9,0.0,3.3,,,,2.0,,,,,
2016-01-05,7.7,11.8,4.6,6.5,0.5,,,,1.5,,,,,
2016-01-06,7.9,11.8,5.3,0.0,1.6,,,,1.1,,,,,
2016-01-07,5.6,8.0,3.6,9.5,0.8,,,,1.8,,,,,
2016-01-08,4.6,6.5,3.2,19.5,0.0,,,,2.3,,,,,
2016-01-09,4.7,8.5,1.8,19.5,3.7,,,,1.8,,,,,
2016-01-10,5.4,7.9,4.1,9.5,1.0,,,,2.6,,,,,
2016-01-11,4.2,7.4,2.5,5.5,2.3,,,,2.3,,,,,
2016-01-12,2.4,4.9,0.1,0.0,4.5,,,,3.9,,,,,
2016-01-13,2.9,8.8,-0.7,21.0,1.0,,,,2.3,,,,,
2016-01-14,2.8,4.7,0.5,30.0,0.4,,,,2.8,,,,,
2016-01-15,3.5,6.6,1.8,6.5,2.1,,,,2.3,,,,,
2016-01-16,3.4,6.9,0.1,5.5,1.0,,,,2.3,,,,,
2016-01-17,3.2,7.1,-0.8,0.5,2.6,,,,1.3,,,,,
2016-01-18,5.9,9.9,3.2,25.0,0.0,,,,2.9,,,,,
2016-01-19,0.5,6.5,-1.2,19.5,0.0,,,,6.3,,,,,
2016-01-20,3.2,6.5,0.2,8.5,0.7,,,,5.0,,,,,
2016-01-21,1.8,4.2,0.1,3.5,0.0,,,,1.0,,,,,
2016-01-22,0.8,3.3,-1.0,2.5,0.1,,,,1.5,,,,,
2016-01-23,1.9,6.1,-1.5,4.5,2.3,,,,2.2,,,,,
2016-01-24,-0.8,3.8,-4.1,18.5,0.0,,,,7.0,,,,,
2016-01-25,0.3,2.7,-3.9,3.5,0.7,,,,2.5,,,,,
2016-01-26,3.1,6.6,-1.9,0.0,6.1,,,,2.0,,,,,
2016-01-27,5.6,9.0,2.8,1.5,1.6,,,,2.2,,,,,
2016-01-28,6.0,10.6,3.0,2.5,0.4,,,,1.2,,,,,
2016-01-29,4.4,5.7,3.7,23.5,0.0,,,,2.4,,,,,
2016-01-30,4.5,8.5,2.1,4.0,4.6,,,,3.5,,,,,
2016-01-31,5.5,10.5,0.8,1.5,5.8,,,,1.6,,,,,
2016-02-01,2.9,4.3,1.5,0.0,3.8,,,,5.0,,,,,
2016-02-02,2.3,4.7,0.5,0.5,2.2,,,,3.2,,,,,
2016-02-03,2.7,7.0,-0.1,0.0,7.6,,,,1.2,,,,,
2016-02-04,3.8,8.9,-0.7,2.0,2.4,,,,2.1,,,,,
2016-02-05,5.8,10.3,3.2,1.5,5.0,,,,1.5,,,,,
2016-02-06,3.8,8.6,0.5,12.5,3.4,,,,2.5,,,,,
2016-02-07,1.4,5.6,-0.9,0.5,6.4,,,,2.4,,,,,
