calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,2.9,7.4,-0.2,0.0,,,,,1.7,,,,,
2016-01-02,6.8,8.3,3.4,20.0,,,,,4.2,,,,,
2016-01-03,8.7,12.1,3.1,3.5,,,,,3.0,,,,,
2016-01-04,7.1,12.1,2.9,2.5,,,,,3.1,,,,,
2016-01-05,4.5,7.1,1.2,1.5,,,,,2.0,,,,,
2016-01-06,3.7,6.7,0.7,0.5,,,,,1.6,,,,,
2016-01-07,1.7,4.8,-0.3,7.0,,,,,1.8,,,,,
2016-01-08,1.7,5.8,-1.3,8.5,,,,,1.4,,,,,
2016-01-09,1.7,4.8,0.3,11.5,,,,,1.8,,,,,
2016-01-10,3.3,5.5,0.9,7.0,,,,,3.3,,,,,
2016-01-11,0.4,1.9,-0.3,3.0,,,,,2.1,,,,,
2016-01-12,-0.7,1.1,-3.6,0.0,,,,,2.0,,,,,
2016-01-13,-0.3,2.0,-6.6,10.0,,,,,2.0,,,,,
2016-01-14,0.1,1.8,-0.6,5.0,,,,,2.1,,,,,
2016-01-15,0.4,2.2,-2.0,8.0,,,,,1.8,,,,,
2016-01-16,0.5,1.8,-2.3,5.5,,,,,2.0,,,,,
2016-01-17,1.1,4.0,-4.1,0.5,,,,,3.3,,,,,
2016-01-18,4.3,6.7,1.5,30.5,,,,,5.8,,,,,
2016-01-19,-1.0,2.4,-2.9,15.0,,,,,10.1,,,,,
2016-01-20,1.3,4.4,-3.9,11.0,,,,,4.3,,,,,
2016-01-21,-0.7,1.5,-4.6,1.0,,,,,2.3,,,,,
2016-01-22,-1.3,1.2,-4.4,3.0,,,,,2.0,,,,,
2016-01-23,-1.4,-0.1,-5.9,6.0,,,,,2.6,,,,,
2016-01-24,-2.8,-0.5,-4.3,38.0,,,,,3.0,,,,,
2016-01-25,-1.7,0.8,-3.5,4.5,,,,,3.2,,,,,
2016-01-26,0.9,3.0,-1.2,10.0,,,,,3.3,,,,,
2016-01-27,3.2,5.4,1.5,0.5,,,,,3.3,,,,,
2016-01-28,3.5,6.9,-0.4,1.0,,,,,2.3,,,,,
2016-01-29,1.1,3.0,0.4,13.5,,,,,4.4,,,,,
2016-01-30,1.8,5.6,-0.2,3.5,,,,,2.0,,,,,
2016-01-31,1.0,4.5,-0.5,2.0,,,,,1.8,,,,,
2016-02-01,-0.5,1.1,-2.7,0.0,,,,,1.8,,,,,
2016-02-02,-1.0,0.4,-2.6,1.5,,,,,1.3,,,,,
2016-02-03,-0.8,2.0,-4.0,0.5,,,,,1.0,,,,,
2016-02-04,0.7,4.7,-6.3,5.0,,,,,2.0,,,,,
2016-02-05,2.1,4.9,-0.9,0.5,,,,,2.1,,,,,
2016-02-06,-0.1,1.1,-1.5,5.0,,,,,2.7,,,,,
2016-02-07,-2.3,0.9,-7.6,0.5,,,,,1.4,,,,,
2016-02-08,-0.1,4.7,-8.6,6.0,,,,,2.3,,,,,
2016-02-09,1.3,3.7,-0.1,17.5,,,,,3.2,,,,,
2016-02-10,0.4,2.7,-1.1,2.0,,,,,3.0,,,,,
2016-02-11,1.0,5.6,-4.4,0.0,,,,,2.4,,,,,
2016-02-12,,12.2,-3.2,,,,,,2.5,,,,,
2016-02-13,9.8,12.6,5.3,3.5,,,,,2.2,,,,,
2016-02-14,8.4,13.7,3.6,9.5,,,,,4.9,,,,,
2016-02-15,-1.0,3.7,-3.2,3.0,,,,,2.6,,,,,
2016-02-16,-1.0,1.4,-4.1,10.5,,,,,3.3,,,,,
2016-02-17,-0.5,1.3,-4.4,12.0,,,,,2.3,,,,,
2016-02-18,2.1,5.6,-4.4,1.0,,,,,3.2,,,,,
2016-02-19,5.2,8.3,2.9,4.5,,,,,4.6,,,,,
2016-02-20,5.0,8.0,1.4,29.5,,,,,2.4,,,,,
2016-02-21,2.7,6.0,-1.2,7.0,,,,,4.6,,,,,
2016-02-22,1.0,3.3,-1.0,0.5,,,,,1.3,,,,,
2016-02-23,3.3,6.8,0.2,4.0,,,,,3.0,,,,,
2016-02-24,-0.7,1.4,-3.1,1.0,,,,,2.3,,,,,
2016-02-25,-0.7,2.5,-3.6,5.5,,,,,2.4,,,,,
2016-02-26,0.5,2.9,-3.2,2.0,,,,,3.3,,,,,
2016-02-27,2.8,6.2,-3.5,1.5,,,,,3.9,,,,,
2016-02-28,4.5,10.2,-1.9,0.5,,,,,1.9,,,,,
2016-02-29,2.4,9.4,-1.8,18.5,,,,,4.5,,,,,
2016-03-01,-1.8,0.4,-3.8,3.0,,,,,3.8,,,,,
2016-03-02,1.2,4.3,-2.8,4.5,,,,,3.3,,,,,
2016-03-03,4.6,8.5,-1.1,2.0,,,,,3.3,,,,,
2016-03-04,4.7,10.4,-1.7,0.0,,,,,2.5,,,,,
2016-03-05,6.9,12.4,2.3,0.0,,,,,3.4,,,,,
2016-03-06,13.7,19.3,3.1,0.0,,,,,3.7,,,,,
2016-03-07,8.5,13.9,6.5,2.5,,,,,3.2,,,,,
