calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,5.8,9.2,2.9,0.0,3.3,,,,3.8,5.5,1027.3,61,1028.1,
2016-01-02,9.1,11.6,5.5,13.0,0.4,,,,4.8,9.1,1020.0,79,1020.8,
2016-01-03,9.6,14.6,6.2,0.0,1.5,,,,2.8,9.5,1016.7,81,1017.5,
2016-01-04,8.8,14.3,4.9,1.5,3.0,,,,4.2,8.6,1015.4,77,1016.2,
2016-01-05,7.2,9.4,4.9,2.0,0.1,,,,3.1,7.4,1019.7,73,1020.5,
2016-01-06,5.5,8.6,3.0,1.0,0.6,,,,2.9,7.2,1018.4,80,1019.2,
2016-01-07,4.1,6.1,1.6,9.0,0.0,,,,3.6,6.5,1016.3,79,1017.1,
2016-01-08,3.6,6.2,1.3,20.0,0.9,,,,2.6,7.0,1014.6,88,1015.4,
2016-01-09,4.1,7.0,2.3,10.0,0.5,,,,3.1,6.3,1018.7,77,1019.5,
2016-01-10,5.2,7.7,2.3,26.5,0.2,,,,4.7,6.9,1019.0,78,1019.8,
2016-01-11,3.0,4.6,1.8,2.5,0.0,,,,4.7,5.7,1020.9,76,1021.7,
2016-01-12,1.6,4.1,-0.7,6.0,1.0,,4,4,4.2,5.3,1017.8,78,1018.6,
2016-01-13,2.0,5.5,-1.1,18.5,0.2,,9,7,3.5,6.1,1012.4,87,1013.2,
2016-01-14,2.1,5.4,0.3,19.5,0.0,,2,4,3.8,6.0,1014.2,85,1015.0,
2016-01-15,2.0,4.7,0.3,15.0,1.7,,4,4,3.2,6.2,1017.7,88,1018.5,
2016-01-16,3.0,5.4,0.4,6.0,0.0,,2,2,4.2,5.8,1021.0,77,1021.8,
2016-01-17,3.5,6.8,0.3,3.5,0.2,,,,3.4,6.1,1020.6,78,1021.5,
2016-01-18,6.7,9.7,3.6,32.5,0.0,,,,4.8,8.0,997.7,81,998.5,
2016-01-19,1.3,4.9,-0.7,19.0,0.0,,10,11,7.8,5.1,1000.7,77,1001.5,
2016-01-20,3.9,6.8,0.7,10.5,1.5,,11,1,7.3,5.4,1012.5,68,1013.3,
2016-01-21,2.0,3.4,0.1,2.0,0.3,,4,2,3.3,5.1,1021.0,73,1021.8,
2016-01-22,1.3,3.6,-0.1,1.0,0.6,,4,3,3.2,4.9,1023.6,73,1024.4,
2016-01-23,1.0,2.4,-0.3,25.5,0.0,,17,14,4.4,5.5,1017.6,85,1018.4,
2016-01-24,-0.9,1.3,-2.3,56.5,0.0,,61,44,4.7,4.8,1007.0,83,1007.8,
2016-01-25,0.6,2.3,-1.3,2.5,0.6,,57,2,4.0,4.7,1019.0,75,1019.9,
2016-01-26,2.1,4.8,0.4,11.0,0.8,,51,,3.8,6.2,1021.5,88,1022.3,
2016-01-27,3.9,7.9,1.1,3.5,1.0,,35,,3.8,6.6,1024.4,82,1025.3,
