calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-4.9,-2.7,-11.3,0.0,3.1,,12,0,1.5,,,,,
2016-01-02,0.0,1.8,-4.3,1.5,0.0,,13,2,1.6,,,,,
2016-01-03,1.0,2.3,-0.4,0.0,0.2,,11,0,1.5,,,,,
2016-01-04,-1.3,0.7,-4.7,5.0,0.4,,15,5,1.4,,,,,
2016-01-05,-4.9,-2.3,-6.9,0.0,4.6,,15,0,2.5,,,,,
2016-01-06,-4.2,-2.4,-7.4,0.0,1.0,,15,1,1.6,,,,,
2016-01-07,-4.4,-3.1,-6.0,0.0,1.4,,15,0,2.1,,,,,
2016-01-08,-4.6,-3.0,-8.6,0.0,0.1,,16,1,1.6,,,,,
2016-01-09,-5.3,-3.4,-8.1,0.0,3.1,,16,2,1.8,,,,,
2016-01-10,-4.5,-2.2,-7.6,1.0,0.1,,20,4,2.0,,,,,
2016-01-11,-8.1,-5.8,-9.6,0.0,5.2,,19,0,3.0,,,,,
2016-01-12,-7.4,-5.8,-9.3,0.0,0.2,,18,0,1.9,,,,,
2016-01-13,-5.6,-2.3,-10.9,1.0,2.9,,23,6,1.5,,,,,
2016-01-14,-6.1,-2.4,-10.7,1.5,4.2,,25,3,1.6,,,,,
2016-01-15,-9.8,-4.5,-15.6,0.0,5.2,,23,0,0.9,,,,,
2016-01-16,-9.2,-4.2,-16.0,0.0,4.4,,22,1,1.4,,,,,
2016-01-17,-7.4,-3.8,-11.1,0.0,6.9,,22,0,1.0,,,,,
2016-01-18,-3.7,-1.4,-10.6,11.5,0.0,,52,34,5.8,,,,,
2016-01-19,-3.6,-1.6,-5.2,9.5,0.2,,66,16,1.3,,,,,
2016-01-20,-5.1,-2.8,-8.8,0.5,1.6,,65,0,1.9,,,,,
2016-01-21,-5.4,-3.4,-7.0,0.5,4.4,,60,0,1.8,,,,,
