calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-1.2,5.6,-6.3,0.0,5.9,,,,1.1,,,,,
2016-01-02,2.7,10.2,-4.8,0.0,2.2,,,,1.0,,,,,
2016-01-03,4.4,12.4,-1.4,0.0,4.3,,,,1.1,,,,,
2016-01-04,0.7,6.5,-3.4,2.5,1.3,,,,0.9,,,,,
2016-01-05,0.4,4.7,-4.8,0.0,6.5,,,,1.3,,,,,
2016-01-06,-1.9,4.1,-7.3,0.0,2.3,,,,0.7,,,,,
2016-01-07,-0.4,4.4,-4.5,0.0,2.6,,,,0.9,,,,,
2016-01-08,-0.8,4.6,-5.0,0.0,0.7,,,,0.5,,,,,
2016-01-09,-1.1,4.3,-4.7,0.0,5.5,,,,1.0,,,,,
2016-01-10,1.0,6.9,-4.2,0.0,7.0,,,,1.9,,,,,
2016-01-11,-1.1,2.1,-5.2,0.0,6.5,,,,1.9,,,,,
2016-01-12,-2.5,2.7,-7.6,0.0,5.3,,,,1.1,,,,,
2016-01-13,-1.7,4.3,-7.6,0.0,6.2,,,,1.3,,,,,
2016-01-14,-0.5,4.3,-6.8,0.0,7.4,,,,1.2,,,,,
2016-01-15,-3.4,4.0,-7.5,0.0,4.8,,,,0.9,,,,,
2016-01-16,-2.1,4.4,-8.4,0.0,6.2,,,,1.4,,,,,
2016-01-17,-1.6,4.9,-6.5,0.0,7.3,,,,1.0,,,,,
2016-01-18,0.3,3.7,-4.8,65.5,0.0,,,,2.6,,,,,
2016-01-19,0.6,3.1,-2.8,17.0,1.7,,,,2.0,,,,,
2016-01-20,0.4,3.7,-4.3,0.0,5.2,,,,1.5,,,,,
2016-01-21,0.3,4.3,-3.6,0.0,4.0,,,,1.2,,,,,
2016-01-22,-2.1,2.6,-6.4,0.0,7.4,,,,1.8,,,,,
2016-01-23,-1.1,2.1,-5.2,0.0,3.6,,,,1.1,,,,,
2016-01-24,-1.7,2.0,-5.0,0.0,1.5,,,,1.1,,,,,
2016-01-25,-2.1,3.1,-6.7,0.0,6.4,,,,1.3,,,,,
2016-01-26,-1.3,5.3,-7.4,0.0,2.5,,,,0.9,,,,,
2016-01-27,0.1,6.8,-4.1,0.0,7.0,,,,1.2,,,,,
2016-01-28,0.3,7.2,-4.5,0.0,6.8,,,,1.2,,,,,
2016-01-29,-1.5,1.9,-6.0,0.0,1.6,,,,1.2,,,,,
2016-01-30,-1.2,2.3,-4.2,0.0,2.4,,,,0.9,,,,,
2016-01-31,-0.8,4.7,-5.0,0.0,7.2,,,,1.1,,,,,
2016-02-01,-2.3,1.5,-6.0,0.0,4.5,,,,1.4,,,,,
2016-02-02,-2.5,2.8,-7.9,0.0,5.4,,,,1.4,,,,,
2016-02-03,-0.5,4.6,-4.9,0.0,7.5,,,,1.2,,,,,
2016-02-04,-0.9,5.9,-7.2,0.0,5.4,,,,1.0,,,,,
2016-02-05,1.2,6.0,-3.0,0.0,6.6,,,,1.4,,,,,
2016-02-06,-1.2,5.4,-5.6,0.0,6.4,,,,1.0,,,,,
2016-02-07,-3.2,2.6,-8.8,0.0,8.1,,,,1.7,,,,,
2016-02-08,-1.2,4.9,-6.9,0.0,4.3,,,,0.8,,,,,
2016-02-09,1.7,9.0,-3.6,0.0,2.8,,,,0.9,,,,,
2016-02-10,0.4,4.3,-3.5,0.0,8.0,,,,2.0,,,,,
2016-02-11,-0.1,4.7,-4.2,0.0,4.8,,,,1.7,,,,,
2016-02-12,1.4,9.9,-6.1,0.0,8.0,,,,1.0,,,,,
2016-02-13,8.6,18.4,1.7,0.0,5.5,,,,1.3,,,,,
2016-02-14,12.0,21.4,5.1,0.0,1.6,,,,2.1,,,,,
2016-02-15,0.9,8.8,-3.8,0.0,1.3,,,,1.9,,,,,
2016-02-16,-1.4,2.9,-4.9,0.0,4.6,,,,1.0,,,,,
2016-02-17,-1.2,4.6,-5.7,0.0,3.6,,,,1.3,,,,,
2016-02-18,1.2,7.5,-4.4,0.0,3.5,,,,1.5,,,,,
2016-02-19,4.2,11.1,-2.3,0.0,4.2,,,,1.3,,,,,
2016-02-20,3.2,6.8,-1.5,18.0,0.0,,,,0.6,,,,,
2016-02-21,4.3,8.7,0.1,4.0,2.3,,,,1.8,,,,,
2016-02-22,0.6,4.8,-2.5,0.0,2.3,,,,1.4,,,,,
2016-02-23,1.7,7.2,-3.1,0.0,0.5,,,,0.6,,,,,
2016-02-24,-1.0,2.0,-3.6,0.5,6.6,,,,1.5,,,,,
2016-02-25,-1.2,4.0,-5.2,0.0,6.4,,,,1.3,,,,,
2016-02-26,-0.8,5.6,-5.9,0.0,6.3,,,,1.3,,,,,
2016-02-27,-0.6,4.8,-5.6,7.0,4.1,,,,1.1,,,,,
2016-02-28,-0.1,1.9,-2.2,3.5,3.9,,,,0.5,,,,,
2016-02-29,5.8,11.9,-0.1,1.5,2.5,,,,2.1,,,,,
2016-03-01,0.7,4.4,-3.4,0.0,8.9,,,,2.4,,,,,
2016-03-02,-0.4,5.5,-6.0,0.0,5.9,,,,1.3,,,,,
2016-03-03,1.7,9.3,-4.8,2.0,5.2,,,,1.3,,,,,
2016-03-04,0.5,4.0,-2.9,0.0,5.1,,,,1.4,,,,,
2016-03-05,1.6,5.6,-4.6,0.0,6.1,,,,1.4,,,,,
2016-03-06,9.2,14.6,5.0,0.0,1.5,,,,2.6,,,,,
2016-03-07,8.4,14.0,5.6,0.0,5.2,,,,1.3,,,,,
2016-03-08,9.6,15.3,3.6,0.0,1.7,,,,1.6,,,,,
2016-03-09,2.1,7.3,-2.8,0.0,2.6,,,,1.2,,,,,
2016-03-10,0.3,3.7,-3.3,0.5,5.7,,,,1.5,,,,,
2016-03-11,0.0,6.4,-5.3,0.0,6.8,,,,1.3,,,,,
2016-03-12,0.6,6.5,-4.7,0.0,7.4,,,,1.4,,,,,
2016-03-13,2.1,8.2,-5.8,0.0,7.1,,,,1.1,,,,,
2016-03-14,4.5,9.5,0.0,0.0,6.7,,,,1.2,,,,,
2016-03-15,3.8,8.5,-1.2,0.0,8.0,,,,1.8,,,,,
2016-03-16,5.7,13.3,-2.5,0.0,5.2,,,,1.5,,,,,
2016-03-17,8.0,18.1,-0.7,0.0,9.8,,,,1.4,,,,,
2016-03-18,9.8,19.9,0.9,0.0,3.1,,,,1.1,,,,,
2016-03-19,10.8,19.1,5.0,0.0,1.4,,,,1.1,,,,,
2016-03-20,5.8,9.1,0.6,0.0,0.2,,,,2.2,,,,,
2016-03-21,2.6,9.6,-2.5,0.0,6.4,,,,1.4,,,,,
2016-03-22,4.4,11.3,-3.8,1.0,2.3,,,,1.4,,,,,
2016-03-23,3.2,9.5,-2.4,0.0,5.9,,,,1.3,,,,,
2016-03-24,0.7,7.1,-3.7,0.0,3.8,,,,1.2,,,,,
2016-03-25,1.2,7.8,-4.2,0.5,5.7,,,,1.6,,,,,
2016-03-26,2.3,8.5,-3.1,0.0,4.7,,,,1.6,,,,,
2016-03-27,4.7,13.2,-3.9,0.0,8.9,,,,1.2,,,,,
2016-03-28,5.3,13.8,-1.9,0.0,8.6,,,,1.4,,,,,
2016-03-29,6.0,12.3,-2.2,0.0,7.9,,,,1.4,,,,,
2016-03-30,9.6,20.1,1.9,0.0,5.5,,,,1.5,,,,,
2016-03-31,7.3,15.4,-0.5,0.0,9.9,,,,1.6,,,,,
2016-04-01,4.0,9.1,-2.4,3.0,1.8,,,,1.2,,,,,
2016-04-02,6.2,7.8,4.4,0.0,0.1,,,,1.8,,,,,
2016-04-03,11.1,18.2,5.5,3.5,0.2,,,,1.8,,,,,
2016-04-04,3.7,6.9,-0.1,21.5,0.0,,,,0.9,,,,,
2016-04-05,6.6,15.6,-2.6,0.0,10.5,,,,1.2,,,,,
2016-04-06,8.1,14.6,0.6,0.0,10.2,,,,2.1,,,,,
2016-04-07,7.6,15.6,0.0,27.0,0.0,,,,1.7,,,,,
2016-04-08,10.2,16.9,6.2,0.0,3.6,,,,1.8,,,,,
2016-04-09,13.1,20.3,4.4,0.0,10.5,,,,2.6,,,,,
2016-04-10,6.0,10.6,1.6,0.0,3.8,,,,1.0,,,,,
2016-04-11,4.4,8.7,1.1,0.5,5.2,,,,1.8,,,,,
2016-04-12,6.8,13.5,1.1,0.0,10.5,,,,1.9,,,,,
2016-04-13,10.9,20.5,1.4,0.0,0.7,,,,1.3,,,,,
2016-04-14,10.7,15.1,7.2,0.5,4.1,,,,1.4,,,,,
2016-04-15,9.4,12.3,7.2,1.0,9.6,,,,2.9,,,,,
2016-04-16,10.8,15.7,4.7,0.0,5.2,,,,1.6,,,,,
2016-04-17,13.2,19.4,4.8,4.5,0.5,,,,3.2,,,,,
2016-04-18,14.7,19.0,10.2,0.0,3.2,,,,2.8,,,,,
2016-04-19,7.1,12.0,1.4,0.5,2.1,,,,1.2,,,,,
2016-04-20,8.8,15.4,1.3,0.0,6.8,,,,1.2,,,,,
2016-04-21,12.4,19.6,4.5,0.0,0.6,,,,0.8,,,,,
2016-04-22,9.9,13.1,5.3,2.0,1.5,,,,1.4,,,,,
2016-04-23,12.2,23.3,3.4,0.0,7.8,,,,1.4,,,,,
2016-04-24,11.6,17.4,3.8,0.0,10.3,,,,1.7,,,,,
2016-04-25,8.2,14.7,1.3,0.0,11.2,,,,1.5,,,,,
2016-04-26,9.0,14.5,3.5,0.0,8.3,,,,1.3,,,,,
2016-04-27,6.8,9.5,3.7,0.0,1.9,,,,1.2,,,,,
2016-04-28,8.1,10.1,4.5,49.5,0.0,,,,0.7,,,,,
2016-04-29,7.6,11.7,4.7,41.5,2.8,,,,2.3,,,,,
2016-04-30,8.6,14.8,1.9,0.0,10.5,,,,2.0,,,,,
2016-05-01,6.8,10.8,1.7,2.0,0.0,,,,0.9,,,,,
2016-05-02,9.8,15.8,2.4,0.0,8.6,,,,1.3,,,,,
2016-05-03,17.4,26.5,9.7,0.0,10.8,,,,2.0,,,,,
2016-05-04,16.4,22.2,9.1,2.5,4.2,,,,2.4,,,,,
2016-05-05,15.1,19.0,9.0,0.5,3.8,,,,2.1,,,,,
2016-05-06,13.0,19.3,6.4,0.0,4.7,,,,1.1,,,,,
2016-05-07,17.2,24.3,12.4,0.0,4.9,,,,2.4,,,,,
2016-05-08,15.8,22.5,6.6,0.0,11.8,,,,2.3,,,,,
2016-05-09,13.2,23.1,4.2,0.0,12.1,,,,1.5,,,,,
2016-05-10,11.1,14.4,8.9,19.0,0.1,,,,0.8,,,,,
2016-05-11,11.5,12.8,10.3,27.5,0.0,,,,1.2,,,,,
2016-05-12,15.0,21.6,9.1,0.0,11.7,,,,1.7,,,,,
2016-05-13,14.3,24.9,6.9,0.0,11.1,,,,1.2,,,,,
2016-05-14,11.9,17.0,4.4,0.0,10.5,,,,1.7,,,,,
2016-05-15,10.3,17.5,1.9,0.0,11.9,,,,2.2,,,,,
2016-05-16,15.6,22.8,4.3,0.0,11.9,,,,2.2,,,,,
2016-05-17,12.4,17.9,8.2,10.5,2.2,,,,1.0,,,,,
2016-05-18,13.5,20.5,6.0,0.0,12.4,,,,1.2,,,,,
2016-05-19,13.9,21.9,7.5,0.0,12.2,,,,1.5,,,,,
2016-05-20,13.7,21.8,6.5,0.0,12.4,,,,1.4,,,,,
2016-05-21,13.2,17.6,7.6,0.0,5.0,,,,1.2,,,,,
2016-05-22,16.6,24.8,9.5,0.0,12.1,,,,1.3,,,,,
2016-05-23,17.0,25.2,9.9,0.0,12.2,,,,1.3,,,,,
2016-05-24,15.5,18.8,11.3,0.0,5.7,,,,1.7,,,,,
2016-05-25,17.4,21.5,14.6,0.0,0.0,,,,0.6,,,,,
2016-05-26,21.5,30.0,14.8,0.5,6.5,,,,1.3,,,,,
2016-05-27,16.7,23.2,10.8,17.5,3.8,,,,1.0,,,,,
2016-05-28,16.1,24.9,8.5,0.0,11.1,,,,1.2,,,,,
2016-05-29,14.3,20.8,7.6,0.0,8.7,,,,1.6,,,,,
2016-05-30,15.9,21.6,12.2,0.0,1.4,,,,1.1,,,,,
2016-05-31,17.4,24.7,11.9,18.0,8.4,,,,1.7,,,,,
2016-06-01,14.8,20.4,9.9,0.0,9.1,,,,1.6,,,,,
2016-06-02,12.4,15.6,8.9,0.5,0.5,,,,1.8,,,,,
2016-06-03,13.7,20.0,7.2,0.0,6.2,,,,1.1,,,,,
2016-06-04,17.3,26.8,8.6,0.0,7.6,,,,1.1,,,,,
2016-06-05,12.5,16.0,7.9,0.0,0.0,,,,1.4,,,,,
2016-06-06,13.9,21.3,5.5,0.0,12.1,,,,1.4,,,,,
2016-06-07,17.7,25.6,10.0,0.0,11.7,,,,1.0,,,,,
