calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,0.2,3.9,-5.1,0.0,2.3,,0,0,2.4,,,,,
2016-01-02,2.2,9.5,-5.6,0.0,1.9,,0,0,2.1,,,,,
2016-01-03,5.0,10.2,-1.0,0.0,4.3,,0,0,2.2,,,,,
2016-01-04,0.5,5.8,-3.1,5.0,1.6,,0,0,1.2,,,,,
2016-01-05,1.0,4.0,-2.2,0.0,6.7,,0,0,2.9,,,,,
2016-01-06,-1.2,4.4,-6.4,0.0,2.3,,0,0,1.0,,,,,
2016-01-07,-0.2,3.8,-4.2,0.0,4.3,,0,0,2.2,,,,,
2016-01-08,-0.5,4.2,-3.4,0.0,2.1,,0,0,1.3,,,,,
2016-01-09,-1.1,3.3,-4.1,0.0,2.1,,0,0,1.4,,,,,
2016-01-10,-0.1,5.2,-3.7,0.0,4.2,,0,0,2.9,,,,,
2016-01-11,-1.5,1.2,-3.1,0.0,6.4,,0,0,4.2,,,,,
2016-01-12,-1.7,1.2,-5.0,0.0,5.0,,0,0,2.8,,,,,
2016-01-13,-2.1,3.7,-8.2,0.0,5.2,,0,0,1.1,,,,,
2016-01-14,-0.1,3.9,-4.4,0.0,7.7,,0,0,2.5,,,,,
2016-01-15,-2.5,1.7,-6.9,0.0,2.8,,0,0,1.7,,,,,
2016-01-16,-3.3,2.7,-8.8,0.0,4.0,,0,0,1.9,,,,,
2016-01-17,-3.3,3.5,-9.6,0.0,7.8,,0,0,1.4,,,,,
2016-01-18,-0.8,1.8,-4.4,91.0,0.0,,23,26,2.3,,,,,
2016-01-19,0.4,3.2,-2.4,14.0,1.5,,28,11,0.9,,,,,
2016-01-20,-0.5,3.1,-4.2,0.0,2.7,,22,0,2.0,,,,,
2016-01-21,-0.7,3.1,-4.6,0.0,4.8,,22,0,1.8,,,,,
2016-01-22,-3.0,1.7,-8.3,0.0,6.7,,21,0,2.4,,,,,
2016-01-23,-1.6,1.7,-3.2,0.0,1.5,,21,0,3.0,,,,,
2016-01-24,-3.3,0.5,-6.5,0.5,1.6,,24,5,1.7,,,,,
2016-01-25,-2.2,1.5,-7.1,0.0,4.6,,24,1,2.6,,,,,
2016-01-26,-2.5,5.1,-9.2,0.0,2.3,,23,1,0.8,,,,,
2016-01-27,1.0,5.3,-3.7,0.0,6.1,,23,0,2.1,,,,,
2016-01-28,0.3,5.6,-5.1,0.0,6.5,,22,0,2.4,,,,,
2016-01-29,-2.0,1.4,-6.4,0.0,0.6,,21,0,1.1,,,,,
2016-01-30,-1.7,3.1,-5.1,0.0,3.7,,21,0,1.0,,,,,
2016-01-31,-1.8,3.0,-7.5,0.0,6.4,,21,0,2.5,,,,,
2016-02-01,-2.6,1.0,-8.1,0.0,6.9,,20,0,1.9,,,,,
2016-02-02,-4.1,1.5,-9.0,0.0,2.5,,21,1,1.4,,,,,
2016-02-03,-1.8,3.2,-6.6,0.0,6.8,,21,2,1.4,,,,,
2016-02-04,-1.8,4.6,-8.4,0.0,5.6,,21,0,1.1,,,,,
2016-02-05,0.7,4.4,-4.4,0.0,4.4,,21,3,2.0,,,,,
2016-02-06,-2.2,4.0,-6.2,0.0,3.2,,20,1,0.9,,,,,
2016-02-07,-3.8,1.2,-9.2,0.0,8.4,,19,2,2.2,,,,,
2016-02-08,-2.6,4.6,-8.8,0.0,4.7,,19,1,0.8,,,,,
2016-02-09,1.5,7.4,-3.8,0.0,3.2,,19,2,1.8,,,,,
2016-02-10,0.0,2.5,-1.9,0.0,8.7,,19,0,4.2,,,,,
2016-02-11,-0.2,3.9,-4.3,0.0,7.4,,18,1,2.7,,,,,
2016-02-12,0.6,9.3,-6.9,0.0,8.9,,17,0,0.7,,,,,
2016-02-13,6.9,15.4,0.9,0.0,5.0,,16,0,1.8,,,,,
2016-02-14,9.4,19.7,2.5,0.0,2.2,,11,0,3.6,,,,,
2016-02-15,0.3,7.5,-4.5,0.0,2.0,,0,0,2.9,,,,,
2016-02-16,-1.8,2.8,-6.5,0.0,4.9,,0,0,1.3,,,,,
2016-02-17,-1.1,3.0,-3.6,0.0,2.8,,0,0,2.7,,,,,
2016-02-18,0.2,7.1,-5.3,0.0,3.0,,0,0,1.0,,,,,
2016-02-19,2.8,9.6,-3.4,1.5,5.2,,0,0,1.7,,,,,
2016-02-20,3.1,7.0,-0.7,20.5,0.0,,0,0,0.7,,,,,
2016-02-21,3.7,8.5,0.6,2.5,1.9,,0,0,3.2,,,,,
2016-02-22,0.4,4.5,-2.6,0.0,1.2,,0,0,2.3,,,,,
2016-02-23,1.1,6.3,-2.7,0.0,0.4,,0,0,1.0,,,,,
2016-02-24,-0.9,1.6,-3.6,0.0,8.1,,0,0,3.0,,,,,
2016-02-25,-1.6,2.3,-4.3,0.0,4.8,,0,0,2.4,,,,,
2016-02-26,-1.4,3.2,-6.3,0.0,5.7,,0,0,2.0,,,,,
2016-02-27,-1.0,4.6,-4.9,7.5,4.1,,13,13,1.1,,,,,
2016-02-28,-0.5,2.4,-4.0,2.5,4.0,,19,6,1.0,,,,,
2016-02-29,2.9,8.6,-0.2,5.0,0.9,,3,1,2.8,,,,,
2016-03-01,-0.4,2.6,-3.1,0.0,6.6,,0,0,4.3,,,,,
2016-03-02,-0.4,4.1,-5.8,0.0,6.5,,0,0,2.4,,,,,
2016-03-03,1.3,7.6,-4.1,2.5,4.6,,5,5,2.6,,,,,
2016-03-04,1.3,6.2,-3.1,0.0,9.3,,0,0,1.7,,,,,
2016-03-05,1.3,6.2,-3.9,0.0,9.7,,0,0,1.5,,,,,
2016-03-06,7.9,16.0,1.4,0.0,2.7,,0,0,1.0,,,,,
2016-03-07,7.8,18.6,3.4,0.0,7.4,,0,0,2.0,,,,,
2016-03-08,8.9,15.0,4.9,0.0,1.6,,0,0,2.7,,,,,
2016-03-09,2.7,6.6,-1.8,0.0,2.2,,0,0,1.5,,,,,
2016-03-10,0.7,5.3,-1.8,0.0,5.1,,0,0,1.8,,,,,
2016-03-11,-0.3,5.0,-4.7,0.0,6.7,,0,0,1.5,,,,,
2016-03-12,0.3,6.7,-4.3,0.0,8.0,,0,0,1.7,,,,,
2016-03-13,2.5,9.0,-3.8,0.0,7.4,,0,0,1.5,,,,,
2016-03-14,4.7,10.1,0.4,0.0,5.7,,0,0,1.3,,,,,
2016-03-15,3.7,8.3,-0.4,0.0,7.9,,0,0,2.9,,,,,
2016-03-16,6.2,13.3,-1.5,0.0,6.8,,0,0,2.3,,,,,
2016-03-17,8.8,16.9,0.0,0.0,10.9,,0,0,2.4,,,,,
2016-03-18,10.7,21.3,1.4,0.0,3.6,,0,0,1.3,,,,,
2016-03-19,12.1,18.2,7.3,0.5,2.6,,0,0,2.0,,,,,
2016-03-20,5.8,10.4,2.4,0.0,0.9,,0,0,2.6,,,,,
2016-03-21,3.1,8.2,-2.0,0.0,7.5,,0,0,2.5,,,,,
2016-03-22,4.7,10.9,-3.3,0.0,5.5,,0,0,2.3,,,,,
2016-03-23,2.9,6.8,-2.5,0.0,2.6,,0,0,2.2,,,,,
2016-03-24,0.5,7.8,-4.3,2.5,5.9,,0,0,1.4,,,,,
2016-03-25,1.4,7.4,-3.7,0.0,6.2,,0,0,,,,,,
2016-03-26,2.6,8.3,-2.2,0.0,5.3,,0,0,1.8,,,,,
