calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,0.9,3.1,-3.2,0.0,2.3,,,,3.5,,,,,
2016-01-02,4.1,8.8,-4.6,0.0,0.9,,,,3.6,,,,,
2016-01-03,7.0,9.3,4.5,0.0,1.6,,,,3.3,,,,,
2016-01-04,4.2,8.2,1.4,4.0,1.0,,,,2.6,,,,,
2016-01-05,1.3,3.4,-0.2,0.0,3.1,,,,4.6,,,,,
2016-01-06,1.0,4.5,-2.7,0.0,1.3,,,,1.8,,,,,
2016-01-07,1.5,3.0,-0.5,0.0,3.6,,,,3.3,,,,,
2016-01-08,0.7,3.2,-2.7,0.0,0.7,,,,1.7,,,,,
2016-01-09,0.4,3.2,-1.9,0.0,3.0,,,,2.2,,,,,
2016-01-10,0.4,4.1,-2.5,2.5,3.3,,,,3.3,,,,,
2016-01-11,-2.0,-0.1,-3.0,0.0,2.7,,,,5.3,,,,,
2016-01-12,-1.4,1.0,-3.3,0.0,3.3,,,,3.2,,,,,
2016-01-13,-0.8,2.6,-4.5,0.0,2.5,,,,1.5,,,,,
2016-01-14,-0.3,2.5,-5.2,0.5,6.1,,,,2.8,,,,,
2016-01-15,-3.4,1.8,-7.0,0.0,4.2,,,,1.6,,,,,
2016-01-16,-3.8,2.5,-8.0,0.0,3.3,,,,2.0,,,,,
2016-01-17,-2.2,2.5,-7.7,0.0,6.1,,,,2.0,,,,,
2016-01-18,-0.9,1.3,-4.3,66.5,0.0,,,,,,,,,
2016-01-19,0.4,2.5,-2.0,0.5,1.7,,,,,,,,,
2016-01-20,-1.6,2.9,-5.5,0.0,2.6,,,,1.7,,,,,
2016-01-21,-0.6,2.2,-3.3,0.0,4.2,,,,2.1,,,,,
2016-01-22,-1.7,1.3,-5.5,0.0,6.1,,,,3.4,,,,,
2016-01-23,-1.5,1.3,-3.3,0.0,1.6,,,,2.5,,,,,
2016-01-24,-4.0,0.4,-8.4,4.0,1.2,,,,0.8,,,,,
2016-01-25,-2.0,0.4,-7.2,0.0,3.4,,,,2.4,,,,,
2016-01-26,0.6,4.3,-3.2,0.0,1.2,,,,1.0,,,,,
2016-01-27,2.8,4.9,-1.0,0.5,3.4,,,,3.1,,,,,
2016-01-28,2.3,4.6,-0.9,0.0,3.5,,,,4.5,,,,,
