calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,0.4,4.5,-4.8,0.0,6.4,,0,0,2.4,,,,,
2016-01-02,3.0,9.4,-5.2,0.0,1.1,,0,0,2.9,,,,,
2016-01-03,6.5,10.2,1.0,0.0,4.7,,0,0,3.4,,,,,
2016-01-04,3.0,8.5,-0.5,3.0,3.9,,0,0,2.2,,,,,
2016-01-05,1.1,3.4,-0.4,0.0,6.9,,0,0,4.8,,,,,
2016-01-06,1.4,4.5,-2.4,0.0,1.9,,0,0,2.3,,,,,
2016-01-07,1.3,3.5,-2.9,0.0,3.9,,0,0,3.2,,,,,
2016-01-08,0.2,5.3,-4.3,0.0,4.8,,0,0,1.7,,,,,
2016-01-09,-0.8,3.7,-5.1,0.0,5.7,,0,0,2.4,,,,,
2016-01-10,0.2,5.2,-4.2,0.0,6.9,,0,0,4.0,,,,,
2016-01-11,-1.6,1.0,-3.5,0.0,7.0,,0,0,5.0,,,,,
2016-01-12,-1.2,2.1,-4.7,0.0,5.6,,0,0,3.2,,,,,
2016-01-13,-1.7,4.8,-7.0,0.0,6.9,,0,0,1.6,,,,,
2016-01-14,-0.5,3.5,-6.8,0.0,6.3,,0,0,3.6,,,,,
2016-01-15,-2.9,2.5,-8.0,0.0,5.2,,0,0,2.2,,,,,
2016-01-16,-3.1,3.7,-9.6,0.0,6.0,,0,0,2.5,,,,,
2016-01-17,-2.2,3.6,-7.0,0.0,8.0,,0,0,1.9,,,,,
2016-01-18,-0.3,3.3,-5.7,64.5,0.0,,6,11,4.6,,,,,
2016-01-19,0.2,3.1,-4.5,14.5,1.7,,14,11,2.1,,,,,
2016-01-20,-0.2,3.1,-6.3,0.0,5.0,,8,0,2.4,,,,,
2016-01-21,-0.5,2.9,-4.0,0.5,2.2,,13,6,2.7,,,,,
2016-01-22,-1.9,1.0,-6.7,0.0,8.0,,10,0,4.3,,,,,
2016-01-23,-1.4,1.6,-3.9,0.0,3.8,,9,0,2.4,,,,,
2016-01-24,-1.7,2.0,-5.4,0.0,1.8,,9,0,1.8,,,,,
2016-01-25,-2.1,1.9,-7.2,0.0,5.4,,11,2,2.8,,,,,
2016-01-26,-0.7,5.2,-5.1,0.0,1.6,,10,0,1.0,,,,,
2016-01-27,1.3,4.7,-4.1,0.0,6.6,,9,0,2.8,,,,,
2016-01-28,0.0,4.4,-5.2,0.0,7.3,,8,1,3.5,,,,,
2016-01-29,-1.9,1.2,-6.2,0.0,1.3,,8,1,1.4,,,,,
2016-01-30,-1.4,3.2,-4.6,0.0,6.1,,8,1,1.5,,,,,
2016-01-31,-1.7,2.9,-7.2,0.0,7.4,,8,1,3.2,,,,,
2016-02-01,-2.7,0.1,-7.4,0.0,4.7,,8,0,3.1,,,,,
2016-02-02,-2.7,1.3,-8.0,0.0,5.4,,8,0,2.4,,,,,
2016-02-03,-1.0,3.7,-4.4,0.0,7.9,,7,0,2.7,,,,,
2016-02-04,-1.4,5.1,-7.7,0.0,4.8,,8,1,0.9,,,,,
2016-02-05,1.5,4.8,-3.8,0.0,6.9,,6,1,2.8,,,,,
2016-02-06,-1.0,3.9,-5.4,0.0,7.0,,5,3,2.2,,,,,
2016-02-07,-3.3,1.5,-8.9,0.0,9.0,,6,1,2.8,,,,,
2016-02-08,-1.7,4.5,-7.9,0.0,4.0,,5,4,1.1,,,,,
2016-02-09,2.1,8.5,-3.7,0.0,2.9,,4,1,1.9,,,,,
2016-02-10,0.3,3.2,-1.5,0.0,8.8,,4,1,5.0,,,,,
2016-02-11,-0.4,3.9,-5.3,0.0,5.4,,1,0,2.8,,,,,
2016-02-12,0.7,9.3,-7.0,0.0,8.2,,1,0,0.7,,,,,
2016-02-13,7.8,17.9,0.8,0.0,5.6,,1,2,1.4,,,,,
2016-02-14,10.5,22.0,3.6,0.0,3.8,,0,0,4.7,,,,,
2016-02-15,0.2,6.4,-4.1,0.0,3.6,,0,0,4.1,,,,,
2016-02-16,-1.6,2.8,-5.9,0.0,5.5,,0,0,1.8,,,,,
2016-02-17,-1.8,3.1,-5.9,0.0,3.0,,0,0,2.9,,,,,
2016-02-18,0.8,7.9,-5.6,0.0,2.8,,0,0,1.1,,,,,
2016-02-19,4.1,11.0,-2.5,0.0,4.2,,0,0,2.4,,,,,
2016-02-20,3.1,6.0,-2.0,19.5,0.0,,0,0,1.3,,,,,
2016-02-21,3.7,8.8,0.2,3.5,4.8,,2,2,3.8,,,,,
