calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-0.8,2.4,-6.5,0.0,5.3,,,,2.9,,,,,
2016-01-02,2.4,6.4,-4.8,0.0,0.2,,,,3.0,,,,,
2016-01-03,3.6,7.0,-0.6,0.0,5.8,,,,2.5,,,,,
2016-01-04,0.6,4.4,-3.8,2.5,2.4,,,,1.8,,,,,
2016-01-05,-2.0,0.4,-8.7,0.0,6.1,,,,3.3,,,,,
2016-01-06,-0.2,2.2,-1.7,0.0,1.8,,,,2.9,,,,,
2016-01-07,-0.3,2.1,-2.3,0.0,6.4,,,,3.3,,,,,
2016-01-08,-0.4,2.4,-4.1,0.0,4.8,,,,2.5,,,,,
2016-01-09,-1.7,1.5,-6.4,0.0,5.8,,,,2.5,,,,,
2016-01-10,-1.5,2.3,-5.3,1.0,5.1,,,,2.8,,,,,
2016-01-11,-3.9,-1.2,-6.5,0.0,4.4,,,,2.9,,,,,
2016-01-12,-3.4,-0.7,-6.5,0.0,2.3,,,,3.1,,,,,
2016-01-13,-2.5,1.6,-7.6,0.0,6.1,,,,1.9,,,,,
2016-01-14,-2.5,1.4,-9.4,0.0,7.6,,,,3.2,,,,,
2016-01-15,-6.3,0.1,-11.8,0.0,5.8,,,,1.5,,,,,
2016-01-16,-5.3,-0.2,-12.2,0.0,5.1,,,,2.0,,,,,
2016-01-17,-3.9,0.5,-9.4,0.0,6.6,,,,1.7,,,,,
2016-01-18,-1.7,1.2,-7.2,46.5,0.0,,,,3.3,,,,,
2016-01-19,-1.7,1.1,-9.7,11.0,1.0,,,,,,,,,
2016-01-20,-3.5,1.2,-11.2,0.0,1.5,,,,2.4,,,,,
2016-01-21,-2.2,0.4,-8.9,2.0,0.6,,,,2.6,,,,,
2016-01-22,-5.0,-1.3,-11.6,0.0,7.4,,,,2.4,,,,,
2016-01-23,-5.0,-0.8,-11.7,0.0,2.8,,,,2.1,,,,,
2016-01-24,-4.1,0.1,-7.0,0.0,1.8,,,,1.3,,,,,
2016-01-25,-3.8,-0.6,-7.8,0.0,3.6,,,,2.5,,,,,
2016-01-26,-1.8,2.7,-5.3,0.0,1.8,,,,1.1,,,,,
2016-01-27,1.0,3.1,-2.3,1.0,3.2,,,,2.6,,,,,
2016-01-28,-0.4,2.4,-4.6,0.0,5.0,,,,2.9,,,,,
2016-01-29,-3.6,-0.7,-7.6,0.0,2.1,,,,1.6,,,,,
2016-01-30,-3.8,1.2,-7.4,0.0,5.7,,,,1.1,,,,,
2016-01-31,-4.6,-0.3,-12.5,0.0,7.0,,,,3.0,,,,,
2016-02-01,-5.5,-2.7,-11.5,0.0,5.1,,,,2.2,,,,,
2016-02-02,-6.1,-0.7,-12.1,0.0,3.2,,,,2.1,,,,,
2016-02-03,-2.1,1.3,-4.9,0.0,5.3,,,,2.8,,,,,
2016-02-04,-2.4,3.0,-10.6,0.0,5.6,,,,1.1,,,,,
2016-02-05,0.1,2.7,-2.2,0.0,7.3,,,,2.8,,,,,
2016-02-06,-2.5,1.7,-8.5,0.0,8.1,,,,2.5,,,,,
2016-02-07,-4.9,-1.4,-11.3,0.0,7.1,,,,2.9,,,,,
2016-02-08,-3.0,2.7,-11.0,0.0,4.8,,,,1.2,,,,,
2016-02-09,0.4,5.2,-6.6,0.0,4.6,,,,1.9,,,,,
2016-02-10,-1.6,0.7,-3.2,0.0,6.9,,,,4.2,,,,,
2016-02-11,-2.5,1.9,-8.9,0.0,3.8,,,,2.6,,,,,
2016-02-12,-0.9,7.0,-11.1,0.0,8.4,,,,1.2,,,,,
2016-02-13,8.1,12.2,2.2,0.0,4.7,,,,1.7,,,,,
2016-02-14,8.0,15.9,2.3,0.5,4.2,,,,4.1,,,,,
2016-02-15,-2.8,3.2,-6.5,0.5,2.9,,,,4.3,,,,,
2016-02-16,-3.1,0.5,-8.1,0.0,6.1,,,,1.9,,,,,
2016-02-17,-3.0,1.3,-6.7,0.0,5.4,,,,3.5,,,,,
2016-02-18,1.0,4.9,-6.2,0.0,1.0,,,,1.2,,,,,
2016-02-19,3.3,7.4,-1.1,3.0,2.8,,,,1.8,,,,,
2016-02-20,1.5,4.3,-2.8,16.0,0.0,,,,1.3,,,,,
2016-02-21,1.2,5.1,-1.8,3.0,2.9,,,,4.0,,,,,
2016-02-22,-1.3,2.0,-3.8,0.0,6.8,,,,3.4,,,,,
2016-02-23,0.8,4.1,-4.0,0.0,0.8,,,,1.4,,,,,
2016-02-24,-2.8,0.4,-4.8,0.0,4.8,,,,3.7,,,,,
2016-02-25,-3.2,0.0,-5.7,0.0,4.1,,,,2.4,,,,,
2016-02-26,-2.9,1.2,-8.1,0.0,7.1,,,,2.5,,,,,
2016-02-27,-2.3,2.1,-6.8,4.0,6.7,,,,1.8,,,,,
