calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-1.5,3.4,-7.8,0.0,2.6,,,,1.9,,,,,
2016-01-02,2.5,6.3,-2.0,0.0,1.3,,,,3.5,,,,,
2016-01-03,5.0,7.3,3.0,0.0,1.5,,,,2.1,,,,,
2016-01-04,1.7,3.9,-0.4,2.0,0.0,,,,1.4,,,,,
2016-01-05,0.1,2.6,-1.8,0.0,5.9,,,,2.5,,,,,
2016-01-06,0.2,2.5,-3.2,0.0,1.1,,,,2.2,,,,,
2016-01-07,0.1,3.0,-2.1,0.0,3.8,,,,2.7,,,,,
2016-01-08,0.2,3.1,-1.4,0.0,1.7,,,,2.7,,,,,
2016-01-09,-0.6,2.7,-2.5,0.0,4.8,,,,2.0,,,,,
2016-01-10,-0.9,3.3,-3.5,0.0,4.6,,,,2.3,,,,,
2016-01-11,-2.9,0.1,-5.1,0.0,6.4,,,,3.0,,,,,
2016-01-12,-2.4,0.7,-6.2,0.0,5.1,,,,2.6,,,,,
2016-01-13,-1.7,2.5,-7.4,2.0,5.5,,,,2.0,,,,,
2016-01-14,-1.7,1.2,-5.3,0.0,5.5,,,,2.2,,,,,
2016-01-15,-6.7,-0.2,-12.1,0.0,4.0,,,,1.4,,,,,
2016-01-16,-4.9,0.1,-11.3,0.0,5.4,,,,1.8,,,,,
2016-01-17,-3.0,1.7,-6.6,0.0,7.5,,,,1.3,,,,,
2016-01-18,-2.0,1.3,-6.3,12.5,0.0,,,,3.0,,,,,
2016-01-19,-0.3,1.3,-1.5,1.0,1.1,,,,2.3,,,,,
2016-01-20,-1.7,2.4,-6.3,0.0,3.6,,,,1.4,,,,,
2016-01-21,-2.5,2.7,-7.7,0.0,6.4,,,,2.1,,,,,
2016-01-22,-2.9,0.9,-6.1,0.0,6.1,,,,2.5,,,,,
2016-01-23,-4.1,0.1,-9.7,0.0,0.8,,,,1.8,,,,,
2016-01-24,-4.2,1.2,-9.2,0.0,4.1,,,,1.9,,,,,
2016-01-25,-3.7,0.7,-9.7,0.5,6.9,,,,2.1,,,,,
2016-01-26,-0.3,3.2,-7.8,0.5,2.1,,,,2.5,,,,,
2016-01-27,1.0,3.5,-3.7,3.0,4.7,,,,2.3,,,,,
2016-01-28,0.6,4.7,-6.5,0.0,6.1,,,,2.7,,,,,
2016-01-29,-4.7,0.1,-11.1,0.0,0.5,,,,1.0,,,,,
2016-01-30,-2.6,1.3,-4.8,0.0,5.8,,,,1.2,,,,,
2016-01-31,-1.6,1.8,-5.3,0.0,5.8,,,,1.8,,,,,
2016-02-01,-3.7,0.0,-6.9,0.0,7.8,,,,1.6,,,,,
2016-02-02,-4.9,-0.7,-8.5,0.0,1.3,,,,1.2,,,,,
2016-02-03,-2.7,2.6,-7.6,0.0,7.5,,,,1.1,,,,,
2016-02-04,-2.8,2.8,-11.7,0.5,6.7,,,,1.8,,,,,
2016-02-05,0.4,3.9,-2.5,0.0,3.6,,,,2.3,,,,,
2016-02-06,-2.8,2.2,-9.6,0.0,4.5,,,,1.6,,,,,
2016-02-07,-5.2,1.0,-12.8,0.0,8.9,,,,2.2,,,,,
2016-02-08,-1.9,1.8,-5.6,0.0,4.0,,,,2.2,,,,,
2016-02-09,0.6,3.9,-1.5,2.5,2.5,,,,2.4,,,,,
2016-02-10,-1.8,1.8,-6.7,0.0,2.9,,,,1.6,,,,,
2016-02-11,-1.4,3.8,-7.9,0.0,8.6,,,,2.2,,,,,
2016-02-12,-2.0,4.6,-11.7,0.0,8.9,,,,2.2,,,,,
2016-02-13,3.4,6.9,-0.3,0.0,1.5,,,,2.9,,,,,
2016-02-14,6.1,12.0,3.0,15.5,0.7,,,,3.4,,,,,
2016-02-15,-1.3,5.2,-5.8,0.0,0.5,,,,2.7,,,,,
2016-02-16,-2.9,-0.1,-6.7,0.0,3.7,,,,2.1,,,,,
2016-02-17,-1.9,1.5,-4.4,0.0,2.5,,,,2.6,,,,,
2016-02-18,-0.2,4.4,-3.7,0.0,0.9,,,,3.5,,,,,
2016-02-19,2.1,4.4,0.2,2.0,0.1,,,,2.1,,,,,
2016-02-20,2.9,4.4,1.0,13.5,0.0,,,,1.4,,,,,
2016-02-21,1.9,6.1,-1.3,1.0,1.4,,,,2.5,,,,,
2016-02-22,-0.5,3.0,-2.7,0.0,2.2,,,,1.9,,,,,
2016-02-23,0.0,3.2,-3.0,1.0,0.3,,,,2.7,,,,,
2016-02-24,-2.9,0.4,-5.4,0.0,4.3,,,,,,,,,
2016-02-25,-3.0,1.6,-5.7,0.0,4.7,,,,1.6,,,,,
2016-02-26,-2.5,2.7,-8.0,0.5,7.6,,,,1.8,,,,,
2016-02-27,-1.7,3.1,-6.7,4.5,5.9,,,,1.3,,,,,
2016-02-28,-1.1,3.1,-5.7,1.0,6.4,,,,1.4,,,,,
2016-02-29,2.2,5.2,-0.8,2.0,0.0,,,,3.2,,,,,
2016-03-01,-1.8,1.4,-4.0,0.0,4.0,,,,2.5,,,,,
2016-03-02,-1.7,2.1,-6.0,0.0,4.3,,,,1.8,,,,,
2016-03-03,0.0,5.1,-5.3,7.5,0.4,,,,2.5,,,,,
2016-03-04,-0.9,5.6,-8.5,0.0,9.7,,,,0.8,,,,,
2016-03-05,1.1,7.1,-6.7,0.0,10.3,,,,2.3,,,,,
2016-03-06,4.9,7.9,2.6,1.0,0.0,,,,2.9,,,,,
2016-03-07,8.4,13.8,2.9,2.0,7.7,,,,2.7,,,,,
2016-03-08,6.2,11.2,2.6,0.5,1.8,,,,2.1,,,,,
2016-03-09,1.8,5.8,-2.5,0.0,3.8,,,,1.7,,,,,
2016-03-10,-0.4,3.9,-4.9,0.0,5.3,,,,1.2,,,,,
2016-03-11,-0.6,4.1,-4.1,0.0,4.5,,,,1.7,,,,,
2016-03-12,-1.1,5.3,-7.4,0.0,8.1,,,,1.3,,,,,
2016-03-13,1.0,7.3,-7.9,0.0,6.9,,,,1.5,,,,,
2016-03-14,4.4,11.7,-1.9,0.0,7.9,,,,1.6,,,,,
2016-03-15,2.8,7.6,-0.8,0.0,7.0,,,,3.2,,,,,
2016-03-16,6.2,10.9,0.6,0.0,7.1,,,,4.3,,,,,
2016-03-17,9.7,16.2,0.7,0.0,10.8,,,,3.1,,,,,
2016-03-18,10.0,18.5,-0.1,0.0,5.2,,,,3.3,,,,,
2016-03-19,9.9,13.5,4.7,0.0,1.4,,,,2.3,,,,,
2016-03-20,4.8,9.7,0.4,0.0,3.5,,,,3.1,,,,,
2016-03-21,1.9,7.8,-4.1,0.0,4.6,,,,2.1,,,,,
2016-03-22,3.6,9.9,-2.1,4.5,1.1,,,,2.7,,,,,
2016-03-23,2.4,5.7,-1.2,0.0,0.0,,,,2.1,,,,,
2016-03-24,0.6,6.0,-3.8,0.0,0.7,,,,1.7,,,,,
2016-03-25,1.0,8.0,-3.9,0.0,6.0,,,,1.9,,,,,
2016-03-26,2.9,10.1,-3.2,0.0,7.1,,,,1.4,,,,,
2016-03-27,2.8,12.5,-6.6,0.0,11.1,,,,1.7,,,,,
2016-03-28,4.4,14.2,-4.8,0.0,10.5,,,,1.6,,,,,
2016-03-29,6.6,15.8,-4.2,0.0,10.8,,,,1.5,,,,,
2016-03-30,7.4,16.2,1.8,2.0,5.1,,,,2.2,,,,,
2016-03-31,5.8,13.1,-0.7,0.5,9.4,,,,2.1,,,,,
2016-04-01,5.0,13.2,-2.4,0.0,11.6,,,,2.4,,,,,
2016-04-02,5.2,9.5,-1.6,0.0,0.0,,,,3.7,,,,,
2016-04-03,9.2,12.5,5.5,5.0,0.0,,,,3.1,,,,,
2016-04-04,3.7,8.5,-1.6,19.5,0.6,,,,2.9,,,,,
2016-04-05,6.4,15.1,-3.9,0.0,12.2,,,,3.3,,,,,
2016-04-06,8.4,14.6,-0.3,0.0,12.2,,,,2.6,,,,,
2016-04-07,4.5,8.3,-1.5,26.0,0.0,,,,1.2,,,,,
2016-04-08,9.6,13.9,2.6,0.0,1.6,,,,2.6,,,,,
2016-04-09,9.3,16.6,0.3,0.0,10.4,,,,3.2,,,,,
2016-04-10,6.7,13.9,0.9,0.0,3.8,,,,2.3,,,,,
2016-04-11,1.8,7.2,-1.7,1.0,4.2,,,,2.3,,,,,
2016-04-12,4.3,10.8,-4.9,0.0,10.2,,,,1.9,,,,,
2016-04-13,8.9,13.6,2.6,3.5,2.8,,,,2.9,,,,,
2016-04-14,14.3,19.7,10.1,2.5,3.4,,,,2.0,,,,,
2016-04-15,7.4,12.1,2.7,0.0,3.3,,,,3.0,,,,,
2016-04-16,8.1,14.9,-1.2,0.0,6.3,,,,2.7,,,,,
2016-04-17,10.3,14.1,5.5,26.0,0.0,,,,6.3,,,,,
2016-04-18,11.7,15.2,9.5,0.0,7.3,,,,4.7,,,,,
2016-04-19,9.4,13.5,2.8,0.0,6.4,,,,3.0,,,,,
2016-04-20,9.4,15.0,2.7,0.0,3.6,,,,2.6,,,,,
2016-04-21,12.9,19.5,6.3,0.0,0.4,,,,3.2,,,,,
2016-04-22,13.1,18.1,7.0,1.0,2.6,,,,2.6,,,,,
