calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-1.0,3.1,-5.2,0.0,3.7,5.70,4,,2.3,3.9,1004.9,69,1024.6,4.5
2016-01-02,2.3,6.3,-2.5,0.5,0.2,2.67,4,1,3.2,5.6,998.7,77,1018.0,9.8
2016-01-03,4.5,7.8,1.5,0.0,1.9,3.82,0,,2.3,6.3,996.3,75,1015.4,5.5
2016-01-04,1.9,5.2,0.0,3.0,0.7,3.00,,,3.3,5.4,994.3,76,1013.6,6.0
2016-01-05,0.7,3.7,-1.3,0.0,6.0,8.92,,,4.6,3.8,998.0,59,1017.5,5.8
2016-01-06,1.0,3.3,-1.5,0.0,0.8,4.46,,,2.9,4.1,997.8,62,1017.2,7.8
2016-01-07,0.9,3.4,-0.4,0.0,5.8,9.07,,,3.7,3.9,992.9,59,1012.3,4.0
2016-01-08,0.5,3.6,-1.2,0.0,2.0,5.52,,,2.9,4.3,993.9,68,1013.3,7.8
2016-01-09,0.1,3.5,-1.7,0.0,5.0,8.35,,,2.8,3.6,997.9,60,1017.4,6.0
2016-01-10,-0.4,3.7,-1.9,2.0,6.0,8.95,5,5,3.6,4.3,996.1,73,1015.6,7.0
2016-01-11,-2.3,0.1,-3.7,,7.8,10.30,1,,4.5,2.8,998.7,55,1018.4,1.3
2016-01-12,-2.2,0.5,-5.7,0.0,2.7,7.38,,,3.1,3.1,995.7,59,1015.3,6.3
2016-01-13,-1.7,2.7,-6.4,1.5,6.1,9.02,5,5,2.8,4.1,992.9,75,1012.4,5.0
2016-01-14,-1.5,1.6,-5.3,1.0,6.4,9.44,8,3,3.1,3.9,993.4,71,1012.9,6.8
2016-01-15,-4.1,1.1,-8.3,0.0,6.6,9.54,3,,1.9,3.4,999.0,76,1018.8,3.3
2016-01-16,-3.9,1.2,-8.1,0.0,5.1,7.82,2,,2.3,3.1,1000.4,68,1020.3,6.3
2016-01-17,-2.5,1.9,-6.7,,7.8,9.90,2,,2.8,3.3,1003.7,66,1023.5,5.0
2016-01-18,-1.2,1.2,-4.4,15.0,0.0,0.98,9,10,3.8,5.1,987.5,89,1006.9,10.0
2016-01-19,0.1,1.8,-1.5,4.5,1.0,4.54,15,8,3.5,5.7,978.2,93,997.3,8.8
2016-01-20,-0.7,2.6,-2.8,0.0,3.7,7.85,15,,2.7,4.8,986.7,84,1006.0,7.8
2016-01-21,-0.1,2.9,-2.7,0.0,5.8,9.76,13,1,2.6,3.9,996.3,65,1015.8,6.3
2016-01-22,-1.8,1.6,-5.5,,5.7,9.82,11,,2.9,3.1,999.2,59,1018.8,5.3
2016-01-23,-3.2,0.8,-6.9,0.0,0.3,5.87,10,,2.0,3.5,997.9,72,1017.6,8.3
2016-01-24,-2.8,1.0,-6.2,0.0,4.2,7.93,10,,3.1,3.3,984.3,68,1003.7,7.8
2016-01-25,-2.3,0.5,-5.8,1.0,7.9,12.21,13,3,3.2,3.5,993.9,70,1013.5,5.8
2016-01-26,-0.2,2.6,-3.4,0.5,0.1,4.72,12,2,3.3,5.1,1001.1,85,1020.7,9.8
2016-01-27,2.3,5.1,0.5,2.5,7.6,12.26,14,2,3.2,4.9,1001.8,69,1021.2,5.3
2016-01-28,1.9,4.9,-2.7,,7.0,11.34,7,,4.0,4.1,1005.6,58,1025.1,5.5
