calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-1.7,2.3,-6.7,0.0,1.3,,1,4,1.5,,,,,
2016-01-02,1.2,6.3,-5.0,0.5,0.6,,1,1,1.3,,,,,
2016-01-03,1.6,6.0,-1.1,0.0,1.2,,0,0,1.0,,,,,
2016-01-04,0.2,4.3,-2.9,2.5,0.5,,0,0,1.0,,,,,
2016-01-05,-1.2,0.2,-3.7,0.0,5.0,,0,0,3.3,,,,,
2016-01-06,0.0,2.6,-1.7,0.0,2.2,,0,0,2.7,,,,,
2016-01-07,-0.2,1.8,-2.3,0.0,4.1,,0,0,2.9,,,,,
2016-01-08,-0.1,2.6,-2.1,0.0,2.6,,0,0,2.3,,,,,
2016-01-09,-1.9,1.4,-6.0,0.0,3.0,,0,0,2.0,,,,,
2016-01-10,-1.6,2.3,-5.6,0.5,3.7,,1,2,2.1,,,,,
2016-01-11,-3.7,-1.1,-5.6,0.0,3.5,,1,2,2.3,,,,,
2016-01-12,-3.1,-0.6,-5.6,0.0,1.2,,1,2,2.7,,,,,
2016-01-13,-1.9,1.8,-5.2,0.0,4.7,,0,0,1.7,,,,,
2016-01-14,-1.8,1.4,-7.8,0.0,5.9,,0,0,2.8,,,,,
2016-01-15,-5.0,1.0,-9.1,0.0,5.8,,0,0,1.6,,,,,
2016-01-16,-5.2,-0.4,-11.0,0.0,0.2,,0,0,1.6,,,,,
2016-01-17,-3.7,0.5,-6.6,0.0,2.9,,0,0,1.2,,,,,
2016-01-18,-2.5,1.0,-7.7,37.0,0.0,,17,17,2.1,,,,,
2016-01-19,-1.1,1.5,-5.9,11.5,1.3,,32,15,,,,,,
2016-01-20,-3.4,1.7,-9.0,0.5,2.2,,27,5,0.8,,,,,
2016-01-21,-2.5,1.1,-7.2,4.5,1.0,,34,13,1.2,,,,,
2016-01-22,-4.3,-0.9,-8.5,0.0,6.1,,30,1,2.8,,,,,
2016-01-23,-4.7,-0.4,-8.8,0.0,3.5,,28,0,1.4,,,,,
2016-01-24,-4.7,0.6,-7.3,0.0,2.7,,27,0,1.0,,,,,
2016-01-25,-4.3,-0.6,-8.4,2.0,3.3,,35,10,1.7,,,,,
2016-01-26,-0.3,3.6,-4.5,0.0,1.2,,34,0,1.5,,,,,
2016-01-27,1.0,2.9,-1.2,2.0,2.5,,29,1,2.2,,,,,
2016-01-28,-1.1,2.4,-6.6,0.0,1.8,,25,1,1.9,,,,,
2016-01-29,-4.0,-0.2,-8.3,0.0,3.2,,25,3,1.4,,,,,
2016-01-30,-3.3,1.3,-5.6,0.0,6.6,,24,0,0.9,,,,,
2016-01-31,-3.7,-0.1,-8.6,0.0,3.1,,23,0,1.6,,,,,
2016-02-01,-4.9,-1.3,-9.8,0.0,4.6,,23,0,1.9,,,,,
2016-02-02,-5.9,-0.2,-11.0,0.0,3.6,,24,3,1.2,,,,,
2016-02-03,-2.2,1.5,-6.1,0.0,4.9,,24,3,1.9,,,,,
2016-02-04,-1.3,3.1,-7.5,0.0,2.9,,23,5,1.6,,,,,
