calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-4.1,-0.8,-11.3,0.5,0.0,,14,5,1.5,,,,,
2016-01-02,-0.1,4.0,-10.5,0.0,0.9,,14,1,2.0,,,,,
2016-01-03,2.0,5.3,-2.2,0.0,1.5,,10,0,1.7,,,,,
2016-01-04,-0.6,1.7,-4.8,2.0,0.7,,12,7,1.6,,,,,
2016-01-05,-3.1,-1.1,-4.6,0.5,5.1,,15,6,3.0,,,,,
2016-01-06,-2.5,0.1,-5.0,0.0,1.4,,14,1,1.8,,,,,
2016-01-07,-2.8,-1.6,-4.5,0.0,0.2,,14,2,1.8,,,,,
2016-01-08,-2.4,-0.2,-4.1,0.5,2.1,,16,5,1.7,,,,,
2016-01-09,-3.7,-1.3,-5.8,0.0,2.4,,18,3,1.5,,,,,
2016-01-10,-3.6,0.1,-7.4,1.0,3.8,,18,5,2.1,,,,,
2016-01-11,-6.0,-3.7,-8.0,0.0,7.4,,18,1,3.2,,,,,
2016-01-12,-5.5,-3.0,-9.3,0.0,1.3,,18,0,1.8,,,,,
2016-01-13,-3.6,-0.3,-7.2,1.5,6.2,,23,7,1.9,,,,,
2016-01-14,-4.1,-1.5,-9.2,0.5,6.5,,24,2,1.9,,,,,
2016-01-15,-8.5,-2.4,-14.3,0.0,2.0,,22,2,1.0,,,,,
2016-01-16,-6.6,-2.6,-11.5,0.5,1.6,,26,6,1.3,,,,,
2016-01-17,-5.8,-1.8,-11.4,0.0,2.9,,26,2,1.0,,,,,
2016-01-18,-3.1,0.0,-11.1,23.0,0.0,,56,33,2.1,,,,,
2016-01-19,-2.2,0.2,-5.4,5.5,1.3,,61,14,2.0,,,,,
2016-01-20,-3.4,-0.4,-7.4,0.0,3.0,,57,2,1.7,,,,,
2016-01-21,-3.4,-0.9,-7.4,0.5,6.1,,56,3,2.7,,,,,
2016-01-22,-5.4,-3.1,-7.5,0.0,3.3,,52,1,1.9,,,,,
2016-01-23,-7.4,-2.4,-12.9,0.0,2.0,,49,2,0.9,,,,,
2016-01-24,-6.5,-2.2,-13.8,0.0,2.8,,48,0,1.2,,,,,
2016-01-25,-5.1,-2.6,-9.0,2.5,5.6,,53,8,2.2,,,,,
2016-01-26,-2.1,1.1,-6.4,0.0,1.1,,50,2,1.6,,,,,
2016-01-27,-1.2,0.2,-4.3,3.0,2.9,,56,11,2.1,,,,,
2016-01-28,-2.7,0.7,-12.5,0.0,3.6,,48,1,2.0,,,,,
2016-01-29,-7.4,-3.0,-14.7,0.0,1.5,,46,0,0.7,,,,,
2016-01-30,-5.1,-0.8,-10.2,0.0,6.3,,45,1,0.9,,,,,
2016-01-31,-4.3,-1.2,-6.2,0.0,3.9,,43,1,1.7,,,,,
2016-02-01,-7.2,-3.5,-12.4,0.0,2.7,,41,0,1.5,,,,,
2016-02-02,-6.8,-3.0,-11.2,0.5,2.3,,53,16,,,,,,
2016-02-03,-4.8,-0.8,-9.8,0.0,4.4,,50,0,1.5,,,,,
2016-02-04,-3.5,0.5,-10.4,0.0,4.5,,41,3,1.6,,,,,
2016-02-05,-2.0,0.9,-4.4,0.0,3.9,,41,3,2.6,,,,,
2016-02-06,-4.8,-0.1,-12.3,0.0,7.0,,39,2,2.0,,,,,
2016-02-07,-7.6,-2.7,-14.2,0.0,8.4,,38,3,1.4,,,,,
2016-02-08,-4.4,-0.4,-9.4,0.0,0.6,,44,9,1.0,,,,,
2016-02-09,-1.6,1.3,-3.9,2.0,0.5,,43,3,1.9,,,,,
2016-02-10,-4.0,-1.7,-5.6,0.0,6.3,,44,2,2.8,,,,,
2016-02-11,-4.6,-0.2,-10.4,0.0,6.4,,41,0,1.6,,,,,
2016-02-12,-3.4,2.7,-13.5,0.0,8.7,,39,0,,,,,,
2016-02-13,2.9,5.4,-0.7,0.0,0.3,,39,0,1.5,,,,,
2016-02-14,5.5,10.3,1.3,6.0,0.8,,34,0,3.4,,,,,
2016-02-15,-4.7,1.2,-8.5,1.0,1.2,,27,7,2.5,,,,,
2016-02-16,-5.2,-2.1,-8.3,3.5,1.8,,33,9,1.5,,,,,
2016-02-17,-4.9,-1.3,-8.0,1.5,2.9,,35,7,2.4,,,,,
2016-02-18,-2.2,1.8,-9.1,0.5,0.0,,37,7,2.3,,,,,
2016-02-19,0.4,1.9,-1.1,5.0,0.0,,36,7,2.1,,,,,
2016-02-20,0.8,2.9,-4.2,17.5,0.0,,35,2,1.6,,,,,
2016-02-21,-0.5,3.7,-4.8,2.5,2.7,,34,8,2.7,,,,,
2016-02-22,-4.1,-0.3,-8.4,0.0,3.5,,34,0,1.6,,,,,
2016-02-23,-2.0,0.9,-5.8,2.0,2.4,,31,5,1.1,,,,,
2016-02-24,-5.4,-1.6,-9.9,1.0,5.4,,35,4,1.9,,,,,
2016-02-25,-6.2,-1.8,-8.4,0.0,4.2,,32,2,1.2,,,,,
2016-02-26,-5.5,-1.0,-12.7,0.5,5.5,,32,4,1.2,,,,,
2016-02-27,-4.3,-0.1,-11.8,8.5,4.2,,43,21,,,,,,
2016-02-28,-3.5,0.8,-9.9,1.5,7.7,,50,8,1.2,,,,,
2016-02-29,0.1,3.0,-2.7,7.0,0.0,,44,7,3.0,,,,,
2016-03-01,-4.8,-1.8,-6.9,0.0,2.8,,42,8,3.4,,,,,
2016-03-02,-5.4,-0.9,-12.5,1.0,2.0,,47,7,1.6,,,,,
2016-03-03,-3.3,3.1,-13.1,8.0,0.9,,58,18,1.4,,,,,
2016-03-04,-3.2,3.3,-11.1,0.0,10.2,,51,0,0.8,,,,,
2016-03-05,-1.0,5.7,-10.4,0.0,10.5,,43,0,1.4,,,,,
2016-03-06,3.3,5.5,0.6,0.0,0.0,,41,1,2.3,,,,,
2016-03-07,6.6,11.6,2.3,1.0,7.0,,35,0,1.8,,,,,
2016-03-08,4.0,9.2,-1.1,0.0,2.1,,28,0,2.6,,,,,
2016-03-09,-1.1,1.7,-4.4,0.0,4.1,,22,0,1.7,,,,,
2016-03-10,-2.8,1.0,-8.4,0.0,6.5,,22,0,1.1,,,,,
2016-03-11,-3.8,1.3,-9.7,0.0,5.7,,23,3,1.6,,,,,
2016-03-12,-3.5,2.5,-9.9,0.0,7.9,,20,0,1.1,,,,,
2016-03-13,-1.3,4.5,-10.1,0.0,6.2,,17,0,1.4,,,,,
2016-03-14,1.9,8.2,-4.5,0.0,8.3,,16,0,1.0,,,,,
2016-03-15,0.4,3.3,-2.9,0.0,6.9,,12,0,2.5,,,,,
2016-03-16,4.2,8.5,0.2,0.0,7.7,,11,1,3.2,,,,,
2016-03-17,6.7,13.0,-0.5,0.0,11.1,,6,0,2.2,,,,,
2016-03-18,8.9,15.8,-0.2,0.0,6.8,,0,0,2.2,,,,,
2016-03-19,7.5,11.4,2.5,1.0,0.4,,0,0,1.7,,,,,
2016-03-20,2.4,6.0,-1.7,0.0,1.2,,0,0,2.1,,,,,
2016-03-21,-0.9,4.2,-7.6,0.0,6.5,,0,0,1.7,,,,,
2016-03-22,1.3,5.6,-4.2,4.5,0.4,,4,4,2.1,,,,,
2016-03-23,-1.5,2.3,-7.8,0.0,0.6,,4,0,,,,,,
2016-03-24,-1.8,3.5,-7.5,1.0,4.1,,0,0,1.3,,,,,
2016-03-25,-0.7,4.2,-5.2,1.0,6.2,,0,0,1.9,,,,,
2016-03-26,0.1,5.8,-5.8,0.0,7.9,,0,0,1.4,,,,,
2016-03-27,1.5,10.5,-6.6,0.0,9.8,,0,0,1.4,,,,,
2016-03-28,2.6,10.9,-5.4,0.0,9.5,,0,0,1.5,,,,,
2016-03-29,5.1,14.1,-4.4,0.0,10.2,,0,0,1.2,,,,,
2016-03-30,5.2,13.2,-2.0,3.5,4.9,,0,0,2.2,,,,,
2016-03-31,3.4,9.8,-3.0,1.5,11.0,,0,0,1.7,,,,,
2016-04-01,2.2,8.4,-3.8,0.0,11.2,,0,0,1.5,,,,,
2016-04-02,3.2,8.7,-4.2,0.0,0.8,,0,0,2.6,,,,,
2016-04-03,7.3,10.1,3.8,5.5,0.0,,0,0,2.4,,,,,
2016-04-04,0.8,6.5,-4.0,21.5,1.0,,0,0,1.9,,,,,
2016-04-05,4.9,13.1,-4.8,0.0,12.0,,0,0,2.3,,,,,
2016-04-06,5.3,11.2,-3.2,0.0,11.2,,0,0,2.3,,,,,
2016-04-07,4.3,7.2,-2.8,22.0,0.0,,0,0,1.4,,,,,
2016-04-08,6.9,11.0,0.7,2.0,0.8,,0,0,1.6,,,,,
2016-04-09,7.6,15.3,0.2,0.0,9.0,,0,0,2.8,,,,,
2016-04-10,4.2,11.8,-1.5,0.0,3.0,,0,0,2.1,,,,,
2016-04-11,-0.2,3.3,-1.8,2.0,4.7,,0,0,2.9,,,,,
2016-04-12,2.7,8.4,-4.2,0.0,10.5,,0,0,2.0,,,,,
2016-04-13,7.2,13.4,1.2,5.0,4.0,,0,0,2.3,,,,,
2016-04-14,11.6,16.9,7.5,2.5,3.2,,0,0,1.5,,,,,
2016-04-15,4.8,9.6,2.0,2.5,3.3,,0,0,3.8,,,,,
2016-04-16,7.2,12.5,-0.3,0.0,4.3,,0,0,2.2,,,,,
2016-04-17,9.2,11.8,5.3,10.0,0.0,,0,0,3.8,,,,,
2016-04-18,9.5,13.0,6.0,0.0,5.9,,0,0,3.9,,,,,
2016-04-19,6.7,11.8,0.9,0.0,6.6,,0,0,2.4,,,,,
2016-04-20,7.3,13.8,1.3,0.0,5.5,,0,0,2.0,,,,,
2016-04-21,10.9,17.7,4.0,0.0,3.2,,0,0,1.7,,,,,
2016-04-22,10.0,14.8,2.5,0.0,2.1,,0,0,2.2,,,,,
2016-04-23,11.0,16.8,2.7,0.0,2.7,,0,0,2.6,,,,,
2016-04-24,9.4,16.3,0.9,0.0,11.4,,0,0,1.9,,,,,
2016-04-25,8.0,18.6,-2.7,0.0,12.5,,0,0,1.3,,,,,
2016-04-26,10.4,18.3,2.6,0.0,7.1,,0,0,1.6,,,,,
2016-04-27,7.9,13.8,1.5,0.0,9.2,,0,0,2.0,,,,,
2016-04-28,6.4,8.9,5.2,29.5,0.0,,0,0,2.6,,,,,
2016-04-29,3.6,6.8,0.8,11.5,1.7,,0,0,3.7,,,,,
2016-04-30,4.7,10.6,-1.4,1.0,10.6,,0,0,3.3,,,,,
2016-05-01,4.1,7.4,-0.4,4.5,0.9,,0,0,0.7,,,,,
2016-05-02,7.2,13.4,-0.9,0.0,2.4,,0,0,1.7,,,,,
2016-05-03,13.7,20.7,8.5,0.0,5.5,,0,0,3.3,,,,,
2016-05-04,13.2,16.0,10.8,7.0,1.9,,0,0,3.4,,,,,
2016-05-05,10.9,13.5,7.4,1.5,0.2,,0,0,3.2,,,,,
2016-05-06,11.8,16.4,2.2,0.0,3.7,,0,0,1.4,,,,,
2016-05-07,12.4,17.3,10.1,2.0,3.4,,0,0,3.3,,,,,
2016-05-08,11.2,17.6,0.2,0.0,11.4,,0,0,4.1,,,,,
2016-05-09,12.2,21.3,-1.0,0.0,12.6,,0,0,1.7,,,,,
2016-05-10,10.3,13.8,8.4,12.0,0.2,,0,0,2.0,,,,,
2016-05-11,10.2,12.9,9.0,9.0,0.0,,0,0,2.8,,,,,
2016-05-12,10.8,15.2,6.9,0.0,5.4,,0,0,2.5,,,,,
2016-05-13,15.5,25.3,5.5,0.0,12.1,,0,0,2.0,,,,,
2016-05-14,11.9,17.7,2.5,0.0,11.4,,0,0,2.2,,,,,
2016-05-15,12.0,21.2,-0.6,0.0,12.6,,0,0,1.7,,,,,
2016-05-16,13.7,20.2,7.1,0.0,10.8,,0,0,3.4,,,,,
2016-05-17,12.1,17.7,4.7,4.5,3.5,,0,0,1.1,,,,,
2016-05-18,14.2,23.0,4.4,0.0,13.2,,0,0,1.6,,,,,
2016-05-19,15.3,24.9,4.0,0.0,12.6,,0,0,0.8,,,,,
2016-05-20,14.8,25.5,5.1,0.0,12.3,,0,0,0.9,,,,,
2016-05-21,16.3,26.0,6.8,0.0,10.2,,0,0,1.1,,,,,
2016-05-22,18.2,28.9,7.6,0.0,12.1,,0,0,0.9,,,,,
2016-05-23,17.1,26.8,5.4,0.0,11.9,,0,0,1.3,,,,,
2016-05-24,15.4,21.7,7.0,0.0,4.5,,0,0,1.2,,,,,
2016-05-25,16.0,19.2,13.4,3.5,0.0,,0,0,1.6,,,,,
2016-05-26,18.5,23.9,14.8,25.5,4.6,,0,0,1.7,,,,,
2016-05-27,15.5,21.3,9.2,3.0,5.9,,0,0,1.3,,,,,
2016-05-28,15.2,25.0,5.8,0.0,11.3,,0,0,1.3,,,,,
2016-05-29,15.3,24.6,4.8,0.0,9.7,,0,0,1.3,,,,,
