calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-2.5,3.0,-7.9,0.0,3.5,,,,1.8,,,,,
2016-01-02,1.0,3.9,-3.4,0.5,0.2,,,,1.7,,,,,
2016-01-03,3.0,7.1,1.4,0.0,0.0,,,,1.5,,,,,
2016-01-04,2.2,6.2,0.4,6.0,0.5,,,,1.9,,,,,
2016-01-05,0.6,3.9,-1.9,0.0,5.5,,,,3.0,,,,,
2016-01-06,-0.5,3.8,-4.3,0.0,0.8,,,,1.2,,,,,
2016-01-07,0.4,3.4,-1.5,0.0,2.5,,,,1.8,,,,,
2016-01-08,0.0,3.1,-2.5,0.0,0.9,,,,1.5,,,,,
2016-01-09,-0.4,3.6,-3.6,0.0,2.9,,,,2.0,,,,,
2016-01-10,-0.2,3.5,-3.4,1.5,1.9,,,,1.4,,,,,
2016-01-11,-2.5,0.3,-4.6,0.0,7.0,,,,3.7,,,,,
2016-01-12,-2.3,0.3,-4.9,0.0,1.6,,,,1.4,,,,,
2016-01-13,-1.2,2.8,-4.7,0.0,4.5,,,,1.2,,,,,
2016-01-14,-1.5,1.7,-7.2,1.5,4.7,,,,1.7,,,,,
2016-01-15,-4.6,1.5,-8.7,0.0,5.6,,,,2.0,,,,,
2016-01-16,-3.6,1.6,-8.7,0.0,5.2,,,,1.9,,,,,
2016-01-17,-2.8,2.2,-7.5,0.0,6.8,,,,1.8,,,,,
2016-01-18,-0.9,3.6,-4.3,11.0,0.0,,,,2.4,,,,,
2016-01-19,0.0,1.3,-3.4,4.5,0.4,,,,,,,,,
2016-01-20,-1.7,2.7,-7.1,0.0,3.6,,,,,,,,,
2016-01-21,-1.7,2.8,-5.7,0.0,6.3,,,,1.6,,,,,
2016-01-22,-1.7,1.2,-6.0,0.0,4.7,,,,1.7,,,,,
2016-01-23,-3.6,0.9,-9.8,0.0,2.7,,,,1.7,,,,,
2016-01-24,-3.9,1.1,-7.9,2.5,4.3,,,,2.0,,,,,
2016-01-25,-3.4,0.7,-7.6,0.0,7.5,,,,1.9,,,,,
2016-01-26,0.0,3.8,-4.1,0.0,0.3,,,,1.3,,,,,
2016-01-27,2.0,5.5,0.3,2.5,3.5,,,,1.8,,,,,
2016-01-28,1.9,5.4,-1.2,0.0,7.6,,,,2.7,,,,,
2016-01-29,-1.7,1.0,-5.8,0.0,0.8,,,,1.4,,,,,
2016-01-30,-2.2,1.5,-5.1,0.0,2.1,,,,1.1,,,,,
2016-01-31,-1.2,2.5,-4.9,0.0,4.2,,,,2.0,,,,,
2016-02-01,-2.4,0.4,-4.6,0.0,1.3,,,,1.3,,,,,
2016-02-02,-2.9,0.4,-5.2,0.0,0.6,,,,1.4,,,,,
2016-02-03,-1.2,2.4,-4.7,0.0,4.9,,,,1.4,,,,,
2016-02-04,-1.2,4.0,-7.4,0.0,6.8,,,,1.4,,,,,
2016-02-05,0.8,3.7,-2.3,0.0,1.9,,,,1.7,,,,,
2016-02-06,-1.2,3.2,-4.1,0.0,3.1,,,,1.4,,,,,
