calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,2.7,5.5,-0.2,,7.3,,,,4.4,3.8,1018.8,52,1023.7,
2016-01-02,4.8,9.3,-2.1,0.0,1.8,,,,2.6,5.7,1013.4,67,1018.2,
2016-01-03,7.8,10.8,3.2,,5.5,,,,2.5,6.5,1010.4,62,1015.1,
2016-01-04,5.7,7.7,3.0,0.0,1.1,,,,3.0,6.0,1008.1,65,1012.9,
2016-01-05,2.6,4.4,1.4,0.0,5.9,,,,4.4,4.0,1012.0,55,1016.8,
2016-01-06,2.1,5.0,-1.1,,1.5,,,,2.3,4.2,1012.1,59,1017.0,
2016-01-07,2.5,5.0,0.2,0.0,6.0,,,,3.9,4.0,1006.9,55,1011.7,
2016-01-08,1.7,6.0,-1.7,0.0,6.5,,,,2.5,4.3,1008.5,63,1013.4,
2016-01-09,0.9,4.2,-2.1,0.0,4.9,,,,2.3,3.9,1012.7,60,1017.5,
2016-01-10,1.9,7.1,-1.5,0.5,7.1,,3,3,4.0,4.6,1010.3,66,1015.2,
2016-01-11,-0.4,2.4,-1.8,0.0,5.0,,,,5.1,3.0,1012.8,51,1017.7,
2016-01-12,-0.2,2.8,-1.7,0.0,5.8,,,,3.1,3.2,1010.0,54,1014.9,
2016-01-13,0.5,4.1,-2.9,0.5,5.1,,2,2,1.7,4.1,1007.9,66,1012.7,
2016-01-14,1.4,3.9,-1.5,0.0,7.1,,2,,4.5,3.7,1007.5,54,1012.3,
2016-01-15,-0.1,4.0,-3.8,,5.2,,,,2.8,3.1,1013.4,53,1018.3,
2016-01-16,-1.0,3.7,-4.5,0.0,3.5,,,,2.2,3.1,1014.9,55,1019.7,
2016-01-17,-0.6,3.6,-4.9,,4.9,,,,1.8,3.4,1018.5,60,1023.4,
2016-01-18,1.9,4.3,-1.2,81.0,0.0,,5,5,5.0,6.0,1000.5,85,1005.3,
2016-01-19,1.7,4.5,-1.9,0.0,1.4,,3,,2.3,5.6,991.8,82,996.6,
2016-01-20,1.1,5.1,-2.7,0.0,7.2,,2,,3.0,4.5,1000.0,69,1004.8,
2016-01-21,1.4,4.3,-1.3,0.0,8.2,,,,3.2,3.7,1010.4,55,1015.2,
2016-01-22,0.3,3.5,-1.8,0.0,7.3,,,,4.2,3.3,1012.8,52,1017.7,
2016-01-23,0.3,3.2,-2.1,0.0,2.2,,,,3.2,3.4,1012.2,55,1017.0,
2016-01-24,-0.4,1.8,-2.2,0.0,2.6,,1,1,2.8,3.7,997.8,63,1002.6,
2016-01-25,-0.5,2.2,-3.0,0.0,8.5,,1,1,3.2,3.3,1008.1,57,1012.9,
2016-01-26,1.9,5.8,-1.6,0.0,1.7,,,,1.9,4.8,1016.1,69,1021.0,
2016-01-27,4.4,7.2,-0.3,0.0,2.8,,,,3.6,4.9,1016.0,59,1020.8,
2016-01-28,3.2,6.7,-0.7,,4.1,,,,3.8,4.5,1019.8,59,1024.6,
2016-01-29,0.8,3.0,-1.9,0.0,0.0,,,,1.8,3.2,1021.9,49,1026.8,
2016-01-30,-0.5,2.5,-2.0,1.5,1.8,,4,4,1.8,4.8,1017.2,82,1022.1,
2016-01-31,0.7,4.6,-2.7,0.0,7.0,,1,,2.9,3.9,1015.4,62,1020.3,
2016-02-01,-0.5,2.3,-3.0,0.0,2.7,,,,2.8,3.1,1015.7,54,1020.6,
2016-02-02,-1.3,1.6,-3.5,0.0,0.6,,1,1,2.0,3.9,1012.8,71,1017.7,
2016-02-03,0.4,5.4,-3.3,0.0,7.5,,,,2.9,3.2,1016.7,51,1021.5,
2016-02-04,1.1,6.3,-4.8,,6.0,,,,1.7,4.1,1013.9,64,1018.8,
2016-02-05,2.3,6.3,-2.3,0.0,6.1,,,,2.4,4.1,1010.9,57,1015.7,
2016-02-06,0.9,5.6,-2.6,,3.7,,,,2.5,3.6,1009.9,56,1014.7,
2016-02-07,-1.1,2.9,-3.7,,8.8,,,,3.0,2.7,1011.9,50,1016.7,
2016-02-08,0.0,5.8,-4.8,0.0,5.2,,,,2.2,4.1,1014.0,69,1018.9,
2016-02-09,3.9,8.8,-0.8,0.5,5.7,,,,3.4,4.9,1002.6,62,1007.3,
2016-02-10,1.3,4.6,-0.3,0.5,5.9,,3,3,4.8,3.4,1010.8,52,1015.6,
2016-02-11,1.4,5.9,-1.8,,8.3,,,,3.4,3.3,1025.1,50,1030.0,
2016-02-12,2.5,8.3,-4.1,,8.8,,,,2.7,4.8,1025.6,65,1030.5,
2016-02-13,8.7,17.5,1.9,0.0,2.3,,,,1.6,7.6,1012.9,68,1017.6,
2016-02-14,11.4,17.1,7.4,7.0,0.3,,,,2.7,10.4,992.5,76,997.1,
2016-02-15,1.6,7.5,-2.4,0.0,3.0,,,,5.6,3.8,998.3,54,1003.1,
2016-02-16,0.2,4.0,-3.3,0.0,4.7,,,,2.0,3.6,1005.8,58,1010.6,
2016-02-17,0.5,4.7,-2.4,0.0,6.5,,,,3.0,3.9,1009.0,62,1013.9,
2016-02-18,2.3,8.4,-3.0,0.0,6.3,,,,2.2,4.6,1018.3,64,1023.2,
2016-02-19,5.0,12.5,-1.4,0.5,6.2,,,,2.0,5.7,1018.5,66,1023.3,
2016-02-20,5.7,9.5,1.1,22.5,0.0,,,,1.8,7.8,1017.2,84,1022.0,
2016-02-21,6.3,11.7,1.6,0.5,3.3,,,,4.0,6.5,1006.2,66,1010.9,
2016-02-22,1.6,4.5,-0.2,0.0,1.2,,,,4.0,3.3,1024.2,48,1029.1,
2016-02-23,3.5,8.3,-0.4,2.0,2.2,,,,2.3,5.5,1016.2,69,1021.0,
2016-02-24,0.4,3.5,-2.8,0.5,5.4,,,,3.8,3.1,1018.4,49,1023.3,
2016-02-25,-0.8,3.4,-3.5,0.0,6.4,,,,2.2,2.8,1020.9,50,1025.8,
2016-02-26,0.5,5.0,-3.3,0.0,8.1,,,,2.6,3.5,1019.0,57,1023.9,
2016-02-27,2.0,5.9,-1.4,4.5,6.8,,6,6,2.2,4.2,1020.1,62,1025.0,
2016-02-28,1.8,5.0,-1.9,1.5,5.2,,8,2,1.8,5.5,1022.4,80,1027.3,
2016-02-29,5.1,8.9,1.7,18.5,0.0,,,,4.6,7.1,1004.7,78,1009.4,
2016-03-01,0.2,3.4,-2.3,0.0,6.3,,2,3,3.8,3.8,1006.7,62,1011.5,
2016-03-02,0.5,5.3,-3.6,0.0,5.5,,2,,2.1,4.3,1015.0,70,1019.9,
2016-03-03,2.8,8.9,-2.5,4.0,5.0,,2,2,3.5,5.2,1015.5,70,1020.3,
2016-03-04,2.0,7.7,-2.5,,8.2,,,,2.3,4.2,1026.6,62,1031.5,
2016-03-05,3.4,8.6,-1.4,,3.5,,,,1.8,5.6,1029.9,72,1034.8,
2016-03-06,7.3,11.1,3.7,1.0,0.0,,,,1.4,9.9,1021.0,96,1025.7,
2016-03-07,10.8,17.4,6.8,4.5,0.8,,,,2.3,10.5,1013.5,82,1018.1,
2016-03-08,10.0,15.8,5.5,0.0,2.9,,,,2.3,9.0,1008.6,75,1013.3,
2016-03-09,4.6,7.0,3.4,,0.0,,,,4.3,3.4,1012.7,40,1017.5,
2016-03-10,3.3,7.4,0.2,,4.8,,,,3.1,3.8,1014.1,49,1018.9,
