calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-1.7,-0.2,-5.5,0.0,0.2,,,,2.0,,,,,
2016-01-02,1.8,4.9,-2.2,10.0,0.0,,,,2.9,,,,,
2016-01-03,2.9,5.1,0.8,6.0,3.9,,,,2.5,,,,,
2016-01-04,0.8,2.1,-1.1,4.0,0.4,,,,2.2,,,,,
2016-01-05,-2.0,-0.3,-3.1,2.5,0.0,,,,2.6,,,,,
2016-01-06,-1.3,0.1,-3.1,0.5,0.0,,,,2.5,,,,,
2016-01-07,-2.0,-0.4,-3.4,2.0,1.5,,,,3.5,,,,,
2016-01-08,-1.8,-0.4,-2.7,1.0,0.1,,,,2.3,,,,,
2016-01-09,-2.4,-0.7,-3.7,1.0,2.0,,,,2.6,,,,,
2016-01-10,-2.3,1.2,-4.7,4.5,0.6,,,,2.5,,,,,
2016-01-11,-5.1,-4.3,-6.0,5.0,0.0,,,,2.1,,,,,
2016-01-12,-4.5,-3.4,-6.4,0.0,0.2,,,,2.8,,,,,
2016-01-13,-3.5,-1.5,-5.1,6.0,0.9,,,,1.5,,,,,
2016-01-14,-3.4,-0.2,-5.3,4.5,2.3,,,,2.5,,,,,
2016-01-15,-6.2,-2.7,-10.9,0.5,0.6,,,,1.3,,,,,
2016-01-16,-6.0,-3.0,-11.1,0.0,1.5,,,,2.4,,,,,
2016-01-17,-3.9,-1.1,-7.4,0.5,5.4,,,,2.0,,,,,
2016-01-18,-1.9,0.4,-7.1,27.0,0.0,,,,1.9,,,,,
2016-01-19,-1.4,0.3,-2.7,34.0,0.0,,,,1.2,,,,,
2016-01-20,-2.0,1.2,-6.7,2.0,3.1,,,,,,,,,
2016-01-21,-2.4,-0.3,-3.8,0.0,3.2,,,,2.5,,,,,
2016-01-22,-4.2,-2.0,-6.9,0.5,3.7,,,,2.8,,,,,
2016-01-23,-5.1,-2.3,-8.9,5.5,0.9,,,,2.3,,,,,
2016-01-24,-5.5,-0.1,-10.3,3.5,3.9,,,,,,,,,
2016-01-25,-3.7,-2.7,-5.3,0.5,1.5,,,,2.8,,,,,
2016-01-26,-0.5,1.4,-2.9,2.0,0.6,,,,2.7,,,,,
2016-01-27,-0.1,1.1,-1.8,13.5,2.1,,,,3.3,,,,,
2016-01-28,-0.8,1.1,-3.9,0.0,3.0,,,,3.9,,,,,
2016-01-29,-4.1,-1.0,-8.4,0.0,0.7,,,,0.9,,,,,
2016-01-30,-3.3,-0.6,-5.1,0.5,1.9,,,,1.5,,,,,
2016-01-31,-3.1,-0.7,-4.8,1.0,2.3,,,,3.3,,,,,
2016-02-01,-4.9,-3.3,-6.2,0.5,0.6,,,,1.9,,,,,
2016-02-02,-4.5,-3.3,-6.1,2.5,0.0,,,,1.6,,,,,
2016-02-03,-3.2,-1.0,-6.0,0.0,4.7,,,,2.1,,,,,
2016-02-04,-2.4,1.6,-8.9,0.5,3.3,,,,1.9,,,,,
2016-02-05,-1.3,0.5,-2.5,1.0,1.0,,,,3.5,,,,,
2016-02-06,-3.8,-0.5,-8.4,0.0,3.6,,,,1.3,,,,,
2016-02-07,-5.1,-2.9,-10.0,0.0,5.6,,,,2.0,,,,,
2016-02-08,-2.5,2.3,-6.8,2.0,1.9,,,,1.2,,,,,
2016-02-09,-1.6,2.3,-6.8,6.0,1.4,,,,,,,,,
