calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,1.9,6.1,-2.7,0.0,,,,,2.9,,,,,
2016-01-02,4.1,9.3,-2.7,0.0,,,,,2.1,,,,,
2016-01-03,7.3,10.9,3.1,0.0,,,,,2.1,,,,,
2016-01-04,4.6,10.6,0.1,0.0,,,,,1.5,,,,,
2016-01-05,2.9,5.3,0.9,0.0,,,,,3.0,,,,,
2016-01-06,1.9,6.0,-2.3,0.0,,,,,1.8,,,,,
2016-01-07,2.1,5.3,-1.1,0.0,,,,,2.8,,,,,
2016-01-08,1.1,5.5,-2.6,0.0,,,,,1.9,,,,,
2016-01-09,0.8,5.3,-2.3,0.0,,,,,1.9,,,,,
2016-01-10,1.9,7.4,-1.7,0.0,,,,,3.3,,,,,
2016-01-11,-0.2,3.1,-1.9,0.0,,,,,3.1,,,,,
2016-01-12,-0.4,3.7,-3.7,0.0,,,,,2.3,,,,,
2016-01-13,-0.1,4.9,-4.2,0.0,,,,,1.2,,,,,
2016-01-14,1.3,5.0,-1.5,0.0,,,,,2.7,,,,,
2016-01-15,-0.8,4.6,-4.0,0.0,,,,,2.0,,,,,
2016-01-16,-0.9,4.6,-4.9,0.0,,,,,2.2,,,,,
2016-01-17,-0.7,4.9,-5.8,0.0,,,,,2.0,,,,,
2016-01-18,1.4,3.5,-1.5,82.5,,,,,3.8,,,,,
2016-01-19,2.2,5.4,-0.7,1.0,,,,,2.3,,,,,
2016-01-20,1.1,5.8,-2.6,0.0,,,,,2.2,,,,,
2016-01-21,1.3,5.2,-2.2,0.0,,,,,2.2,,,,,
2016-01-22,0.7,4.3,-2.1,0.0,,,,,3.3,,,,,
2016-01-23,0.3,3.1,-2.1,0.0,,,,,2.4,,,,,
2016-01-24,-1.5,1.9,-5.6,1.0,,,,,2.0,,,,,
2016-01-25,-0.5,2.8,-4.2,0.0,,,,,2.8,,,,,
2016-01-26,1.6,6.6,-2.8,0.0,,,,,1.5,,,,,
2016-01-27,3.8,8.1,-0.9,0.0,,,,,2.5,,,,,
2016-01-28,3.5,7.9,0.2,0.0,,,,,2.0,,,,,
2016-01-29,0.6,2.9,-2.2,0.0,,,,,1.2,,,,,
2016-01-30,0.2,4.6,-2.3,0.0,,,,,1.0,,,,,
2016-01-31,1.1,5.6,-2.8,0.0,,,,,2.4,,,,,
2016-02-01,-0.9,3.3,-3.5,0.0,,,,,1.6,,,,,
2016-02-02,-0.9,3.9,-4.5,0.0,,,,,1.9,,,,,
2016-02-03,-0.8,4.4,-5.7,0.0,,,,,1.5,,,,,
2016-02-04,0.5,6.9,-4.9,0.0,,,,,1.8,,,,,
2016-02-05,2.7,7.0,-2.0,0.0,,,,,2.5,,,,,
2016-02-06,1.1,6.3,-2.3,0.0,,,,,1.8,,,,,
2016-02-07,-1.0,3.6,-5.6,0.0,,,,,2.5,,,,,
