calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-2.3,2.8,-8.2,0.0,3.2,,,,1.6,,,,,
2016-01-02,1.5,6.5,-4.9,0.5,0.2,,,,1.9,,,,,
2016-01-03,3.4,6.0,0.1,0.0,0.0,,,,1.5,,,,,
2016-01-04,1.9,5.5,-0.8,2.5,1.6,,,,2.8,,,,,
2016-01-05,0.8,3.0,-1.5,0.0,5.6,,,,5.2,,,,,
2016-01-06,-0.3,2.7,-3.8,0.0,0.4,,,,1.3,,,,,
2016-01-07,0.3,2.7,-1.6,0.0,4.6,,,,2.6,,,,,
2016-01-08,-0.2,2.5,-1.9,0.0,0.3,,,,1.7,,,,,
2016-01-09,-0.2,2.3,-2.2,0.0,2.4,,,,2.3,,,,,
2016-01-10,-0.6,3.6,-3.0,1.5,5.6,,,,3.3,,,,,
2016-01-11,-2.1,-0.3,-3.6,0.0,6.9,,,,5.6,,,,,
2016-01-12,-1.9,0.1,-5.1,0.0,1.4,,,,2.3,,,,,
2016-01-13,-1.6,1.2,-6.3,1.0,3.9,,,,2.0,,,,,
2016-01-14,-2.1,1.1,-9.1,2.0,3.0,,,,1.9,,,,,
2016-01-15,-5.8,0.7,-11.6,0.0,4.8,,,,1.1,,,,,
2016-01-16,-4.5,0.6,-10.3,0.0,4.7,,,,1.6,,,,,
2016-01-17,-2.7,2.2,-8.6,0.0,5.8,,,,1.6,,,,,
2016-01-18,-1.0,2.0,-4.5,6.5,0.0,,,,5.2,,,,,
2016-01-19,0.1,1.8,-1.5,8.0,0.6,,,,,,,,,
2016-01-20,-0.8,2.3,-5.2,0.5,3.9,,,,,,,,,
2016-01-21,-0.4,2.5,-4.3,0.0,5.8,,,,3.4,,,,,
2016-01-22,-1.9,1.3,-9.0,0.0,5.6,,,,2.8,,,,,
2016-01-23,-3.9,1.2,-10.9,0.0,1.7,,,,1.6,,,,,
2016-01-24,-3.4,0.3,-7.1,0.0,4.6,,,,3.2,,,,,
2016-01-25,-3.2,0.3,-9.0,0.0,7.6,,,,2.7,,,,,
2016-01-26,-0.3,3.2,-4.1,0.0,0.5,,,,1.4,,,,,
2016-01-27,2.1,4.9,0.0,6.5,5.8,,,,2.8,,,,,
2016-01-28,1.3,5.4,-4.5,0.0,7.9,,,,2.8,,,,,
2016-01-29,-2.5,0.2,-7.1,0.0,0.6,,,,1.8,,,,,
2016-01-30,-1.9,0.9,-3.7,0.0,3.3,,,,1.5,,,,,
2016-01-31,-1.1,2.3,-5.3,0.0,4.1,,,,2.9,,,,,
2016-02-01,-2.7,-0.4,-5.5,0.0,4.5,,,,1.8,,,,,
2016-02-02,-3.7,-1.5,-5.9,1.0,0.3,,,,,,,,,
2016-02-03,-2.0,2.0,-7.7,0.0,4.5,,,,1.6,,,,,
2016-02-04,-1.6,2.6,-9.7,0.0,5.4,,,,2.1,,,,,
2016-02-05,0.5,3.5,-2.7,0.0,1.4,,,,1.8,,,,,
2016-02-06,-2.0,2.2,-6.4,0.0,4.9,,,,1.6,,,,,
2016-02-07,-3.4,0.3,-8.2,0.0,9.2,,,,2.7,,,,,
2016-02-08,-1.7,3.0,-6.9,0.5,2.9,,,,1.7,,,,,
2016-02-09,0.4,4.2,-4.8,1.5,2.5,,,,1.9,,,,,
2016-02-10,-0.9,1.1,-5.3,0.0,5.8,,,,3.5,,,,,
2016-02-11,-0.4,3.1,-6.3,0.0,8.5,,,,3.2,,,,,
2016-02-12,-1.4,4.5,-10.0,0.0,9.2,,,,1.5,,,,,
2016-02-13,2.3,4.9,-1.0,0.0,0.0,,,,0.7,,,,,
2016-02-14,5.3,10.9,1.5,13.0,0.0,,,,1.9,,,,,
2016-02-15,-0.3,5.4,-4.0,0.0,0.6,,,,2.7,,,,,
2016-02-16,-2.7,-1.2,-5.1,0.5,3.6,,,,2.3,,,,,
2016-02-17,-1.8,0.9,-4.3,0.5,0.9,,,,2.4,,,,,
2016-02-18,-0.4,4.5,-4.0,2.0,1.5,,,,2.0,,,,,
2016-02-19,2.9,6.9,-1.5,4.0,1.1,,,,2.4,,,,,
2016-02-20,3.1,4.8,0.7,12.0,0.0,,,,2.5,,,,,
2016-02-21,3.3,8.1,-0.1,3.0,1.4,,,,4.1,,,,,
2016-02-22,0.1,3.5,-2.5,0.0,4.2,,,,2.5,,,,,
2016-02-23,0.0,3.6,-3.4,1.5,0.1,,,,1.2,,,,,
2016-02-24,-1.7,1.3,-3.5,0.5,5.7,,,,4.7,,,,,
2016-02-25,-2.2,1.7,-4.3,0.0,4.5,,,,2.7,,,,,
2016-02-26,-2.7,2.1,-11.4,1.0,7.5,,,,2.1,,,,,
2016-02-27,-0.4,3.5,-4.4,4.5,5.5,,,,1.8,,,,,
2016-02-28,-0.7,3.1,-4.6,1.0,5.7,,,,2.5,,,,,
2016-02-29,2.7,5.7,0.6,5.0,0.0,,,,2.9,,,,,
2016-03-01,-1.3,1.2,-3.7,0.5,3.4,,,,4.4,,,,,
2016-03-02,-1.9,2.0,-7.3,0.0,2.5,,,,1.9,,,,,
2016-03-03,-0.1,5.8,-3.9,17.5,1.4,,,,1.8,,,,,
