calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-3.0,2.5,-9.0,0.0,5.0,,0,0,2.1,,,,,
2016-01-02,1.4,5.8,-6.0,0.5,0.1,,0,0,2.4,,,,,
2016-01-03,4.8,6.6,2.2,0.0,3.3,,0,0,2.6,,,,,
2016-01-04,1.9,4.8,-0.7,1.0,1.6,,0,0,2.0,,,,,
2016-01-05,0.0,2.8,-1.4,0.0,2.3,,0,0,3.5,,,,,
2016-01-06,0.1,1.8,-1.8,0.0,1.0,,0,0,2.5,,,,,
2016-01-07,-0.3,1.6,-2.8,0.0,2.6,,0,0,3.5,,,,,
2016-01-08,-0.7,1.6,-3.8,0.0,3.7,,0,0,2.1,,,,,
2016-01-09,-1.2,1.2,-4.3,0.0,1.8,,0,0,2.4,,,,,
2016-01-10,-0.8,2.7,-3.3,1.0,2.8,,3,4,3.0,,,,,
2016-01-11,-3.2,-0.8,-4.7,0.0,3.8,,0,0,4.3,,,,,
2016-01-12,-2.7,-0.1,-6.7,0.0,3.5,,0,0,3.3,,,,,
2016-01-13,-2.1,1.4,-6.4,0.0,5.9,,0,0,1.8,,,,,
2016-01-14,-2.1,0.3,-8.7,0.5,6.0,,0,0,3.8,,,,,
2016-01-15,-5.4,0.5,-10.3,0.0,6.0,,0,0,1.6,,,,,
2016-01-16,-5.1,0.2,-11.2,0.0,5.0,,0,0,1.9,,,,,
2016-01-17,-3.9,0.6,-9.7,0.0,6.9,,0,0,2.1,,,,,
2016-01-18,-1.0,1.0,-5.0,33.5,0.0,,25,25,2.8,,,,,
2016-01-19,-0.8,1.0,-5.4,1.0,0.5,,25,8,,,,,,
2016-01-20,-2.0,1.5,-8.8,0.0,3.8,,24,0,2.7,,,,,
2016-01-21,-1.2,1.5,-3.8,0.0,8.1,,21,2,3.5,,,,,
2016-01-22,-2.8,0.4,-6.6,0.0,5.2,,19,0,3.2,,,,,
2016-01-23,-3.4,-0.8,-8.8,0.0,1.7,,18,2,2.8,,,,,
2016-01-24,-5.5,-1.2,-10.8,3.0,1.2,,32,15,1.5,,,,,
2016-01-25,-4.2,-0.9,-9.5,0.0,6.7,,28,1,3.2,,,,,
2016-01-26,-0.6,2.3,-4.5,0.0,1.1,,22,0,1.3,,,,,
2016-01-27,1.2,3.1,-2.8,0.5,0.6,,20,1,3.5,,,,,
2016-01-28,0.8,3.3,-2.5,0.0,0.2,,18,1,3.5,,,,,
2016-01-29,-3.7,-0.3,-8.9,0.0,0.6,,17,0,1.3,,,,,
2016-01-30,-4.0,-0.8,-9.0,1.0,1.4,,20,4,1.3,,,,,
2016-01-31,-2.7,0.7,-8.4,0.0,3.4,,19,0,2.7,,,,,
2016-02-01,-3.4,-0.7,-6.2,0.0,5.1,,17,2,2.0,,,,,
2016-02-02,-4.3,-0.6,-8.8,0.0,2.0,,18,2,1.7,,,,,
2016-02-03,-2.7,1.3,-9.4,0.0,6.8,,17,0,2.6,,,,,
