calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-7.9,-2.2,-14.6,0.0,1.3,,,,1.1,,,,,
2016-01-02,-0.4,2.3,-9.5,1.5,0.2,,,,2.4,,,,,
2016-01-03,,,,,3.0,,,,,,,,,
2016-01-04,,,,,,,,,,,,,,
2016-01-05,-4.6,-2.2,-7.3,0.0,5.5,,,,2.8,,,,,
2016-01-06,-5.4,-2.1,-12.7,0.0,0.6,,,,1.4,,,,,
2016-01-07,-4.5,-1.9,-7.8,0.0,2.5,,,,1.9,,,,,
2016-01-08,-5.1,-3.0,-10.1,0.0,0.0,,,,1.3,,,,,
2016-01-09,-5.8,-2.4,-9.7,0.0,3.5,,,,1.6,,,,,
2016-01-10,-4.5,-0.9,-9.3,1.5,2.3,,,,2.1,,,,,
2016-01-11,-7.5,-4.6,-9.0,0.0,6.7,,,,3.3,,,,,
2016-01-12,-8.3,-3.7,-13.7,0.0,1.7,,,,1.7,,,,,
2016-01-13,-6.5,-2.0,-15.1,1.5,6.3,,,,1.4,,,,,
2016-01-14,-6.1,-2.4,-14.1,0.5,4.5,,,,1.7,,,,,
2016-01-15,-11.6,-4.5,-17.1,0.0,2.4,,,,0.9,,,,,
2016-01-16,-9.6,-3.5,-17.4,0.0,3.0,,,,1.2,,,,,
2016-01-17,-8.0,-3.1,-12.1,0.0,6.1,,,,1.2,,,,,
2016-01-18,-4.0,-1.3,-11.3,15.5,0.0,,,,3.6,,,,,
2016-01-19,-3.4,-1.4,-4.8,5.0,0.3,,,,1.5,,,,,
2016-01-20,-5.4,-3.0,-9.3,0.5,0.4,,,,1.1,,,,,
2016-01-21,-5.6,-1.9,-10.6,0.0,4.0,,,,1.7,,,,,
2016-01-22,-8.9,-3.6,-15.9,0.0,3.5,,,,1.3,,,,,
2016-01-23,-9.9,-4.4,-18.9,0.0,1.7,,,,1.2,,,,,
2016-01-24,-9.1,-4.1,-16.6,0.5,2.8,,,,1.1,,,,,
2016-01-25,-8.0,-4.7,-14.5,2.0,1.8,,,,1.6,,,,,
2016-01-26,-3.2,-0.5,-6.5,1.5,0.8,,,,1.5,,,,,
2016-01-27,-2.4,0.2,-6.9,3.5,1.4,,,,2.0,,,,,
2016-01-28,-4.2,0.2,-15.5,0.0,4.0,,,,2.1,,,,,
2016-01-29,-9.4,-4.4,-17.9,0.0,1.2,,,,0.9,,,,,
2016-01-30,-6.6,-3.2,-11.2,0.0,2.4,,,,1.0,,,,,
2016-01-31,-5.7,-2.7,-9.3,0.0,6.6,,,,2.2,,,,,
2016-02-01,-9.1,-4.7,-15.1,0.0,5.5,,,,1.4,,,,,
2016-02-02,-8.3,-4.2,-12.4,0.0,1.0,,,,1.1,,,,,
2016-02-03,-8.2,-2.7,-14.0,0.0,3.6,,,,0.9,,,,,
2016-02-04,-7.5,-1.4,-19.1,0.0,4.8,,,,1.5,,,,,
2016-02-05,-4.0,-1.9,-5.7,0.5,1.1,,,,1.8,,,,,
2016-02-06,-8.3,-1.8,-16.8,0.0,6.7,,,,1.0,,,,,
2016-02-07,-10.8,-4.6,-20.6,0.0,7.5,,,,1.5,,,,,
2016-02-08,-6.3,-1.7,-12.6,0.0,1.8,,,,0.9,,,,,
2016-02-09,-2.7,0.2,-8.4,5.5,2.0,,,,1.5,,,,,
2016-02-10,-6.3,-3.7,-10.8,0.5,2.9,,,,1.9,,,,,
2016-02-11,-7.3,-1.4,-16.6,0.0,7.5,,,,1.3,,,,,
2016-02-12,-5.3,3.5,-19.3,0.0,8.8,,,,1.1,,,,,
2016-02-13,4.3,7.8,-2.5,0.0,0.0,,,,1.3,,,,,
2016-02-14,5.8,9.8,0.4,17.5,0.0,,,,3.0,,,,,
2016-02-15,-5.5,0.5,-10.4,1.0,0.7,,,,2.3,,,,,
2016-02-16,-7.2,-4.1,-13.7,1.5,3.4,,,,1.5,,,,,
2016-02-17,-6.4,-3.7,-12.6,2.0,1.7,,,,1.8,,,,,
2016-02-18,-3.1,0.3,-8.7,1.0,0.2,,,,1.6,,,,,
2016-02-19,-0.4,0.9,-5.7,7.5,0.0,,,,1.7,,,,,
2016-02-20,0.9,2.5,-2.0,20.0,0.0,,,,0.7,,,,,
2016-02-21,-0.6,3.2,-5.7,3.5,1.3,,,,3.0,,,,,
2016-02-22,-6.2,-2.3,-10.9,0.0,1.5,,,,1.7,,,,,
2016-02-23,-3.4,-0.7,-10.1,2.5,0.0,,,,1.1,,,,,
2016-02-24,-8.0,-2.8,-14.6,0.0,2.4,,,,1.7,,,,,
2016-02-25,-8.7,-3.8,-14.9,0.0,3.9,,,,1.2,,,,,
2016-02-26,-7.5,-3.4,-14.7,1.0,2.7,,,,,,,,,
2016-02-27,-5.4,-1.9,-11.9,7.0,5.2,,,,1.3,,,,,
2016-02-28,-4.8,-0.5,-12.7,1.5,7.7,,,,1.2,,,,,
2016-02-29,-0.9,1.8,-4.9,13.5,0.0,,,,2.4,,,,,
2016-03-01,-6.3,-3.5,-8.4,0.5,3.3,,,,3.2,,,,,
2016-03-02,-7.6,-2.4,-15.3,0.0,4.4,,,,1.8,,,,,
2016-03-03,-4.7,1.0,-15.0,14.5,0.8,,,,1.6,,,,,
2016-03-04,-6.5,1.4,-15.6,0.0,9.3,,,,1.1,,,,,
2016-03-05,-3.2,3.9,-14.9,0.0,10.3,,,,1.5,,,,,
2016-03-06,3.2,7.3,0.8,1.0,0.3,,,,1.7,,,,,
2016-03-07,5.3,9.9,0.4,3.0,6.5,,,,1.3,,,,,
2016-03-08,2.5,4.9,-1.9,0.5,0.1,,,,2.3,,,,,
2016-03-09,-2.7,0.4,-7.9,0.0,4.8,,,,1.9,,,,,
2016-03-10,-5.3,-0.4,-10.7,0.0,7.3,,,,1.1,,,,,
2016-03-11,-6.2,-1.2,-13.7,0.0,5.5,,,,1.2,,,,,
2016-03-12,-6.8,-0.4,-15.0,0.0,6.7,,,,1.0,,,,,
2016-03-13,-3.7,2.6,-15.3,0.0,6.7,,,,1.2,,,,,
2016-03-14,0.8,5.4,-5.3,0.0,5.5,,,,0.8,,,,,
2016-03-15,-1.4,2.0,-3.3,0.0,5.4,,,,2.1,,,,,
2016-03-16,1.8,5.9,-3.9,0.0,5.8,,,,2.5,,,,,
2016-03-17,3.5,8.8,-4.5,0.0,7.9,,,,2.4,,,,,
2016-03-18,5.5,13.9,-4.5,0.0,5.5,,,,1.4,,,,,
2016-03-19,5.3,9.1,1.5,1.0,0.6,,,,1.1,,,,,
2016-03-20,0.6,4.7,-3.3,0.0,2.5,,,,1.3,,,,,
2016-03-21,-2.9,1.5,-9.0,0.0,5.2,,,,1.3,,,,,
2016-03-22,-0.8,3.0,-7.8,8.0,1.0,,,,1.8,,,,,
2016-03-23,-2.6,1.6,-8.6,0.0,1.9,,,,1.6,,,,,
2016-03-24,-4.7,1.9,-11.1,0.5,2.5,,,,1.0,,,,,
2016-03-25,-3.3,1.7,-10.6,0.0,4.4,,,,1.5,,,,,
2016-03-26,-2.1,3.8,-8.1,0.0,4.7,,,,0.9,,,,,
2016-03-27,-0.8,6.6,-10.0,0.0,8.1,,,,1.3,,,,,
2016-03-28,1.2,8.2,-5.8,0.0,9.4,,,,1.2,,,,,
2016-03-29,2.6,11.0,-6.9,0.0,10.9,,,,1.1,,,,,
2016-03-30,3.8,11.4,-1.4,4.5,5.1,,,,1.5,,,,,
2016-03-31,1.5,8.8,-4.8,1.0,9.7,,,,,,,,,
2016-04-01,0.6,8.3,-6.7,0.0,11.7,,,,2.0,,,,,
2016-04-02,1.9,5.7,-6.1,0.0,0.0,,,,1.7,,,,,
2016-04-03,7.1,9.3,4.0,10.0,0.0,,,,1.9,,,,,
2016-04-04,2.2,7.7,-4.6,22.5,0.2,,,,1.4,,,,,
2016-04-05,3.3,11.2,-7.2,0.0,11.8,,,,1.9,,,,,
2016-04-06,3.3,10.4,-5.0,0.0,12.0,,,,2.0,,,,,
2016-04-07,4.1,8.5,-5.0,25.0,0.0,,,,1.1,,,,,
2016-04-08,5.5,9.8,-1.2,5.0,1.3,,,,1.9,,,,,
2016-04-09,4.4,13.3,-2.9,0.0,10.1,,,,2.1,,,,,
2016-04-10,2.6,10.7,-3.6,0.0,2.0,,,,0.9,,,,,
2016-04-11,-2.0,3.1,-5.5,3.5,3.2,,,,2.0,,,,,
2016-04-12,-0.1,7.0,-9.6,0.0,9.4,,,,1.3,,,,,
2016-04-13,7.0,12.0,-1.4,1.5,3.1,,,,2.0,,,,,
