calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,7.0,11.5,2.3,0.0,8.7,,,,3.0,,,,,
2016-01-02,8.7,13.2,2.0,0.0,3.5,,,,2.5,,,,,
2016-01-03,10.3,13.7,7.7,0.0,4.1,,,,2.1,,,,,
2016-01-04,11.4,17.3,6.3,0.0,7.8,,,,2.6,,,,,
2016-01-05,8.6,12.2,4.7,0.0,0.0,,,,1.5,,,,,
2016-01-06,9.0,12.1,5.6,0.0,1.5,,,,1.8,,,,,
2016-01-07,8.8,12.4,6.0,0.0,6.1,,,,3.0,,,,,
2016-01-08,7.2,11.5,3.8,0.0,1.0,,,,2.9,,,,,
2016-01-09,6.3,10.1,1.7,0.0,8.6,,,,2.5,,,,,
2016-01-10,6.3,11.9,0.9,0.0,5.1,,,,2.1,,,,,
2016-01-11,7.7,11.8,3.0,0.0,5.1,,,,2.0,,,,,
2016-01-12,7.3,9.7,4.8,0.0,2.0,,,,2.5,,,,,
2016-01-13,5.5,9.7,2.1,0.0,4.5,,,,3.1,,,,,
2016-01-14,4.9,9.7,-0.7,0.0,5.9,,,,3.2,,,,,
2016-01-15,4.4,8.7,1.4,0.0,5.5,,,,2.1,,,,,
2016-01-16,4.4,9.6,-0.2,0.0,8.8,,,,2.6,,,,,
2016-01-17,6.1,9.5,0.9,1.0,2.1,,,,2.2,,,,,
2016-01-18,7.6,12.0,3.4,5.5,2.9,,,,4.8,,,,,
2016-01-19,1.6,4.5,-1.1,1.0,1.7,,,,5.0,,,,,
2016-01-20,4.1,8.3,0.0,0.0,6.8,,,,5.5,,,,,
2016-01-21,4.8,7.7,0.6,0.0,2.0,,,,2.2,,,,,
2016-01-22,5.3,7.9,1.2,0.0,1.3,,,,2.2,,,,,
2016-01-23,3.8,7.8,0.7,0.5,1.2,,,,2.2,,,,,
2016-01-24,-2.4,1.3,-5.3,1.5,1.5,,,,3.5,,,,,
2016-01-25,1.1,5.7,-4.0,0.0,6.9,,,,3.3,,,,,
2016-01-26,3.9,7.4,-1.8,0.0,1.1,,,,2.1,,,,,
2016-01-27,7.0,10.3,3.9,0.0,3.8,,,,2.5,,,,,
2016-01-28,6.7,10.2,1.8,1.5,2.7,,,,1.6,,,,,
2016-01-29,8.2,9.0,7.0,25.0,0.0,,,,1.5,,,,,
2016-01-30,8.1,8.9,4.5,7.0,0.0,,,,2.2,,,,,
2016-01-31,6.3,9.3,3.6,0.0,6.0,,,,1.8,,,,,
2016-02-01,7.0,9.7,4.0,0.0,0.0,,,,1.9,,,,,
2016-02-02,6.3,8.5,5.0,0.0,1.9,,,,2.9,,,,,
2016-02-03,4.7,7.8,1.6,0.0,5.4,,,,2.3,,,,,
2016-02-04,6.3,11.0,1.6,0.0,8.3,,,,2.6,,,,,
2016-02-05,5.9,10.5,1.6,0.0,8.1,,,,2.2,,,,,
2016-02-06,5.6,8.5,1.7,0.0,2.1,,,,3.0,,,,,
2016-02-07,3.4,6.5,0.6,0.0,3.0,,,,2.7,,,,,
2016-02-08,3.7,8.3,-1.0,0.0,9.0,,,,2.7,,,,,
2016-02-09,6.9,11.3,1.6,0.0,3.8,,,,4.2,,,,,
2016-02-10,4.6,9.1,-0.2,0.0,9.7,,,,2.3,,,,,
2016-02-11,4.4,9.6,0.4,0.0,9.9,,,,2.4,,,,,
2016-02-12,10.6,17.0,0.6,0.0,4.3,,,,2.1,,,,,
2016-02-13,15.7,20.3,12.2,18.0,1.4,,,,2.2,,,,,
2016-02-14,14.3,19.2,9.6,9.5,8.2,,,,3.8,,,,,
2016-02-15,5.3,9.7,1.7,3.0,2.6,,,,4.5,,,,,
2016-02-16,3.8,8.1,-0.1,0.0,5.9,,,,3.3,,,,,
2016-02-17,5.6,8.6,1.0,0.5,6.4,,,,3.5,,,,,
2016-02-18,3.6,8.1,-0.6,0.0,10.2,,,,2.5,,,,,
2016-02-19,8.0,13.1,1.4,0.0,6.5,,,,2.2,,,,,
2016-02-20,8.3,10.4,6.7,17.5,0.0,,,,2.0,,,,,
2016-02-21,7.3,10.2,3.5,0.0,7.4,,,,4.0,,,,,
2016-02-22,4.5,7.6,0.3,0.0,2.4,,,,1.7,,,,,
2016-02-23,7.2,10.6,4.4,0.0,0.7,,,,2.1,,,,,
2016-02-24,5.3,7.7,3.8,0.0,0.0,,,,3.1,,,,,
2016-02-25,4.3,8.3,2.2,0.0,4.8,,,,2.5,,,,,
2016-02-26,4.4,10.1,-0.5,0.0,7.5,,,,2.7,,,,,
2016-02-27,7.6,14.1,1.0,0.0,6.2,,,,2.4,,,,,
2016-02-28,9.2,14.6,4.1,0.0,9.5,,,,2.3,,,,,
2016-02-29,7.5,13.5,1.6,0.0,3.2,,,,4.6,,,,,
2016-03-01,3.2,7.6,-0.2,0.0,9.2,,,,3.3,,,,,
2016-03-02,5.5,12.0,-0.4,0.0,6.8,,,,2.8,,,,,
2016-03-03,8.0,14.4,1.3,0.0,10.9,,,,3.0,,,,,
2016-03-04,8.1,12.7,3.0,0.0,3.1,,,,1.4,,,,,
2016-03-05,12.9,20.6,4.6,0.0,10.1,,,,2.9,,,,,
2016-03-06,17.3,19.8,13.1,0.0,0.0,,,,3.3,,,,,
2016-03-07,14.7,19.3,10.9,0.0,5.4,,,,1.7,,,,,
2016-03-08,13.6,17.8,9.0,0.0,7.8,,,,2.1,,,,,
2016-03-09,8.5,12.2,7.1,39.5,0.0,,,,2.9,,,,,
2016-03-10,7.2,9.0,5.5,0.0,0.2,,,,2.8,,,,,
2016-03-11,7.0,9.2,5.5,0.0,2.6,,,,2.8,,,,,
2016-03-12,5.7,9.8,3.2,0.0,8.9,,,,2.3,,,,,
2016-03-13,6.5,9.6,2.5,6.0,3.7,,,,1.7,,,,,
2016-03-14,6.5,8.1,5.5,14.0,0.0,,,,2.9,,,,,
2016-03-15,7.4,12.5,3.6,0.0,9.0,,,,3.8,,,,,
2016-03-16,7.2,10.8,2.5,0.0,5.2,,,,2.2,,,,,
2016-03-17,9.4,15.1,3.2,0.0,11.3,,,,2.0,,,,,
2016-03-18,12.7,17.4,6.2,3.0,3.0,,,,2.5,,,,,
2016-03-19,14.9,19.3,10.8,1.0,1.8,,,,2.6,,,,,
2016-03-20,10.6,15.5,6.3,0.0,10.8,,,,4.2,,,,,
2016-03-21,8.9,14.3,4.5,0.0,9.2,,,,2.7,,,,,
2016-03-22,8.1,14.0,2.3,0.0,11.2,,,,2.5,,,,,
2016-03-23,10.3,16.1,4.4,0.0,9.9,,,,1.9,,,,,
2016-03-24,9.2,12.8,6.8,0.0,5.7,,,,4.4,,,,,
