calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,7.1,12.5,3.3,,9.1,11.75,,,2.2,6.1,1028.4,63,1030.1,1.0
2016-01-02,9.5,15.1,2.9,0.0,5.9,9.05,,,2.1,7.6,1023.6,64,1025.3,8.5
2016-01-03,10.4,14.9,6.8,0.0,6.0,8.90,,,1.1,9.7,1017.8,78,1019.5,4.8
2016-01-04,11.7,16.8,6.0,,4.9,8.38,,,2.8,9.2,1017.2,69,1018.9,8.0
2016-01-05,9.4,12.9,6.9,0.0,0.1,3.43,,,1.9,8.1,1020.6,69,1022.3,8.5
2016-01-06,9.4,11.9,6.1,,0.9,5.24,,,2.1,7.7,1018.3,66,1020.0,10.0
2016-01-07,9.2,12.6,6.7,,6.7,10.01,,,3.3,6.2,1016.9,54,1018.6,6.5
2016-01-08,7.3,10.2,5.7,0.5,0.9,3.49,,,3.0,6.6,1016.4,64,1018.1,10.0
2016-01-09,7.4,10.6,3.6,0.0,8.0,11.56,,,3.0,5.0,1020.7,49,1022.4,5.5
2016-01-10,7.7,12.6,3.5,,5.3,8.33,,,3.0,5.7,1021.2,54,1022.9,5.0
2016-01-11,8.1,11.8,4.4,,2.7,7.97,,,2.5,5.9,1019.3,56,1021.0,8.8
2016-01-12,7.6,9.9,5.3,0.0,2.2,6.54,,,2.0,6.1,1015.1,59,1016.8,9.8
2016-01-13,5.9,8.8,3.9,0.5,3.9,7.57,,,3.0,6.5,1014.8,71,1016.5,8.8
2016-01-14,5.4,10.0,1.6,0.0,1.8,5.71,,,3.1,5.5,1016.9,62,1018.6,6.3
2016-01-15,4.6,9.3,1.2,,6.4,10.49,,,2.5,5.3,1019.2,65,1020.9,4.8
2016-01-16,4.7,10.2,0.0,,9.6,12.70,,,1.8,4.8,1020.6,59,1022.4,0.0
2016-01-17,5.9,9.3,0.8,0.5,0.7,4.49,,,2.4,6.4,1015.8,68,1017.5,9.3
2016-01-18,7.9,12.3,4.1,2.0,2.0,6.54,,,6.5,7.5,1000.5,70,1002.2,10.0
2016-01-19,2.9,5.2,0.2,0.0,3.9,8.54,,,7.4,3.6,1009.6,48,1011.3,8.8
2016-01-20,4.5,8.8,0.9,0.0,6.2,11.58,,,5.9,4.6,1019.1,54,1020.9,4.5
2016-01-21,4.8,8.1,1.2,0.0,1.3,5.29,,,1.6,6.1,1020.7,71,1022.4,8.0
2016-01-22,5.9,9.7,4.3,0.0,3.8,9.06,,,2.5,6.1,1021.4,66,1023.1,10.0
2016-01-23,4.0,9.7,1.2,0.0,2.9,8.06,,,2.8,5.4,1018.6,66,1020.4,10.0
2016-01-24,-1.2,1.9,-2.5,0.0,1.9,6.42,,,4.8,2.7,1014.7,47,1016.5,8.3
2016-01-25,2.1,6.4,-1.6,0.0,7.2,12.05,0,,4.7,4.2,1022.3,60,1024.1,7.8
2016-01-26,4.1,6.7,1.4,1.0,0.3,4.20,,,2.5,6.5,1024.3,79,1026.1,10.0
2016-01-27,7.8,10.6,4.0,0.0,3.4,7.75,,,3.6,5.7,1027.1,54,1028.9,7.3
2016-01-28,6.5,10.5,1.2,2.0,2.9,6.30,,,1.2,7.9,1026.8,81,1028.5,6.3
2016-01-29,8.5,9.8,7.9,31.0,0.0,1.88,,,1.7,10.4,1017.2,93,1018.9,10.0
