calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,4.7,11.4,-0.9,0.0,9.2,,,,1.3,,,,,
2016-01-02,7.6,14.2,-0.4,0.0,5.2,,,,1.4,,,,,
2016-01-03,8.8,16.1,4.4,0.0,4.5,,,,1.0,,,,,
2016-01-04,10.0,16.9,3.7,0.0,7.2,,,,1.6,,,,,
2016-01-05,7.3,11.7,2.8,0.0,0.0,,,,1.0,,,,,
2016-01-06,7.3,11.3,3.6,0.0,0.7,,,,0.9,,,,,
2016-01-07,8.1,11.9,3.7,0.0,3.5,,,,1.8,,,,,
2016-01-08,6.4,9.0,4.1,0.0,0.5,,,,2.3,,,,,
2016-01-09,5.8,9.5,0.2,0.0,6.9,,,,1.8,,,,,
2016-01-10,7.0,12.0,3.6,0.0,6.2,,,,2.0,,,,,
2016-01-11,6.2,10.8,1.6,0.0,1.5,,,,1.0,,,,,
2016-01-12,5.7,9.8,3.2,0.5,2.2,,,,1.2,,,,,
2016-01-13,4.8,8.3,1.8,1.5,2.5,,,,2.4,,,,,
2016-01-14,4.9,9.0,-0.1,0.5,1.8,,,,2.1,,,,,
2016-01-15,2.0,8.3,-1.9,0.0,5.0,,,,1.3,,,,,
2016-01-16,2.1,9.8,-3.6,0.0,9.4,,,,1.0,,,,,
2016-01-17,4.2,8.3,-2.0,1.0,0.5,,,,2.6,,,,,
2016-01-18,7.0,11.2,3.0,3.0,1.0,,,,4.4,,,,,
2016-01-19,1.9,4.4,0.0,0.0,0.9,,,,5.1,,,,,
2016-01-20,3.4,7.6,0.1,0.0,5.4,,,,3.7,,,,,
2016-01-21,3.9,7.1,0.4,0.5,1.6,,,,1.0,,,,,
2016-01-22,4.6,9.0,1.8,0.0,2.7,,,,1.5,,,,,
2016-01-23,2.4,8.5,-1.8,0.5,2.4,,,,2.1,,,,,
2016-01-24,-1.9,0.9,-3.3,0.0,1.8,,,,3.9,,,,,
2016-01-25,1.5,5.6,-2.4,0.0,6.0,,,,3.0,,,,,
2016-01-26,3.2,5.6,0.5,1.0,0.2,,,,1.6,,,,,
2016-01-27,6.7,9.8,1.9,0.5,4.2,,,,2.5,,,,,
2016-01-28,5.4,11.6,-0.7,1.5,2.1,,,,1.0,,,,,
2016-01-29,7.5,9.0,5.8,32.5,0.0,,,,1.3,,,,,
2016-01-30,6.9,9.4,2.9,9.5,0.0,,,,1.1,,,,,
2016-01-31,5.6,11.5,0.3,0.0,7.9,,,,1.4,,,,,
2016-02-01,6.7,10.3,4.0,0.5,2.2,,,,1.7,,,,,
2016-02-02,5.3,9.1,2.4,0.0,3.4,,,,1.6,,,,,
2016-02-03,2.7,9.7,-1.4,0.0,6.2,,,,1.1,,,,,
2016-02-04,5.2,10.3,0.0,0.0,7.3,,,,1.6,,,,,
2016-02-05,4.6,10.5,-0.3,0.0,7.2,,,,1.3,,,,,
2016-02-06,4.2,8.1,-0.3,0.0,4.4,,,,1.8,,,,,
2016-02-07,2.4,8.4,-2.7,0.0,6.3,,,,1.3,,,,,
2016-02-08,3.3,9.6,-4.3,0.0,9.4,,,,2.0,,,,,
2016-02-09,7.5,11.0,3.0,0.0,5.0,,,,4.1,,,,,
2016-02-10,3.6,10.5,-2.4,0.0,9.9,,,,1.3,,,,,
2016-02-11,3.9,12.4,-3.0,0.0,9.9,,,,1.8,,,,,
2016-02-12,7.4,14.0,-0.9,0.0,2.5,,,,1.7,,,,,
2016-02-13,12.5,18.4,8.1,18.5,2.0,,,,1.3,,,,,
2016-02-14,12.7,16.7,8.2,11.0,6.0,,,,3.9,,,,,
2016-02-15,4.9,8.4,1.4,0.5,2.8,,,,4.1,,,,,
2016-02-16,3.5,7.5,-2.2,0.0,5.4,,,,3.4,,,,,
2016-02-17,4.9,8.7,-1.3,0.0,6.6,,,,3.3,,,,,
2016-02-18,2.7,10.0,-3.8,0.0,9.9,,,,1.1,,,,,
2016-02-19,6.8,14.4,-1.5,0.0,6.7,,,,1.5,,,,,
2016-02-20,7.1,8.5,5.4,18.5,0.0,,,,1.5,,,,,
2016-02-21,6.0,9.7,0.4,0.0,8.0,,,,2.5,,,,,
2016-02-22,4.1,9.7,-2.0,0.0,4.4,,,,1.3,,,,,
2016-02-23,5.9,9.7,3.3,0.0,0.0,,,,1.2,,,,,
2016-02-24,4.5,8.8,1.8,0.0,0.4,,,,1.6,,,,,
2016-02-25,3.4,8.2,-1.6,0.0,7.6,,,,1.8,,,,,
2016-02-26,3.0,9.5,-3.7,0.0,8.4,,,,1.8,,,,,
2016-02-27,5.7,15.0,-1.8,0.5,5.4,,,,1.3,,,,,
2016-02-28,7.9,16.3,1.2,0.0,7.5,,,,1.3,,,,,
2016-02-29,6.0,14.6,0.8,4.5,0.6,,,,3.1,,,,,
2016-03-01,2.2,6.9,-3.3,0.0,8.6,,,,1.8,,,,,
2016-03-02,5.6,11.6,0.5,0.0,8.2,,,,1.6,,,,,
2016-03-03,7.8,16.5,-0.5,0.0,10.9,,,,1.6,,,,,
2016-03-04,8.1,15.5,1.0,0.0,1.2,,,,1.1,,,,,
2016-03-05,11.6,20.2,3.3,0.0,9.5,,,,1.4,,,,,
2016-03-06,13.4,20.8,7.5,0.0,0.0,,,,1.1,,,,,
2016-03-07,14.7,22.0,9.2,0.0,6.3,,,,1.0,,,,,
2016-03-08,13.5,20.1,7.7,0.0,5.9,,,,1.6,,,,,
