calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,7.2,12.2,2.3,,9.3,,,,2.8,7.4,1026.2,75,1031.5,
2016-01-02,11.5,15.6,6.4,3.5,0.1,,,,2.5,11.2,1019.8,82,1025.0,
2016-01-03,13.9,18.0,11.6,0.0,3.3,,,,2.5,13.9,1014.2,88,1019.3,
2016-01-04,13.2,17.3,8.4,,7.6,,,,2.7,12.0,1015.8,80,1020.8,
2016-01-05,11.3,14.4,7.5,10.5,0.2,,,,3.9,11.5,1016.0,86,1021.1,
2016-01-06,9.4,10.2,7.7,6.5,0.0,,,,3.4,11.1,1014.6,94,1019.8,
2016-01-07,9.7,11.9,7.9,0.0,1.2,,,,3.6,8.1,1016.4,68,1021.6,
2016-01-08,8.0,11.5,5.5,3.0,0.0,,,,3.5,8.6,1015.8,81,1021.0,
2016-01-09,7.3,9.9,5.6,0.0,1.0,,,,3.2,6.9,1018.9,67,1024.1,
2016-01-10,7.8,11.0,3.3,,0.6,,,,3.0,7.5,1019.2,71,1024.4,
2016-01-11,8.4,11.0,7.0,0.5,0.0,,,,3.1,7.7,1015.5,70,1020.7,
2016-01-12,7.7,10.1,5.7,0.0,0.3,,,,3.1,7.6,1013.7,73,1018.8,
2016-01-13,6.0,8.9,4.8,3.0,0.1,,,,3.1,7.7,1014.5,82,1019.7,
2016-01-14,6.9,9.7,3.7,0.0,3.1,,,,3.3,7.0,1015.7,71,1020.9,
2016-01-15,5.7,9.4,2.8,,0.9,,,,3.3,5.3,1015.3,59,1020.5,
2016-01-16,8.2,14.1,2.1,,9.5,,,,2.9,6.0,1015.7,57,1020.9,
2016-01-17,9.5,13.9,4.2,20.0,0.0,,,,3.4,10.0,1005.9,83,1011.0,
2016-01-18,9.2,11.6,5.3,3.5,0.8,,,,7.3,8.9,1005.2,76,1010.3,
2016-01-19,5.6,7.5,3.3,3.0,1.1,,,,9.1,6.4,1014.0,71,1019.3,
