calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,16.2,19.4,13.3,0.0,,,,,3.0,,,,,
2016-01-02,19.4,22.9,13.0,0.0,,,,,5.1,,,,,
2016-01-03,19.8,21.9,16.5,19.0,,,,,5.1,,,,,
2016-01-04,18.7,22.3,15.6,0.0,,,,,1.9,,,,,
2016-01-05,20.5,24.4,15.8,12.0,,,,,3.4,,,,,
2016-01-06,19.3,21.1,18.3,19.0,,,,,3.4,,,,,
2016-01-07,17.9,20.0,16.5,0.0,,,,,8.8,,,,,
2016-01-08,16.5,17.8,15.4,0.0,,,,,6.0,,,,,
2016-01-09,15.8,19.3,12.2,0.0,,,,,4.5,,,,,
2016-01-10,15.8,19.5,11.6,0.0,,,,,1.6,,,,,
2016-01-11,17.0,20.2,13.8,17.5,,,,,1.9,,,,,
2016-01-12,16.9,19.3,13.9,2.0,,,,,9.9,,,,,
2016-01-13,15.2,17.2,13.9,0.0,,,,,7.6,,,,,
2016-01-14,14.6,16.6,10.8,0.0,,,,,5.7,,,,,
2016-01-15,13.7,19.1,8.7,2.5,,,,,2.3,,,,,
2016-01-16,16.0,20.9,12.5,0.0,,,,,2.3,,,,,
2016-01-17,18.9,21.0,12.1,10.0,,,,,7.5,,,,,
2016-01-18,16.8,19.2,14.2,0.5,,,,,12.4,,,,,
2016-01-19,13.8,16.3,12.5,0.0,,,,,10.6,,,,,
2016-01-20,13.5,16.8,10.2,0.0,,,,,6.8,,,,,
2016-01-21,13.5,15.1,9.7,18.5,,,,,2.5,,,,,
2016-01-22,14.5,16.2,13.2,6.0,,,,,5.2,,,,,
2016-01-23,13.8,15.1,11.0,20.5,,,,,10.3,,,,,
2016-01-24,7.8,11.9,4.6,4.0,,,,,15.4,,,,,
2016-01-25,9.7,13.9,5.1,3.5,,,,,10.4,,,,,
2016-01-26,11.9,14.2,8.7,0.0,,,,,5.7,,,,,
2016-01-27,13.6,18.2,8.2,0.0,,,,,1.9,,,,,
2016-01-28,17.6,21.3,11.7,0.5,,,,,2.9,,,,,
2016-01-29,20.6,23.1,17.0,10.5,,,,,7.3,,,,,
2016-01-30,18.0,19.9,16.4,10.5,,,,,4.6,,,,,
2016-01-31,18.4,21.7,16.0,0.0,,,,,4.2,,,,,
2016-02-01,16.1,18.5,13.4,30.5,,,,,5.9,,,,,
2016-02-02,13.6,14.9,12.2,1.0,,,,,7.8,,,,,
2016-02-03,14.7,16.9,12.7,0.0,,,,,4.9,,,,,
2016-02-04,14.8,18.1,9.9,0.0,,,,,2.6,,,,,
2016-02-05,14.4,15.5,13.1,18.5,,,,,3.1,,,,,
2016-02-06,13.7,16.5,11.3,3.0,,,,,9.7,,,,,
2016-02-07,12.5,15.4,9.7,4.0,,,,,8.3,,,,,
2016-02-08,13.1,15.5,11.7,0.0,,,,,9.3,,,,,
2016-02-09,15.8,19.7,11.3,0.0,,,,,4.8,,,,,
2016-02-10,15.0,20.9,9.1,0.0,,,,,2.4,,,,,
2016-02-11,17.5,21.1,10.9,0.0,,,,,3.7,,,,,
2016-02-12,20.0,21.6,18.4,2.0,,,,,5.8,,,,,
2016-02-13,22.5,24.2,20.3,1.5,,,,,9.7,,,,,
2016-02-14,17.6,22.7,12.9,6.5,,,,,8.6,,,,,
2016-02-15,12.4,14.7,11.1,4.0,,,,,12.4,,,,,
2016-02-16,11.9,13.5,10.8,0.0,,,,,8.9,,,,,
2016-02-17,13.2,16.7,9.8,0.0,,,,,6.3,,,,,
2016-02-18,13.9,19.1,8.9,0.0,,,,,2.1,,,,,
2016-02-19,16.7,21.0,9.9,0.0,,,,,3.8,,,,,
2016-02-20,18.4,21.8,14.3,16.0,,,,,9.4,,,,,
2016-02-21,14.6,16.9,12.4,0.0,,,,,7.0,,,,,
2016-02-22,16.2,19.9,10.5,0.0,,,,,3.1,,,,,
2016-02-23,19.4,22.5,16.4,2.5,,,,,7.8,,,,,
2016-02-24,15.1,16.8,13.2,0.0,,,,,9.4,,,,,
2016-02-25,13.7,16.8,12.5,0.0,,,,,8.1,,,,,
2016-02-26,14.2,17.4,12.3,0.0,,,,,4.1,,,,,
2016-02-27,14.3,15.7,12.2,9.0,,,,,2.1,,,,,
2016-02-28,17.8,22.9,14.6,2.5,,,,,2.8,,,,,
2016-02-29,15.7,18.8,12.0,0.0,,,,,10.6,,,,,
2016-03-01,12.8,15.9,10.8,0.0,,,,,7.1,,,,,
2016-03-02,13.4,18.0,9.3,0.0,,,,,2.8,,,,,
2016-03-03,14.2,19.4,9.0,0.0,,,,,2.5,,,,,
2016-03-04,18.4,23.5,11.3,0.0,,,,,4.1,,,,,
2016-03-05,20.4,22.7,18.7,0.5,,,,,5.3,,,,,
2016-03-06,20.4,21.5,18.4,31.5,,,,,5.1,,,,,
2016-03-07,20.9,24.5,17.7,0.0,,,,,3.0,,,,,
2016-03-08,20.6,24.7,17.0,0.0,,,,,2.9,,,,,
2016-03-09,20.1,21.6,17.8,15.0,,,,,8.8,,,,,
2016-03-10,16.0,19.3,14.0,14.5,,,,,7.0,,,,,
2016-03-11,14.3,15.5,11.7,0.0,,,,,8.0,,,,,
2016-03-12,14.7,18.6,11.2,0.0,,,,,4.1,,,,,
2016-03-13,18.0,22.0,12.1,3.0,,,,,4.6,,,,,
2016-03-14,17.2,20.7,14.9,29.5,,,,,11.1,,,,,
2016-03-15,16.1,18.9,14.4,0.0,,,,,4.6,,,,,
2016-03-16,16.5,18.9,15.1,0.5,,,,,2.9,,,,,
2016-03-17,19.6,21.5,17.5,0.0,,,,,4.4,,,,,
2016-03-18,20.9,21.9,19.0,4.0,,,,,7.6,,,,,
2016-03-19,20.6,22.9,18.3,17.5,,,,,5.7,,,,,
2016-03-20,19.3,22.2,17.9,0.0,,,,,5.8,,,,,
2016-03-21,18.7,22.0,15.9,0.0,,,,,3.9,,,,,
2016-03-22,18.1,21.5,15.3,0.0,,,,,3.8,,,,,
2016-03-23,19.6,23.4,14.5,18.5,,,,,3.2,,,,,
2016-03-24,17.4,19.6,15.7,2.0,,,,,8.8,,,,,
2016-03-25,16.3,18.8,15.1,0.0,,,,,6.3,,,,,
2016-03-26,16.8,20.3,15.2,0.0,,,,,6.2,,,,,
2016-03-27,15.0,18.1,12.9,0.0,,,,,7.0,,,,,
2016-03-28,15.1,19.6,9.7,1.5,,,,,5.8,,,,,
2016-03-29,15.3,20.6,8.6,0.0,,,,,3.2,,,,,
2016-03-30,18.0,20.6,14.8,0.0,,,,,2.4,,,,,
2016-03-31,19.6,20.8,17.2,15.0,,,,,6.3,,,,,
2016-04-01,20.1,23.2,17.3,0.0,,,,,6.0,,,,,
2016-04-02,19.5,24.5,14.3,0.0,,,,,2.1,,,,,
2016-04-03,20.2,23.7,16.1,1.0,,,,,4.8,,,,,
2016-04-04,20.9,22.4,18.7,8.0,,,,,4.6,,,,,
2016-04-05,20.4,22.9,18.0,0.0,,,,,1.7,,,,,
2016-04-06,22.2,24.8,20.4,0.5,,,,,4.7,,,,,
2016-04-07,23.2,25.8,21.7,0.0,,,,,7.6,,,,,
2016-04-08,21.9,23.5,20.5,7.5,,,,,2.9,,,,,
2016-04-09,21.2,22.8,20.3,21.5,,,,,3.5,,,,,
2016-04-10,21.5,24.3,18.5,11.0,,,,,5.4,,,,,
2016-04-11,19.7,21.8,18.2,4.0,,,,,4.7,,,,,
2016-04-12,19.6,20.6,18.9,1.0,,,,,7.3,,,,,
2016-04-13,21.7,23.3,19.8,2.5,,,,,5.7,,,,,
2016-04-14,22.0,25.1,19.6,2.0,,,,,5.7,,,,,
2016-04-15,22.2,26.0,19.8,0.0,,,,,4.4,,,,,
2016-04-16,22.6,24.5,20.1,0.0,,,,,5.8,,,,,
2016-04-17,21.1,23.5,17.8,9.5,,,,,6.5,,,,,
2016-04-18,18.8,20.2,17.5,22.0,,,,,3.1,,,,,
2016-04-19,20.0,23.5,17.8,1.0,,,,,4.4,,,,,
2016-04-20,20.7,24.9,15.2,0.0,,,,,3.7,,,,,
2016-04-21,23.8,25.2,22.1,0.0,,,,,8.1,,,,,
2016-04-22,23.2,25.3,22.0,1.5,,,,,3.1,,,,,
2016-04-23,23.7,25.9,21.2,10.5,,,,,5.4,,,,,
2016-04-24,22.6,25.1,20.7,57.5,,,,,2.5,,,,,
2016-04-25,23.9,26.1,22.5,0.0,,,,,3.4,,,,,
2016-04-26,24.3,26.5,22.9,0.0,,,,,2.9,,,,,
2016-04-27,23.5,24.6,22.0,6.5,,,,,5.0,,,,,
2016-04-28,20.8,22.9,19.4,0.0,,,,,8.3,,,,,
2016-04-29,21.0,24.6,16.5,0.0,,,,,6.6,,,,,
2016-04-30,20.2,25.5,14.6,0.0,,,,,2.8,,,,,
2016-05-01,21.7,26.2,17.8,0.0,,,,,2.5,,,,,
2016-05-02,22.7,26.2,18.3,0.0,,,,,4.4,,,,,
2016-05-03,22.6,25.0,19.0,22.0,,,,,8.9,,,,,
2016-05-04,21.2,25.4,15.0,0.0,,,,,3.2,,,,,
2016-05-05,22.5,26.1,17.1,0.0,,,,,4.0,,,,,
2016-05-06,24.5,26.0,23.0,0.0,,,,,7.7,,,,,
2016-05-07,23.7,25.5,21.7,24.0,,,,,4.2,,,,,
2016-05-08,24.9,27.6,22.1,0.5,,,,,3.2,,,,,
2016-05-09,24.9,27.8,22.8,4.5,,,,,5.3,,,,,
2016-05-10,25.0,27.1,22.7,11.5,,,,,7.4,,,,,
2016-05-11,20.9,23.8,18.3,16.5,,,,,4.8,,,,,
2016-05-12,21.9,26.2,16.1,0.0,,,,,3.8,,,,,
2016-05-13,25.3,28.5,22.9,0.0,,,,,4.0,,,,,
2016-05-14,25.1,26.9,23.7,0.0,,,,,3.4,,,,,
2016-05-15,26.2,29.8,22.9,0.0,,,,,3.4,,,,,
2016-05-16,23.2,27.3,18.9,36.0,,,,,7.1,,,,,
2016-05-17,20.2,24.0,17.4,22.5,,,,,3.9,,,,,
2016-05-18,23.0,25.6,19.7,0.0,,,,,5.0,,,,,
2016-05-19,22.9,24.4,22.2,1.0,,,,,7.1,,,,,
2016-05-20,23.2,25.1,22.1,15.5,,,,,5.7,,,,,
2016-05-21,24.6,26.9,23.2,0.0,,,,,4.9,,,,,
2016-05-22,23.8,25.3,23.0,49.0,,,,,2.8,,,,,
2016-05-23,24.6,26.4,23.2,32.5,,,,,4.0,,,,,
2016-05-24,25.7,28.2,23.7,0.5,,,,,2.2,,,,,
2016-05-25,25.3,27.7,24.3,5.0,,,,,1.4,,,,,
2016-05-26,26.2,29.1,24.3,0.5,,,,,2.5,,,,,
2016-05-27,26.1,28.5,23.8,0.0,,,,,1.7,,,,,
2016-05-28,26.9,28.9,25.1,0.0,,,,,3.6,,,,,
2016-05-29,27.4,30.3,25.7,0.0,,,,,5.0,,,,,
2016-05-30,25.4,27.5,23.8,16.5,,,,,4.4,,,,,
2016-05-31,24.5,27.4,22.8,1.0,,,,,2.8,,,,,
2016-06-01,25.2,27.7,23.0,54.5,,,,,3.8,,,,,
2016-06-02,25.2,27.9,22.8,0.5,,,,,3.9,,,,,
2016-06-03,23.9,26.5,21.8,5.0,,,,,3.9,,,,,
2016-06-04,26.6,30.5,22.4,0.5,,,,,4.6,,,,,
2016-06-05,25.7,28.2,24.0,0.0,,,,,4.0,,,,,
2016-06-06,24.4,28.6,21.2,15.5,,,,,2.3,,,,,
2016-06-07,24.7,28.4,21.6,14.0,,,,,2.6,,,,,
2016-06-08,26.3,29.5,23.4,0.0,,,,,2.6,,,,,
2016-06-09,27.0,30.3,24.2,0.0,,,,,3.0,,,,,
2016-06-10,27.4,30.2,25.5,0.0,,,,,3.6,,,,,
2016-06-11,26.6,29.5,25.3,1.5,,,,,3.1,,,,,
2016-06-12,26.5,29.1,24.3,43.5,,,,,8.4,,,,,
2016-06-13,26.4,27.3,25.1,50.5,,,,,8.4,,,,,
2016-06-14,25.4,26.2,24.4,13.5,,,,,3.2,,,,,
2016-06-15,27.1,29.1,25.0,0.5,,,,,5.9,,,,,
2016-06-16,28.4,31.9,25.6,0.0,,,,,7.3,,,,,
2016-06-17,28.0,31.1,25.8,10.5,,,,,4.5,,,,,
2016-06-18,28.6,31.6,27.0,0.0,,,,,5.2,,,,,
2016-06-19,28.8,31.1,27.2,0.0,,,,,5.7,,,,,
2016-06-20,28.7,31.5,27.2,0.0,,,,,5.2,,,,,
