calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,8.1,14.6,2.8,0.0,9.3,,,,1.0,,,,,
2016-01-02,11.0,15.0,5.0,14.5,0.2,,,,0.7,,,,,
2016-01-03,15.2,19.6,11.2,0.0,5.2,,,,0.9,,,,,
2016-01-04,12.7,18.9,8.0,0.0,8.9,,,,0.8,,,,,
2016-01-05,14.2,17.6,11.1,0.5,1.1,,,,1.4,,,,,
2016-01-06,11.4,12.7,7.4,21.0,0.0,,,,1.7,,,,,
2016-01-07,10.0,13.0,6.0,0.0,1.7,,,,1.7,,,,,
2016-01-08,9.3,13.2,5.7,0.0,0.7,,,,1.6,,,,,
2016-01-09,7.9,12.2,3.5,0.0,4.9,,,,1.6,,,,,
2016-01-10,9.1,13.4,3.0,0.0,0.9,,,,1.3,,,,,
2016-01-11,9.2,10.7,7.5,12.0,0.0,,,,0.7,,,,,
2016-01-12,8.6,12.1,5.9,4.0,2.1,,,,1.8,,,,,
2016-01-13,7.6,10.1,5.0,0.0,1.9,,,,1.6,,,,,
2016-01-14,8.0,11.7,4.8,0.0,3.6,,,,1.5,,,,,
2016-01-15,7.5,10.3,3.9,0.0,0.0,,,,1.1,,,,,
2016-01-16,7.9,13.8,3.2,0.0,9.4,,,,0.9,,,,,
2016-01-17,10.8,14.0,4.4,11.0,0.0,,,,1.4,,,,,
2016-01-18,11.1,14.6,6.1,1.0,4.7,,,,3.7,,,,,
2016-01-19,6.2,9.7,4.2,2.0,4.5,,,,3.3,,,,,
2016-01-20,5.6,9.6,2.9,0.0,2.4,,,,2.9,,,,,
2016-01-21,5.4,6.9,3.1,2.5,0.0,,,,1.1,,,,,
2016-01-22,7.6,10.8,5.0,0.0,3.7,,,,1.9,,,,,
2016-01-23,7.2,11.5,2.3,1.5,0.6,,,,2.6,,,,,
2016-01-24,0.3,2.9,-1.2,16.5,1.0,,,,3.2,,,,,
2016-01-25,1.5,6.0,-3.4,0.0,6.4,,,,1.6,,,,,
2016-01-26,5.3,10.6,1.0,0.0,1.4,,,,0.7,,,,,
2016-01-27,8.1,13.8,2.1,0.0,2.8,,,,0.7,,,,,
2016-01-28,13.0,20.3,6.4,0.5,1.9,,,,1.0,,,,,
2016-01-29,16.2,21.2,14.2,64.0,0.0,,,,1.3,,,,,
2016-01-30,14.1,16.5,9.1,1.0,0.9,,,,1.3,,,,,
2016-01-31,11.2,15.8,7.3,0.0,8.8,,,,1.7,,,,,
2016-02-01,8.5,10.6,7.0,4.0,0.0,,,,2.2,,,,,
2016-02-02,7.4,11.1,4.7,0.0,4.6,,,,3.4,,,,,
2016-02-03,7.3,12.6,3.8,0.0,8.9,,,,2.1,,,,,
2016-02-04,7.9,12.6,2.3,0.0,7.0,,,,1.6,,,,,
2016-02-05,9.2,13.1,6.7,0.0,0.8,,,,2.5,,,,,
2016-02-06,7.7,11.8,5.2,0.0,3.8,,,,3.8,,,,,
2016-02-07,6.7,11.8,3.0,0.0,7.4,,,,2.1,,,,,
2016-02-08,7.0,12.9,2.7,0.0,8.9,,,,1.7,,,,,
2016-02-09,9.1,16.2,3.6,0.0,7.8,,,,2.0,,,,,
2016-02-10,8.2,16.6,1.6,0.0,9.9,,,,0.9,,,,,
2016-02-11,11.6,19.6,3.4,0.0,9.2,,,,1.3,,,,,
2016-02-12,16.7,18.4,12.3,2.5,0.0,,,,3.1,,,,,
2016-02-13,19.5,22.0,16.9,41.5,0.1,,,,3.9,,,,,
2016-02-14,13.1,19.5,8.1,4.0,0.1,,,,2.8,,,,,
2016-02-15,6.1,8.4,1.7,1.5,0.2,,,,4.2,,,,,
2016-02-16,5.1,8.2,1.6,4.0,2.3,,,,1.9,,,,,
2016-02-17,7.9,13.0,5.4,0.5,6.8,,,,2.2,,,,,
2016-02-18,7.9,13.0,4.4,0.0,6.2,,,,1.0,,,,,
2016-02-19,11.3,17.9,4.0,1.0,4.5,,,,1.0,,,,,
2016-02-20,12.9,17.4,10.7,55.0,1.4,,,,2.9,,,,,
2016-02-21,9.2,12.4,6.6,0.0,7.6,,,,2.8,,,,,
2016-02-22,9.5,13.2,5.1,8.0,0.0,,,,1.5,,,,,
2016-02-23,11.1,12.9,9.8,33.0,0.0,,,,3.0,,,,,
2016-02-24,9.2,13.4,4.9,0.0,6.0,,,,3.4,,,,,
2016-02-25,7.1,12.4,4.1,0.0,5.7,,,,2.2,,,,,
2016-02-26,7.0,12.8,3.3,0.0,8.3,,,,2.1,,,,,
2016-02-27,9.7,15.6,3.5,0.0,0.9,,,,0.7,,,,,
2016-02-28,11.5,18.6,5.5,0.0,3.7,,,,0.8,,,,,
2016-02-29,9.4,12.8,5.4,0.0,4.4,,,,4.0,,,,,
2016-03-01,5.4,10.0,3.1,0.0,3.9,,,,3.0,,,,,
2016-03-02,7.2,14.9,0.9,0.0,10.8,,,,1.4,,,,,
2016-03-03,10.1,18.4,2.7,0.0,9.6,,,,0.9,,,,,
