calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,16.1,19.0,12.5,0.0,4.9,,,,3.2,,,,,
2016-01-02,20.3,23.4,17.5,0.0,3.4,,,,3.5,,,,,
2016-01-03,19.3,21.2,17.1,16.5,0.0,,,,2.1,,,,,
2016-01-04,19.0,21.3,16.1,0.0,0.0,,,,1.4,,,,,
2016-01-05,21.0,24.0,18.2,13.0,1.0,,,,2.3,,,,,
2016-01-06,18.6,21.3,17.4,15.0,0.1,,,,1.7,,,,,
2016-01-07,16.6,19.6,14.0,0.0,7.6,,,,2.5,,,,,
2016-01-08,14.6,16.5,12.6,1.5,0.0,,,,1.6,,,,,
2016-01-09,14.8,17.5,12.5,0.0,2.5,,,,2.4,,,,,
2016-01-10,16.1,18.9,12.4,0.0,3.1,,,,1.8,,,,,
2016-01-11,17.2,20.0,15.6,20.0,0.0,,,,2.1,,,,,
2016-01-12,16.1,18.8,13.5,2.0,4.6,,,,2.9,,,,,
2016-01-13,13.7,16.3,11.6,0.0,0.0,,,,1.9,,,,,
2016-01-14,13.3,15.9,11.5,0.0,0.1,,,,1.7,,,,,
2016-01-15,14.0,17.9,9.9,0.0,1.8,,,,1.9,,,,,
2016-01-16,16.1,20.4,13.4,0.0,8.5,,,,2.2,,,,,
2016-01-17,18.8,20.3,13.2,11.0,0.1,,,,5.4,,,,,
2016-01-18,15.7,18.2,13.2,1.0,7.0,,,,4.8,,,,,
2016-01-19,12.8,15.1,11.6,0.0,2.0,,,,3.9,,,,,
2016-01-20,12.8,15.5,11.5,0.0,3.5,,,,2.3,,,,,
2016-01-21,13.6,14.9,11.7,18.5,0.0,,,,3.4,,,,,
2016-01-22,13.8,15.6,12.5,0.5,0.0,,,,4.6,,,,,
2016-01-23,12.6,14.3,9.9,11.0,0.0,,,,4.1,,,,,
2016-01-24,,,,,,,,,,,,,,
2016-01-25,,,,,,,,,,,,,,
2016-01-26,,,,,,,,,,,,,,
2016-01-27,,,,,,,,,,,,,,
2016-01-28,,,,,,,,,,,,,,
2016-01-29,,,,,,,,,,,,,,
2016-01-30,17.1,18.8,15.8,10.5,0.0,,,,1.7,,,,,
2016-01-31,17.1,20.8,13.3,0.0,3.0,,,,2.2,,,,,
2016-02-01,15.7,18.6,12.8,16.0,0.0,,,,3.2,,,,,
2016-02-02,12.4,13.8,11.3,2.0,0.0,,,,2.1,,,,,
2016-02-03,13.3,15.2,11.5,0.0,0.0,,,,2.0,,,,,
2016-02-04,14.3,17.6,10.0,0.0,5.3,,,,2.5,,,,,
2016-02-05,14.0,15.1,13.1,18.5,0.0,,,,2.9,,,,,
2016-02-06,12.5,16.2,10.0,6.5,1.7,,,,3.9,,,,,
2016-02-07,11.1,14.4,8.5,4.5,5.7,,,,3.0,,,,,
2016-02-08,11.1,14.7,9.1,0.0,1.6,,,,3.5,,,,,
2016-02-09,13.8,18.9,9.1,0.0,8.9,,,,2.2,,,,,
2016-02-10,15.8,20.4,10.4,0.0,8.9,,,,2.7,,,,,
2016-02-11,18.3,20.5,16.2,0.0,5.1,,,,5.0,,,,,
2016-02-12,19.9,21.3,18.3,1.5,0.0,,,,7.8,,,,,
2016-02-13,22.1,24.0,21.1,0.0,1.2,,,,5.5,,,,,
2016-02-14,17.0,21.9,12.2,13.5,0.9,,,,2.8,,,,,
2016-02-15,11.0,13.9,9.5,3.0,0.7,,,,3.7,,,,,
2016-02-16,10.4,12.5,7.9,0.0,0.1,,,,2.6,,,,,
2016-02-17,11.5,15.8,8.2,0.0,5.6,,,,2.1,,,,,
2016-02-18,13.9,18.8,7.7,0.0,7.3,,,,1.7,,,,,
2016-02-19,17.9,20.7,12.8,0.0,2.8,,,,4.5,,,,,
2016-02-20,17.6,21.7,12.8,15.5,1.6,,,,5.4,,,,,
2016-02-21,13.3,16.1,11.3,0.0,6.9,,,,2.8,,,,,
2016-02-22,16.1,19.2,11.9,0.0,3.0,,,,3.7,,,,,
2016-02-23,18.8,22.0,15.7,9.5,2.4,,,,4.3,,,,,
2016-02-24,14.6,16.4,12.4,0.0,0.0,,,,4.0,,,,,
2016-02-25,12.6,15.9,10.0,0.0,3.1,,,,2.3,,,,,
2016-02-26,12.9,16.7,9.5,0.0,2.3,,,,2.6,,,,,
2016-02-27,15.1,16.6,13.2,1.5,0.0,,,,3.2,,,,,
2016-02-28,16.5,20.7,14.4,12.0,1.4,,,,2.2,,,,,
2016-02-29,14.6,17.7,11.2,0.0,8.2,,,,3.8,,,,,
2016-03-01,11.5,14.2,9.7,0.0,0.1,,,,2.2,,,,,
2016-03-02,12.7,17.4,8.0,0.0,4.6,,,,2.2,,,,,
2016-03-03,15.5,19.4,10.6,0.0,8.9,,,,2.6,,,,,
2016-03-04,19.3,22.8,16.1,0.0,6.9,,,,4.7,,,,,
2016-03-05,20.3,21.9,19.2,0.0,0.3,,,,6.0,,,,,
2016-03-06,19.7,20.7,17.9,44.0,0.1,,,,3.2,,,,,
2016-03-07,20.2,25.0,17.3,0.0,8.5,,,,2.1,,,,,
2016-03-08,20.1,22.5,17.6,0.0,8.3,,,,3.2,,,,,
2016-03-09,19.3,20.9,15.9,11.5,1.9,,,,3.6,,,,,
2016-03-10,14.9,18.5,13.2,12.5,0.6,,,,2.5,,,,,
2016-03-11,13.1,15.6,10.9,0.0,0.0,,,,2.4,,,,,
2016-03-12,13.3,17.1,10.0,0.0,4.6,,,,2.1,,,,,
2016-03-13,18.2,20.5,13.1,1.5,4.7,,,,4.4,,,,,
2016-03-14,16.4,19.9,13.9,30.0,2.7,,,,3.5,,,,,
2016-03-15,15.3,18.5,10.3,0.0,5.9,,,,3.4,,,,,
2016-03-16,16.7,17.9,15.0,2.5,0.0,,,,3.6,,,,,
2016-03-17,19.0,21.2,17.7,0.0,0.3,,,,4.7,,,,,
2016-03-18,20.3,21.2,19.0,2.5,0.0,,,,4.1,,,,,
2016-03-19,20.0,23.4,16.5,27.5,2.1,,,,2.1,,,,,
2016-03-20,18.0,21.9,14.8,0.0,9.8,,,,2.4,,,,,
2016-03-21,18.0,21.4,15.9,0.0,6.3,,,,2.5,,,,,
2016-03-22,17.8,20.9,15.9,0.0,6.3,,,,3.1,,,,,
2016-03-23,19.1,22.2,15.6,14.0,2.6,,,,2.5,,,,,
2016-03-24,16.5,19.7,13.5,0.5,2.9,,,,3.4,,,,,
2016-03-25,15.3,17.9,13.6,1.0,0.5,,,,2.4,,,,,
2016-03-26,15.8,19.1,12.7,0.0,5.6,,,,2.6,,,,,
2016-03-27,13.4,17.3,9.9,0.0,3.9,,,,2.4,,,,,
2016-03-28,14.1,19.1,10.2,0.0,9.5,,,,2.7,,,,,
2016-03-29,15.3,19.7,9.8,0.0,11.0,,,,2.2,,,,,
2016-03-30,18.0,19.7,15.4,0.0,0.4,,,,2.2,,,,,
2016-03-31,19.2,20.6,17.9,14.0,0.0,,,,3.6,,,,,
2016-04-01,18.8,22.2,15.7,0.0,8.4,,,,3.0,,,,,
2016-04-02,19.0,24.0,13.8,0.0,8.9,,,,2.0,,,,,
2016-04-03,19.9,22.4,17.2,0.0,8.0,,,,2.3,,,,,
2016-04-04,20.0,21.7,17.8,3.5,0.0,,,,2.5,,,,,
2016-04-05,19.4,21.0,17.6,0.5,0.0,,,,1.3,,,,,
2016-04-06,21.2,24.6,19.4,0.5,0.6,,,,1.5,,,,,
2016-04-07,22.2,24.9,20.6,0.0,1.0,,,,2.8,,,,,
2016-04-08,21.4,24.8,20.2,2.5,0.2,,,,2.0,,,,,
2016-04-09,20.4,21.2,19.6,19.5,0.0,,,,1.9,,,,,
2016-04-10,21.0,24.2,17.7,16.5,4.2,,,,4.1,,,,,
2016-04-11,19.0,20.8,17.6,9.0,0.6,,,,4.8,,,,,
2016-04-12,19.0,20.1,18.1,5.5,0.1,,,,5.3,,,,,
2016-04-13,20.8,21.9,19.4,1.5,0.0,,,,2.6,,,,,
2016-04-14,21.6,25.6,16.6,2.0,7.5,,,,3.0,,,,,
2016-04-15,21.0,25.2,17.2,0.0,7.8,,,,3.0,,,,,
2016-04-16,21.6,23.4,20.2,0.0,0.1,,,,4.9,,,,,
2016-04-17,21.3,25.3,17.6,2.5,9.5,,,,2.6,,,,,
2016-04-18,18.6,20.1,17.1,12.0,0.1,,,,3.2,,,,,
2016-04-19,19.6,23.1,17.1,0.0,10.8,,,,4.0,,,,,
2016-04-20,20.4,23.6,17.4,0.0,7.8,,,,4.1,,,,,
2016-04-21,22.7,24.9,21.4,0.0,0.0,,,,3.6,,,,,
2016-04-22,22.4,24.9,20.9,3.0,0.1,,,,2.5,,,,,
2016-04-23,22.9,25.4,21.0,0.0,0.1,,,,1.9,,,,,
2016-04-24,21.9,24.3,20.4,43.0,0.0,,,,1.4,,,,,
2016-04-25,23.0,26.3,21.2,0.0,3.4,,,,1.6,,,,,
2016-04-26,23.6,27.5,22.0,0.0,2.4,,,,1.4,,,,,
2016-04-27,23.0,24.4,21.3,1.0,0.5,,,,2.9,,,,,
2016-04-28,20.4,23.2,18.5,0.0,7.2,,,,4.6,,,,,
2016-04-29,20.3,25.1,16.9,0.5,10.1,,,,2.7,,,,,
2016-04-30,20.0,24.0,14.9,0.0,9.1,,,,2.2,,,,,
2016-05-01,21.8,24.9,18.1,0.0,9.4,,,,2.7,,,,,
2016-05-02,22.4,24.9,20.9,0.0,8.0,,,,4.8,,,,,
2016-05-03,21.5,23.5,18.1,24.5,0.2,,,,4.3,,,,,
2016-05-04,20.5,24.2,15.4,0.0,10.7,,,,2.1,,,,,
2016-05-05,22.0,24.9,19.2,0.0,4.6,,,,3.0,,,,,
2016-05-06,23.3,25.0,22.0,0.0,0.0,,,,2.7,,,,,
2016-05-07,23.0,25.8,21.4,27.0,2.8,,,,2.3,,,,,
2016-05-08,23.6,26.7,21.7,2.5,1.3,,,,1.1,,,,,
2016-05-09,23.9,26.6,22.4,12.0,0.2,,,,1.5,,,,,
2016-05-10,24.5,27.9,22.1,18.5,5.0,,,,2.6,,,,,
2016-05-11,20.3,23.8,17.5,10.5,3.6,,,,1.7,,,,,
2016-05-12,22.2,25.9,17.6,0.0,11.2,,,,3.2,,,,,
2016-05-13,24.2,27.5,22.3,0.0,8.8,,,,3.6,,,,,
2016-05-14,24.4,27.1,23.0,0.0,1.5,,,,2.8,,,,,
2016-05-15,24.9,27.6,23.4,0.0,8.0,,,,2.4,,,,,
2016-05-16,23.0,28.0,18.8,30.5,1.9,,,,3.3,,,,,
2016-05-17,19.2,22.1,16.9,29.0,0.5,,,,2.2,,,,,
2016-05-18,22.4,24.9,20.1,0.0,1.3,,,,4.1,,,,,
2016-05-19,22.2,23.1,21.1,2.0,0.0,,,,4.6,,,,,
2016-05-20,22.8,26.2,21.2,107.0,0.2,,,,4.0,,,,,
2016-05-21,23.7,25.8,22.6,0.0,1.2,,,,3.3,,,,,
2016-05-22,23.2,24.2,22.3,66.5,0.0,,,,1.9,,,,,
