calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,5.4,13.7,-2.0,0.0,9.6,,,,1.1,,,,,
2016-01-02,9.3,14.1,2.0,9.0,0.8,,,,1.3,,,,,
2016-01-03,14.8,20.2,11.5,1.0,4.1,,,,1.4,,,,,
2016-01-04,12.6,18.5,5.8,0.0,9.3,,,,1.7,,,,,
2016-01-05,12.4,17.5,9.0,0.5,1.3,,,,2.2,,,,,
2016-01-06,10.1,11.1,8.7,17.5,0.0,,,,2.4,,,,,
2016-01-07,9.5,13.0,5.8,0.0,4.2,,,,1.8,,,,,
2016-01-08,9.1,12.5,5.4,0.0,3.4,,,,1.6,,,,,
2016-01-09,6.5,12.9,1.3,0.0,4.2,,,,1.1,,,,,
2016-01-10,7.0,13.2,0.7,0.0,1.0,,,,0.9,,,,,
2016-01-11,7.8,9.3,6.5,9.5,0.0,,,,0.6,,,,,
2016-01-12,8.2,12.3,4.6,3.0,3.7,,,,1.6,,,,,
2016-01-13,7.4,10.8,3.9,0.0,7.1,,,,2.0,,,,,
2016-01-14,6.0,12.0,0.7,0.0,5.4,,,,1.4,,,,,
2016-01-15,4.8,9.1,0.6,0.0,0.0,,,,1.0,,,,,
2016-01-16,6.8,14.3,-0.5,0.0,9.7,,,,1.2,,,,,
2016-01-17,9.9,13.8,2.9,7.0,0.0,,,,3.9,,,,,
2016-01-18,10.3,14.1,3.9,2.5,4.8,,,,4.0,,,,,
2016-01-19,5.5,7.9,2.8,1.5,3.1,,,,4.1,,,,,
2016-01-20,4.5,8.5,-0.8,0.0,9.4,,,,2.7,,,,,
2016-01-21,3.2,6.5,-1.2,1.5,0.0,,,,0.8,,,,,
2016-01-22,6.2,10.8,2.3,0.0,4.2,,,,1.0,,,,,
2016-01-23,6.8,12.1,3.2,0.5,1.2,,,,1.9,,,,,
2016-01-24,-0.3,3.7,-2.4,7.5,0.1,,,,3.0,,,,,
2016-01-25,-0.3,6.1,-8.0,0.0,7.0,,,,1.5,,,,,
2016-01-26,3.6,9.8,-2.0,0.0,2.8,,,,1.1,,,,,
2016-01-27,6.9,12.6,0.7,0.0,1.5,,,,1.2,,,,,
2016-01-28,12.0,17.7,5.4,0.5,2.2,,,,1.0,,,,,
2016-01-29,15.5,20.7,12.9,46.5,0.0,,,,2.7,,,,,
2016-01-30,13.7,15.8,6.4,1.0,0.4,,,,2.5,,,,,
2016-01-31,9.9,15.7,3.1,0.0,9.6,,,,1.6,,,,,
2016-02-01,7.7,9.7,5.9,4.5,0.0,,,,1.1,,,,,
2016-02-02,6.0,10.6,0.1,0.0,6.9,,,,1.6,,,,,
2016-02-03,4.8,11.9,-1.9,0.0,10.2,,,,1.4,,,,,
2016-02-04,5.7,13.2,-2.8,0.0,8.7,,,,1.5,,,,,
2016-02-05,6.8,12.4,1.1,0.0,1.0,,,,1.3,,,,,
2016-02-06,4.9,11.2,-1.3,0.0,4.6,,,,1.9,,,,,
2016-02-07,4.7,10.7,-1.2,0.0,9.5,,,,1.7,,,,,
2016-02-08,5.4,12.1,-2.4,0.0,10.1,,,,1.6,,,,,
2016-02-09,11.5,15.0,8.9,0.0,8.1,,,,4.0,,,,,
2016-02-10,8.2,16.5,-0.4,0.0,10.1,,,,1.5,,,,,
2016-02-11,10.3,17.4,0.7,0.0,9.1,,,,2.1,,,,,
2016-02-12,15.7,18.1,12.3,1.0,0.0,,,,1.9,,,,,
2016-02-13,18.6,22.0,14.9,39.0,0.2,,,,3.5,,,,,
2016-02-14,12.6,18.2,7.5,3.5,0.6,,,,5.0,,,,,
2016-02-15,5.7,8.0,2.7,0.0,5.3,,,,3.7,,,,,
2016-02-16,5.0,9.4,0.5,0.0,5.9,,,,2.2,,,,,
2016-02-17,7.6,12.2,2.0,0.5,8.5,,,,2.1,,,,,
2016-02-18,6.7,13.1,1.5,0.0,6.2,,,,1.4,,,,,
2016-02-19,10.5,18.4,1.3,0.0,4.8,,,,1.8,,,,,
2016-02-20,12.6,16.5,10.0,40.0,1.3,,,,3.5,,,,,
2016-02-21,8.6,12.2,4.3,0.0,7.2,,,,2.1,,,,,
2016-02-22,8.1,12.5,3.0,8.0,0.1,,,,2.6,,,,,
2016-02-23,10.3,13.5,7.7,28.5,0.0,,,,3.6,,,,,
2016-02-24,7.7,12.4,3.2,0.0,8.9,,,,2.3,,,,,
2016-02-25,6.3,12.3,0.7,0.0,10.7,,,,1.6,,,,,
2016-02-26,5.5,13.1,-1.0,0.0,9.1,,,,1.3,,,,,
2016-02-27,8.5,15.4,1.5,0.0,0.9,,,,0.7,,,,,
2016-02-28,10.2,18.0,2.0,0.0,3.3,,,,0.8,,,,,
2016-02-29,8.9,14.2,3.6,0.0,7.0,,,,3.7,,,,,
2016-03-01,4.3,8.9,-0.9,0.0,10.7,,,,2.8,,,,,
2016-03-02,5.8,14.4,-2.9,0.0,11.0,,,,1.6,,,,,
2016-03-03,9.4,17.8,0.2,0.0,10.1,,,,1.6,,,,,
2016-03-04,13.0,20.5,4.4,0.0,8.8,,,,1.8,,,,,
2016-03-05,16.8,20.6,12.2,0.0,4.0,,,,2.9,,,,,
2016-03-06,16.8,18.3,15.7,12.5,0.1,,,,2.9,,,,,
2016-03-07,18.3,23.4,11.9,0.0,8.8,,,,2.8,,,,,
2016-03-08,16.1,23.1,9.2,0.0,10.3,,,,1.9,,,,,
2016-03-09,15.2,19.7,9.0,38.0,1.5,,,,2.6,,,,,
2016-03-10,10.7,14.7,6.3,0.0,0.1,,,,0.9,,,,,
2016-03-11,8.8,14.2,3.6,0.0,9.6,,,,1.7,,,,,
2016-03-12,7.3,13.6,1.0,0.0,11.0,,,,1.8,,,,,
2016-03-13,8.9,15.0,1.3,7.5,1.1,,,,1.8,,,,,
2016-03-14,10.1,15.9,4.4,16.0,3.9,,,,2.2,,,,,
2016-03-15,8.1,15.0,1.4,0.0,11.4,,,,1.7,,,,,
2016-03-16,11.0,17.4,3.3,0.0,3.9,,,,2.0,,,,,
2016-03-17,14.6,21.2,6.9,0.0,9.5,,,,2.5,,,,,
2016-03-18,16.0,19.0,14.0,109.0,0.0,,,,2.9,,,,,
2016-03-19,17.0,21.2,10.8,0.0,4.6,,,,3.2,,,,,
2016-03-20,13.0,20.4,6.2,0.0,11.2,,,,1.8,,,,,
2016-03-21,12.3,18.1,6.6,0.0,8.7,,,,1.7,,,,,
2016-03-22,12.6,19.6,3.9,0.0,10.3,,,,1.8,,,,,
2016-03-23,13.4,18.5,9.2,7.5,0.2,,,,1.0,,,,,
2016-03-24,12.7,18.0,9.7,0.5,3.7,,,,1.8,,,,,
2016-03-25,9.7,12.9,6.3,0.0,0.9,,,,2.1,,,,,
2016-03-26,10.7,17.2,3.4,0.0,10.9,,,,1.7,,,,,
2016-03-27,10.4,15.1,4.9,0.0,10.5,,,,2.3,,,,,
2016-03-28,10.1,17.4,2.3,0.0,11.7,,,,1.7,,,,,
2016-03-29,12.4,19.0,3.4,0.0,8.5,,,,1.7,,,,,
2016-03-30,13.0,18.0,10.1,4.5,0.5,,,,1.0,,,,,
2016-03-31,13.6,15.1,11.7,56.5,0.0,,,,2.1,,,,,
2016-04-01,16.8,21.0,13.1,6.0,6.0,,,,2.3,,,,,
2016-04-02,17.8,22.8,13.2,0.0,3.0,,,,3.0,,,,,
2016-04-03,18.9,23.3,16.6,2.5,1.5,,,,2.5,,,,,
2016-04-04,18.2,19.8,15.9,18.0,0.0,,,,3.0,,,,,
2016-04-05,16.4,20.0,12.3,0.0,3.4,,,,3.0,,,,,
2016-04-06,16.6,20.9,11.3,0.0,0.2,,,,2.3,,,,,
2016-04-07,20.6,23.5,17.6,2.5,0.0,,,,5.9,,,,,
2016-04-08,16.5,19.0,12.6,6.0,0.3,,,,2.3,,,,,
2016-04-09,16.6,21.2,12.3,1.5,0.2,,,,2.1,,,,,
2016-04-10,16.0,18.0,13.6,6.5,0.0,,,,2.1,,,,,
2016-04-11,16.4,23.1,11.3,0.0,5.1,,,,1.5,,,,,
2016-04-12,15.5,19.9,12.4,0.0,2.3,,,,3.7,,,,,
2016-04-13,16.9,19.0,13.9,0.0,0.0,,,,3.3,,,,,
2016-04-14,20.2,26.4,14.4,0.0,10.2,,,,1.9,,,,,
