calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,16.9,19.7,14.3,,,,,,5.2,,,,,
2016-01-02,20.9,23.5,17.6,,,,,,7.2,,,,,
2016-01-03,19.9,21.9,16.6,,,,,,5.6,,,,,
2016-01-04,18.0,23.1,14.6,,,,,,1.8,,,,,
2016-01-05,19.8,23.4,14.9,,,,,,2.9,,,,,
2016-01-06,19.6,21.4,17.9,,,,,,4.6,,,,,
2016-01-07,17.1,19.6,15.9,,,,,,5.0,,,,,
2016-01-08,16.0,17.4,14.5,,,,,,3.2,,,,,
2016-01-09,15.3,19.5,10.1,,,,,,3.2,,,,,
2016-01-10,16.3,20.2,10.2,,,,,,2.6,,,,,
2016-01-11,18.2,20.6,16.2,,,,,,2.2,,,,,
2016-01-12,16.2,18.7,14.4,,,,,,6.5,,,,,
2016-01-13,14.5,15.3,13.0,,,,,,4.4,,,,,
2016-01-14,14.2,16.3,10.2,,,,,,3.7,,,,,
2016-01-15,14.1,17.2,9.4,,,,,,2.3,,,,,
2016-01-16,17.0,20.4,13.2,,,,,,4.9,,,,,
2016-01-17,19.7,20.8,18.1,,,,,,11.1,,,,,
2016-01-18,16.2,18.8,13.8,,,,,,7.5,,,,,
2016-01-19,13.1,15.4,12.3,,,,,,6.8,,,,,
2016-01-20,12.8,16.1,11.5,,,,,,4.9,,,,,
2016-01-21,13.2,15.3,9.6,,,,,,3.5,,,,,
2016-01-22,13.8,15.7,12.2,,,,,,7.9,,,,,
2016-01-23,13.0,15.3,10.2,,,,,,7.7,,,,,
2016-01-24,7.1,11.4,3.7,,,,,,8.8,,,,,
2016-01-25,8.8,11.9,4.7,,,,,,6.1,,,,,
2016-01-26,11.7,14.9,7.8,,,,,,3.5,,,,,
2016-01-27,13.8,16.8,8.0,0.0,,,,,1.8,,,,,
2016-01-28,19.3,21.4,16.4,1.0,,,,,7.0,,,,,
2016-01-29,20.5,22.8,16.8,3.5,,,,,8.2,,,,,
2016-01-30,17.5,19.2,16.6,8.0,,,,,3.3,,,,,
2016-01-31,17.3,19.5,15.2,0.0,,,,,4.4,,,,,
2016-02-01,15.0,18.2,12.7,23.0,,,,,5.4,,,,,
2016-02-02,12.9,14.1,12.1,3.5,,,,,4.9,,,,,
2016-02-03,13.8,15.9,11.8,0.0,,,,,4.1,,,,,
2016-02-04,14.2,17.2,11.9,0.0,,,,,3.0,,,,,
2016-02-05,13.8,14.9,12.2,17.0,,,,,4.0,,,,,
2016-02-06,12.3,16.3,9.0,16.5,,,,,6.9,,,,,
2016-02-07,10.8,14.5,8.5,11.0,,,,,4.6,,,,,
2016-02-08,11.8,15.0,7.5,0.5,,,,,5.1,,,,,
2016-02-09,14.4,19.1,7.3,0.0,,,,,3.3,,,,,
2016-02-10,15.5,19.8,10.2,0.0,,,,,2.5,,,,,
2016-02-11,,,,0.0,,,,,6.4,,,,,
2016-02-12,19.7,20.9,18.7,4.5,,,,,10.9,,,,,
2016-02-13,21.1,23.3,19.1,53.5,,,,,9.5,,,,,
2016-02-14,17.2,21.8,12.5,15.5,,,,,5.6,,,,,
2016-02-15,11.8,13.2,9.6,1.0,,,,,7.7,,,,,
2016-02-16,11.9,13.9,9.8,0.0,,,,,5.5,,,,,
2016-02-17,12.9,15.7,10.9,0.0,,,,,3.9,,,,,
2016-02-18,13.3,18.5,8.4,0.0,,,,,2.0,,,,,
2016-02-19,18.3,21.5,9.4,0.0,,,,,6.1,,,,,
2016-02-20,17.9,20.8,14.8,50.5,,,,,8.6,,,,,
2016-02-21,13.9,16.3,12.1,0.0,,,,,6.3,,,,,
2016-02-22,16.5,19.4,12.9,0.0,,,,,5.3,,,,,
2016-02-23,18.6,23.6,15.4,5.5,,,,,7.9,,,,,
2016-02-24,14.4,16.4,12.5,1.0,,,,,8.1,,,,,
2016-02-25,13.1,16.4,11.9,0.0,,,,,6.2,,,,,
2016-02-26,13.5,16.3,12.1,0.0,,,,,5.4,,,,,
2016-02-27,14.4,16.5,12.5,11.5,,,,,7.3,,,,,
2016-02-28,17.7,20.6,15.3,0.5,,,,,6.2,,,,,
2016-02-29,15.1,18.4,12.0,0.0,,,,,6.5,,,,,
2016-03-01,11.8,14.5,9.0,0.5,,,,,4.4,,,,,
2016-03-02,13.0,17.4,8.4,0.0,,,,,2.7,,,,,
2016-03-03,14.7,18.7,7.6,0.0,,,,,2.4,,,,,
2016-03-04,19.4,22.3,17.0,0.0,,,,,6.4,,,,,
2016-03-05,20.1,21.1,19.1,0.0,,,,,7.9,,,,,
2016-03-06,19.8,23.2,18.7,41.5,,,,,5.6,,,,,
2016-03-07,20.1,23.2,16.7,0.0,,,,,3.3,,,,,
2016-03-08,19.8,23.0,15.5,0.0,,,,,3.9,,,,,
2016-03-09,19.4,21.7,16.5,8.5,,,,,9.3,,,,,
2016-03-10,15.6,17.1,13.3,6.0,,,,,5.2,,,,,
2016-03-11,13.9,16.2,12.4,0.0,,,,,4.8,,,,,
2016-03-12,13.8,17.8,9.8,0.0,,,,,3.1,,,,,
2016-03-13,17.7,20.2,9.8,0.0,,,,,6.5,,,,,
2016-03-14,16.5,20.1,13.9,48.5,,,,,8.5,,,,,
2016-03-15,15.8,18.5,13.6,0.0,,,,,6.7,,,,,
2016-03-16,17.5,18.7,15.8,0.0,,,,,5.7,,,,,
2016-03-17,19.9,22.7,18.5,0.0,,,,,6.8,,,,,
2016-03-18,20.4,21.9,19.1,10.0,,,,,10.1,,,,,
2016-03-19,20.4,23.3,18.1,37.0,,,,,5.1,,,,,
2016-03-20,19.1,22.1,16.9,0.0,,,,,5.0,,,,,
2016-03-21,18.7,21.6,15.2,0.0,,,,,4.2,,,,,
2016-03-22,18.6,21.6,17.3,0.0,,,,,4.8,,,,,
2016-03-23,19.7,22.3,17.4,76.0,,,,,4.6,,,,,
2016-03-24,17.3,19.6,16.1,10.0,,,,,6.7,,,,,
2016-03-25,15.9,17.8,14.2,15.5,,,,,5.2,,,,,
2016-03-26,16.3,19.5,14.1,0.0,,,,,5.0,,,,,
2016-03-27,14.3,17.1,12.9,0.0,,,,,4.3,,,,,
2016-03-28,15.2,19.2,10.6,0.0,,,,,4.2,,,,,
2016-03-29,14.9,20.2,7.6,0.0,,,,,2.3,,,,,
2016-03-30,17.7,19.9,13.5,0.0,,,,,3.4,,,,,
2016-03-31,19.3,20.2,18.5,7.5,,,,,8.5,,,,,
2016-04-01,19.5,23.0,16.9,0.5,,,,,4.3,,,,,
2016-04-02,20.4,24.4,16.3,0.0,,,,,3.7,,,,,
2016-04-03,20.6,23.2,18.9,0.0,,,,,5.4,,,,,
2016-04-04,20.9,23.3,18.8,5.5,,,,,4.9,,,,,
2016-04-05,20.4,22.4,17.8,0.0,,,,,1.4,,,,,
2016-04-06,21.0,22.7,19.1,27.5,,,,,3.3,,,,,
2016-04-07,22.6,25.4,21.2,0.0,,,,,9.2,,,,,
2016-04-08,21.1,22.5,19.4,16.0,,,,,4.0,,,,,
2016-04-09,20.8,22.2,19.3,6.0,,,,,3.3,,,,,
