calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,4.4,13.1,-0.3,0.5,6.3,,,,1.1,,,,,
2016-01-02,9.9,15.8,3.1,2.0,1.1,,,,0.8,,,,,
2016-01-03,14.0,20.3,9.4,0.0,3.9,,,,0.9,,,,,
2016-01-04,11.2,17.8,7.8,0.0,5.7,,,,1.2,,,,,
2016-01-05,11.4,16.7,9.1,10.5,1.5,,,,1.0,,,,,
2016-01-06,9.6,11.7,5.3,12.5,0.0,,,,0.5,,,,,
2016-01-07,8.6,12.0,4.6,0.0,1.3,,,,1.5,,,,,
2016-01-08,7.4,11.0,5.1,2.0,0.0,,,,1.1,,,,,
2016-01-09,6.0,9.8,2.4,0.0,0.3,,,,0.8,,,,,
2016-01-10,5.9,11.0,1.4,0.0,0.8,,,,0.8,,,,,
2016-01-11,7.3,10.2,5.1,2.5,0.0,,,,0.6,,,,,
2016-01-12,6.6,10.0,3.2,1.5,0.2,,,,0.6,,,,,
2016-01-13,5.5,7.8,4.1,3.0,0.4,,,,1.0,,,,,
2016-01-14,5.9,10.4,2.7,1.0,3.1,,,,1.0,,,,,
2016-01-15,3.4,8.3,-0.1,0.0,0.3,,,,0.7,,,,,
2016-01-16,5.4,15.2,-1.2,0.0,9.5,,,,1.0,,,,,
2016-01-17,8.5,13.2,2.5,15.0,0.0,,,,3.1,,,,,
2016-01-18,9.5,12.3,5.2,4.5,1.8,,,,4.5,,,,,
2016-01-19,5.6,8.8,2.9,3.0,3.2,,,,5.7,,,,,
2016-01-20,3.5,6.6,-0.8,1.0,1.6,,,,2.2,,,,,
2016-01-21,2.6,5.5,-0.8,0.0,0.0,,,,0.5,,,,,
2016-01-22,5.7,10.3,1.8,0.0,3.2,,,,0.9,,,,,
2016-01-23,5.0,9.9,1.3,1.0,1.1,,,,1.4,,,,,
2016-01-24,-0.8,1.7,-2.6,15.5,0.1,,,,3.6,,,,,
2016-01-25,-1.7,1.2,-6.6,8.0,0.0,,,,0.5,,,,,
2016-01-26,1.5,3.7,-0.5,1.0,0.1,,,,,,,,,
2016-01-27,4.6,11.8,0.2,0.0,0.3,,,,0.7,,,,,
2016-01-28,9.9,15.9,4.4,1.5,0.0,,,,1.3,,,,,
2016-01-29,14.2,18.5,10.6,81.0,0.0,,,,1.2,,,,,
2016-01-30,12.0,15.8,6.3,0.5,3.9,,,,1.6,,,,,
2016-01-31,7.8,14.9,3.3,0.0,6.4,,,,1.3,,,,,
2016-02-01,6.8,7.9,5.6,1.0,0.0,,,,1.0,,,,,
2016-02-02,5.8,9.6,0.9,0.0,2.4,,,,1.4,,,,,
2016-02-03,4.1,11.1,-1.6,0.0,7.1,,,,1.7,,,,,
2016-02-04,5.1,11.4,-1.3,0.0,4.6,,,,1.6,,,,,
2016-02-05,6.7,12.6,1.6,0.0,4.9,,,,1.8,,,,,
2016-02-06,4.5,8.1,0.0,0.0,0.8,,,,2.0,,,,,
2016-02-07,5.5,10.0,1.9,0.0,6.0,,,,1.5,,,,,
2016-02-08,4.8,10.9,-1.3,0.0,7.8,,,,1.5,,,,,
2016-02-09,9.5,13.5,2.9,0.0,9.0,,,,3.2,,,,,
2016-02-10,6.4,14.5,-0.2,0.0,9.8,,,,1.8,,,,,
2016-02-11,9.9,18.8,0.3,0.0,7.7,,,,2.1,,,,,
2016-02-12,15.0,17.8,12.6,3.0,0.1,,,,4.2,,,,,
2016-02-13,19.0,21.6,15.3,27.0,0.1,,,,3.8,,,,,
2016-02-14,11.5,19.0,7.1,4.0,0.0,,,,3.3,,,,,
2016-02-15,4.7,7.4,1.0,1.5,1.2,,,,3.9,,,,,
2016-02-16,3.1,5.5,0.5,6.0,0.1,,,,0.8,,,,,
2016-02-17,6.4,10.4,2.6,2.5,3.5,,,,1.5,,,,,
2016-02-18,6.2,13.3,1.2,0.0,7.8,,,,1.2,,,,,
2016-02-19,8.8,15.5,1.5,0.5,2.1,,,,1.1,,,,,
2016-02-20,11.3,14.0,9.5,41.5,1.1,,,,2.6,,,,,
2016-02-21,7.8,10.3,4.0,0.0,8.7,,,,2.9,,,,,
2016-02-22,7.3,12.8,1.6,11.0,0.0,,,,0.9,,,,,
2016-02-23,9.8,13.8,6.5,10.5,0.7,,,,1.2,,,,,
2016-02-24,7.5,10.9,4.6,0.0,5.2,,,,2.5,,,,,
2016-02-25,5.9,10.7,0.3,0.0,3.7,,,,1.8,,,,,
2016-02-26,4.6,11.6,-1.3,0.0,8.5,,,,1.7,,,,,
2016-02-27,7.4,16.6,1.1,0.0,2.6,,,,1.3,,,,,
2016-02-28,10.5,20.0,2.3,0.0,10.0,,,,1.6,,,,,
2016-02-29,7.5,12.4,3.5,0.0,1.0,,,,4.3,,,,,
2016-03-01,3.9,7.8,-0.3,0.0,1.4,,,,2.2,,,,,
2016-03-02,4.9,13.3,-2.2,0.0,10.6,,,,1.7,,,,,
2016-03-03,8.8,18.7,0.2,0.0,10.1,,,,1.6,,,,,
2016-03-04,14.7,22.5,7.2,0.0,9.7,,,,1.7,,,,,
2016-03-05,16.1,22.3,8.5,0.0,8.0,,,,3.3,,,,,
2016-03-06,18.7,22.5,16.4,0.0,2.8,,,,3.2,,,,,
2016-03-07,16.5,24.1,11.5,0.0,8.6,,,,1.7,,,,,
2016-03-08,15.8,22.7,12.1,0.0,8.1,,,,1.4,,,,,
2016-03-09,13.7,18.3,7.7,55.0,3.0,,,,2.5,,,,,
2016-03-10,9.8,12.9,5.6,0.0,0.0,,,,1.6,,,,,
2016-03-11,8.1,11.7,4.0,0.0,6.2,,,,2.3,,,,,
2016-03-12,6.3,12.8,0.7,0.0,10.5,,,,1.9,,,,,
2016-03-13,7.1,12.6,1.5,10.0,0.5,,,,0.9,,,,,
2016-03-14,10.1,13.9,6.9,10.5,7.8,,,,2.4,,,,,
2016-03-15,9.0,15.8,2.4,0.0,10.9,,,,1.5,,,,,
2016-03-16,10.5,18.6,3.9,0.0,3.5,,,,1.1,,,,,
2016-03-17,14.6,23.3,5.7,0.0,9.2,,,,2.1,,,,,
2016-03-18,15.6,16.8,14.1,35.0,0.0,,,,2.8,,,,,
2016-03-19,15.9,19.2,9.5,0.5,0.8,,,,1.6,,,,,
2016-03-20,12.2,19.0,6.0,0.0,11.0,,,,1.7,,,,,
2016-03-21,10.9,18.3,4.1,0.0,10.9,,,,1.4,,,,,
2016-03-22,12.1,20.8,4.0,0.0,10.4,,,,1.7,,,,,
2016-03-23,10.5,12.0,9.2,4.0,0.0,,,,0.9,,,,,
2016-03-24,11.5,16.7,7.2,0.0,9.2,,,,1.9,,,,,
2016-03-25,8.5,15.2,3.8,0.0,4.0,,,,1.4,,,,,
2016-03-26,9.7,16.5,1.5,0.0,10.1,,,,1.7,,,,,
2016-03-27,9.9,13.9,5.8,0.0,7.5,,,,2.3,,,,,
2016-03-28,9.4,16.5,3.2,0.0,9.3,,,,1.9,,,,,
2016-03-29,11.0,18.5,3.2,0.0,5.7,,,,1.7,,,,,
2016-03-30,12.0,15.0,8.9,9.5,0.0,,,,0.8,,,,,
2016-03-31,13.7,15.8,11.6,21.0,0.0,,,,1.1,,,,,
2016-04-01,15.5,19.9,12.0,3.0,1.2,,,,1.4,,,,,
2016-04-02,16.7,25.4,10.0,0.0,7.5,,,,2.1,,,,,
2016-04-03,18.2,23.2,14.5,4.0,0.4,,,,1.6,,,,,
2016-04-04,17.6,20.0,14.8,11.0,0.2,,,,1.6,,,,,
2016-04-05,15.0,20.1,11.2,0.0,4.9,,,,1.5,,,,,
2016-04-06,16.1,22.6,9.9,2.0,0.7,,,,2.2,,,,,
2016-04-07,20.3,23.2,16.6,13.0,0.0,,,,3.8,,,,,
2016-04-08,16.7,19.7,13.4,0.5,1.2,,,,1.1,,,,,
2016-04-09,17.2,21.3,13.4,0.5,0.7,,,,1.2,,,,,
2016-04-10,15.6,19.1,13.6,8.0,0.2,,,,1.1,,,,,
2016-04-11,16.2,23.4,12.7,0.0,7.4,,,,1.3,,,,,
2016-04-12,16.8,21.5,12.8,0.0,9.6,,,,3.6,,,,,
2016-04-13,17.6,19.9,15.4,1.0,0.0,,,,2.5,,,,,
2016-04-14,18.6,24.6,14.2,0.0,10.4,,,,1.9,,,,,
2016-04-15,18.2,25.9,12.2,0.0,10.5,,,,1.5,,,,,
2016-04-16,17.4,22.8,10.5,7.0,3.6,,,,3.2,,,,,
2016-04-17,16.9,21.1,10.7,45.5,7.6,,,,3.3,,,,,
2016-04-18,13.0,15.5,9.2,0.0,0.0,,,,1.0,,,,,
2016-04-19,13.7,21.4,6.8,0.0,10.1,,,,2.0,,,,,
2016-04-20,17.4,25.9,8.4,0.0,10.9,,,,2.4,,,,,
2016-04-21,19.3,23.5,16.0,55.0,0.0,,,,3.5,,,,,
2016-04-22,17.9,22.2,13.1,0.0,7.7,,,,1.6,,,,,
2016-04-23,14.0,16.9,12.1,16.0,0.0,,,,0.9,,,,,
