calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,7.5,13.4,2.3,0.0,8.9,,,,0.6,,,,,
2016-01-02,10.7,15.3,4.6,13.0,0.5,,,,0.2,,,,,
2016-01-03,14.5,19.1,11.0,1.0,1.8,,,,0.2,,,,,
2016-01-04,12.7,19.6,7.6,0.0,8.5,,,,0.6,,,,,
2016-01-05,13.8,18.1,10.5,1.0,1.4,,,,0.7,,,,,
2016-01-06,11.0,12.9,5.2,15.0,0.0,,,,1.0,,,,,
2016-01-07,10.4,12.9,7.1,0.5,1.9,,,,1.6,,,,,
2016-01-08,8.6,11.9,4.3,1.5,0.3,,,,0.8,,,,,
2016-01-09,7.4,11.9,2.9,0.0,5.2,,,,1.3,,,,,
2016-01-10,8.7,13.9,2.7,0.0,1.6,,,,0.9,,,,,
2016-01-11,8.4,10.7,6.4,7.5,0.0,,,,0.2,,,,,
2016-01-12,8.4,12.3,5.2,3.0,1.9,,,,1.2,,,,,
2016-01-13,6.8,9.6,4.4,6.5,1.1,,,,1.0,,,,,
2016-01-14,7.1,12.1,3.4,0.0,2.2,,,,0.8,,,,,
2016-01-15,6.9,10.2,3.8,0.0,0.0,,,,0.6,,,,,
2016-01-16,7.3,13.9,1.6,0.0,8.9,,,,0.4,,,,,
2016-01-17,11.9,15.0,6.8,16.0,0.0,,,,0.8,,,,,
2016-01-18,10.8,15.7,4.9,4.5,2.9,,,,1.9,,,,,
2016-01-19,6.4,9.6,3.4,6.5,2.0,,,,1.7,,,,,
2016-01-20,5.1,8.5,1.5,0.0,2.5,,,,2.4,,,,,
2016-01-21,5.0,6.5,2.1,2.0,0.0,,,,0.8,,,,,
2016-01-22,7.4,11.4,4.8,0.0,4.0,,,,1.4,,,,,
2016-01-23,7.1,12.6,2.2,0.5,1.1,,,,1.7,,,,,
2016-01-24,0.2,2.6,-1.3,22.5,0.0,,,,2.0,,,,,
2016-01-25,-0.3,4.3,-6.3,0.5,4.5,,,,0.8,,,,,
2016-01-26,3.5,9.3,-0.9,0.0,1.8,,,,0.3,,,,,
2016-01-27,7.7,13.4,1.6,0.0,2.9,,,,0.3,,,,,
2016-01-28,11.8,16.4,5.9,0.5,0.8,,,,0.3,,,,,
2016-01-29,15.7,20.2,13.2,75.0,0.0,,,,0.8,,,,,
2016-01-30,14.1,16.9,8.1,0.5,1.8,,,,0.9,,,,,
2016-01-31,10.9,15.9,4.6,0.0,6.0,,,,1.2,,,,,
2016-02-01,8.4,11.0,7.0,1.0,0.0,,,,1.4,,,,,
2016-02-02,7.1,11.8,5.4,0.0,6.7,,,,1.9,,,,,
2016-02-03,6.8,12.9,0.1,0.0,8.2,,,,1.5,,,,,
2016-02-04,7.5,13.4,1.1,0.0,6.7,,,,1.3,,,,,
2016-02-05,9.1,14.0,4.7,0.0,2.9,,,,1.5,,,,,
2016-02-06,7.2,11.6,3.5,0.0,3.0,,,,2.2,,,,,
2016-02-07,6.1,11.3,1.6,0.0,5.5,,,,1.1,,,,,
2016-02-08,6.4,13.2,0.3,0.0,9.3,,,,1.3,,,,,
2016-02-09,10.8,16.3,3.2,0.0,7.5,,,,1.3,,,,,
2016-02-10,8.4,17.0,2.0,0.0,9.6,,,,0.5,,,,,
2016-02-11,11.2,19.5,2.0,0.0,9.2,,,,0.7,,,,,
2016-02-12,16.0,18.0,13.4,2.0,0.0,,,,0.8,,,,,
2016-02-13,19.4,21.4,16.5,24.5,0.2,,,,1.7,,,,,
2016-02-14,13.2,20.0,8.2,0.5,0.1,,,,2.1,,,,,
2016-02-15,6.0,9.2,1.1,3.0,1.2,,,,2.8,,,,,
2016-02-16,4.2,8.0,0.9,7.0,2.8,,,,1.2,,,,,
2016-02-17,7.1,12.7,2.8,2.0,5.7,,,,1.3,,,,,
2016-02-18,6.9,12.4,2.9,0.0,5.2,,,,0.6,,,,,
2016-02-19,10.6,16.2,3.2,1.5,3.4,,,,0.6,,,,,
2016-02-20,12.8,15.6,10.7,71.0,1.1,,,,1.9,,,,,
2016-02-21,9.3,13.0,6.4,0.0,8.1,,,,2.0,,,,,
2016-02-22,9.0,14.3,3.8,11.0,0.1,,,,0.5,,,,,
2016-02-23,11.2,13.3,9.8,31.5,0.0,,,,2.3,,,,,
2016-02-24,9.1,13.2,5.2,0.0,5.6,,,,2.4,,,,,
2016-02-25,7.1,13.2,2.7,0.0,4.8,,,,1.6,,,,,
2016-02-26,6.8,13.1,1.5,0.0,9.4,,,,1.4,,,,,
2016-02-27,8.8,15.1,2.8,0.0,1.1,,,,0.4,,,,,
2016-02-28,10.7,18.7,4.2,0.0,4.4,,,,0.4,,,,,
2016-02-29,9.6,15.4,5.1,0.0,3.3,,,,2.3,,,,,
2016-03-01,4.7,9.8,0.6,0.0,3.0,,,,1.9,,,,,
2016-03-02,6.5,14.7,-1.1,0.0,10.0,,,,0.8,,,,,
2016-03-03,9.2,16.7,2.1,0.0,7.7,,,,0.4,,,,,
2016-03-04,13.7,21.4,7.5,0.0,9.9,,,,0.6,,,,,
2016-03-05,16.2,21.4,11.1,0.0,6.9,,,,1.0,,,,,
2016-03-06,17.0,20.2,13.1,0.0,0.1,,,,0.5,,,,,
2016-03-07,18.6,25.6,12.6,0.0,9.1,,,,0.9,,,,,
2016-03-08,15.7,23.0,10.1,0.0,9.9,,,,0.5,,,,,
2016-03-09,15.8,20.7,10.3,45.0,5.5,,,,2.1,,,,,
2016-03-10,11.8,17.1,7.2,0.0,0.5,,,,1.5,,,,,
2016-03-11,9.4,15.1,6.1,0.0,4.9,,,,2.0,,,,,
2016-03-12,7.6,14.7,1.3,0.0,10.0,,,,1.0,,,,,
2016-03-13,9.2,13.7,2.4,8.5,1.2,,,,0.5,,,,,
2016-03-14,11.4,16.6,8.6,26.5,6.2,,,,3.0,,,,,
2016-03-15,9.9,16.4,5.3,0.0,10.4,,,,1.7,,,,,
2016-03-16,11.2,18.8,5.0,0.0,3.3,,,,0.5,,,,,
2016-03-17,14.7,22.2,7.0,0.0,10.2,,,,0.7,,,,,
2016-03-18,16.4,20.1,14.0,111.0,0.0,,,,0.7,,,,,
2016-03-19,17.3,21.1,12.9,1.0,1.4,,,,1.0,,,,,
2016-03-20,14.9,21.3,8.4,0.0,10.4,,,,1.5,,,,,
2016-03-21,12.3,18.7,7.0,0.0,8.9,,,,0.9,,,,,
2016-03-22,13.0,21.2,6.1,0.0,10.2,,,,0.6,,,,,
2016-03-23,13.1,15.9,10.1,4.5,0.0,,,,1.1,,,,,
2016-03-24,13.8,18.7,9.7,0.0,7.6,,,,1.8,,,,,
2016-03-25,10.2,13.1,6.2,0.0,0.2,,,,0.7,,,,,
2016-03-26,11.0,18.2,4.2,0.0,10.0,,,,0.9,,,,,
2016-03-27,10.4,16.6,4.5,1.0,8.5,,,,1.0,,,,,
2016-03-28,10.2,18.4,4.1,1.0,10.4,,,,0.9,,,,,
2016-03-29,11.8,19.5,4.6,0.0,6.7,,,,0.6,,,,,
2016-03-30,13.4,17.2,10.5,15.0,0.0,,,,0.2,,,,,
2016-03-31,14.3,15.9,12.1,73.0,0.0,,,,0.6,,,,,
2016-04-01,16.8,21.4,12.6,4.0,4.2,,,,0.9,,,,,
2016-04-02,17.6,23.4,11.0,0.0,6.2,,,,1.0,,,,,
2016-04-03,19.4,24.1,16.8,3.0,0.9,,,,0.6,,,,,
2016-04-04,19.1,21.3,16.6,12.0,0.1,,,,0.9,,,,,
2016-04-05,17.2,22.1,13.5,0.0,3.0,,,,0.9,,,,,
2016-04-06,17.4,22.1,12.0,0.5,0.2,,,,0.7,,,,,
2016-04-07,21.4,24.1,17.9,9.0,0.0,,,,1.9,,,,,
2016-04-08,16.8,19.6,13.3,5.5,0.1,,,,0.5,,,,,
2016-04-09,16.9,21.2,13.0,2.0,0.1,,,,0.4,,,,,
