calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,15.3,19.4,11.5,,6.1,11.96,,,2.2,10.3,1028.2,61,1029.2,3.8
2016-01-02,18.1,22.5,12.4,,4.3,8.87,,,3.1,15.4,1023.0,75,1024.0,8.8
2016-01-03,19.5,21.5,16.9,15.5,0.0,2.06,,,2.3,19.5,1019.0,87,1019.9,9.5
2016-01-04,17.7,21.9,14.6,,2.0,7.32,,,1.8,17.2,1019.6,86,1020.5,8.8
2016-01-05,19.4,24.1,14.6,14.0,2.6,8.65,,,1.8,20.2,1017.8,89,1018.7,7.0
2016-01-06,19.5,22.0,18.5,19.0,0.2,3.87,,,2.9,20.0,1016.1,88,1017.0,10.0
2016-01-07,17.5,19.4,16.6,0.0,1.6,5.56,,,5.2,11.4,1020.2,57,1021.1,8.8
2016-01-08,16.3,17.4,14.2,0.0,0.0,0.95,,,2.7,11.3,1019.7,61,1020.6,10.0
2016-01-09,15.8,18.6,12.4,0.0,2.6,8.83,,,3.1,10.1,1021.7,57,1022.6,8.0
2016-01-10,15.3,19.7,11.8,,2.5,7.61,,,1.7,12.6,1021.4,74,1022.4,9.8
2016-01-11,16.8,20.3,14.4,18.0,0.0,3.12,,,1.1,17.6,1015.5,92,1016.4,10.0
2016-01-12,16.5,18.2,14.8,9.5,0.5,4.69,,,6.2,12.4,1016.8,66,1017.7,10.0
2016-01-13,14.8,15.4,13.9,0.0,0.0,1.12,,,3.1,9.7,1019.5,58,1020.4,10.0
2016-01-14,14.4,16.2,10.8,0.0,0.3,6.34,,,3.3,9.0,1019.2,55,1020.2,10.0
2016-01-15,13.3,17.3,10.3,2.5,0.5,3.30,,,1.5,12.3,1016.9,81,1017.9,9.3
2016-01-16,15.4,20.0,11.9,18.0,5.1,10.29,,,1.7,14.6,1016.8,84,1017.7,7.3
2016-01-17,18.5,20.5,14.8,30.5,0.2,2.22,,,4.0,18.0,1007.8,85,1008.7,9.3
2016-01-18,16.2,18.7,13.8,4.5,1.7,6.58,,,5.0,11.2,1011.6,60,1012.5,9.5
2016-01-19,13.2,14.6,12.3,0.0,1.3,4.32,,,4.8,7.8,1020.4,52,1021.4,9.5
2016-01-20,13.1,14.5,11.1,0.0,0.3,4.47,,,4.2,8.9,1023.8,59,1024.8,10.0
2016-01-21,12.3,14.8,9.9,25.5,0.0,4.26,,,1.2,12.4,1019.6,86,1020.6,9.8
2016-01-22,14.1,16.0,12.6,3.5,0.0,1.55,,,3.4,12.3,1018.7,76,1019.7,10.0
2016-01-23,13.2,14.6,11.1,28.0,0.0,1.07,,,5.3,12.3,1018.6,80,1019.6,10.0
2016-01-24,7.3,11.9,4.4,4.5,0.1,2.15,,0,6.1,6.8,1023.0,67,1024.0,9.5
2016-01-25,9.2,11.9,4.9,8.5,1.4,6.15,,0,5.0,7.4,1027.1,64,1028.1,10.0
2016-01-26,11.5,13.6,8.2,0.0,0.4,3.96,,,2.6,7.4,1028.5,55,1029.5,8.8
