calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,8.4,13.2,4.2,0.0,8.1,,,,1.1,,,,,
2016-01-02,13.1,17.0,8.0,2.5,0.9,,,,1.0,,,,,
2016-01-03,15.0,20.1,11.1,0.5,2.5,,,,0.9,,,,,
2016-01-04,13.7,18.4,10.3,0.0,5.3,,,,1.1,,,,,
2016-01-05,13.1,16.6,9.8,7.0,0.7,,,,2.5,,,,,
2016-01-06,11.8,13.0,9.5,7.5,0.0,,,,1.3,,,,,
2016-01-07,11.5,12.7,10.8,0.0,0.5,,,,3.1,,,,,
2016-01-08,10.5,11.9,8.2,1.5,0.0,,,,2.4,,,,,
2016-01-09,9.8,11.0,7.7,0.0,1.7,,,,1.5,,,,,
2016-01-10,10.3,11.8,7.9,0.0,0.7,,,,1.1,,,,,
2016-01-11,10.4,12.0,8.5,1.0,0.0,,,,1.4,,,,,
2016-01-12,9.5,12.3,7.6,0.0,0.5,,,,2.1,,,,,
2016-01-13,9.2,10.5,7.4,0.5,0.5,,,,2.7,,,,,
2016-01-14,9.6,11.9,6.8,0.0,1.7,,,,2.2,,,,,
2016-01-15,8.8,10.8,6.6,0.0,3.9,,,,1.8,,,,,
2016-01-16,9.2,14.4,4.8,0.0,8.4,,,,1.4,,,,,
2016-01-17,12.0,15.0,7.2,19.5,0.0,,,,2.8,,,,,
2016-01-18,10.4,13.8,5.1,3.0,2.1,,,,4.5,,,,,
2016-01-19,6.4,8.0,3.5,1.5,1.1,,,,4.7,,,,,
2016-01-20,6.2,7.9,4.8,0.0,1.5,,,,2.9,,,,,
2016-01-21,6.2,7.4,5.4,5.5,0.0,,,,1.2,,,,,
2016-01-22,8.1,9.6,5.8,0.0,3.0,,,,1.7,,,,,
2016-01-23,7.2,9.4,2.9,1.0,0.0,,,,2.6,,,,,
2016-01-24,0.8,3.5,-1.5,11.5,0.1,,,,4.7,,,,,
2016-01-25,4.3,7.2,-0.2,5.0,2.2,,,,2.3,,,,,
2016-01-26,8.5,10.8,4.8,0.5,0.5,,,,1.9,,,,,
2016-01-27,10.5,13.2,6.1,0.0,1.2,,,,1.2,,,,,
2016-01-28,14.3,17.9,9.0,2.5,0.0,,,,2.1,,,,,
2016-01-29,16.3,18.1,15.1,76.0,0.0,,,,1.6,,,,,
2016-01-30,13.2,16.4,9.8,0.5,4.2,,,,1.4,,,,,
2016-01-31,11.0,14.0,8.7,0.0,2.1,,,,1.3,,,,,
2016-02-01,8.7,10.4,7.3,1.5,0.0,,,,2.2,,,,,
2016-02-02,7.6,8.4,6.8,0.0,0.3,,,,2.5,,,,,
2016-02-03,7.8,10.1,4.1,0.0,1.3,,,,1.4,,,,,
2016-02-04,8.9,11.6,3.8,0.0,3.3,,,,1.5,,,,,
2016-02-05,9.7,11.4,8.0,0.0,3.0,,,,1.8,,,,,
2016-02-06,8.3,9.7,6.6,0.0,1.6,,,,2.7,,,,,
2016-02-07,6.5,9.3,3.1,0.5,1.7,,,,1.4,,,,,
2016-02-08,7.4,11.6,3.5,3.0,1.7,,,,1.3,,,,,
2016-02-09,12.1,13.6,11.0,0.0,8.2,,,,3.1,,,,,
2016-02-10,9.7,14.5,5.4,0.0,9.4,,,,1.3,,,,,
2016-02-11,12.4,17.5,4.4,0.0,7.5,,,,1.6,,,,,
2016-02-12,16.3,18.3,15.0,3.5,0.0,,,,4.9,,,,,
2016-02-13,18.5,20.1,17.3,6.5,0.0,,,,2.5,,,,,
2016-02-14,11.9,18.1,7.6,2.5,0.0,,,,3.6,,,,,
2016-02-15,6.0,7.6,3.8,2.0,1.7,,,,4.5,,,,,
2016-02-16,7.0,10.1,3.8,5.0,0.1,,,,2.8,,,,,
2016-02-17,8.2,10.3,4.7,2.0,2.7,,,,2.1,,,,,
2016-02-18,8.3,12.7,4.9,0.0,7.8,,,,1.2,,,,,
2016-02-19,11.4,14.8,6.2,1.5,2.4,,,,1.3,,,,,
2016-02-20,12.1,14.1,10.3,48.5,0.3,,,,3.2,,,,,
2016-02-21,8.2,10.9,5.2,0.0,3.9,,,,2.7,,,,,
2016-02-22,9.1,11.3,6.3,14.5,0.0,,,,1.7,,,,,
2016-02-23,10.8,12.2,9.7,12.5,0.0,,,,2.8,,,,,
2016-02-24,8.9,11.1,6.8,0.0,2.7,,,,3.0,,,,,
2016-02-25,7.2,9.0,6.0,0.0,2.3,,,,2.5,,,,,
2016-02-26,7.0,11.0,3.4,0.0,7.3,,,,1.4,,,,,
2016-02-27,9.9,14.5,3.9,0.5,1.1,,,,0.8,,,,,
2016-02-28,13.2,18.4,6.4,0.0,9.9,,,,1.3,,,,,
2016-02-29,8.6,16.3,4.6,0.0,1.1,,,,4.1,,,,,
2016-03-01,5.7,7.3,4.5,0.0,0.3,,,,1.8,,,,,
2016-03-02,8.5,13.1,4.9,0.0,8.3,,,,1.3,,,,,
2016-03-03,11.3,17.2,4.4,0.0,9.4,,,,1.1,,,,,
2016-03-04,17.0,20.6,14.5,0.0,8.8,,,,2.1,,,,,
2016-03-05,18.1,21.6,15.1,0.0,10.2,,,,3.9,,,,,
2016-03-06,18.9,21.8,16.8,2.5,3.0,,,,3.1,,,,,
2016-03-07,17.9,22.2,14.7,0.0,7.9,,,,1.4,,,,,
2016-03-08,16.6,21.0,13.4,0.0,6.9,,,,1.0,,,,,
2016-03-09,14.5,18.5,11.6,70.0,1.1,,,,3.0,,,,,
2016-03-10,11.7,13.0,10.4,0.0,0.0,,,,2.3,,,,,
2016-03-11,9.1,10.6,7.6,0.0,1.0,,,,2.7,,,,,
2016-03-12,8.6,11.8,5.0,0.0,9.2,,,,1.4,,,,,
2016-03-13,9.3,12.6,4.3,11.5,0.3,,,,1.7,,,,,
2016-03-14,11.1,13.6,9.0,7.5,5.2,,,,3.1,,,,,
2016-03-15,10.1,14.3,6.8,0.0,10.7,,,,1.8,,,,,
2016-03-16,11.1,17.2,6.2,1.5,2.7,,,,1.1,,,,,
2016-03-17,16.1,20.4,10.0,0.0,9.5,,,,2.3,,,,,
2016-03-18,16.6,18.6,14.9,34.5,0.0,,,,4.0,,,,,
2016-03-19,16.5,18.1,13.8,0.0,1.3,,,,1.4,,,,,
2016-03-20,13.7,17.2,10.4,0.0,10.9,,,,1.6,,,,,
2016-03-21,12.5,16.1,9.1,0.0,10.9,,,,2.4,,,,,
