calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,11.4,15.5,7.9,0.0,8.0,,,,1.9,,,,,
2016-01-02,16.9,19.7,8.5,13.5,0.0,,,,3.2,,,,,
2016-01-03,17.1,20.0,12.5,32.0,3.2,,,,2.3,,,,,
2016-01-04,15.1,20.1,9.4,0.0,8.2,,,,1.3,,,,,
2016-01-05,16.4,21.7,9.2,10.0,3.0,,,,1.7,,,,,
2016-01-06,16.3,18.5,13.0,58.0,0.0,,,,3.3,,,,,
2016-01-07,13.0,15.3,12.2,0.0,1.1,,,,2.4,,,,,
2016-01-08,12.0,14.5,10.0,2.0,0.5,,,,2.8,,,,,
2016-01-09,11.9,16.3,8.1,0.0,2.6,,,,1.9,,,,,
2016-01-10,13.1,15.7,9.5,0.0,0.5,,,,1.9,,,,,
2016-01-11,13.1,13.8,11.8,36.5,0.0,,,,3.4,,,,,
2016-01-12,11.7,13.5,10.1,6.0,0.4,,,,3.4,,,,,
2016-01-13,10.5,12.4,9.1,1.0,0.3,,,,3.7,,,,,
2016-01-14,11.1,14.7,7.6,0.0,4.4,,,,2.4,,,,,
2016-01-15,10.3,11.6,9.2,9.0,0.0,,,,2.0,,,,,
2016-01-16,12.6,15.8,9.2,2.0,3.6,,,,3.0,,,,,
2016-01-17,15.3,18.2,13.5,73.5,0.0,,,,4.7,,,,,
2016-01-18,12.1,15.4,9.3,3.5,3.1,,,,5.7,,,,,
2016-01-19,8.5,11.2,6.5,0.0,1.3,,,,5.7,,,,,
2016-01-20,8.2,10.9,6.1,0.5,0.8,,,,2.9,,,,,
2016-01-21,9.1,11.2,7.7,18.5,0.0,,,,1.8,,,,,
2016-01-22,9.7,11.5,8.1,5.0,3.1,,,,3.8,,,,,
2016-01-23,8.8,11.3,5.5,9.0,0.2,,,,3.0,,,,,
2016-01-24,2.7,7.0,0.2,4.5,0.6,,,,5.8,,,,,
2016-01-25,4.9,8.6,1.4,10.0,2.5,,,,2.6,,,,,
2016-01-26,8.7,11.5,6.3,1.0,1.2,,,,2.6,,,,,
2016-01-27,10.0,14.5,5.7,0.0,1.5,,,,1.0,,,,,
2016-01-28,15.8,19.8,9.5,2.0,0.3,,,,2.9,,,,,
2016-01-29,18.0,20.7,15.7,11.0,0.0,,,,4.7,,,,,
2016-01-30,14.9,16.7,13.3,8.0,0.2,,,,3.3,,,,,
2016-01-31,13.4,16.2,9.9,0.0,7.8,,,,2.9,,,,,
2016-02-01,10.3,11.8,8.3,12.0,0.0,,,,3.1,,,,,
2016-02-02,8.6,9.4,8.1,0.5,0.0,,,,2.1,,,,,
2016-02-03,9.5,12.7,7.4,0.0,0.3,,,,1.7,,,,,
2016-02-04,10.2,13.2,6.3,0.0,1.0,,,,1.7,,,,,
2016-02-05,9.9,11.1,7.3,5.5,0.0,,,,1.9,,,,,
2016-02-06,8.9,11.2,6.5,6.0,0.5,,,,2.2,,,,,
2016-02-07,8.1,12.7,5.7,8.0,3.4,,,,2.3,,,,,
2016-02-08,8.2,12.3,4.1,37.0,2.0,,,,2.9,,,,,
2016-02-09,12.6,17.2,10.2,0.0,5.5,,,,3.3,,,,,
2016-02-10,11.0,16.7,4.9,0.0,9.9,,,,1.6,,,,,
2016-02-11,13.0,18.6,2.5,0.0,7.4,,,,2.9,,,,,
2016-02-12,16.8,17.9,15.7,4.0,0.0,,,,4.9,,,,,
2016-02-13,19.0,20.5,17.6,70.5,0.0,,,,6.4,,,,,
2016-02-14,13.3,19.6,8.4,27.5,0.0,,,,4.9,,,,,
2016-02-15,7.6,10.3,5.0,10.0,1.6,,,,3.9,,,,,
2016-02-16,7.6,9.6,4.8,10.0,0.9,,,,3.5,,,,,
2016-02-17,10.0,12.9,8.6,1.5,1.9,,,,3.0,,,,,
2016-02-18,11.3,16.9,6.2,0.0,7.8,,,,1.6,,,,,
2016-02-19,13.1,18.1,4.1,2.5,2.5,,,,2.0,,,,,
2016-02-20,15.1,18.0,11.3,35.5,0.9,,,,5.7,,,,,
2016-02-21,9.5,11.6,7.9,0.0,0.5,,,,2.9,,,,,
2016-02-22,12.0,14.4,6.8,34.0,0.0,,,,2.5,,,,,
2016-02-23,14.2,17.3,11.8,149.5,0.0,,,,5.1,,,,,
2016-02-24,10.5,12.6,8.2,0.0,1.5,,,,3.8,,,,,
2016-02-25,8.7,11.3,7.2,0.0,1.3,,,,2.4,,,,,
2016-02-26,8.6,11.7,6.4,0.0,1.4,,,,2.5,,,,,
2016-02-27,11.3,14.9,6.3,1.5,0.0,,,,1.9,,,,,
2016-02-28,13.7,15.1,11.7,22.0,0.0,,,,2.8,,,,,
2016-02-29,11.4,14.4,7.4,0.5,2.9,,,,3.9,,,,,
2016-03-01,7.6,9.1,5.4,0.0,0.0,,,,2.5,,,,,
2016-03-02,9.4,13.9,3.7,0.0,2.1,,,,1.0,,,,,
2016-03-03,11.1,19.0,3.1,0.0,6.2,,,,0.9,,,,,
2016-03-04,15.5,20.0,8.5,0.0,4.4,,,,2.1,,,,,
2016-03-05,17.7,19.9,15.7,0.0,1.8,,,,4.7,,,,,
2016-03-06,18.0,19.2,16.0,47.0,0.8,,,,5.0,,,,,
2016-03-07,18.0,22.4,13.4,0.0,3.9,,,,2.3,,,,,
2016-03-08,17.8,24.1,10.5,0.0,8.6,,,,1.7,,,,,
2016-03-09,16.2,19.5,12.6,22.5,1.0,,,,5.7,,,,,
2016-03-10,12.4,14.2,10.6,1.5,0.0,,,,3.9,,,,,
2016-03-11,9.9,13.6,8.0,0.0,1.0,,,,2.5,,,,,
2016-03-12,9.8,15.7,3.8,0.0,6.5,,,,1.9,,,,,
2016-03-13,12.1,17.1,3.3,18.0,0.1,,,,2.4,,,,,
2016-03-14,13.1,18.4,10.7,70.0,3.5,,,,4.6,,,,,
2016-03-15,11.6,14.5,9.3,0.0,9.3,,,,3.5,,,,,
2016-03-16,14.2,16.6,11.0,0.0,0.6,,,,2.2,,,,,
2016-03-17,17.2,20.2,14.1,0.5,5.5,,,,4.0,,,,,
2016-03-18,17.8,19.5,16.1,40.5,0.0,,,,5.7,,,,,
2016-03-19,17.9,20.8,15.3,6.0,2.5,,,,3.4,,,,,
2016-03-20,15.7,18.8,13.5,0.0,10.7,,,,3.8,,,,,
2016-03-21,14.6,18.8,10.3,0.0,4.9,,,,2.5,,,,,
2016-03-22,13.7,19.3,9.6,0.0,10.4,,,,1.6,,,,,
2016-03-23,15.4,21.8,10.2,11.0,2.1,,,,1.7,,,,,
2016-03-24,14.0,16.9,12.6,3.5,2.4,,,,3.6,,,,,
2016-03-25,11.5,13.1,10.0,39.0,0.0,,,,2.7,,,,,
2016-03-26,13.4,19.1,9.8,0.0,5.9,,,,2.3,,,,,
2016-03-27,11.8,16.0,9.1,0.0,5.5,,,,2.5,,,,,
2016-03-28,12.5,17.6,6.3,0.5,8.7,,,,2.9,,,,,
2016-03-29,13.0,20.2,5.8,0.0,8.3,,,,1.2,,,,,
2016-03-30,14.2,19.7,11.3,4.5,0.2,,,,1.7,,,,,
2016-03-31,16.1,18.7,12.5,17.0,0.0,,,,3.7,,,,,
2016-04-01,17.7,21.6,14.1,2.5,5.2,,,,3.6,,,,,
2016-04-02,18.3,21.6,14.8,0.0,2.8,,,,3.2,,,,,
2016-04-03,18.5,21.4,16.6,7.5,0.7,,,,2.8,,,,,
2016-04-04,18.5,20.6,17.3,10.5,0.0,,,,4.7,,,,,
2016-04-05,17.2,20.1,15.8,0.0,0.6,,,,1.2,,,,,
2016-04-06,18.5,21.0,15.1,0.5,0.0,,,,2.3,,,,,
2016-04-07,21.3,22.6,18.8,1.0,0.0,,,,6.9,,,,,
2016-04-08,16.6,19.0,14.4,11.5,0.0,,,,2.7,,,,,
2016-04-09,16.8,18.2,14.3,64.0,0.0,,,,3.8,,,,,
2016-04-10,16.6,17.6,15.3,96.5,0.0,,,,5.5,,,,,
2016-04-11,18.2,21.9,15.8,1.0,7.1,,,,2.9,,,,,
2016-04-12,18.0,19.4,17.2,2.5,1.9,,,,5.1,,,,,
2016-04-13,19.1,20.6,16.9,35.0,0.0,,,,2.9,,,,,
2016-04-14,19.9,23.0,17.0,1.5,4.9,,,,2.9,,,,,
2016-04-15,19.9,23.4,16.9,0.0,10.3,,,,3.8,,,,,
2016-04-16,19.2,20.5,17.6,12.5,0.0,,,,4.9,,,,,
2016-04-17,17.4,21.4,10.4,20.0,10.5,,,,4.6,,,,,
2016-04-18,13.5,15.4,10.6,6.0,0.0,,,,3.6,,,,,
2016-04-19,15.9,20.3,10.6,0.0,12.1,,,,3.6,,,,,
2016-04-20,16.5,21.4,7.1,0.0,11.6,,,,3.2,,,,,
2016-04-21,21.3,22.8,19.2,45.5,0.0,,,,6.4,,,,,
2016-04-22,18.8,23.5,14.3,2.0,2.6,,,,2.0,,,,,
2016-04-23,18.9,22.2,14.2,98.0,0.1,,,,1.5,,,,,
2016-04-24,21.1,22.6,19.5,49.0,0.0,,,,4.1,,,,,
2016-04-25,21.4,25.0,20.4,21.5,0.1,,,,2.4,,,,,
