calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,12.7,15.9,9.4,0.0,9.0,,,,2.6,,,,,
2016-01-02,16.3,18.4,14.1,84.5,0.0,,,,2.9,,,,,
2016-01-03,19.0,21.7,15.8,9.5,4.0,,,,2.4,,,,,
2016-01-04,17.8,21.5,15.0,0.0,8.1,,,,1.9,,,,,
2016-01-05,18.0,21.7,15.1,29.0,4.3,,,,2.5,,,,,
2016-01-06,16.5,17.7,15.1,18.0,0.0,,,,4.2,,,,,
2016-01-07,14.2,17.3,11.8,0.0,3.5,,,,2.1,,,,,
2016-01-08,13.8,16.4,11.1,0.0,2.8,,,,3.4,,,,,
2016-01-09,13.2,16.7,10.7,0.0,4.5,,,,2.3,,,,,
2016-01-10,13.2,15.5,9.9,0.0,0.1,,,,1.6,,,,,
2016-01-11,13.4,14.4,12.8,11.5,0.0,,,,2.0,,,,,
2016-01-12,13.0,15.5,10.4,4.5,3.1,,,,2.2,,,,,
2016-01-13,11.5,13.3,9.6,2.5,4.2,,,,4.3,,,,,
2016-01-14,12.3,16.2,8.9,0.0,8.1,,,,2.4,,,,,
2016-01-15,10.7,12.4,8.7,0.5,0.0,,,,1.6,,,,,
2016-01-16,12.7,15.6,9.4,0.0,8.7,,,,3.9,,,,,
2016-01-17,15.5,18.2,13.0,39.0,0.0,,,,4.6,,,,,
2016-01-18,13.6,16.9,9.4,1.0,5.0,,,,6.2,,,,,
2016-01-19,8.7,11.7,6.5,6.5,4.9,,,,6.8,,,,,
2016-01-20,9.6,13.6,6.8,0.0,6.2,,,,2.3,,,,,
2016-01-21,9.8,11.8,8.2,6.5,0.0,,,,1.5,,,,,
2016-01-22,11.0,13.8,8.5,2.5,2.3,,,,2.4,,,,,
2016-01-23,10.4,13.7,7.1,2.5,0.9,,,,2.0,,,,,
2016-01-24,3.8,8.2,0.6,10.0,1.9,,,,5.7,,,,,
2016-01-25,5.5,11.1,0.6,2.0,7.6,,,,2.3,,,,,
2016-01-26,9.3,13.9,5.7,0.0,4.7,,,,3.0,,,,,
2016-01-27,11.7,15.2,6.9,0.0,2.5,,,,2.0,,,,,
2016-01-28,16.1,18.6,12.1,0.5,0.5,,,,1.8,,,,,
2016-01-29,18.7,22.4,16.9,15.0,0.7,,,,3.2,,,,,
2016-01-30,16.6,18.6,13.4,8.5,0.0,,,,2.5,,,,,
2016-01-31,15.1,19.2,11.9,0.0,9.7,,,,1.6,,,,,
2016-02-01,11.9,14.1,9.3,7.5,0.0,,,,1.4,,,,,
2016-02-02,9.9,13.3,8.4,0.0,0.8,,,,1.5,,,,,
2016-02-03,10.3,14.7,7.1,0.0,7.0,,,,1.8,,,,,
2016-02-04,11.3,15.7,8.2,0.0,4.0,,,,1.7,,,,,
2016-02-05,11.1,13.9,8.5,4.0,0.0,,,,1.6,,,,,
2016-02-06,10.8,15.5,8.0,0.5,6.8,,,,2.4,,,,,
2016-02-07,9.7,14.5,6.1,0.5,6.2,,,,1.9,,,,,
2016-02-08,10.0,14.2,6.5,1.0,5.7,,,,2.7,,,,,
2016-02-09,13.5,18.3,10.5,0.0,8.4,,,,2.8,,,,,
2016-02-10,13.8,18.2,10.6,0.0,10.2,,,,2.0,,,,,
2016-02-11,15.8,19.0,11.3,0.0,6.7,,,,3.0,,,,,
2016-02-12,17.8,19.1,16.0,14.0,0.0,,,,2.8,,,,,
2016-02-13,19.6,20.8,17.1,92.0,0.0,,,,3.4,,,,,
2016-02-14,16.4,20.9,10.9,7.5,3.7,,,,3.8,,,,,
2016-02-15,9.9,13.2,7.0,0.0,6.8,,,,2.8,,,,,
