calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,6.3,14.7,-0.2,0.0,9.6,,,,1.0,,,,,
2016-01-02,10.6,14.9,5.0,9.0,0.2,,,,0.7,,,,,
2016-01-03,14.3,20.7,11.2,2.5,5.1,,,,0.7,,,,,
2016-01-04,13.2,19.8,8.9,0.0,9.3,,,,1.1,,,,,
2016-01-05,12.3,18.1,9.3,1.5,0.8,,,,0.7,,,,,
2016-01-06,9.8,10.7,8.1,13.5,0.0,,,,0.6,,,,,
2016-01-07,8.4,12.3,5.2,0.0,4.4,,,,1.3,,,,,
2016-01-08,7.9,12.0,4.2,0.0,1.8,,,,1.2,,,,,
2016-01-09,6.9,13.3,2.9,0.0,6.8,,,,1.2,,,,,
2016-01-10,7.0,13.0,1.5,0.0,0.3,,,,1.0,,,,,
2016-01-11,7.7,9.5,6.0,8.0,0.0,,,,0.6,,,,,
2016-01-12,7.5,12.6,4.4,3.5,5.4,,,,1.2,,,,,
2016-01-13,6.3,12.2,2.2,0.0,6.2,,,,1.2,,,,,
2016-01-14,6.3,13.0,1.8,0.0,4.5,,,,1.3,,,,,
2016-01-15,5.8,10.3,1.6,0.0,1.1,,,,0.6,,,,,
2016-01-16,6.5,14.2,0.2,0.0,9.8,,,,1.0,,,,,
2016-01-17,8.4,13.1,2.8,11.0,0.0,,,,1.1,,,,,
2016-01-18,10.1,14.2,4.2,0.5,7.1,,,,2.5,,,,,
2016-01-19,4.9,10.0,1.4,1.0,7.2,,,,2.3,,,,,
2016-01-20,3.6,9.3,0.2,0.5,9.9,,,,1.6,,,,,
2016-01-21,3.1,6.5,-0.3,0.0,0.0,,,,0.9,,,,,
2016-01-22,6.5,12.5,2.9,0.0,4.4,,,,0.9,,,,,
2016-01-23,5.9,12.5,1.6,1.0,2.0,,,,1.3,,,,,
2016-01-24,-1.0,2.1,-3.6,3.0,1.0,,,,2.0,,,,,
2016-01-25,0.2,6.9,-6.1,0.0,9.2,,,,1.3,,,,,
2016-01-26,4.1,9.6,-1.7,0.0,2.4,,,,0.8,,,,,
2016-01-27,7.0,12.7,1.8,0.0,0.8,,,,0.7,,,,,
2016-01-28,11.8,17.2,5.9,0.5,1.8,,,,0.8,,,,,
2016-01-29,15.8,20.1,13.3,35.0,0.0,,,,0.6,,,,,
2016-01-30,13.6,16.0,8.4,1.0,0.2,,,,0.6,,,,,
2016-01-31,9.9,17.3,4.6,0.0,9.9,,,,1.1,,,,,
2016-02-01,7.1,8.7,5.6,4.0,0.0,,,,0.9,,,,,
2016-02-02,6.2,12.3,2.3,0.0,7.6,,,,1.4,,,,,
2016-02-03,6.2,13.8,0.8,0.0,9.9,,,,1.2,,,,,
2016-02-04,7.1,15.1,0.3,0.0,8.9,,,,1.2,,,,,
2016-02-05,7.7,12.9,3.2,0.0,1.8,,,,1.2,,,,,
2016-02-06,5.8,12.0,1.9,0.0,4.6,,,,1.6,,,,,
2016-02-07,5.1,12.7,-0.8,0.0,9.2,,,,1.2,,,,,
2016-02-08,5.7,14.1,-1.2,0.0,9.7,,,,1.3,,,,,
2016-02-09,9.4,16.7,3.7,0.0,9.1,,,,1.8,,,,,
2016-02-10,8.9,19.1,1.0,0.0,10.1,,,,0.9,,,,,
2016-02-11,10.4,18.2,2.7,0.0,8.0,,,,1.0,,,,,
2016-02-12,16.3,18.2,11.5,2.0,0.1,,,,1.8,,,,,
2016-02-13,18.5,20.8,16.6,34.5,0.1,,,,1.5,,,,,
2016-02-14,13.2,18.2,7.6,5.5,3.0,,,,2.2,,,,,
2016-02-15,5.0,8.1,1.3,0.0,3.0,,,,2.4,,,,,
2016-02-16,4.9,11.0,-0.4,0.0,7.1,,,,1.4,,,,,
2016-02-17,7.6,14.2,3.2,0.0,9.5,,,,1.4,,,,,
2016-02-18,7.3,15.0,2.4,0.0,6.9,,,,1.1,,,,,
2016-02-19,10.7,19.4,3.2,0.0,5.5,,,,0.9,,,,,
2016-02-20,12.0,15.9,9.4,81.0,1.1,,,,1.6,,,,,
2016-02-21,8.3,13.9,3.9,0.0,7.1,,,,1.4,,,,,
2016-02-22,7.6,13.4,3.0,7.0,0.0,,,,0.6,,,,,
2016-02-23,9.8,13.1,7.7,28.0,0.0,,,,0.7,,,,,
2016-02-24,8.0,14.4,1.4,0.0,9.5,,,,1.6,,,,,
2016-02-25,5.8,13.9,-0.6,0.0,10.8,,,,1.2,,,,,
2016-02-26,6.7,14.9,1.2,0.0,9.0,,,,1.2,,,,,
2016-02-27,9.0,15.7,2.8,0.0,2.0,,,,0.8,,,,,
2016-02-28,10.8,17.8,3.6,0.0,5.2,,,,1.0,,,,,
2016-02-29,8.7,13.0,2.3,0.0,6.9,,,,2.5,,,,,
2016-03-01,4.2,11.7,-1.9,0.0,10.9,,,,1.5,,,,,
2016-03-02,6.7,15.6,-1.7,0.0,10.9,,,,1.2,,,,,
2016-03-03,10.2,20.0,1.6,0.0,10.2,,,,1.2,,,,,
2016-03-04,12.8,19.9,5.7,0.0,10.3,,,,1.3,,,,,
2016-03-05,16.3,21.3,10.2,0.0,7.6,,,,1.5,,,,,
2016-03-06,17.0,18.1,15.6,8.0,0.0,,,,1.4,,,,,
2016-03-07,16.8,23.1,12.9,0.0,10.2,,,,0.9,,,,,
2016-03-08,16.1,22.5,10.9,0.0,10.3,,,,1.1,,,,,
2016-03-09,15.1,20.0,8.8,44.5,2.2,,,,1.4,,,,,
2016-03-10,10.3,15.2,6.7,0.0,0.1,,,,0.8,,,,,
2016-03-11,9.5,16.4,4.6,0.0,10.8,,,,1.5,,,,,
2016-03-12,8.4,15.0,2.4,0.0,10.9,,,,1.3,,,,,
2016-03-13,9.5,15.7,3.4,8.5,1.4,,,,0.8,,,,,
2016-03-14,10.1,16.0,6.0,18.0,2.9,,,,0.9,,,,,
2016-03-15,8.4,15.9,1.8,0.0,11.1,,,,1.2,,,,,
2016-03-16,11.4,18.6,4.5,0.0,6.4,,,,1.1,,,,,
2016-03-17,14.2,21.3,7.5,0.0,10.0,,,,1.2,,,,,
2016-03-18,16.3,18.7,12.6,77.5,0.0,,,,1.5,,,,,
2016-03-19,17.8,24.3,12.2,0.0,6.2,,,,1.3,,,,,
