calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,3.7,11.9,-3.4,0.0,8.5,,,,0.7,,,,,
2016-01-02,8.7,15.0,1.2,12.0,0.2,,,,0.5,,,,,
2016-01-03,13.5,18.4,9.2,2.0,4.4,,,,0.7,,,,,
2016-01-04,10.0,16.9,4.8,0.0,7.3,,,,1.0,,,,,
2016-01-05,11.9,17.5,7.3,0.0,0.2,,,,1.7,,,,,
2016-01-06,9.8,11.7,8.3,21.0,0.0,,,,0.7,,,,,
2016-01-07,8.7,11.3,5.6,0.0,1.4,,,,2.9,,,,,
2016-01-08,7.9,10.8,3.4,0.0,0.1,,,,2.6,,,,,
2016-01-09,5.4,10.6,0.2,0.0,3.6,,,,1.4,,,,,
2016-01-10,5.9,11.7,-0.4,0.0,0.6,,,,0.8,,,,,
2016-01-11,7.3,9.1,6.1,14.0,0.0,,,,0.4,,,,,
2016-01-12,7.5,10.6,4.9,5.0,2.1,,,,2.2,,,,,
2016-01-13,6.4,8.5,3.1,0.0,0.7,,,,2.9,,,,,
2016-01-14,6.2,10.3,1.2,0.0,3.4,,,,2.1,,,,,
2016-01-15,3.7,8.5,-1.3,0.0,0.0,,,,0.5,,,,,
2016-01-16,5.0,13.8,-1.3,0.0,8.8,,,,0.7,,,,,
2016-01-17,9.2,14.4,-0.2,21.0,0.0,,,,1.4,,,,,
2016-01-18,9.6,13.4,5.1,7.0,1.6,,,,5.3,,,,,
2016-01-19,4.8,7.2,2.8,0.5,0.7,,,,5.4,,,,,
2016-01-20,2.9,6.6,-2.2,0.0,1.4,,,,3.9,,,,,
2016-01-21,2.3,5.4,-2.6,2.5,0.0,,,,0.3,,,,,
2016-01-22,4.9,9.1,2.0,0.0,3.5,,,,0.6,,,,,
2016-01-23,5.3,9.2,2.6,1.5,0.5,,,,2.6,,,,,
2016-01-24,-0.8,2.6,-3.0,9.0,0.0,,,,4.9,,,,,
2016-01-25,-1.8,3.4,-10.4,0.0,4.6,,,,1.3,,,,,
