calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,5.0,11.1,-1.9,0.0,9.7,,,,1.2,,,,,
2016-01-02,9.1,14.2,3.2,6.5,0.6,,,,0.7,,,,,
2016-01-03,12.9,17.5,10.1,0.5,3.8,,,,1.2,,,,,
2016-01-04,11.9,15.2,8.6,0.0,9.2,,,,2.2,,,,,
2016-01-05,10.7,14.9,6.8,2.5,0.8,,,,1.4,,,,,
2016-01-06,8.1,9.9,6.4,18.5,0.0,,,,1.3,,,,,
2016-01-07,6.7,8.7,5.6,0.0,2.9,,,,3.4,,,,,
2016-01-08,5.6,7.4,3.6,0.0,0.1,,,,2.6,,,,,
2016-01-09,4.6,8.3,0.6,0.0,5.5,,,,2.0,,,,,
2016-01-10,5.2,9.2,-0.3,0.0,0.9,,,,1.3,,,,,
2016-01-11,5.7,8.1,3.8,6.5,0.0,,,,0.6,,,,,
2016-01-12,5.5,7.7,3.7,2.5,3.8,,,,3.1,,,,,
2016-01-13,3.9,6.0,1.6,0.0,2.1,,,,3.0,,,,,
2016-01-14,4.2,7.9,1.5,0.0,5.0,,,,2.3,,,,,
2016-01-15,4.0,6.7,1.4,0.0,0.0,,,,1.6,,,,,
2016-01-16,4.9,11.9,-0.4,0.0,9.7,,,,1.2,,,,,
2016-01-17,6.3,11.3,0.6,16.5,0.0,,,,1.4,,,,,
2016-01-18,7.1,11.8,2.7,1.5,2.3,,,,5.6,,,,,
2016-01-19,1.8,5.0,0.1,2.5,1.0,,,,4.5,,,,,
2016-01-20,1.0,3.7,-0.6,0.0,4.7,,,,4.1,,,,,
2016-01-21,2.0,4.0,-0.2,0.5,0.0,,,,1.7,,,,,
2016-01-22,4.0,7.9,0.9,0.0,4.0,,,,2.0,,,,,
2016-01-23,3.7,8.5,-0.4,0.0,1.7,,,,3.2,,,,,
2016-01-24,-3.8,-0.3,-5.5,11.0,0.1,,,,4.3,,,,,
2016-01-25,-2.0,1.2,-8.3,0.0,3.8,,,,2.3,,,,,
2016-01-26,3.0,5.2,-0.3,0.0,1.6,,,,1.9,,,,,
2016-01-27,4.7,9.2,-0.6,0.0,1.0,,,,0.8,,,,,
2016-01-28,9.2,15.4,3.5,1.0,0.6,,,,0.6,,,,,
2016-01-29,13.7,18.1,10.9,56.0,0.0,,,,1.8,,,,,
2016-01-30,11.4,13.8,8.2,2.5,0.8,,,,2.2,,,,,
2016-01-31,8.0,12.3,2.9,0.0,9.7,,,,1.9,,,,,
2016-02-01,5.1,6.2,3.1,2.0,0.0,,,,2.6,,,,,
2016-02-02,3.7,7.2,1.7,0.0,7.6,,,,3.4,,,,,
2016-02-03,4.6,8.7,1.6,0.0,10.0,,,,3.6,,,,,
2016-02-04,5.2,9.5,1.9,0.0,9.1,,,,3.3,,,,,
2016-02-05,5.9,10.3,3.2,0.0,3.9,,,,3.4,,,,,
2016-02-06,4.0,6.7,1.3,0.0,4.4,,,,4.8,,,,,
2016-02-07,3.1,7.8,-1.0,0.0,8.7,,,,2.2,,,,,
2016-02-08,4.9,9.0,0.2,0.0,8.5,,,,2.7,,,,,
2016-02-09,8.4,11.8,5.6,0.0,8.9,,,,4.5,,,,,
2016-02-10,7.1,14.1,1.3,0.0,10.3,,,,1.6,,,,,
2016-02-11,8.8,15.9,1.8,0.0,7.7,,,,1.7,,,,,
2016-02-12,12.2,14.5,9.2,4.5,0.0,,,,1.9,,,,,
2016-02-13,16.5,18.9,13.1,30.5,0.0,,,,2.5,,,,,
2016-02-14,9.6,17.2,4.3,2.5,0.9,,,,5.8,,,,,
2016-02-15,2.0,4.3,-0.6,0.0,2.3,,,,6.8,,,,,
2016-02-16,2.0,4.9,-0.9,0.0,3.8,,,,3.8,,,,,
2016-02-17,4.5,8.3,0.8,0.5,8.0,,,,3.5,,,,,
2016-02-18,5.1,10.4,1.0,0.0,6.8,,,,1.6,,,,,
2016-02-19,8.6,15.4,2.6,1.0,4.6,,,,1.1,,,,,
2016-02-20,9.1,11.9,7.0,64.5,1.7,,,,3.7,,,,,
2016-02-21,5.5,8.5,2.1,0.0,5.4,,,,3.7,,,,,
2016-02-22,5.6,9.6,1.0,9.0,0.5,,,,1.1,,,,,
2016-02-23,7.8,11.1,4.8,22.5,0.0,,,,2.1,,,,,
2016-02-24,5.6,9.4,1.5,0.0,8.0,,,,3.9,,,,,
2016-02-25,3.5,7.9,0.2,0.0,9.2,,,,3.2,,,,,
2016-02-26,4.0,9.9,-0.1,0.0,9.4,,,,2.5,,,,,
2016-02-27,6.8,13.6,0.6,0.0,1.9,,,,0.8,,,,,
2016-02-28,9.2,16.4,2.4,0.0,6.5,,,,1.0,,,,,
2016-02-29,5.8,12.2,0.2,0.0,3.1,,,,5.7,,,,,
2016-03-01,1.4,6.3,-2.3,0.0,10.7,,,,3.5,,,,,
2016-03-02,5.7,12.5,0.3,0.0,10.8,,,,2.7,,,,,
2016-03-03,9.3,15.4,3.6,0.0,10.2,,,,1.7,,,,,
2016-03-04,11.3,18.7,4.3,0.0,10.2,,,,1.6,,,,,
2016-03-05,13.9,18.3,9.3,0.0,4.2,,,,2.8,,,,,
2016-03-06,14.9,16.3,14.2,3.5,0.1,,,,2.2,,,,,
2016-03-07,16.7,22.1,12.2,0.0,9.3,,,,1.5,,,,,
2016-03-08,15.7,22.6,9.6,0.0,10.1,,,,1.1,,,,,
2016-03-09,12.0,18.2,6.5,44.5,1.6,,,,2.6,,,,,
2016-03-10,8.0,10.7,4.0,0.0,0.0,,,,2.4,,,,,
2016-03-11,6.4,10.6,3.5,0.0,9.8,,,,3.9,,,,,
2016-03-12,5.2,11.4,1.4,0.0,11.2,,,,2.6,,,,,
2016-03-13,7.2,12.3,1.3,9.5,0.8,,,,1.0,,,,,
2016-03-14,8.0,12.0,4.6,29.0,5.5,,,,3.3,,,,,
2016-03-15,7.1,13.7,2.2,0.0,11.2,,,,1.6,,,,,
2016-03-16,9.1,16.2,2.5,0.5,5.4,,,,1.3,,,,,
2016-03-17,12.0,18.7,5.0,0.0,9.2,,,,1.7,,,,,
2016-03-18,13.7,17.2,10.8,99.0,0.0,,,,1.7,,,,,
2016-03-19,14.8,18.5,11.6,4.0,2.1,,,,3.0,,,,,
2016-03-20,12.4,18.8,6.2,0.0,11.2,,,,1.5,,,,,
2016-03-21,10.4,16.4,4.8,0.0,10.2,,,,1.0,,,,,
2016-03-22,11.3,17.7,4.4,0.0,10.2,,,,1.4,,,,,
2016-03-23,11.0,16.2,8.1,6.0,0.0,,,,1.1,,,,,
2016-03-24,10.0,16.2,5.6,0.0,6.7,,,,2.1,,,,,
2016-03-25,6.6,11.9,3.0,0.0,0.6,,,,1.2,,,,,
2016-03-26,8.6,14.6,1.7,0.0,11.2,,,,1.6,,,,,
2016-03-27,8.0,12.2,2.2,0.0,9.5,,,,2.9,,,,,
2016-03-28,8.8,14.5,3.7,0.0,11.4,,,,2.5,,,,,
2016-03-29,10.6,16.1,3.5,0.0,7.0,,,,1.5,,,,,
2016-03-30,11.9,15.2,9.5,2.5,0.2,,,,0.9,,,,,
2016-03-31,11.6,12.4,10.2,48.5,0.0,,,,1.2,,,,,
2016-04-01,14.0,17.5,10.8,3.0,6.1,,,,2.1,,,,,
2016-04-02,15.5,19.5,11.8,0.0,2.7,,,,1.8,,,,,
2016-04-03,16.4,20.5,13.8,2.0,0.3,,,,1.7,,,,,
2016-04-04,15.9,17.9,14.5,12.0,0.0,,,,2.1,,,,,
2016-04-05,14.1,18.0,10.5,0.0,3.1,,,,2.0,,,,,
2016-04-06,14.4,18.6,9.7,1.0,0.5,,,,1.4,,,,,
2016-04-07,18.6,21.2,14.0,24.5,0.0,,,,4.1,,,,,
2016-04-08,14.5,17.0,12.0,4.5,0.4,,,,1.7,,,,,
2016-04-09,14.9,18.9,11.4,0.0,0.0,,,,1.5,,,,,
2016-04-10,13.8,15.8,12.5,10.0,0.2,,,,1.1,,,,,
2016-04-11,15.4,21.4,12.1,0.0,3.8,,,,1.9,,,,,
2016-04-12,12.4,17.0,8.7,0.0,0.9,,,,2.1,,,,,
2016-04-13,13.6,16.0,10.6,3.0,0.0,,,,1.0,,,,,
2016-04-14,19.3,24.1,15.5,0.0,10.4,,,,2.9,,,,,
2016-04-15,16.6,23.6,10.2,0.0,10.9,,,,1.6,,,,,
2016-04-16,14.8,19.3,9.3,9.0,4.1,,,,3.3,,,,,
2016-04-17,15.8,19.9,10.8,30.5,11.3,,,,4.1,,,,,
2016-04-18,11.2,12.6,10.1,0.5,0.0,,,,2.6,,,,,
2016-04-19,14.2,20.1,9.3,0.0,12.1,,,,2.8,,,,,
2016-04-20,15.2,21.2,8.4,0.0,9.9,,,,2.0,,,,,
2016-04-21,18.0,21.5,14.2,72.0,0.0,,,,3.4,,,,,
2016-04-22,17.2,23.1,12.6,0.0,9.5,,,,2.1,,,,,
2016-04-23,12.6,17.5,10.7,10.0,0.2,,,,1.0,,,,,
2016-04-24,12.2,13.1,10.9,49.0,0.0,,,,1.4,,,,,
2016-04-25,14.4,15.3,13.0,30.5,0.0,,,,1.8,,,,,
2016-04-26,16.6,18.0,15.3,13.5,0.0,,,,2.1,,,,,
2016-04-27,17.1,19.0,15.8,29.5,0.0,,,,1.8,,,,,
2016-04-28,14.9,16.7,12.1,1.5,0.2,,,,3.3,,,,,
2016-04-29,14.7,20.2,9.4,0.0,12.2,,,,2.8,,,,,
2016-04-30,15.6,22.5,7.4,0.0,11.9,,,,1.4,,,,,
2016-05-01,17.3,24.1,10.1,0.0,11.7,,,,1.4,,,,,
2016-05-02,17.7,24.6,12.4,0.0,10.7,,,,1.8,,,,,
2016-05-03,16.8,21.0,13.0,33.0,0.0,,,,4.0,,,,,
2016-05-04,16.8,21.3,12.1,0.0,11.7,,,,3.4,,,,,
2016-05-05,18.8,25.4,13.9,0.0,8.1,,,,1.5,,,,,
2016-05-06,15.8,16.9,13.6,36.0,0.0,,,,1.1,,,,,
2016-05-07,19.6,25.1,16.6,3.0,5.4,,,,1.4,,,,,
2016-05-08,16.0,17.5,15.2,37.5,0.0,,,,0.9,,,,,
2016-05-09,19.2,22.1,15.4,62.0,0.3,,,,1.6,,,,,
2016-05-10,20.6,22.9,16.3,116.5,0.0,,,,3.1,,,,,
2016-05-11,16.5,21.0,12.1,1.5,4.7,,,,2.7,,,,,
2016-05-12,17.4,24.5,11.0,0.0,10.8,,,,1.3,,,,,
2016-05-13,18.4,25.3,12.0,0.0,11.5,,,,1.2,,,,,
2016-05-14,19.1,24.4,14.2,0.0,1.9,,,,1.7,,,,,
2016-05-15,19.4,21.4,17.6,5.5,0.0,,,,1.4,,,,,
2016-05-16,17.6,23.4,11.4,22.5,0.3,,,,2.2,,,,,
2016-05-17,16.0,23.6,9.2,0.0,12.0,,,,1.6,,,,,
2016-05-18,18.1,25.1,10.1,0.0,11.5,,,,1.3,,,,,
2016-05-19,19.2,24.0,14.9,0.0,6.4,,,,2.9,,,,,
2016-05-20,19.3,24.0,15.2,0.0,8.9,,,,3.0,,,,,
2016-05-21,19.5,24.3,15.8,0.0,4.6,,,,2.4,,,,,
2016-05-22,19.9,26.0,14.4,0.0,7.1,,,,2.4,,,,,
2016-05-23,20.3,25.7,16.4,0.0,6.9,,,,3.2,,,,,
2016-05-24,20.0,23.0,17.1,4.0,0.7,,,,2.6,,,,,
2016-05-25,22.1,24.2,20.6,5.0,0.1,,,,0.9,,,,,
2016-05-26,22.9,28.2,19.1,0.5,6.9,,,,1.4,,,,,
2016-05-27,21.2,26.3,17.3,3.0,0.9,,,,1.3,,,,,
2016-05-28,18.5,19.7,16.9,40.0,0.0,,,,1.0,,,,,
2016-05-29,20.3,22.2,18.1,21.5,0.0,,,,0.9,,,,,
2016-05-30,21.0,27.2,16.7,0.0,8.7,,,,2.2,,,,,
2016-05-31,22.1,28.3,16.0,0.0,11.2,,,,1.2,,,,,
2016-06-01,17.6,21.3,13.6,1.0,0.0,,,,1.0,,,,,
2016-06-02,19.1,26.9,12.3,0.0,11.8,,,,1.4,,,,,
2016-06-03,19.3,24.7,13.5,0.0,6.6,,,,1.8,,,,,
2016-06-04,17.1,18.3,16.0,24.0,0.0,,,,2.0,,,,,
2016-06-05,18.8,20.6,17.5,5.0,0.0,,,,1.3,,,,,
2016-06-06,19.8,22.9,17.6,0.0,0.0,,,,1.8,,,,,
2016-06-07,22.3,27.8,18.9,0.0,8.5,,,,1.2,,,,,
2016-06-08,22.3,26.5,19.3,0.0,2.2,,,,1.1,,,,,
2016-06-09,22.6,28.9,19.0,0.0,4.0,,,,0.9,,,,,
2016-06-10,23.2,28.0,18.4,0.0,8.2,,,,1.5,,,,,
2016-06-11,22.5,26.4,20.4,0.5,1.4,,,,2.0,,,,,
2016-06-12,22.0,24.0,20.6,44.0,0.0,,,,1.3,,,,,
2016-06-13,21.4,22.8,20.3,52.5,0.0,,,,1.2,,,,,
2016-06-14,22.6,27.9,19.4,0.5,3.2,,,,0.8,,,,,
2016-06-15,22.2,26.4,17.7,0.5,1.7,,,,1.4,,,,,
2016-06-16,21.4,24.1,19.1,110.5,0.0,,,,2.1,,,,,
2016-06-17,20.2,23.2,18.4,0.5,0.4,,,,1.6,,,,,
2016-06-18,22.8,29.0,17.6,0.0,7.0,,,,1.0,,,,,
2016-06-19,22.9,24.9,20.2,252.0,0.0,,,,2.0,,,,,
2016-06-20,24.4,26.9,22.9,25.5,0.3,,,,2.7,,,,,
2016-06-21,23.9,25.0,21.7,78.0,0.1,,,,2.8,,,,,
2016-06-22,25.4,28.7,24.0,5.0,2.9,,,,2.7,,,,,
2016-06-23,24.4,27.7,22.8,11.5,3.1,,,,2.4,,,,,
2016-06-24,25.6,27.9,23.8,1.5,1.1,,,,2.7,,,,,
2016-06-25,20.3,25.4,16.8,2.5,0.2,,,,3.1,,,,,
2016-06-26,20.8,26.1,16.5,0.0,12.4,,,,2.8,,,,,
2016-06-27,18.3,23.8,16.2,92.0,0.2,,,,1.5,,,,,
2016-06-28,24.1,25.2,22.5,131.5,0.0,,,,2.4,,,,,
2016-06-29,22.6,25.0,20.4,150.0,0.3,,,,1.4,,,,,
2016-06-30,22.1,24.3,19.5,98.0,0.6,,,,1.1,,,,,
2016-07-01,24.3,29.7,19.6,0.5,3.1,,,,1.0,,,,,
2016-07-02,25.7,29.8,20.5,0.0,5.1,,,,1.9,,,,,
2016-07-03,26.2,30.2,22.7,26.0,6.7,,,,1.7,,,,,
2016-07-04,26.4,31.4,21.9,0.0,9.6,,,,1.1,,,,,
2016-07-05,25.9,31.1,21.4,0.0,8.6,,,,1.2,,,,,
2016-07-06,25.8,31.5,22.2,0.0,10.8,,,,1.7,,,,,
2016-07-07,24.1,29.5,20.4,4.5,3.1,,,,1.6,,,,,
2016-07-08,22.0,23.6,20.6,197.5,0.0,,,,1.8,,,,,
2016-07-09,23.7,26.4,22.1,59.0,0.0,,,,1.0,,,,,
2016-07-10,24.1,27.7,23.0,91.5,0.6,,,,1.3,,,,,
2016-07-11,25.0,26.5,23.9,58.5,0.2,,,,2.0,,,,,
2016-07-12,26.1,29.8,23.8,24.0,3.5,,,,3.2,,,,,
2016-07-13,25.5,27.2,23.9,52.0,0.3,,,,3.2,,,,,
2016-07-14,24.5,25.8,22.9,86.0,0.0,,,,2.9,,,,,
2016-07-15,25.1,30.3,20.7,0.0,12.6,,,,1.6,,,,,
2016-07-16,25.0,28.5,22.1,7.5,0.8,,,,1.5,,,,,
2016-07-17,26.3,30.1,24.0,7.0,4.5,,,,2.1,,,,,
2016-07-18,26.4,31.0,22.0,0.0,10.3,,,,1.4,,,,,
2016-07-19,26.5,31.8,22.1,0.0,8.4,,,,1.1,,,,,
2016-07-20,24.7,31.1,20.9,74.5,3.2,,,,1.2,,,,,
2016-07-21,26.0,32.1,21.4,0.0,10.5,,,,0.9,,,,,
2016-07-22,26.4,31.6,21.5,0.0,11.4,,,,1.2,,,,,
2016-07-23,25.9,31.0,22.7,0.0,4.3,,,,1.3,,,,,
2016-07-24,24.4,28.2,22.0,9.0,1.9,,,,1.5,,,,,
2016-07-25,25.1,29.9,22.0,0.0,7.6,,,,1.7,,,,,
2016-07-26,24.8,29.7,21.0,0.0,9.9,,,,1.3,,,,,
2016-07-27,25.3,31.6,20.5,0.0,11.8,,,,1.1,,,,,
2016-07-28,25.2,30.8,21.6,0.0,3.7,,,,1.5,,,,,
2016-07-29,25.2,30.5,21.6,0.0,7.3,,,,1.5,,,,,
2016-07-30,25.5,30.8,21.5,0.0,8.0,,,,1.5,,,,,
2016-07-31,25.6,30.8,21.8,0.0,8.5,,,,1.6,,,,,
2016-08-01,26.5,34.4,21.3,4.5,8.4,,,,1.2,,,,,
2016-08-02,26.4,33.3,22.6,3.0,7.6,,,,1.6,,,,,
2016-08-03,25.6,31.2,22.3,0.0,6.6,,,,0.8,,,,,
2016-08-04,24.9,30.6,22.3,0.0,3.1,,,,0.8,,,,,
2016-08-05,25.3,31.1,22.4,2.5,6.2,,,,1.3,,,,,
