calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,10.9,16.3,6.6,0.0,5.7,,,,1.6,,,,,
2016-01-02,14.9,17.4,11.3,35.0,0.2,,,,1.6,,,,,
2016-01-03,17.6,20.1,16.1,7.5,3.3,,,,2.3,,,,,
2016-01-04,15.9,18.3,13.7,0.0,6.2,,,,2.6,,,,,
2016-01-05,15.8,20.8,13.0,7.5,5.1,,,,1.3,,,,,
2016-01-06,14.3,16.0,12.2,18.5,0.0,,,,1.4,,,,,
2016-01-07,12.4,13.4,11.5,0.0,1.0,,,,3.9,,,,,
2016-01-08,12.0,15.0,9.9,2.0,1.1,,,,4.2,,,,,
2016-01-09,10.1,11.6,9.0,0.0,0.0,,,,1.5,,,,,
2016-01-10,10.6,13.0,8.3,0.0,0.0,,,,0.8,,,,,
2016-01-11,11.0,12.2,9.6,13.5,0.0,,,,1.5,,,,,
2016-01-12,10.6,13.1,8.8,6.5,3.4,,,,4.1,,,,,
2016-01-13,9.3,10.2,8.4,18.5,0.2,,,,3.8,,,,,
2016-01-14,9.9,11.9,6.9,0.0,1.0,,,,2.8,,,,,
2016-01-15,8.7,10.5,7.6,0.0,0.0,,,,1.1,,,,,
2016-01-16,10.7,14.6,8.6,0.0,8.5,,,,1.3,,,,,
2016-01-17,13.7,17.3,9.1,32.0,0.0,,,,2.3,,,,,
2016-01-18,12.4,16.4,8.1,2.0,3.3,,,,7.9,,,,,
2016-01-19,7.4,9.1,5.9,6.5,1.0,,,,7.4,,,,,
2016-01-20,6.9,9.3,4.9,1.0,1.2,,,,4.8,,,,,
2016-01-21,7.4,9.2,5.9,7.5,0.0,,,,1.6,,,,,
2016-01-22,8.7,12.5,6.2,3.5,2.4,,,,1.7,,,,,
2016-01-23,8.2,9.9,5.0,6.0,0.0,,,,3.3,,,,,
2016-01-24,2.6,6.0,-0.3,15.5,0.9,,,,7.1,,,,,
2016-01-25,3.5,6.6,-0.2,7.5,3.4,,,,3.4,,,,,
2016-01-26,8.2,11.9,4.9,8.0,3.3,,,,3.0,,,,,
2016-01-27,10.7,13.4,8.3,0.0,1.8,,,,1.8,,,,,
2016-01-28,15.1,18.7,10.0,0.0,3.4,,,,1.9,,,,,
2016-01-29,17.2,20.0,15.3,14.0,0.0,,,,4.2,,,,,
2016-01-30,14.5,17.2,12.7,4.5,0.0,,,,4.0,,,,,
2016-01-31,12.4,15.6,9.9,0.0,9.8,,,,2.7,,,,,
2016-02-01,9.4,11.3,7.5,8.5,0.1,,,,2.8,,,,,
2016-02-02,7.9,10.3,6.4,0.0,1.5,,,,3.9,,,,,
2016-02-03,8.6,11.4,6.5,0.0,8.8,,,,3.9,,,,,
2016-02-04,9.3,11.6,7.3,0.0,6.4,,,,4.2,,,,,
2016-02-05,9.0,10.0,7.7,3.5,0.0,,,,3.4,,,,,
2016-02-06,8.3,10.7,6.3,0.0,4.9,,,,4.2,,,,,
2016-02-07,7.5,11.2,5.9,1.0,5.8,,,,2.9,,,,,
2016-02-08,8.6,11.4,5.6,0.0,6.7,,,,2.8,,,,,
2016-02-09,12.1,15.2,10.2,0.0,7.7,,,,5.2,,,,,
2016-02-10,11.5,15.2,8.6,0.0,10.2,,,,2.0,,,,,
2016-02-11,13.7,20.2,9.1,0.0,7.8,,,,1.6,,,,,
2016-02-12,16.2,17.7,14.5,2.0,0.0,,,,3.1,,,,,
2016-02-13,18.5,19.8,16.0,77.5,0.1,,,,4.7,,,,,
2016-02-14,13.9,19.4,8.9,6.5,4.0,,,,7.1,,,,,
2016-02-15,6.8,9.5,4.0,4.0,0.9,,,,6.8,,,,,
2016-02-16,7.1,10.2,4.1,3.5,0.5,,,,3.6,,,,,
2016-02-17,9.6,11.7,7.4,0.0,4.9,,,,4.3,,,,,
2016-02-18,10.2,15.7,6.7,0.0,8.2,,,,1.3,,,,,
2016-02-19,13.5,18.1,9.1,1.0,6.1,,,,1.4,,,,,
2016-02-20,14.3,17.7,11.4,32.0,1.0,,,,5.9,,,,,
2016-02-21,9.0,11.5,6.8,0.0,5.9,,,,4.7,,,,,
2016-02-22,11.0,16.1,6.7,2.0,0.2,,,,1.4,,,,,
2016-02-23,12.1,14.2,10.2,35.0,0.0,,,,1.9,,,,,
2016-02-24,9.3,11.6,7.2,0.0,3.4,,,,5.3,,,,,
2016-02-25,7.7,10.3,6.1,0.0,5.9,,,,4.6,,,,,
2016-02-26,7.9,11.7,5.4,0.0,3.9,,,,2.9,,,,,
2016-02-27,10.9,14.9,7.3,1.0,0.0,,,,0.9,,,,,
2016-02-28,13.5,18.2,9.6,0.0,1.1,,,,1.0,,,,,
2016-02-29,10.4,14.6,6.4,1.0,3.6,,,,5.6,,,,,
2016-03-01,6.1,8.6,4.3,0.0,2.5,,,,3.7,,,,,
2016-03-02,8.8,12.6,4.7,0.0,9.9,,,,2.3,,,,,
2016-03-03,13.0,18.8,8.5,0.0,8.3,,,,0.9,,,,,
2016-03-04,15.5,21.0,12.0,0.0,8.8,,,,1.4,,,,,
2016-03-05,17.2,21.0,14.3,0.0,6.7,,,,2.6,,,,,
2016-03-06,17.2,17.8,16.3,20.5,0.0,,,,2.0,,,,,
2016-03-07,17.9,23.6,15.2,0.0,9.3,,,,1.6,,,,,
2016-03-08,18.2,23.1,15.1,0.0,9.8,,,,2.1,,,,,
2016-03-09,16.3,19.3,12.3,9.5,2.5,,,,4.9,,,,,
2016-03-10,12.2,13.6,10.3,0.5,0.0,,,,2.6,,,,,
2016-03-11,10.3,13.1,8.0,0.0,5.8,,,,4.3,,,,,
2016-03-12,9.7,13.4,7.2,0.0,10.4,,,,3.3,,,,,
