calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,11.5,15.3,8.7,0.0,6.2,,,,3.8,8.5,1025.7,63,1030.4,
2016-01-02,14.5,17.6,9.6,13.0,0.0,,,,2.6,13.7,1019.7,82,1024.3,
2016-01-03,18.1,21.5,15.2,1.0,2.3,,,,4.4,16.6,1014.2,80,1018.7,
2016-01-04,17.0,21.1,12.7,,7.0,,,,5.4,12.9,1015.5,67,1020.0,
2016-01-05,16.8,20.1,12.4,32.0,4.4,,,,3.7,14.6,1015.0,76,1019.5,
2016-01-06,16.3,18.0,13.2,29.5,0.0,,,,6.4,16.2,1013.1,87,1017.6,
2016-01-07,13.9,15.7,13.0,0.0,0.9,,,,7.3,8.8,1015.7,55,1020.3,
2016-01-08,12.8,16.3,10.9,2.0,1.9,,,,4.5,9.4,1015.3,64,1019.9,
2016-01-09,12.1,14.1,10.6,0.0,1.5,,,,4.8,9.3,1018.2,66,1022.8,
2016-01-10,12.6,15.8,9.5,0.0,0.2,,,,3.3,9.7,1018.7,66,1023.3,
2016-01-11,12.5,14.0,11.0,23.0,0.0,,,,4.9,12.9,1014.5,89,1019.1,
2016-01-12,11.9,14.3,10.2,7.0,0.5,,,,8.6,9.6,1012.7,69,1017.3,
2016-01-13,10.0,11.9,8.6,11.5,0.8,,,,4.0,9.6,1014.3,79,1018.9,
2016-01-14,11.8,14.3,9.1,0.0,1.3,,,,5.3,8.0,1014.9,58,1019.5,
2016-01-15,10.3,12.0,9.3,1.5,0.0,,,,3.5,9.0,1014.7,72,1019.3,
2016-01-16,11.3,15.0,7.6,0.0,2.4,,,,4.2,8.4,1015.4,64,1020.1,
2016-01-17,15.3,17.5,7.6,45.0,0.0,,,,5.6,13.7,1005.7,78,1010.2,
2016-01-18,13.1,16.9,8.4,9.5,2.7,,,,11.3,9.9,1004.0,65,1008.6,
2016-01-19,8.0,10.7,6.3,17.5,3.4,,,,10.3,7.3,1013.2,68,1017.9,
2016-01-20,8.4,10.6,5.9,1.5,2.0,,,,9.5,6.7,1019.0,61,1023.7,
2016-01-21,9.0,10.4,7.5,18.5,0.0,,,,5.1,8.8,1017.5,77,1022.2,
2016-01-22,10.1,12.9,7.5,2.0,2.4,,,,5.6,8.1,1017.0,66,1021.6,
2016-01-23,9.3,11.3,5.8,13.5,0.0,,,,6.7,9.2,1015.4,78,1020.0,
2016-01-24,3.5,6.4,1.0,26.5,2.1,,,,9.3,6.1,1014.8,78,1019.6,
2016-01-25,5.0,8.3,1.3,19.0,3.7,,,,7.5,6.4,1022.5,74,1027.2,
2016-01-26,9.4,13.7,5.7,5.5,3.6,,,,4.1,7.4,1023.3,63,1028.0,
2016-01-27,11.1,14.6,8.2,0.0,2.0,,,,2.9,8.1,1025.5,61,1030.2,
2016-01-28,15.8,19.5,8.9,0.0,3.5,,,,4.6,12.7,1021.7,71,1026.2,
2016-01-29,18.4,22.4,16.1,41.5,0.0,,,,6.0,19.1,1012.8,90,1017.3,
2016-01-30,15.4,18.0,13.4,8.0,0.0,,,,6.3,14.1,1013.1,80,1017.7,
2016-01-31,13.6,16.4,11.2,0.0,6.1,,,,5.1,9.4,1019.1,61,1023.7,
2016-02-01,10.4,13.2,8.1,15.0,0.0,,,,6.4,10.3,1017.7,82,1022.3,
2016-02-02,9.3,10.6,8.1,0.5,0.0,,,,7.7,7.0,1016.7,60,1021.4,
2016-02-03,10.1,13.2,8.8,,4.0,,,,7.5,7.0,1018.9,57,1023.6,
2016-02-04,10.3,13.7,7.7,,4.2,,,,6.3,7.1,1018.9,57,1023.5,
2016-02-05,10.3,11.6,8.5,5.0,0.0,,,,6.6,8.0,1014.9,64,1019.5,
2016-02-06,10.1,12.2,7.6,0.5,0.4,,,,9.7,7.4,1013.1,60,1017.7,
2016-02-07,8.1,12.5,6.1,4.0,2.5,,,,6.6,7.5,1014.8,70,1019.5,
2016-02-08,7.6,11.4,5.4,5.0,2.8,,,,4.3,7.9,1015.7,76,1020.4,
2016-02-09,12.0,17.2,5.3,,6.9,,,,6.7,7.0,1016.8,51,1021.4,
2016-02-10,12.3,16.7,7.9,,9.1,,,,4.3,7.5,1020.4,53,1025.1,
2016-02-11,14.6,19.5,7.9,,6.5,,,,3.9,9.3,1022.0,56,1026.5,
2016-02-12,17.5,19.0,16.3,7.5,0.0,,,,7.4,14.3,1018.4,71,1022.9,
2016-02-13,19.3,20.9,16.9,161.0,0.3,,,,8.4,21.0,1009.3,94,1013.8,
2016-02-14,14.9,21.4,9.7,17.0,3.4,,,,9.9,13.3,1007.3,77,1011.9,
2016-02-15,8.4,10.3,6.2,1.5,0.9,,,,10.8,7.4,1012.1,67,1016.7,
2016-02-16,8.8,11.5,5.4,2.0,0.3,,,,5.8,6.9,1016.0,61,1020.6,
2016-02-17,10.0,12.7,7.6,5.5,2.2,,,,5.3,7.6,1018.4,62,1023.0,
2016-02-18,9.9,14.0,6.4,,5.4,,,,2.7,8.8,1021.1,73,1025.8,
2016-02-19,13.5,18.7,7.1,4.0,5.7,,,,3.1,11.5,1021.2,75,1025.8,
2016-02-20,15.5,18.4,12.8,187.5,2.7,,,,10.4,14.0,1010.2,78,1014.8,
2016-02-21,10.6,13.3,8.3,,7.3,,,,8.9,6.1,1021.6,48,1026.3,
2016-02-22,11.9,15.1,7.8,6.0,0.5,,,,2.9,9.8,1022.7,69,1027.3,
2016-02-23,13.1,15.0,11.4,81.0,0.0,,,,5.4,14.5,1016.4,96,1021.0,
2016-02-24,10.8,12.9,8.7,0.0,3.1,,,,10.5,7.2,1021.6,56,1026.2,
2016-02-25,9.2,11.9,7.9,,2.1,,,,9.0,6.2,1025.1,53,1029.8,
2016-02-26,9.2,12.7,7.3,,3.0,,,,6.0,5.5,1025.5,48,1030.2,
2016-02-27,11.0,16.1,6.5,0.5,0.0,,,,2.3,8.3,1022.4,64,1027.1,
2016-02-28,14.2,17.6,10.1,0.0,0.3,,,,2.3,12.7,1018.7,79,1023.3,
2016-02-29,11.5,16.6,7.8,6.0,0.9,,,,10.0,9.0,1016.4,65,1021.1,
2016-03-01,7.8,9.3,6.6,0.0,0.0,,,,8.1,6.0,1020.9,57,1025.6,
2016-03-02,10.0,14.1,7.4,,5.9,,,,4.4,7.5,1022.3,62,1027.0,
2016-03-03,12.3,17.8,6.3,0.0,7.6,,,,2.6,9.6,1022.0,68,1026.6,
2016-03-04,16.7,20.6,11.2,0.0,2.3,,,,3.6,12.3,1022.2,65,1026.8,
2016-03-05,19.0,22.0,17.0,,5.0,,,,6.2,13.8,1020.1,63,1024.6,
2016-03-06,18.7,19.6,17.0,30.0,0.0,,,,5.1,18.9,1013.5,88,1018.0,
2016-03-07,18.9,22.2,15.6,0.5,5.9,,,,3.9,17.7,1011.2,82,1015.7,
2016-03-08,17.6,21.7,12.6,0.0,7.2,,,,3.0,15.9,1011.7,79,1016.2,
2016-03-09,17.3,21.4,13.0,88.0,1.5,,,,9.3,16.2,1005.3,80,1009.8,
2016-03-10,13.4,14.7,12.4,0.0,0.0,,,,6.6,10.5,1012.1,68,1016.7,
2016-03-11,11.2,14.6,8.7,,0.1,,,,7.8,7.6,1014.5,57,1019.1,
2016-03-12,10.6,14.9,8.5,,5.8,,,,5.6,6.8,1017.5,54,1022.2,
2016-03-13,12.6,17.2,6.7,20.5,0.1,,,,3.1,10.8,1014.7,73,1019.3,
2016-03-14,13.1,18.4,11.0,60.5,1.5,,,,9.2,11.6,1007.3,75,1011.8,
2016-03-15,11.3,15.2,8.1,0.0,10.7,,,,4.5,7.5,1016.2,57,1020.9,
2016-03-16,13.1,16.2,9.0,1.5,0.0,,,,2.9,11.4,1016.6,75,1021.2,
