calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,17.6,20.2,15.5,0.0,,,,,4.3,,,,,
2016-01-02,21.2,24.0,17.1,0.0,,,,,5.3,,,,,
2016-01-03,20.5,23.7,18.2,17.5,,,,,3.5,,,,,
2016-01-04,19.8,21.7,18.0,2.5,,,,,2.3,,,,,
2016-01-05,21.7,24.6,19.1,32.5,,,,,4.4,,,,,
2016-01-06,19.3,21.6,17.8,17.5,,,,,2.9,,,,,
2016-01-07,18.5,20.1,17.2,0.0,,,,,7.5,,,,,
2016-01-08,16.8,18.8,14.3,6.5,,,,,4.7,,,,,
2016-01-09,16.9,19.0,15.1,0.0,,,,,4.9,,,,,
2016-01-10,16.2,19.4,11.6,0.0,,,,,1.7,,,,,
2016-01-11,18.5,20.8,16.9,28.5,,,,,3.9,,,,,
2016-01-12,17.9,19.7,15.6,1.0,,,,,8.7,,,,,
2016-01-13,15.6,17.5,14.4,0.0,,,,,6.4,,,,,
2016-01-14,15.4,16.9,14.3,0.0,,,,,5.6,,,,,
2016-01-15,16.2,19.3,12.4,1.0,,,,,2.8,,,,,
2016-01-16,17.5,20.7,13.5,0.0,,,,,2.6,,,,,
2016-01-17,18.9,20.9,13.6,21.0,,,,,6.9,,,,,
2016-01-18,17.2,19.8,15.0,0.0,,,,,11.5,,,,,
2016-01-19,14.5,16.3,13.1,0.0,,,,,9.4,,,,,
2016-01-20,14.7,17.2,13.2,0.0,,,,,5.8,,,,,
2016-01-21,15.7,17.2,13.9,38.5,,,,,4.3,,,,,
2016-01-22,16.0,17.1,14.9,0.5,,,,,7.6,,,,,
2016-01-23,14.5,16.1,11.8,16.0,,,,,11.5,,,,,
2016-01-24,8.7,12.9,5.4,0.0,,,,,14.9,,,,,
2016-01-25,10.2,14.3,5.9,2.0,,,,,9.8,,,,,
2016-01-26,12.9,15.8,10.7,0.0,,,,,4.9,,,,,
2016-01-27,15.6,18.5,10.4,0.0,,,,,2.6,,,,,
2016-01-28,19.9,21.3,17.3,0.0,,,,,6.1,,,,,
2016-01-29,20.8,23.2,17.7,7.5,,,,,6.8,,,,,
2016-01-30,18.6,20.0,17.6,9.5,,,,,4.0,,,,,
2016-01-31,18.8,21.4,17.4,0.0,,,,,3.7,,,,,
2016-02-01,17.1,19.9,14.7,14.0,,,,,6.6,,,,,
2016-02-02,14.7,15.6,13.5,0.5,,,,,7.6,,,,,
2016-02-03,15.4,16.9,13.9,0.0,,,,,5.3,,,,,
2016-02-04,16.5,19.5,13.0,0.0,,,,,3.3,,,,,
2016-02-05,16.0,16.7,15.3,13.5,,,,,5.0,,,,,
2016-02-06,14.5,17.9,12.0,3.0,,,,,10.2,,,,,
2016-02-07,13.6,16.3,10.6,2.5,,,,,8.7,,,,,
2016-02-08,13.4,16.2,11.7,0.0,,,,,8.8,,,,,
2016-02-09,16.2,19.3,13.2,0.0,,,,,3.9,,,,,
2016-02-10,17.6,21.5,13.0,0.0,,,,,3.3,,,,,
2016-02-11,18.9,21.9,16.1,0.0,,,,,6.6,,,,,
2016-02-12,21.2,23.1,19.1,0.0,,,,,10.0,,,,,
2016-02-13,22.7,24.9,21.5,0.0,,,,,8.1,,,,,
2016-02-14,18.3,22.3,13.5,5.0,,,,,7.1,,,,,
2016-02-15,12.7,14.5,11.4,6.0,,,,,11.5,,,,,
2016-02-16,12.3,14.9,11.2,0.0,,,,,8.1,,,,,
2016-02-17,13.9,17.2,11.6,0.0,,,,,5.7,,,,,
2016-02-18,15.3,19.3,9.9,0.0,,,,,2.1,,,,,
2016-02-19,18.8,21.6,15.5,0.0,,,,,6.2,,,,,
2016-02-20,18.6,21.5,14.8,18.5,,,,,9.9,,,,,
2016-02-21,15.3,17.8,14.2,0.0,,,,,6.8,,,,,
2016-02-22,17.4,20.2,13.4,0.0,,,,,4.8,,,,,
2016-02-23,19.7,22.5,17.1,10.0,,,,,7.7,,,,,
2016-02-24,16.0,17.9,14.1,0.0,,,,,9.6,,,,,
2016-02-25,14.5,16.0,13.7,0.0,,,,,7.2,,,,,
2016-02-26,15.3,17.9,13.8,0.0,,,,,4.6,,,,,
2016-02-27,16.8,19.0,14.3,2.5,,,,,2.8,,,,,
2016-02-28,18.7,21.9,15.8,4.0,,,,,3.4,,,,,
